negatives
"('P35580', 'P51572')"
"('O00629', 'Q13330')"
"('Q7Z3S9', 'Q8NAT1')"
"('Q15562', 'Q9GZV5')"
"('Q96EK9', 'P45985')"
"('Q9NTI7', 'Q8TBB1')"
"('Q9NY93', 'Q92905')"
"('P60369', 'Q13368')"
"('P62753', 'P55010')"
"('P13612', 'P43405')"
"('Q93052', 'Q9UDY2')"
"('P61626', 'P62633')"
"('Q9Y6H1', 'Q96KQ7')"
"('O95777', 'Q92681')"
"('Q9H867', 'Q13885')"
"('Q9Y4G8', 'A4D1P6')"
"('O75449', 'Q9HCH0')"
"('P63211', 'P09471')"
"('Q8N5R6', 'P25791')"
"('P00441', 'P14550')"
"('Q96SR6', 'P83916')"
"('Q66GS9', 'Q13393')"
"('P62081', 'P13639')"
"('Q16670', 'Q9BQ24')"
"('O75347', 'Q16594')"
"('P05155', 'P02768')"
"('O43526', 'Q8NBJ4')"
"('Q13156', 'Q13472')"
"('Q9H845', 'Q9C002')"
"('Q96JB5', 'Q96DF8')"
"('P54727', 'P27694')"
"('Q9Y5J6', 'Q9Y5J7')"
"('Q05086', 'Q15334')"
"('P83436', 'O75886')"
"('Q7Z401', 'Q8TCB7')"
"('Q01362', 'Q13952')"
"('Q15642', 'Q9NV88')"
"('P62979', 'Q96G74')"
"('P49019', 'P08754')"
"('Q6NXT2', 'Q9NVH1')"
"('P07550', 'P11177')"
"('P61244', 'P51665')"
"('O43929', 'Q9NRD1')"
"('Q14999', 'P57740')"
"('Q9H0U6', 'Q6ZMI0')"
"('P49321', 'P34897')"
"('O95153', 'Q8TAP6')"
"('P21860', 'Q9UBN7')"
"('Q99750', 'Q5W5X9')"
"('P84098', 'Q15046')"
"('P20073', 'O14576')"
"('Q9Y4H2', 'Q8N122')"
"('Q16849', 'Q9H254')"
"('P60520', 'P22626')"
"('P24941', 'Q9Y6K9')"
"('O43674', 'Q13347')"
"('Q13887', 'Q00403')"
"('P11245', 'Q9NQZ5')"
"('P18754', 'O75956')"
"('P12004', 'P49918')"
"('Q14964', 'Q08379')"
"('Q8N1F7', 'Q99496')"
"('P38398', 'P08865')"
"('Q8NFR9', 'Q96F46')"
"('Q13191', 'P62736')"
"('P07195', 'P23526')"
"('Q9ULK4', 'Q96L91')"
"('P49639', 'Q9BT49')"
"('P0DMU9', 'O75052')"
"('P00533', 'O75964')"
"('P52272', 'P04637')"
"('Q9UKT9', 'P60568')"
"('Q9NP31', 'P19174')"
"('Q3B820', 'P26371')"
"('P42771', 'Q9UJX2')"
"('P63261', 'Q7L2J0')"
"('Q12905', 'Q9H0N0')"
"('Q16539', 'P22415')"
"('Q9Y2W7', 'P49768')"
"('Q9Y6K9', 'Q9UBS0')"
"('Q16401', 'Q9UL46')"
"('P78325', 'P29144')"
"('P62269', 'Q9UHD2')"
"('Q8WXX5', 'Q13618')"
"('P05129', 'Q15139')"
"('Q13084', 'Q12849')"
"('P08133', 'P08473')"
"('P60410', 'P16930')"
"('Q5TCZ1', 'Q9Y3M2')"
"('Q8WUI4', 'Q16665')"
"('O00159', 'P20839')"
"('Q04721', 'Q9UHF1')"
"('O95602', 'O15160')"
"('Q6IQ23', 'Q9BS26')"
"('O43674', 'O43676')"
"('O60885', 'O96028')"
"('P51513', 'Q8TAQ2')"
"('Q14209', 'Q14207')"
"('Q15942', 'P06748')"
"('A4D0S4', 'P13612')"
"('Q8WZA2', 'P62070')"
"('Q01081', 'Q13616')"
"('Q9UBC1', 'Q4G0A6')"
"('P05141', 'P46777')"
"('Q9BUV8', 'Q16540')"
"('Q96JN0', 'O00629')"
"('Q04206', 'P35354')"
"('Q9BUN8', 'P09936')"
"('Q12933', 'Q05516')"
"('P48960', 'Q8NG31')"
"('P51948', 'Q9UBF1')"
"('P04629', 'Q07955')"
"('P02786', 'P15291')"
"('P62280', 'P55072')"
"('Q9BXR5', 'O60603')"
"('P07900', 'P16591')"
