negatives
"('Q9P107', 'Q07889')"
"('Q96B97', 'Q9P2Y4')"
"('Q9BRP8', 'Q9Y5S9')"
"('P62993', 'P62280')"
"('Q6FI13', 'Q5QNW6')"
"('P63208', 'Q9Y3I1')"
"('Q9Y219', 'P98194')"
"('P17252', 'P50151')"
"('Q9Y6K9', '343477')"
"('Q13315', 'Q5H9R7')"
"('P33993', 'Q9Y6K9')"
"('P06239', 'P78314')"
"('Q9H816', 'P08107')"
"('P09874', 'P78317')"
"('Q06455', 'Q99081')"
"('P62136', 'P54289')"
"('P98170', 'P83105')"
"('P01106', 'Q96CT7')"
"('Q92905', 'Q16539')"
"('Q9P0M6', 'Q08945')"
"('Q9GZN1', 'Q15365')"
"('O75365', 'Q7Z794')"
"('P62258', 'Q9H4A3')"
"('Q15828', 'P01889')"
"('Q969G3', 'P24522')"
"('Q99878', 'Q9UKV0')"
"('P40818', 'Q9H444')"
"('Q09472', 'O15105')"
"('Q14451', 'Q04724')"
"('P28328', 'O60683')"
"('Q9NZN4', 'P63010')"
"('Q9HC98', 'O15260')"
"('Q66LE6', 'P52630')"
"('P07437', 'A6NHL2')"
"('P41221', 'P56704')"
"('Q9H334', 'O75626')"
"('P05129', 'Q05586')"
"('Q9P2D1', 'Q9NPI1')"
"('P08754', 'Q01668')"
"('Q9UBP9', 'P26010')"
"('Q14653', 'Q13794')"
"('Q15329', 'O75496')"
"('P36575', 'P12931')"
"('P01106', 'P06454')"
"('P38936', 'P49715')"
"('Q14197', 'Q96EY8')"
"('P62701', 'P46782')"
"('O75626', 'Q96D21')"
"('Q59H18', 'P05413')"
"('Q08AD1', 'P61981')"
"('Q70Z53', 'Q9BPX7')"
"('P35626', 'Q96RD0')"
"('Q13547', 'Q86X95')"
"('Q16665', 'P10275')"
"('P63151', 'Q86US8')"
"('O15519', 'O00303')"
"('Q4KMQ2', 'P49716')"
"('Q99459', 'Q8NB90')"
"('Q06190', 'Q8IZS8')"
"('P78527', 'Q8WY36')"
"('O00329', 'P50993')"
"('P07202', 'P19235')"
"('P18031', 'P62070')"
"('P49354', 'Q04771')"
"('P84095', 'Q13177')"
"('P56746', 'O75970')"
"('P08476', 'Q13705')"
"('Q8N392', 'P63000')"
"('Q9Y3Z3', 'Q9Y5J5')"
"('Q06330', 'Q13642')"
"('Q14161', 'Q12774')"
"('Q9HCT0', 'P09619')"
"('Q86U86', 'Q96KM6')"
"('Q9P0W0', 'P78552')"
"('P14866', 'P22626')"
"('Q9UI14', 'Q9NR12')"
"('P63104', 'P62158')"
"('Q9UNM6', 'Q00653')"
"('P35442', 'P56199')"
"('P19838', 'Q9UNE7')"
"('O15392', 'Q14457')"
"('Q9BTT4', 'Q6P2C8')"
"('Q14103', 'Q13526')"
"('P62879', 'Q01970')"
"('P27986', 'P46531')"
"('Q13616', 'P20248')"
"('P78396', 'Q96AG4')"
"('P00533', 'P63010')"
"('O95760', 'P55210')"
"('Q99731', 'Q13568')"
"('Q13490', 'Q15628')"
"('Q5UIP0', 'Q16637')"
"('P62195', 'Q04637')"
"('Q9BXJ9', 'Q9BSU3')"
"('P50542', 'P35346')"
"('P11912', 'P15391')"
"('P22087', 'Q96RG2')"
"('Q15366', 'Q00839')"
"('P51817', 'Q32MK0')"
"('Q14416', 'P62873')"
"('Q9HAU5', 'P62841')"
"('P29274', 'P00813')"
"('P06731', 'Q16665')"
"('P10644', 'Q8TBE0')"
"('Q04206', 'Q03169')"
"('P30480', 'P49720')"
"('P39019', 'P62854')"
"('O60271', 'Q99759')"
"('O43318', 'Q99683')"
"('P16188', 'P30457')"
"('Q9BVA1', 'O43318')"
"('Q9HCE7', 'Q15796')"
"('Q8WZA2', 'P45984')"
"('Q14457', 'Q5VTD9')"
"('O14757', 'P04637')"
"('P08047', 'Q09028')"
"('P01588', 'Q6UXL0')"
"('P62258', 'Q9NYF5')"
"('P19174', 'Q00839')"
"('O00401', 'Q99963')"
"('Q9Y664', 'Q969R8')"
"('Q9Y6N6', 'P26006')"
"('Q8TDP1', 'Q8N6Y0')"
"('Q14192', 'P17301')"
"('P27361', 'P03372')"
"('P22694', 'P42262')"
"('Q92597', 'Q00610')"
"('406906', 'Q9Y6R0')"
"('O95140', 'Q7Z434')"
"('P16104', 'P09651')"
"('P31151', 'Q01469')"
"('O94906', 'P10275')"
"('P01106', 'Q15181')"
"('P42765', 'P22307')"
"('P24941', 'P25054')"
"('P06730', 'O00571')"
"('P35749', 'P62736')"
"('P40933', 'P48551')"
"('Q05655', 'Q92997')"
"('P05019', 'P21802')"
"('O76024', 'P56537')"
"('Q9Y5J5', 'Q9H9B4')"
"('P41279', 'O14733')"
"('P38398', 'P18846')"
"('Q15572', 'Q9H9Y6')"
"('P25787', 'Q9Y4K3')"
"('P41743', 'P19883')"
"('P06239', 'P10721')"
"('Q14197', 'P54886')"
"('O43390', 'P35637')"
"('P47736', 'P78368')"
"('Q9UBV8', 'Q53G59')"
"('Q7L590', 'Q9UJX2')"
"('P06241', 'O43390')"
"('Q70Z53', 'Q6UX04')"
"('Q9NTI5', 'Q14683')"
"('P12814', 'O00151')"
"('Q8N126', 'P16220')"
"('P04150', 'P42229')"
"('P46781', 'P62280')"
"('Q13255', 'Q5JWF2')"
"('P0CG48', 'Q16236')"
"('Q9UNX3', 'P62917')"
"('P05771', 'P50151')"
"('P61769', 'P46379')"
"('Q96RD6', 'P62993')"
"('Q9HA65', 'Q9P1Z2')"
"('Q8TDZ2', 'P24522')"
"('P06703', 'P62993')"
"('Q13535', 'Q15075')"
"('P78545', 'P19838')"
"('O76061', 'P32121')"
"('P14316', 'Q03518')"
"('Q13158', 'P62834')"
"('P62993', 'P03905')"
"('Q9H1Y0', 'P61604')"
"('Q9UBF8', 'P31946')"
"('Q9P0T4', 'P36406')"
"('Q99459', 'P52597')"
"('Q14192', 'P28482')"
"('Q12778', 'P01236')"
"('P22626', 'Q00005')"
"('P52272', 'P55795')"
"('O75807', 'P20264')"
"('Q9BVC4', 'O14920')"
"('P68400', 'Q53GL0')"
"('P08581', 'Q96RG2')"
"('P21452', 'P29992')"
"('P17612', 'Q99819')"
"('Q9UFN0', 'Q99570')"
"('P50591', 'P13686')"
"('P10301', 'P04049')"
"('P17302', 'P68366')"
"('P49765', 'P29317')"
"('406892', 'Q8N122')"
"('P04264', 'P19438')"
"('Q8IZ13', 'P26641')"
"('P01112', 'Q13129')"
"('O00299', 'P01889')"
"('Q96NE9', 'Q13188')"
"('Q6IE81', 'P62805')"
"('Q13485', 'P41134')"
"('Q14457', 'P15170')"
"('Q04721', 'P46109')"
"('Q16891', 'O60341')"
"('O95425', 'P37231')"
"('Q8WXH5', 'P51692')"
"('Q9HD36', 'Q07812')"
"('Q9H9Y6', 'Q53T94')"
"('P02679', 'P02675')"
"('O15143', 'P60709')"
"('Q9NV70', 'Q13439')"
"('Q13952', 'O14907')"
"('Q13547', 'Q01094')"
"('Q8TF46', 'Q5RKV6')"
"('P53567', 'Q15744')"
"('P20936', 'Q99704')"
"('Q15038', 'P62987')"
"('P61981', 'P48730')"
"('Q13573', 'Q16659')"
"('Q9UHV7', 'O75448')"
"('P16401', 'P07288')"
"('Q9Y2W2', 'P98175')"
"('P30153', 'Q8WXS5')"
"('P41220', 'P10074')"
"('Q12972', 'P22392')"
"('P04637', 'P55957')"
"('Q13751', 'Q16610')"
"('Q06455', 'Q96L14')"
"('P09651', 'Q13243')"
"('P10275', 'Q15020')"
"('Q9Y478', 'P54840')"
"('P29590', 'O75376')"
"('Q96LD4', 'Q5VVX9')"
"('P27986', 'Q9Y6X6')"
"('Q9NQT4', 'P23246')"
"('P62993', 'P34931')"
