negatives
"('P05129', 'Q9UP65')"
"('Q9Y5P8', 'O00305')"
"('P19338', 'P05455')"
"('Q9NPD8', 'O15287')"
"('Q9UI09', 'P51970')"
"('O15131', 'P00966')"
"('Q9UBS0', 'Q13573')"
"('P06850', 'Q13324')"
"('Q9NPF5', 'O95619')"
"('Q99759', 'P55072')"
"('P18031', 'P12814')"
"('O14730', 'P40616')"
"('Q96NT0', 'Q05513')"
"('P30622', 'O14777')"
"('P35268', 'Q07020')"
"('O60258', 'P22455')"
"('C9J798', 'P01112')"
"('P67870', 'P04070')"
"('Q8NHZ8', 'Q12834')"
"('Q8WXH5', 'Q6UXL0')"
"('Q14832', 'P09471')"
"('P08238', 'Q15628')"
"('P59768', 'P51828')"
"('Q96BA8', 'Q9NR55')"
"('Q9H8E8', 'Q96ES7')"
"('P35443', 'Q9UKX5')"
"('Q9UBN6', 'P58546')"
"('P16989', 'P25208')"
"('Q8TDR0', 'P68104')"
"('Q96N46', 'Q15834')"
"('P62993', 'Q9ULV4')"
"('P84077', 'Q99755')"
"('Q99933', 'P50502')"
"('Q9NYJ8', 'P11021')"
"('Q9Y2Q3', 'P62993')"
"('P46531', 'P0CG47')"
"('P19012', 'Q8IYI6')"
"('P35579', 'O15111')"
"('Q5VSL9', 'Q8IWZ3')"
"('P49207', 'Q02878')"
"('Q9NR30', 'Q96BK5')"
"('Q6P996', 'Q2M3C7')"
"('Q96L34', 'Q9Y4B5')"
"('P05165', 'Q00005')"
"('Q14164', 'P04179')"
"('P13232', 'Q99665')"
"('P61313', 'P18077')"
"('A6NM45', 'O75508')"
"('Q96ID5', 'P05109')"
"('P47870', 'P54257')"
"('O14933', 'Q9NS56')"
"('P62314', 'P62306')"
"('P48444', 'Q13573')"
"('P05113', 'P15509')"
"('Q16658', 'Q9GZN1')"
"('Q6UWZ7', 'Q9NXR7')"
"('P43360', 'Q15042')"
"('P63096', 'Q00722')"
"('P01889', 'P52272')"
"('P10275', 'Q9Y618')"
"('Q8HWS3', 'Q8TAP4')"
"('P10828', 'Q92830')"
"('Q86YP4', 'Q16576')"
"('Q9UBT6', 'Q9UBZ9')"
"('Q8TAQ2', 'Q92769')"
"('P16298', 'Q13469')"
"('Q9NSC5', 'Q9UPX8')"
"('P08253', 'P80098')"
"('P09497', 'P63010')"
"('P53804', 'Q05086')"
"('Q96K62', 'Q96CW1')"
"('Q8WX92', 'Q8IXH7')"
"('Q9H467', 'P62136')"
"('P0C0S5', 'Q8N257')"
"('P51817', 'P18846')"
"('P20333', 'Q12933')"
"('P19174', 'Q9BXT4')"
"('P00533', 'P05026')"
"('P19320', 'P09486')"
"('Q9HAV0', 'P53779')"
"('Q14833', 'P04899')"
"('P46527', 'O00505')"
"('Q6PJT7', 'P35900')"
"('Q6R327', 'P31947')"
"('P50914', 'P05388')"
"('P40429', 'Q9UKV8')"
"('P68133', 'Q9H0E9')"
"('Q9Y333', 'P62310')"
"('P04150', 'P20962')"
"('P01889', 'P30040')"
"('P17252', 'Q06710')"
"('Q13573', 'P55060')"
"('Q86WB0', 'Q99459')"
"('Q9NRR5', 'O75400')"
"('P01375', 'P62136')"
"('P20671', 'P58876')"
"('P16520', 'P35498')"
"('A0JLT2', 'Q9UHB7')"
"('P27540', 'P02787')"
"('O14508', 'P15260')"
"('P62491', 'Q7L804')"
"('P15924', 'O60232')"
"('Q9Y6J9', 'O75529')"
"('O95433', 'Q9Y5I1')"
"('P31785', 'P05362')"
"('P10275', 'O75928')"
"('Q13547', 'Q01094')"
"('P01889', 'P61077')"
"('P35998', 'Q16401')"
"('P18031', 'O14654')"
"('P19022', 'Q12913')"
"('Q13162', 'P07237')"
"('O00329', 'P50570')"
"('Q96D71', 'Q8WXE9')"
"('Q9NP95', 'P08581')"
"('Q16254', 'P20248')"
"('Q9UJF2', 'Q07889')"
"('Q6P1R3', 'Q9NRL3')"
"('P43119', 'P63092')"
"('P55957', 'Q9HC29')"
"('Q9UGJ0', 'P16671')"
"('Q14974', 'P51178')"
"('Q9H0H5', 'Q96GD4')"
"('P12931', 'P98082')"
"('O95402', 'O75448')"
"('P68133', 'Q9HAU4')"
"('P09104', 'Q00613')"
"('Q12933', 'Q13490')"
"('P12931', 'P35568')"
"('Q9H204', 'P16885')"
"('Q9UJX2', 'P24385')"
"('P40337', 'Q9Y5B9')"
"('Q6UUV7', 'P18846')"
"('P19525', 'Q9BY44')"
"('P32121', 'Q8NH53')"
"('O94776', 'Q99459')"
"('P12931', 'Q9NQI0')"
"('P16581', 'P45983')"
"('O14818', 'O60260')"
"('P20963', 'P10144')"
"('Q92731', 'Q13105')"
"('P09936', 'Q9Y4K3')"
"('P24071', 'P08637')"
"('Q03164', 'P49639')"
"('Q12778', 'P61981')"
"('Q9BSJ2', 'Q96CW5')"
"('P69905', 'P69892')"
"('P60866', 'P62273')"
"('Q92769', 'P01137')"
"('Q9P1U0', 'Q15233')"
"('O14610', 'P11229')"
"('P46060', 'P55854')"
"('O95793', 'P10636')"
"('P28482', 'Q07021')"
"('Q8IXI1', 'Q9NQU5')"
"('P45984', 'Q00613')"
"('Q9Y232', 'P68431')"
"('Q9Y478', 'P61960')"
"('P07948', 'P15391')"
"('P16615', 'P27824')"
"('Q05639', 'Q00653')"
"('P01242', 'Q5VWK5')"
"('P12270', 'Q9Y6R4')"
"('P12931', 'P23760')"
"('P61353', 'P62987')"
"('P19878', 'P14780')"
"('O00264', 'P49716')"
"('O75369', 'P26012')"
"('P02786', 'Q9Y4K3')"
"('P63104', 'P0CG48')"
"('Q14683', 'P38398')"
"('P55010', 'O15371')"
"('P35626', 'P47887')"
"('Q969H0', 'A6NE52')"
"('O75365', 'O60477')"
"('O43809', 'Q9Y4K3')"
"('O14893', 'P09382')"
"('Q6ZMZ0', 'P68036')"
"('Q9NXD2', 'O15198')"
"('P36873', 'P03372')"
"('P56937', 'P48023')"
"('Q9UL03', 'P54257')"
"('Q92608', 'P17081')"
"('Q9H267', 'Q9H9C1')"
"('Q9Y5B0', 'O14744')"
"('Q13535', 'P23246')"
"('Q96AE4', 'P01106')"
"('Q9Y230', 'Q93009')"
"('O75030', 'P01100')"
"('P62316', 'P46940')"
"('Q9UQC2', 'P27348')"
"('P62081', 'Q8WZA2')"
"('Q9Y2Z0', 'P63208')"
"('P21583', 'P29317')"
"('P52948', 'Q8WUM0')"
"('P01106', 'O95391')"
"('Q9Y5W5', 'P56705')"
"('P49841', 'P26358')"
"('Q9HCE7', 'Q08170')"
"('O96009', 'P63104')"
"('Q92561', 'Q96FK6')"
"('Q9NZL6', 'P98160')"
"('Q6P2E9', 'P19525')"
"('P46781', 'Q99558')"
"('P46108', 'Q15303')"
"('P14091', 'Q92979')"
"('Q9NR28', 'Q13114')"
"('P17752', 'P42858')"
"('P05067', 'Q9P2D7')"
"('P19438', 'P61619')"
"('P13569', 'P0CG47')"
"('P17844', 'Q9H9S0')"
"('Q07889', 'P62736')"
"('O75398', 'Q8N201')"
"('P04406', 'O60814')"
"('P53420', 'Q13683')"
"('P68366', 'P51124')"
"('P43405', 'O00241')"
"('Q16513', 'Q5SW24')"
"('Q06187', 'Q6ZUJ8')"
"('Q00839', 'Q13247')"
"('O14544', 'P23458')"
"('Q04724', 'P01909')"
"('Q9H1Y0', 'O95786')"
"('P61353', 'Q9Y3U8')"
"('J9JIF5', 'O14640')"
"('O14744', 'Q9Y6K1')"
"('Q9H201', 'P21802')"
"('P06899', 'Q93077')"
"('Q9P0U4', 'P61964')"
"('P05067', 'Q13867')"
"('A7KAX9', 'P60953')"
"('Q99879', 'P20671')"
"('Q92913', 'P08138')"
"('P98170', 'O43464')"
"('Q8N5U6', 'Q5T3J3')"
"('O15015', 'Q9Y2I6')"
"('O14757', 'P04637')"
"('Q9NSA3', 'P10619')"
"('P62851', 'P08865')"
"('Q9NQC3', 'P12931')"
"('O15111', 'P06753')"
"('Q96RT1', 'Q00013')"
"('P05107', 'O00459')"
"('Q13535', 'P17987')"
"('Q9Y6B2', 'P14373')"
"('Q93033', 'Q9UHX1')"
"('Q9H8T0', 'P56545')"
"('Q15796', 'Q9Y6N5')"
"('Q7L590', 'O43298')"
"('P46379', 'P11802')"
"('Q9Y572', 'Q9Y6U3')"
"('Q6UN15', 'P62140')"
"('Q15287', 'Q13243')"
"('O43741', 'O00418')"
"('Q10570', 'P48634')"
"('Q14164', 'P62158')"
"('Q15126', 'Q9H3R5')"
"('Q00005', 'P52630')"
"('P49792', 'P84022')"
"('Q99435', 'Q5VTD9')"
"('P62424', 'Q15843')"
"('Q13315', 'Q8IWS0')"
"('Q9BQ83', 'Q5VYV7')"
"('P11802', 'O75694')"
"('Q13315', 'Q8WVM8')"
"('P02751', 'P02768')"
"('P22626', 'Q01081')"
"('P03901', 'O43674')"
"('O00442', 'P18077')"
