negatives
"('P22694', 'P52566')"
"('P27797', 'Q15022')"
"('Q8IZK6', 'Q8TDD5')"
"('P50539', 'P60411')"
"('Q9Y5X1', 'Q6IQ23')"
"('P37198', 'P10599')"
"('P20809', 'Q01113')"
"('Q9UNH7', 'P0DP23')"
"('Q6P2Q9', 'P62314')"
"('P04156', 'Q96LT9')"
"('Q5T7P3', 'Q9BTY2')"
"('Q15637', 'P22102')"
"('P57078', 'Q6DN90')"
"('Q9BSL1', 'Q6IBS0')"
"('P33316', 'Q13451')"
"('Q9UQE7', 'P09497')"
"('Q05193', 'P00519')"
"('P09619', 'Q92529')"
"('Q04724', 'Q9NRQ2')"
"('Q13315', 'Q9Y487')"
"('O60825', 'Q96QF0')"
"('O75306', 'P34931')"
"('Q13164', 'Q99471')"
"('Q6P2Q9', 'Q9Y383')"
"('Q68BL7', 'P05067')"
"('P30740', 'P08246')"
"('Q92831', 'P16220')"
"('P61201', 'Q8N3D4')"
"('Q9H0E2', 'Q16539')"
"('Q9NRD1', 'P55060')"
"('Q05048', 'Q9Y4E8')"
"('P15311', 'Q9UKN8')"
"('P05386', 'P62269')"
"('Q08211', 'P27694')"
"('P36897', 'Q96FW1')"
"('Q02218', 'Q00987')"
"('P17544', 'P19838')"
"('Q9NX58', 'P27635')"
"('Q969V5', 'O75436')"
"('P62256', 'Q9ULV8')"
"('Q13043', 'Q6ZTQ3')"
"('Q9ULU4', 'P54259')"
"('Q16531', 'Q9H0E3')"
"('P07737', 'Q06609')"
"('Q969H0', 'P37840')"
"('Q86YP4', 'O14519')"
"('Q14129', 'Q8IYA8')"
"('Q96DR7', 'Q6PI48')"
"('P22626', 'Q7Z6Z7')"
"('Q5T3J3', 'P20073')"
"('O00141', 'Q6R327')"
"('P40424', 'P31260')"
"('P43629', 'Q06546')"
"('P05783', 'P62993')"
"('P62937', 'P25490')"
"('Q69YQ0', 'Q8N3V7')"
"('P09497', 'P09496')"
"('Q05397', 'P16581')"
"('Q96SB4', 'Q96MU7')"
"('P13501', 'P01833')"
"('Q8WY36', 'O76038')"
"('Q9Y2T1', 'Q9Y2U5')"
"('P25025', 'P50502')"
"('P51617', 'Q15750')"
"('Q9H0I2', 'P49639')"
"('P30556', 'P19174')"
"('Q13573', 'Q12873')"
"('Q8NI27', 'Q6PJT7')"
"('P09669', 'Q8IXH7')"
"('O00560', 'Q5VWX1')"
"('Q9NQC3', 'Q14088')"
"('Q8ND82', 'P02545')"
"('Q86X55', 'Q9UHA7')"
"('Q92985', 'O94822')"
"('Q13635', 'Q9ULG6')"
"('Q86XE0', 'O60749')"
"('Q9NP86', 'Q96BR6')"
"('Q15022', 'Q13601')"
"('P08865', 'P62829')"
"('P33778', 'Q6NUN9')"
"('P98082', 'Q96CW1')"
"('Q9HAV0', 'Q9UGI9')"
"('Q14164', 'Q00653')"
"('P63279', 'Q92753')"
"('Q9Y4E8', 'O95777')"
"('P36897', 'Q7Z3T8')"
"('P29350', 'Q969J5')"
"('P61586', 'Q9UKT9')"
"('Q9BUJ2', 'P61978')"
"('P63261', 'O14497')"
"('Q08050', 'Q6P2Q9')"
"('P35579', 'P09493')"
"('O43617', 'Q7Z392')"
"('Q9UHI6', 'P11441')"
"('Q9H3R5', 'Q6IPU0')"
"('P25398', 'P39019')"
"('Q9Y676', 'Q96EY7')"
"('O95758', 'Q9UHD8')"
"('Q9Y570', 'Q15435')"
"('O43548', 'Q96ER9')"
"('Q6PEX3', 'P28799')"
"('P45985', 'O75369')"
"('Q9ULR3', 'Q96S53')"
"('Q96JC9', 'Q9Y388')"
"('Q9P2W3', 'O60266')"
"('Q13617', 'P40337')"
"('Q9Y366', 'Q3KP44')"
"('P0C5Y9', 'P62807')"
"('Q96EP5', 'P31483')"
"('O75526', 'Q9GZQ8')"
"('P20226', 'Q9P0K8')"
"('P05067', 'P32243')"
"('P60484', 'P12830')"
"('P0DML3', 'O60674')"
"('P60900', 'P25686')"
"('O15551', 'P56880')"
"('O75586', 'O75448')"
"('O15479', 'P58876')"
"('P01909', 'Q6NUQ4')"
"('Q96RY5', 'P26992')"
"('P01106', 'Q5SY16')"
"('P42166', 'Q99623')"
"('Q9P035', 'Q9BRX2')"
"('P61619', 'P39023')"
"('P98175', 'P62258')"
"('Q14781', 'P0C7H8')"
"('Q96E35', 'Q9NP92')"
"('Q05682', 'Q9P127')"
"('O14980', 'O60716')"
"('P62314', 'P08238')"
"('Q9HCM1', 'O43790')"
"('Q7Z589', 'Q9NZ71')"
"('Q9UDY6', 'P08238')"
"('Q96T51', 'O75928')"
"('Q5S007', 'Q8NA70')"
"('Q9HCU9', 'P85037')"
"('P63000', 'Q9NRR3')"
"('O75787', 'P84095')"
"('Q15323', 'P63218')"
"('Q16630', 'O00308')"
"('Q9UMX0', 'Q9UBC2')"
"('P33176', 'Q8N1B4')"
"('P32121', 'P62316')"
"('P19387', 'Q9NVC6')"
"('Q07960', 'Q07890')"
"('O15083', 'O75145')"
"('P50549', 'P62987')"
"('Q9Y5J7', 'P62072')"
"('Q9Y5M8', 'Q9P0N5')"
"('P38398', 'Q9C0B5')"
"('Q14103', 'P83436')"
"('Q13794', 'P04198')"
"('Q96BR9', 'P51116')"
"('P48444', 'P35606')"
"('Q96LD1', 'Q13326')"
"('Q15008', 'P60896')"
"('O94875', 'Q13153')"
"('Q92769', 'P06899')"
"('P06748', 'Q14684')"
"('O95835', 'P01106')"
"('Q9H9T3', 'Q9Y3D0')"
"('Q13398', 'Q14592')"
"('P09874', 'Q9P2D1')"
"('Q14999', 'O75390')"
"('Q32P28', 'P37840')"
"('Q8NHQ1', 'Q8TAU3')"
"('P68371', 'Q8IYT4')"
"('Q8IWL3', 'P56182')"
"('Q9Y6K9', 'O75604')"
"('Q14192', 'Q9NYN1')"
"('Q9UKK6', 'Q86V81')"
"('Q03518', 'P84103')"
"('P54136', 'Q13951')"
"('Q9NRC8', 'Q99848')"
"('Q8N2S1', 'P01857')"
"('Q8NHZ7', 'O95983')"
"('Q9Y230', 'Q86XP3')"
"('Q9NQL9', 'Q9BYS1')"
"('Q8IUH5', 'O60293')"
"('Q9UNH7', 'Q96S94')"
"('Q8IUQ4', 'Q9NRM7')"
"('P23396', 'P03372')"
"('P62136', 'P61962')"
"('Q9BYQ3', 'A8MQ03')"
"('O60260', 'P62249')"
"('P35637', 'P23743')"
"('Q9Y316', 'Q9BRK4')"
"('P36871', 'P07954')"
"('Q9NW61', 'P05067')"
"('Q13950', 'P01106')"
"('P35626', 'Q9Y3N9')"
"('Q14558', 'Q13418')"
"('P54829', 'O15264')"
"('P31942', 'Q32P51')"
"('Q93062', 'P86496')"
"('O75147', 'P62937')"
"('O60716', 'P22223')"
"('Q16520', 'P17535')"
"('Q9Y6Q9', 'P62195')"
"('O00459', 'P07766')"
"('Q9NSU2', 'Q9Y6H1')"
"('P60510', 'P78371')"
"('Q96GD4', 'Q9UQB9')"
"('Q8IZP2', 'Q99759')"
"('Q14689', 'O60504')"
"('Q8TBK6', 'O00505')"
"('O95835', 'P46937')"
"('O95486', 'P78318')"
"('Q8WX93', 'Q9NZQ3')"
"('Q13153', 'P63167')"
"('O00560', 'Q9H079')"
"('Q96AG4', 'Q9NPD3')"
"('Q9NQ50', 'P21912')"
"('Q9UKL0', 'Q92769')"
"('P00403', 'P36542')"
"('Q9NVP1', 'Q9H9Y6')"
"('Q15022', 'P55265')"
"('Q6AI39', 'P86480')"
"('P04629', 'Q96A33')"
"('Q13573', 'O60306')"
"('P21583', 'P07333')"
"('Q8N128', 'P51798')"
"('Q9C0C4', 'Q6A162')"
"('Q92731', 'Q9UBF2')"
"('Q9UPP1', 'Q8N884')"
"('Q9NXC2', 'P13284')"
"('Q16559', 'P25800')"
"('P55145', 'Q49AH0')"
"('Q9UQC2', 'P12931')"
"('Q8TBK6', 'Q15365')"
"('Q9UNE7', 'Q70CQ1')"
"('Q8TAU3', 'O75031')"
"('Q16540', 'P82664')"
"('Q96K58', 'Q7Z4S6')"
"('Q9GZT8', 'P35244')"
"('P60953', 'O15511')"
"('B5ME19', 'P62750')"
"('P09382', 'Q16633')"
"('Q7Z739', 'P35226')"
"('O60333', 'Q9BST9')"
"('Q96J02', 'Q8TAF3')"
"('P07204', 'P04070')"
"('P56856', 'Q9Y5I7')"
"('Q6NUN9', 'P19338')"
"('P05556', 'O00716')"
"('Q6UXH1', 'P18754')"
"('Q96L91', 'Q15326')"
"('Q9Y2I6', 'P23258')"
"('Q96H55', 'Q16539')"
"('O60739', 'P49903')"
"('Q9H492', 'O15553')"
"('Q14004', 'Q6PJ21')"
"('Q9H2A9', 'Q9Y625')"
"('P49736', 'P14174')"
"('P25391', 'P11021')"
"('P27986', 'Q15365')"
"('P04183', 'P01023')"
"('P0C7H9', 'Q0WX57')"
"('Q13557', 'P15336')"
"('Q15011', 'P12956')"
"('P40925', 'Q9H944')"
"('O60674', 'P40337')"
"('O00505', 'Q14974')"
"('Q16635', 'Q8NBK3')"
"('P34897', 'Q8IXQ3')"
"('O60673', 'P56524')"
"('Q16186', 'P28070')"
"('Q7L1Q6', 'Q14202')"
"('P62263', 'P18621')"
"('P78330', 'P10599')"
"('Q7Z7M0', 'O00555')"
"('P83916', 'Q02539')"
"('Q96DI7', 'O43395')"
"('P01100', 'P42224')"
"('O00571', 'P12830')"
"('O75146', 'Q86VU5')"
"('P06493', 'Q02539')"
"('P26367', 'O94829')"
"('P39880', 'P78334')"
"('Q96T55', 'O43402')"
"('Q8NFB2', 'P23470')"
"('P38936', 'P28328')"
"('Q7L591', 'P17707')"
"('P61020', 'Q8WYP3')"
"('Q12851', 'P45985')"
"('Q8TAZ6', 'P48230')"
"('P35225', 'P01589')"
"('P47755', 'Q4KMQ1')"
"('P09132', 'P52294')"
"('P49590', 'Q14197')"
"('O15259', 'Q14315')"
"('Q86SQ7', 'P61088')"
"('P42345', 'P62750')"
"('O43463', 'Q9Y6J0')"
"('Q6UXN9', 'Q9P0U4')"
"('Q92918', 'Q969H0')"
"('P12109', 'P07942')"
"('P03905', 'O95299')"
"('P46108', 'O14974')"
"('P0C7P0', 'Q7Z434')"
"('Q9Y3D3', 'Q96BK5')"
"('P62899', 'P38398')"
"('Q9Y6C9', 'P25705')"
"('P46940', 'Q9UMR2')"
"('O43463', 'P68431')"
"('O14647', 'Q99497')"
"('Q16665', 'P07900')"
"('P81408', 'Q8IZ07')"
"('Q16539', 'P00533')"
"('P32969', 'Q9NRC8')"
"('P22612', 'O75251')"
"('Q99496', 'P84090')"
"('Q96DZ1', 'Q13488')"
"('P43490', 'O14933')"
"('Q9NVV9', 'Q5T6S3')"
"('Q14232', 'P49703')"
"('O14965', 'Q9UKI8')"
"('O95071', 'Q9BV73')"
"('Q92542', 'Q9BSF4')"
"('P85037', 'P51610')"
"('Q96IU4', 'P29401')"
"('Q8IWV2', 'Q92905')"
"('P60331', 'Q9NUL5')"
"('Q8WXW3', 'P04629')"
"('P11441', 'P61313')"
"('O94966', 'Q9UNE7')"
"('Q14232', 'Q13126')"
"('Q13765', 'Q14203')"
"('P24530', 'P25098')"
"('Q4VCS5', 'Q9BV73')"
"('Q9Y2H1', 'Q9HCE7')"
"('Q9Y6E0', 'Q86WR7')"
"('P36894', 'O75820')"
"('Q5VU43', 'Q99459')"
"('Q86T24', 'P52292')"
"('P05787', 'P46108')"
"('Q9NYG5', 'O15162')"
"('Q8IYA6', 'Q8N0Z3')"
"('Q13277', 'P52298')"
"('P59991', 'Q9UK58')"
"('Q9BY76', 'Q9GZX7')"
"('O15392', 'Q71DI3')"
"('Q6ZYL4', 'P28715')"
"('Q86TJ2', 'Q9Y6J9')"
"('P19320', 'O75694')"
"('Q12778', 'Q16822')"
"('P60900', 'Q0PNE2')"
"('O15085', 'P55157')"
"('P08238', 'Q9BQ70')"
"('Q96EP1', 'Q92769')"
"('P12980', 'Q6ZUT1')"
"('Q14627', 'Q92731')"
"('P63010', 'Q15287')"
"('P06576', 'P10109')"
"('Q14145', 'Q9Y3R4')"
"('A1YPR0', 'Q99459')"
"('P40189', 'P29597')"
"('P03372', 'Q96BR1')"
"('P49757', 'P47755')"
"('Q9ULX9', 'Q16656')"
"('P18146', 'P49915')"
"('Q9UKB1', 'O60343')"
"('Q96JM3', 'P61956')"
"('Q13547', 'Q53T94')"
"('P01225', 'P50406')"
"('P62140', 'P49427')"
"('Q15349', 'Q9UQK1')"
"('P05412', 'P27348')"
"('Q9BRX9', 'Q92754')"
"('Q96E29', 'Q8IXZ2')"
"('Q7Z7A1', 'Q8WWK9')"
"('O95631', 'Q6UXZ4')"
"('Q8IZP0', 'P06241')"
"('P57059', 'O43318')"
"('Q8IXH7', 'P20674')"
"('Q9UM13', 'O60906')"
"('Q96PU4', 'Q00534')"
"('Q06455', 'P15923')"
"('P11441', 'P07437')"
"('Q9H190', 'Q5HYN5')"
"('Q15717', 'P19086')"
"('P83731', 'O95793')"
"('Q14161', 'O15085')"
"('Q9NY65', 'P32121')"
"('P46527', 'Q9UKX7')"
"('Q12815', 'Q13627')"
"('Q9GZY8', 'Q9NUL7')"
"('P25205', 'O95251')"
"('Q9NQW6', 'P27482')"
"('P63208', 'Q8TF61')"
"('P05161', 'P34932')"
"('Q9BSJ8', 'P15927')"
"('P63261', 'Q05639')"
"('P98171', 'Q9Y6N7')"
"('Q8IXL6', 'Q9H5J8')"
"('Q9BUJ2', 'P07093')"
"('O95714', 'P02794')"
"('O95619', 'Q15468')"
"('Q8WZ42', 'Q9H2C0')"
"('Q16082', 'P13533')"
"('P62987', 'Q8IXI2')"
"('P41227', 'P50222')"
"('O75947', 'Q9H0W5')"
"('Q9NWS9', 'Q6ZWI9')"
"('P14373', 'Q7Z3S9')"
"('P20138', 'Q15323')"
"('Q8NEN9', 'Q15717')"
"('Q16881', 'Q9NTK5')"
"('Q9UBK9', 'P62136')"
"('P38936', 'Q09028')"
"('Q99684', 'P10242')"
"('Q9UIV1', 'Q8NDV7')"
"('Q9NXB0', 'Q9UPQ9')"
"('P83731', 'P60033')"
"('P60520', 'Q92843')"
"('Q6P1N9', 'A1X283')"
"('Q7Z3Y8', 'O15482')"
"('Q9NR50', 'P32249')"
"('Q8TCT1', 'Q9UQ80')"
"('Q04837', 'Q12906')"
"('P49642', 'P13010')"
"('A1L4K1', 'Q969G3')"
"('P62899', 'Q08211')"
"('Q8NB25', 'Q9Y2J4')"
"('Q09028', 'Q9BSJ6')"
"('P42679', 'Q38SD2')"
"('Q08554', 'P46108')"
"('Q9UNH6', 'Q6QNY1')"
"('P05412', 'Q8N1L9')"
"('P01040', 'P15923')"
"('Q14119', 'Q15717')"
"('Q96DR5', 'P43631')"
"('O00410', 'O95373')"
"('Q9BT92', 'P07954')"
"('Q9NZ43', 'P05067')"
"('P46109', 'P28906')"
"('Q6P4H8', 'P50222')"
"('P61326', 'Q9P127')"
"('P40763', 'Q6IA86')"
"('O43837', 'Q99700')"
"('P04626', 'P14625')"
"('Q8N488', 'Q15717')"
"('P05362', 'P22090')"
"('O95863', 'O15194')"
"('Q9UKV8', 'P07900')"
"('P42224', 'P42574')"
"('P30872', 'Q13424')"
"('P35269', 'Q9NPJ6')"
"('O95503', 'Q8N9V7')"
"('O75386', 'O14983')"
"('Q9Y3E0', 'Q9UI12')"
"('Q14203', 'Q8WU90')"
"('Q96RQ3', 'Q9HCC0')"
"('Q9BYC5', 'Q9BX97')"
"('Q07912', 'Q969R8')"
"('Q9BT25', 'Q9UQ16')"
"('P47756', 'Q96S82')"
"('O00463', 'O95551')"
"('P62913', 'P46776')"
"('P61158', 'Q92747')"
"('Q02127', 'P02795')"
"('P19022', 'P04626')"
"('Q9Y446', 'P05783')"
"('Q9H0R8', 'P61313')"
"('Q13501', 'Q13111')"
"('P04141', 'Q13261')"
"('Q13882', 'P00533')"
"('Q9UI15', 'P50395')"
"('Q8N8Y2', 'Q2NL68')"
"('P04637', 'P49841')"
"('Q9NX01', 'Q9ULX3')"
"('P24593', 'Q13642')"
"('P00533', 'Q16891')"
"('P62829', 'Q5MIZ7')"
"('Q9P2H0', 'P82932')"
"('P0DME0', 'P15923')"
"('Q9NZ63', 'Q15759')"
"('Q701N4', 'Q14982')"
"('Q86VN1', 'Q15717')"
"('Q15173', 'Q9BXT2')"
"('P08236', 'Q14161')"
"('P27361', 'P14784')"
"('O14640', 'P25054')"
"('Q8WUF5', 'P06493')"
"('Q92643', 'Q96S52')"
"('Q9UHI6', 'Q9NY27')"
"('P62258', 'Q9NPF2')"
"('P60520', 'Q07020')"
"('P07864', 'P37837')"
"('P08311', 'Q9NRD5')"
"('O43929', 'Q9ULD2')"
"('O60313', 'O00115')"
"('O75925', 'P10275')"
"('P26045', 'Q9P2D3')"
"('Q7L2J0', 'P36507')"
"('Q92643', 'Q9BZM5')"
"('O14610', 'O00459')"
"('O14607', 'Q04725')"
"('Q8N3L3', 'Q8TC20')"
"('Q8IXQ5', 'Q9UKX7')"
"('P22087', 'Q3ZCM7')"
"('Q5TA89', 'Q96EB6')"
"('P28749', 'Q9BUH8')"
"('O43749', 'P38405')"
"('Q9UKL0', 'P20749')"
"('Q7Z3S9', 'P23280')"
"('P26358', 'P67870')"
"('O00267', 'O15078')"
"('P11142', 'P13639')"
"('Q12933', 'Q13572')"
"('P04406', 'P05412')"
"('O75953', 'P56524')"
"('Q06547', 'P61968')"
"('Q9H2C0', 'P36578')"
"('O14980', 'Q96AP0')"
"('P35052', 'P16284')"
"('Q9GZK3', 'Q9P2W3')"
"('Q14691', 'Q96GE4')"
"('P29371', 'P20366')"
"('Q15020', 'Q4VCS5')"
"('Q04864', 'Q9UL33')"
"('P62736', 'P17931')"
"('P29508', 'Q9UMR2')"
"('Q14919', 'Q14315')"
"('Q99963', 'Q8N2W9')"
"('P41219', 'P35900')"
"('Q9UKX7', 'O60942')"
"('P49674', 'Q9BZL6')"
"('Q8WWM7', 'P04629')"
"('Q96PX6', 'P51955')"
"('Q96ER9', 'O75208')"
"('P61086', 'Q6UXS9')"
"('Q96K21', 'P49459')"
"('Q86YD7', 'Q08043')"
"('P16401', 'P05771')"
"('Q96K21', 'Q99614')"
"('Q16531', 'A6NK89')"
"('Q86X53', 'Q01844')"
"('Q9H204', 'Q9NVC6')"
"('O43422', 'O75410')"
"('Q9UKL0', 'Q9UHJ3')"
"('P52272', 'Q13573')"
"('P05067', 'Q9P0P8')"
"('O75474', 'P01111')"
"('Q9UN19', 'Q9H2F3')"
"('P61019', 'Q9P2R7')"
"('P01588', 'P06400')"
"('Q8TAC9', 'Q12846')"
"('Q8IXM3', 'Q4U2R6')"
"('O94966', 'Q96I99')"
"('Q9Y244', 'P60900')"
"('P09936', 'P56537')"
"('Q13555', 'P18848')"
"('O43524', 'Q16665')"
"('P62993', 'Q92928')"
"('P29350', 'Q8WV28')"
"('P18887', 'Q8IVT5')"
"('P62847', 'Q9Y2X3')"
"('P01571', 'P48357')"
"('P62195', 'P13631')"
"('Q8IXW5', 'Q9NRZ9')"
"('P13805', 'Q13595')"
"('O95071', 'Q96GD4')"
"('O75563', 'Q86WV1')"
"('P11142', 'Q30154')"
"('Q9BT43', 'P50221')"
"('Q68CZ1', 'Q92878')"
"('Q96DV4', 'Q9NQW6')"
"('Q9NRF2', 'Q9Y600')"
"('B0I1T2', 'P02786')"
"('Q9BUL9', 'P06748')"
"('Q96J02', 'Q15303')"
"('P60410', 'Q96HD9')"
"('Q53S58', 'P22234')"
"('Q9H8V3', 'Q8N302')"
"('Q99576', 'O94776')"
"('P18206', 'Q99578')"
"('P35579', 'O43707')"
"('P63279', 'O60739')"
"('Q13438', 'Q96CS3')"
"('Q8N5S1', 'O75781')"
"('P01112', 'Q9UHC1')"
"('Q9NPL8', 'O75208')"
"('Q9BYD3', 'Q96S59')"
"('Q9Y248', 'Q9UNS1')"
"('P51114', 'Q9NYF8')"
"('Q02156', 'O14649')"
"('P78509', 'Q13797')"
"('Q9UK99', 'P07900')"
"('P21980', 'Q9UHY7')"
"('Q13952', 'Q9BR76')"
"('P01889', 'Q9BRY0')"
"('P61218', 'Q9UL19')"
"('P17844', 'O75478')"
"('Q9NQ11', 'P25929')"
"('Q9Y512', 'P52272')"
"('Q07157', 'P00533')"
"('Q13887', 'Q09472')"
"('A0AVT1', 'P06865')"
"('P12956', 'Q86WJ1')"
"('Q9P107', 'Q07890')"
"('Q9Y376', 'Q9H9S4')"
"('Q9H8W4', 'Q9UKJ5')"
"('P35222', 'Q969H0')"
"('Q9UBU9', 'O95166')"
"('Q9HDD0', 'P05067')"
"('P48637', 'P26038')"
"('Q8TC07', 'Q8IWL3')"
"('Q9NRW7', 'Q9Y2I6')"
"('Q9UNX3', 'P15880')"
"('Q9NQ92', 'Q01196')"
"('O96014', 'Q9ULW2')"
"('P08670', 'O95433')"
"('P84996', 'Q5JWF2')"
"('Q659A1', 'Q9Y2F5')"
"('A6NKD9', 'Q5BJF6')"
"('Q9UBN7', 'Q7Z2G1')"
"('Q6IQ23', 'Q15717')"
"('Q07020', 'P41252')"
"('O00459', 'P42229')"
"('P22059', 'O95218')"
"('Q9NRH3', 'Q9UGJ1')"
"('Q8TDM6', 'P36897')"
"('Q8TCT1', 'P01911')"
"('P63165', 'Q15916')"
"('Q6YP21', 'P47224')"
"('Q08AD1', 'O60307')"
"('P60328', 'P51504')"
"('P13611', 'P10915')"
"('Q6NTF9', 'P49917')"
"('P24941', 'P17812')"
"('Q9H0D6', 'P34897')"
"('Q9H3G5', 'P68431')"
"('Q13501', 'P27361')"
"('P62330', 'P37837')"
"('Q13618', 'Q9P2K6')"
"('Q92667', 'P05067')"
"('P19086', 'P31948')"
"('P78371', 'Q9UPM9')"
"('Q13895', 'Q12933')"
"('Q96CW5', 'Q7Z7A1')"
"('Q92636', 'P50991')"
"('Q96IK5', 'Q9UJV3')"
"('P48729', 'P37840')"
"('Q6FHJ7', 'Q9H461')"
"('Q9NZJ6', 'Q5HYK3')"
"('P10767', 'P16234')"
"('Q9P2S5', 'P78371')"
"('Q9BUZ4', 'Q9UBP5')"
"('P52789', 'O43684')"
"('Q6UWZ7', 'P61956')"
"('Q01094', 'Q9UNS1')"
"('Q9P244', 'Q9BZ23')"
"('Q96ST3', 'Q13127')"
"('P32121', 'P49407')"
"('Q96EB6', 'Q04206')"
"('Q9NQT8', 'Q9HCD6')"
"('P84103', 'Q92905')"
"('O60729', 'Q9UJX6')"
"('Q8IVF5', 'Q9HBH0')"
"('O95271', 'O60547')"
"('Q9UGI0', 'Q96EZ8')"
"('P62195', 'Q15008')"
"('P47755', 'Q9NYZ3')"
"('P05362', 'P08195')"
"('Q92783', 'O95630')"
"('Q96P56', 'Q9P0X4')"
"('Q9UHD9', 'P09651')"
"('P17252', 'Q04206')"
"('Q86UT8', 'Q96JK2')"
"('P29317', 'Q8N5V2')"
"('P46781', 'P62891')"
"('Q9BW60', 'Q9HCE1')"
"('P29375', 'Q96QT6')"
"('Q9UPQ3', 'Q86SQ0')"
"('O43172', 'P49759')"
"('Q15717', 'Q9Y388')"
"('Q9Y4G8', 'Q02978')"
"('Q14164', 'P62899')"
"('Q9UBX2', 'P55060')"
"('P05388', 'Q6IQ23')"
"('P12004', 'P11171')"
"('Q8WVT3', 'Q53EZ4')"
"('Q24JQ0', 'Q15717')"
"('Q15717', 'Q13748')"
"('Q8N2W9', 'P12268')"
"('O77932', 'Q96C12')"
"('P54136', 'P07437')"
"('P09017', 'Q9BZ95')"
"('P13612', 'P60842')"
"('P11142', 'P49642')"
"('Q8IYR0', 'Q8N6K7')"
"('P53778', 'P54274')"
"('Q9Y4K3', 'P43686')"
"('P19838', 'Q00653')"
"('Q00535', 'P48643')"
"('Q9ULK4', 'P78545')"
"('O43707', 'P20929')"
"('P06241', 'P12318')"
"('Q3YEC7', 'P19105')"
"('Q9UH99', 'P60842')"
"('Q9BYD2', 'Q8N983')"
"('Q66K64', 'Q9UDY2')"
"('Q9Y385', 'Q9H3K2')"
"('O95757', 'Q99543')"
"('P86480', 'P52655')"
"('Q9Y6A9', 'Q96GX1')"
"('O95817', 'Q9UJ72')"
"('P23468', 'P00533')"
"('Q86W92', 'P63104')"
"('O75880', 'O75251')"
"('Q09472', 'Q9GZR7')"
"('P84103', 'Q92616')"
"('O15085', 'Q96FX7')"
"('Q8NFB2', 'Q6P9B6')"
"('Q04609', 'P23396')"
"('P46934', 'P11137')"
"('Q9Y520', 'P19320')"
"('P31274', 'Q13287')"
"('P23297', 'P17302')"
"('Q13133', 'Q9NX61')"
"('P15927', 'Q07666')"
"('P63244', 'P62241')"
"('Q8IVT5', 'Q9NUL3')"
"('Q9Y5Q9', 'P24928')"
"('Q13177', 'P00505')"
"('Q16543', 'Q9Y383')"
"('P18583', 'Q9UMS4')"
"('Q9BU64', 'Q9Y4C4')"
"('Q8NI60', 'Q9NS64')"
"('Q6VAB6', 'P31942')"
"('P52272', 'Q96HC4')"
"('Q86XZ4', 'O14980')"
"('O95926', 'Q9H9S0')"
"('O14558', 'Q6ZT12')"
"('Q96GX1', 'Q9H490')"
"('P43355', 'O15151')"
"('P05060', 'Q53HC0')"
"('Q92610', 'P05412')"
"('P63104', 'P30793')"
"('Q13561', 'P04629')"
"('Q7L273', 'P29972')"
"('Q8IYF1', 'Q9BQD3')"
"('P62136', 'Q00604')"
"('P20648', 'O15127')"
"('Q9NZM5', 'Q15397')"
"('P62736', 'Q96H35')"
"('P26641', 'P51991')"
"('Q13492', 'P47755')"
"('P49715', 'Q9UPN3')"
"('P11021', 'Q13501')"
"('Q9BZD4', 'O14777')"
"('Q96AJ1', 'Q9NWB7')"
"('Q03111', 'P52815')"
"('Q86V81', 'P62861')"
"('Q9NY97', 'P19021')"
"('Q96LI5', 'Q5TC82')"
"('P63220', 'P62851')"
"('Q9BYQ3', 'Q7Z3S9')"
"('Q7Z6Z7', 'Q9BX40')"
"('Q93079', 'Q92769')"
"('Q9H0U6', 'P62753')"
"('Q9Y623', 'Q9BSB4')"
"('Q9BWH6', 'Q96KR1')"
"('Q86WV6', 'Q15043')"
"('Q14738', 'Q92736')"
"('Q9UJA5', 'O95801')"
"('P63172', 'Q9ULT8')"
"('C9JR72', 'Q13618')"
"('P12111', 'Q05397')"
"('P52597', 'Q15637')"
"('O00567', 'P62829')"
"('P11532', 'O14980')"
"('P06400', 'P42167')"
"('Q02543', 'Q9Y2X3')"
"('Q96T60', 'Q9C0C9')"
"('P01579', 'P23458')"
"('O94913', 'Q8IYB3')"
"('P17661', 'P08670')"
"('P61978', 'P67936')"
"('P05107', 'Q92569')"
"('Q969F1', 'Q8WUA4')"
"('Q9BRX9', 'Q68CZ1')"
"('P48668', 'P08727')"
"('P28066', 'Q9UNM6')"
"('P04637', 'P27348')"
"('P38919', 'Q14498')"
"('O60232', 'Q70CQ2')"
"('P84090', 'A8MQ03')"
"('Q9UBL3', 'Q6DN03')"
"('P30480', 'P13797')"
"('Q86TI0', 'Q01973')"
"('Q9P2P5', 'Q16610')"
"('Q96RI0', 'P63092')"
"('P62241', 'Q96CW5')"
"('P63165', 'P46937')"
"('P18085', 'Q6P1J9')"
"('O43294', 'Q16082')"
"('Q8WUY3', 'Q9BY44')"
"('P05067', 'Q01362')"
"('P10721', 'O14544')"
"('Q6A162', 'O43167')"
"('Q9NRX1', 'P35544')"
"('Q16643', 'Q92614')"
"('Q9NPI6', 'Q02750')"
"('P28072', 'O15344')"
"('O60333', 'Q9Y580')"
"('Q9P0W0', 'Q9UHF4')"
"('Q9UBU3', 'P30542')"
"('Q9ULW0', 'Q9H0E3')"
"('P50222', 'Q8N5U6')"
"('P58546', 'Q04206')"
"('P01116', 'P62273')"
"('P69905', 'P69892')"
"('Q96FF9', 'Q01844')"
"('P12931', 'Q9Y2X7')"
"('P15918', 'P26583')"
"('Q92831', 'P14921')"
