negatives
"('O15169', 'P25054')"
"('Q9NZ01', 'O43889')"
"('P11021', 'Q8IXQ9')"
"('Q9BQE3', 'P04843')"
"('P16104', 'Q8TF46')"
"('Q13555', 'P46940')"
"('Q96HJ9', 'P24539')"
"('Q86XP3', 'O75147')"
"('P19784', 'Q9C005')"
"('Q9NWT6', 'Q15717')"
"('Q7L2Z9', 'O60341')"
"('P48729', 'Q9Y2B4')"
"('P04035', 'Q15884')"
"('P28340', 'P05060')"
"('Q13153', 'Q13177')"
"('Q9UHV9', 'P04792')"
"('P51116', 'Q15393')"
"('P04114', 'O75364')"
"('O15226', 'P41218')"
"('P51843', 'P06401')"
"('P60660', 'P01889')"
"('Q9Y3A2', 'Q9Y3B9')"
"('O00231', 'Q15262')"
"('Q9GZM7', 'P04278')"
"('P40692', 'Q15008')"
"('Q9NWF9', 'Q9Y3C5')"
"('Q8IYT4', 'Q9BUF5')"
"('Q12772', 'Q6H8Q1')"
"('Q99784', 'Q9UKZ9')"
"('Q99741', 'Q7Z6Z7')"
"('Q9UBU9', 'P35573')"
"('O95139', 'O95298')"
"('P09651', 'Q13617')"
"('Q13087', 'Q14240')"
"('P01100', 'P17535')"
"('Q9NWB1', 'Q9BRK4')"
"('Q8N357', 'P05091')"
"('Q12799', 'P05067')"
"('Q13247', 'Q14684')"
"('O43823', 'O00716')"
"('P52435', 'Q00403')"
"('P02751', 'P02452')"
"('P0DMV9', 'P61981')"
"('Q02880', 'Q9P2Y5')"
"('Q9HC21', 'Q9HCE1')"
"('Q9BZ95', 'O95391')"
"('Q9Y297', 'P35226')"
"('P27986', 'Q9Y5X2')"
"('Q96G79', 'Q9UKG4')"
"('Q86TM6', 'Q9UBU6')"
"('Q9H3S7', 'O14965')"
"('Q9UNK0', 'Q96MG2')"
"('Q9Y376', 'Q7Z4W1')"
"('P33992', 'P20671')"
"('Q16531', 'Q9H496')"
"('P00519', 'P02686')"
"('P84098', 'P63104')"
"('Q14690', 'P05109')"
"('O14929', 'Q16695')"
"('Q8IUC1', 'Q9BYR5')"
"('P20908', 'P01127')"
"('Q99496', 'P35321')"
"('Q99496', 'P05067')"
"('Q9BRK4', 'Q9BWG6')"
"('Q9Y6K9', 'P33993')"
"('Q9BYV2', 'P55081')"
"('O95835', 'Q96BX8')"
"('Q5VT06', 'O60308')"
"('P35232', 'Q9UKV8')"
"('P18669', 'P04406')"
"('Q9NYG5', 'Q5VVX9')"
"('Q13813', 'O15020')"
"('P78344', 'O14727')"
"('Q9BWH6', 'Q9H1A4')"
"('O00327', 'Q4V328')"
"('Q9Y4E8', 'O43395')"
"('Q13085', 'Q8TF42')"
"('Q9BYG3', 'O15226')"
"('P62487', 'Q7Z3S9')"
"('Q6XQN6', 'Q9UI30')"
"('Q99732', 'Q9UHD9')"
"('P51532', 'Q12824')"
"('Q71U36', 'P05412')"
"('P37837', 'Q5JS54')"
"('Q15424', 'Q96SB4')"
"('Q96S53', 'P30307')"
"('Q15545', 'P01848')"
"('Q15717', 'Q14CB8')"
"('P25942', 'P24394')"
"('Q13618', 'Q7KZF4')"
"('P19525', 'O14862')"
"('Q96EE3', 'O75694')"
"('P22307', 'O43615')"
"('P07203', 'P21673')"
"('P00390', 'P00338')"
"('Q9C026', 'Q7Z4K8')"
"('Q9UJW9', 'Q99608')"
"('Q9NYR9', 'P26367')"
"('Q8NHW5', 'P62753')"
"('Q9BRK4', 'O00463')"
"('Q13242', 'A6NIH7')"
"('Q96IT1', 'Q969J2')"
"('O75695', 'Q16881')"
"('P25787', 'O00487')"
"('P28566', 'P50151')"
"('O43257', 'A8MQ03')"
"('Q12846', 'P54920')"
"('O95817', 'P54819')"
"('O75031', 'Q13573')"
"('P34810', 'Q5HYI7')"
"('Q9Y6J9', 'Q16531')"
"('P63244', 'Q13617')"
"('P45973', 'Q9BXL5')"
"('P48681', 'Q5T3I0')"
"('Q92905', 'P60842')"
"('P01889', 'P43355')"
"('Q16531', 'Q8WUM0')"
"('P55010', 'P11413')"
"('Q8TBE0', 'Q13185')"
"('Q96FW1', 'P51572')"
"('Q9HA38', 'P62736')"
"('Q9NVW2', 'Q8N448')"
"('Q9NRM7', 'Q96C92')"
"('O14949', 'P51149')"
"('P49407', 'Q8NGT7')"
"('Q13867', 'Q9Y2K1')"
"('O95347', 'Q49AN0')"
"('O14965', 'P17480')"
"('Q13506', 'Q9HC77')"
"('O94761', 'P06746')"
"('Q9H2C0', 'Q99426')"
"('Q7Z3T1', 'Q9P2W3')"
"('Q99496', 'P62987')"
"('Q14186', 'Q5TKA1')"
"('Q96GC5', 'Q13148')"
"('Q9NQZ2', 'P21246')"
"('Q96L46', 'P20810')"
"('Q9BUJ2', 'Q15154')"
"('Q9Y3C7', 'O60244')"
"('Q9BYQ4', 'P54619')"
"('O95810', 'O75364')"
"('Q9NX04', 'O14980')"
"('Q93075', 'Q03405')"
"('Q14653', 'P29965')"
"('Q9HC36', 'P05067')"
"('P10720', 'P51685')"
"('P08047', 'Q02742')"
"('P05023', 'P55884')"
"('Q9UNL4', 'P68431')"
"('O95684', 'Q68DQ2')"
"('P28074', 'Q99460')"
"('P62714', 'P36404')"
"('P22694', 'Q8NGY0')"
"('O43889', 'Q9NZ01')"
