negatives
"('Q9Y6J0', 'P62158')"
"('P05783', 'P31947')"
"('P50552', 'P18206')"
"('Q12986', 'Q07955')"
"('P35626', 'Q8WZ92')"
"('Q9NZC7', 'Q16630')"
"('Q99496', 'Q15819')"
"('P48551', 'P01569')"
"('P00533', 'Q6S5L8')"
"('Q13287', 'O75971')"
"('Q92574', 'Q16539')"
"('Q14469', 'Q96EB6')"
"('O43318', 'P27361')"
"('Q155Q3', 'Q92997')"
"('P55010', 'Q99613')"
"('P41970', 'P16333')"
"('P22301', 'Q13568')"
"('Q9NPF5', 'Q9NXR8')"
"('P00488', 'P02679')"
"('P05026', 'P00533')"
"('Q13114', 'P36941')"
"('Q14289', 'P46108')"
"('Q03701', 'P30519')"
"('O60508', 'Q13243')"
"('P27986', 'Q92569')"
"('Q92905', 'P22087')"
"('P07949', 'P12931')"
"('Q92841', 'Q12913')"
"('Q04206', 'Q13748')"
"('Q9BXA5', 'P08754')"
"('Q13547', 'Q03181')"
"('Q96CW1', 'P53680')"
"('P47813', 'P56537')"
"('P24941', 'Q8NHZ8')"
"('P18433', 'P12931')"
"('O75626', 'O00478')"
"('O15552', 'P08754')"
"('Q32P44', 'P27348')"
"('P26641', 'P20827')"
"('Q9NZC7', 'O75533')"
"('Q9Y2I7', 'Q08AM6')"
"('P20908', 'P18084')"
"('Q13191', 'P05783')"
"('P08754', 'Q9HAV0')"
"('Q15572', 'P04637')"
"('O60262', 'P27361')"
"('Q9Y262', 'Q9HC24')"
"('P62158', 'Q92731')"
"('Q9Y4B6', 'Q8IY92')"
"('Q9BQ66', 'Q8WV24')"
"('P23508', 'P46926')"
"('P09693', 'P42338')"
"('Q13261', 'P52333')"
"('P30559', 'Q8WXS5')"
"('Q15848', 'Q86V24')"
"('O43242', 'P01106')"
"('Q9H6Z9', 'Q16665')"
"('Q7Z6G3', 'Q8N5R6')"
"('Q13485', 'Q02078')"
"('P49588', 'P63104')"
"('P48736', 'P54709')"
"('O60814', 'Q96RL1')"
"('Q13748', 'O14920')"
"('P62714', 'P30153')"
"('P49407', 'P21333')"
"('Q9UPN3', 'Q6VMQ6')"
"('Q9HBA0', 'P06241')"
"('Q96BK5', 'P37802')"
"('Q16526', 'Q99743')"
"('P07900', 'P04049')"
"('P30519', 'Q09028')"
"('Q16543', 'Q9HCD5')"
"('P53350', 'Q00987')"
"('P26599', 'Q9NX70')"
"('Q9NRH2', 'Q15831')"
"('Q15008', 'O00141')"
"('Q13526', 'P84022')"
"('O60941', 'Q96A04')"
"('P05556', 'O43493')"
"('O00329', 'P54709')"
"('P00533', 'P11279')"
"('P31943', 'Q5VVJ2')"
"('Q15428', 'P17844')"
"('Q8IY57', 'P35226')"
"('Q02878', 'P62913')"
"('P98177', 'Q08999')"
"('P63244', 'P18206')"
"('O95863', 'Q04206')"
"('Q86UD4', 'P84022')"
"('Q5TA89', 'Q92858')"
"('Q9Y478', 'Q16543')"
"('P14635', 'Q13635')"
"('P61769', 'P04222')"
"('406971', 'O00716')"
"('Q13541', 'P08238')"
"('O00487', 'P62195')"
"('P12318', 'P05771')"
"('P31751', 'Q99683')"
"('Q13315', 'Q02818')"
"('P26639', 'Q92597')"
"('P60709', 'P07437')"
"('Q9NT62', 'Q9H492')"
"('A4D0S4', 'Q7L0J3')"
"('O14576', 'P07437')"
"('P28702', 'P10826')"
"('Q13698', 'P63104')"
"('O14492', 'O60674')"
"('Q969G2', 'P01225')"
"('P57075', 'O60260')"
"('Q9H0H5', 'P00533')"
"('Q8N5C8', 'Q96EX3')"
"('Q07812', 'Q92934')"
"('P49755', 'Q9NZ42')"
"('Q9UK08', 'Q08462')"
"('P08579', 'P30480')"
"('Q15699', 'O94829')"
"('P62273', 'P23396')"
"('Q13547', 'Q01362')"
"('P62851', 'P46782')"
"('Q9BUN8', 'P02768')"
"('Q00005', 'Q8NDX1')"
"('P62879', 'Q9NQ66')"
"('407054', 'O75896')"
"('P62805', 'Q71DI3')"
"('P51617', 'Q15654')"
"('P07900', 'Q15653')"
"('Q13885', 'Q13748')"
"('P04637', 'Q9Y6P5')"
"('P01583', 'Q9NPH3')"
"('P08631', 'Q9Y3L3')"
"('P53567', '145781')"
"('Q9ULU4', 'P05771')"
"('Q96BA8', 'Q8TEY5')"
"('P52434', 'Q9NVU0')"
"('P37840', 'P49841')"
"('Q15642', 'P23528')"
"('O60262', 'Q15759')"
"('P20929', 'P25054')"
"('P11279', 'P00533')"
"('P35612', 'P06241')"
"('Q9P287', 'P56545')"
"('P21730', 'P39019')"
"('P12236', 'P16104')"
"('O15085', 'P46108')"
"('P61952', 'Q9HCE7')"
"('P08833', 'P04150')"
"('Q93009', 'O43524')"
"('Q9UKY1', 'Q9H4I2')"
"('P0C0S5', 'Q8N257')"
"('Q86XK2', 'P61604')"
"('P84022', 'P26368')"
"('Q9H254', 'Q9NRI5')"
"('O75167', 'P12931')"
"('O00422', 'P04844')"
"('P62136', 'P28482')"
"('P06756', 'P17301')"
"('Q8IWV1', 'P27986')"
"('O75925', 'P38398')"
"('Q8N2W9', 'Q13426')"
"('P05060', 'P22607')"
"('P01111', 'Q13322')"
"('Q9P1U1', 'Q9NR96')"
"('Q14766', 'P02751')"
"('P98175', 'P26368')"
"('Q8WXH5', 'Q14765')"
"('P13232', 'Q6UXL0')"
"('P08729', 'P05787')"
"('Q9NZL6', 'P98160')"
"('Q7KZI7', 'P31947')"
"('Q6ZUM4', 'Q8IXI1')"
"('P43405', 'P19438')"
"('Q9P286', 'P46734')"
"('Q07869', 'P06858')"
"('O60232', 'P01889')"
"('Q969T4', 'O76064')"
"('P51991', 'Q8IYB3')"
"('Q5SZQ8', 'Q04724')"
"('Q99942', 'Q9Y2X8')"
"('P51784', 'Q9Y4E8')"
"('P27540', 'A9YTQ3')"
"('P98095', 'O14981')"
"('Q10586', 'P38398')"
"('P04183', 'P31150')"
"('P49790', 'P02545')"
"('P52565', 'Q15669')"
"('Q16512', 'Q96B18')"
"('Q14533', 'Q00005')"
"('P25490', 'P60709')"
"('Q9Y4A5', 'Q9NXR8')"
"('P98095', 'P32969')"
"('Q9NTJ3', 'Q13573')"
"('P48552', 'P13631')"
"('P15884', 'Q02535')"
"('Q16828', 'P45983')"
"('O95248', 'O14788')"
"('Q9NP58', 'Q9H0E2')"
"('P22612', 'P60510')"
"('P62837', 'Q68DV7')"
"('P21583', 'P35968')"
"('P50395', 'Q969Q5')"
"('P12956', 'Q9UL18')"
"('Q9NWV8', 'Q13573')"
"('Q05209', 'Q9UQ72')"
"('P31689', 'O00422')"
"('P25105', 'P29597')"
"('Q9P0P0', 'Q9Y2X8')"
"('Q9NWA0', 'P52435')"
"('O43913', 'Q99741')"
"('Q9UII5', 'O15105')"
"('O14933', 'Q9ULK6')"
"('P50570', 'Q05516')"
"('P28074', 'P25788')"
"('Q96BK5', 'P47813')"
"('Q9UM73', 'Q14573')"
"('O94864', 'Q92830')"
"('P04179', 'O43353')"
"('Q13148', 'P07942')"
"('Q9BZL6', 'P62834')"
"('P62993', 'Q8WUM4')"
"('O00590', 'Q99731')"
"('Q96R06', 'P54259')"
"('O60292', 'P31947')"
"('Q8NGA6', 'P38405')"
"('Q17RW2', 'P06756')"
"('Q9H4M9', 'Q99459')"
"('P26038', 'Q14164')"
"('Q9BYE7', 'Q9Y478')"
"('P08575', 'P09619')"
"('P53804', 'Q6VMQ6')"
"('P18206', 'Q9NYB9')"
"('Q01196', 'Q99706')"
"('Q5MJ70', 'P24941')"
"('O95163', 'Q9UBS4')"
"('Q13315', 'Q9Y4B4')"
"('Q9NX58', 'Q14011')"
"('P18031', 'O43561')"
"('P49674', 'Q9H4H8')"
"('Q8IZJ0', 'Q9HC73')"
"('Q13257', 'Q562F6')"
"('P07996', 'Q15717')"
"('P40855', 'Q01453')"
"('Q08881', 'P62993')"
"('Q14164', 'Q9HC38')"
"('O60216', 'O43521')"
"('P53355', 'Q9Y490')"
"('P62834', 'P46734')"
"('P62249', 'P25398')"
"('Q13185', 'Q13263')"
"('O75843', 'P56377')"
"('O15085', 'P61586')"
"('Q14790', 'Q7Z434')"
"('P01570', 'Q14626')"
"('P19021', 'O60229')"
"('Q14185', 'P16333')"
"('O75448', 'Q15796')"
"('P35813', 'Q562F6')"
"('P05412', 'P35222')"
"('P18124', 'P22736')"
"('P01569', 'Q99062')"
"('Q14145', 'Q16236')"
"('P39748', 'P52565')"
"('P01106', 'O43823')"
"('Q8NGI2', 'P38405')"
"('P17612', 'Q9UD71')"
"('Q14978', 'A0JLT2')"
"('Q9NR33', 'Q05086')"
"('Q13557', 'P31948')"
"('P18146', 'Q9Y6K9')"
"('O60762', 'Q9P2X0')"
"('Q01538', 'Q13526')"
"('P20073', 'P29400')"
"('Q15853', 'P29508')"
"('Q9H8W4', 'Q9UKJ5')"
"('Q92620', 'O60231')"
"('P01857', 'P02647')"
"('P05412', 'P16083')"
"('P13804', 'Q14197')"
"('Q9P0M6', 'Q9Y5B9')"
"('Q9UNL4', 'Q6IE81')"
"('Q9Y2J2', 'O00182')"
"('Q03519', 'P17693')"
"('406890', 'P01111')"
"('P10912', 'P46108')"
"('P04049', 'Q13362')"
"('P40337', 'P58546')"
"('Q9Y271', 'O95837')"
"('Q8NEB9', 'P10415')"
"('P13747', 'Q96I34')"
"('P31947', 'Q12774')"
"('P26367', 'O15162')"
"('O95402', 'P24928')"
"('Q08211', 'Q9UBU9')"
"('P10412', 'Q96EB6')"
"('P51690', 'Q99608')"
"('Q9UDY2', 'Q8N7P3')"
"('Q8IWZ8', 'O43143')"
"('P17252', 'P56945')"
"('P40189', 'P29597')"
"('P28749', 'Q9UPP1')"
"('O95813', 'O00744')"
"('Q96IM9', 'P56597')"
"('Q13469', 'P01375')"
"('Q01844', 'O00330')"
"('Q14197', 'Q9Y2S7')"
"('Q9H0H5', 'P05787')"
"('P26006', 'P16035')"
"('P06241', 'O14559')"
"('P28482', 'Q9H8Y8')"
"('P02774', 'P98164')"
"('Q92569', 'Q13733')"
"('Q06124', 'P08069')"
"('P22681', 'P31785')"
"('Q9NWY4', 'P56537')"
"('Q96EB6', 'Q01201')"
"('Q96QB1', 'P62745')"
"('P27824', 'Q12809')"
"('P04908', 'P06899')"
"('P62140', 'P16220')"
"('Q07955', 'Q9BUJ2')"
"('Q8NHQ8', 'P62263')"
"('Q92922', 'Q8TAQ2')"
"('Q99459', 'P50570')"
"('P12814', 'Q9NPC6')"
"('P51681', 'Q92561')"
"('Q53G59', 'P54253')"
"('Q676U5', 'Q9HC29')"
"('406960', 'Q13469')"
"('P56705', 'Q9UEF7')"
"('Q7L5N1', 'P05305')"
"('Q86VK4', 'P0CAP2')"
"('O95751', 'Q9BVJ6')"
"('Q86TM6', 'Q15059')"
"('Q15834', 'Q7Z2V1')"
"('Q15388', 'Q99689')"
"('Q9UII5', 'Q9H422')"
"('P63098', 'Q13255')"
"('Q969Q1', 'P20929')"
"('Q9HBW0', 'Q9UBI6')"
"('P49721', 'O14818')"
"('Q14164', 'Q9HB71')"
"('Q04695', 'P29353')"
"('P43354', 'P19793')"
"('O43674', 'P17568')"
"('P35225', 'Q01113')"
"('Q9BVA1', 'Q9H7E9')"
"('P06899', 'Q99878')"
"('P29353', 'P36542')"
"('O43318', 'O43809')"
"('Q71DI3', 'Q12888')"
"('P23396', 'Q96HC4')"
"('P08670', 'Q53TS8')"
"('P61254', 'Q07020')"
"('P22694', 'Q13131')"
"('Q9BXL7', 'Q92905')"
"('Q96LD1', 'Q92629')"
"('P01589', 'P42338')"
"('O00273', 'P51124')"
"('Q92597', 'Q13207')"
"('P68104', 'Q9BX70')"
"('Q8IYU2', 'Q92985')"
"('Q01082', 'Q96KM6')"
"('P16520', 'P27986')"
"('P19838', 'O95816')"
"('Q13976', 'P54710')"
"('Q9H0U4', 'Q08379')"
"('P51532', 'P38936')"
"('Q15185', 'Q14164')"
"('P02452', 'P21781')"
"('P0CG48', 'O14730')"
"('Q96FV9', 'Q14562')"
"('P12004', 'Q9NZJ0')"
"('Q8WTS6', 'Q12778')"
"('Q13838', 'P06730')"
"('Q9Y6I3', 'P17948')"
"('Q9H3D4', 'Q15796')"
"('O75529', 'Q92830')"
"('Q9BRA2', 'P11171')"
"('Q9H5Z6', 'Q15654')"
"('P22681', 'P43405')"
"('O15372', 'Q9NRI5')"
"('P07948', 'Q9UQC2')"
"('Q96RT1', 'O95477')"
"('Q68CP9', 'Q92925')"
"('Q9NR28', 'Q9H0E2')"
"('P61981', 'Q15287')"
"('Q9Y3F4', 'Q14164')"
"('Q9H074', 'Q13310')"
"('Q15714', 'Q14D04')"
"('P04183', 'Q9UMN6')"
"('P19438', 'Q00325')"
"('P45973', 'P60709')"
"('O14737', 'P61077')"
"('Q92830', 'Q9Y6Q9')"
"('Q8IUD2', 'Q9NR96')"
"('P01574', 'P23458')"
"('Q9HCM9', 'P68036')"
"('Q99570', 'Q9Y371')"
"('Q9Y2L1', 'P22392')"
"('Q9Y5X4', 'Q13547')"
"('P02768', 'P13645')"
"('O75964', 'P18859')"
"('P24844', 'P60709')"
"('Q9UL18', 'Q92552')"
"('P18146', 'Q9Y6K1')"
"('Q9Y5I7', 'O15551')"
"('P31152', 'Q01196')"
"('Q16082', 'P42574')"
"('O75051', 'Q14157')"
"('P13569', 'Q9NVI7')"
"('Q13424', 'Q01959')"
"('Q8N187', 'Q8TAP4')"
"('Q9Y5V3', 'Q9Y3T9')"
"('P39656', 'Q9Y2Q3')"
"('Q8WXE1', 'P27694')"
"('P08754', 'P48736')"
"('Q06481', 'Q93074')"
"('P30559', 'P63092')"
"('Q9NYL2', 'Q6NUN9')"
"('P31751', 'Q96BA8')"
"('P43243', 'Q9UNY4')"
"('P62256', 'Q8NA82')"
"('O96019', 'Q15014')"
"('Q15047', 'P55957')"
"('P0CG48', 'P46934')"
"('Q5SW96', 'Q13573')"
"('P17252', 'P05106')"
"('Q99717', 'P50616')"
"('Q13535', 'Q9BWG4')"
"('Q15788', 'Q92830')"
"('Q9BXM7', 'Q14194')"
"('Q15583', 'Q9NVU7')"
"('P50616', 'Q5JQF8')"
"('Q13642', 'P30480')"
"('P01570', 'Q92793')"
"('P35609', 'P55318')"
"('Q96D21', 'Q15797')"
"('Q9BUZ4', 'P52732')"
"('P13569', 'P14317')"
"('P57730', 'Q9Y2G2')"
"('Q9BT76', 'Q14790')"
"('Q6DT37', 'P31947')"
"('Q96EB6', 'O15350')"
"('P04899', 'P07948')"
"('Q13526', 'P14635')"
"('Q15428', 'O95400')"
"('P09382', 'P09564')"
"('Q99459', 'Q9H223')"
"('P61513', 'Q9UL18')"
"('P49755', 'P40337')"
"('Q9BZ29', 'Q8IXI1')"
"('P54274', 'Q8WVM7')"
"('P06241', 'P30273')"
"('P30101', 'Q9Y4K0')"
"('P17947', 'P30740')"
"('Q9GZV9', 'P08581')"
"('P19320', 'P42338')"
"('P62888', 'P46776')"
"('Q08117', 'Q15475')"
"('P11171', 'P63173')"
"('Q15628', 'P08670')"
"('P08708', 'P62244')"
"('Q13535', 'Q9NZC9')"
"('Q5T5U3', 'Q07889')"
"('P32969', 'Q15843')"
"('O95571', 'Q5UIP0')"
"('P06241', 'Q16620')"
"('P53680', 'P63010')"
"('P06576', 'P00533')"
"('P50453', 'P12956')"
"('P21796', 'Q16611')"
"('P33176', 'P63104')"
"('Q8IVI9', 'P29474')"
"('Q9NQC7', 'Q13114')"
"('P41236', 'Q9Y243')"
"('P23677', 'Q9NZT1')"
"('P01241', 'P67870')"
"('P61218', 'P30876')"
"('P24043', 'P26010')"
"('P48634', 'P02671')"
"('Q92831', 'Q13112')"
"('P62136', '5512')"
"('P63165', 'P18031')"
"('P63218', 'P42336')"
"('P23508', 'Q6P1L8')"
"('Q9UL46', 'Q06323')"
"('P20073', 'Q04724')"
"('Q9ULZ2', 'P18146')"
"('Q02878', 'Q9UL18')"
"('Q92911', 'Q96RT1')"
"('P07910', 'Q8IYB3')"
"('Q04206', 'P61769')"
"('O15131', 'P09467')"
"('P51610', 'Q9UPP1')"
"('P26367', 'Q99593')"
"('P23508', 'P26639')"
"('Q04864', 'Q00610')"
"('O00168', 'P05023')"
"('P61981', 'P07359')"
"('P35626', 'Q8NGX5')"
"('Q00577', 'P19525')"
"('O43542', 'Q92698')"
"('Q969Q1', 'P19429')"
"('O60477', 'O75365')"
"('Q04206', 'P09914')"
"('P14784', 'P07948')"
"('P52798', 'P29317')"
"('Q9Y294', 'P54198')"
"('Q8NBJ4', 'Q3MHD2')"
"('P30480', 'P26639')"
"('Q13554', 'O60840')"
"('Q9Y2X0', 'P28702')"
"('P07602', 'Q8WUM0')"
"('Q9NW38', 'Q96PU8')"
"('O95167', 'O00217')"
"('P55196', 'P57087')"
"('Q9NYY1', 'Q01344')"
"('O43561', 'Q92569')"
"('P32121', 'Q8NGS7')"
"('P29350', 'Q8WV28')"
"('P42229', 'P40763')"
"('P23497', 'P14921')"
"('P62195', 'P55036')"
"('P29475', 'P25963')"
"('A8MTJ3', 'P35913')"
"('Q8N6F1', 'Q16625')"
"('Q14151', 'P62993')"
"('Q9UKY1', 'P21673')"
"('P67870', 'P25054')"
"('P11487', 'Q07890')"
"('Q13873', 'Q13976')"
"('P49720', 'P01106')"
"('O43524', 'P84022')"
"('P03901', 'O43674')"
"('Q96EF6', 'P63208')"
"('Q9Y221', 'O96006')"
"('P04844', 'P01106')"
"('Q9UER7', 'Q9NWQ8')"
"('Q16778', 'P16104')"
"('P62913', 'P46779')"
"('Q6FI13', 'Q5QNW6')"
"('Q96MM3', 'P46734')"
"('P05387', 'P63104')"
"('O95376', 'O75828')"
"('O75438', 'P03891')"
"('P27986', 'P60953')"
"('Q96B36', 'Q13541')"
"('Q14209', 'Q06609')"
"('P98170', 'P36897')"
"('Q9BV47', 'P19022')"
"('P35711', 'P18146')"
"('P0CG48', 'Q9Y6K9')"
"('P46779', 'P61077')"
"('Q9UKY1', 'Q13765')"
"('Q9UBM7', 'Q13418')"
"('Q9Y243', 'Q68CJ9')"
"('Q04864', 'P31943')"
"('P61956', 'P52757')"
"('Q8WZ42', 'Q5VST9')"
"('P23508', 'Q96PZ0')"
"('P67870', 'P51946')"
"('P42226', 'P06734')"
"('P12956', 'P45983')"
"('Q05655', 'O14654')"
"('P62195', 'Q96SN8')"
"('Q9NRG9', 'P49790')"
"('Q14683', 'Q8IYB3')"
"('Q99459', 'Q68E01')"
"('P78527', 'Q9UBU8')"
"('Q9P287', 'Q99877')"
"('Q8NHQ1', 'P48552')"
"('Q9HAU0', 'Q9Y496')"
"('Q09472', 'O75900')"
"('P31371', 'Q02763')"
"('P62140', 'Q05586')"
"('P06493', 'Q9H211')"
"('P30457', 'Q93084')"
"('O94915', 'P61981')"
"('P28324', 'Q02363')"
"('P62158', 'Q14028')"
"('P01137', 'P36896')"
"('Q6XUX3', 'P24539')"
"('Q9NYJ8', 'O60641')"
"('P27540', 'P15692')"
"('O43639', 'Q05397')"
"('Q05655', 'P63261')"
"('Q9UM73', 'Q08752')"
"('P84022', 'P62070')"
"('P35222', 'P07288')"
"('O75807', 'P36873')"
"('P63104', 'Q99459')"
"('P17844', 'P61981')"
"('Q9NYF8', 'P62993')"
"('P39019', 'P35544')"
"('P29350', 'Q8IU57')"
"('P20333', 'Q07021')"
"('Q9BW61', 'Q7L5N1')"
"('Q12962', 'Q9BRQ0')"
"('Q9HCE6', 'Q99250')"
"('Q9HBE4', 'P16871')"
"('P23508', 'P23526')"
"('Q9P0U4', 'O60814')"
"('Q86U86', 'Q96KM6')"
"('Q13191', 'P32927')"
"('P29350', 'P35968')"
"('Q5T3J3', 'Q15669')"
"('Q15149', 'P29353')"
"('P84996', 'Q9UBI6')"
"('P04234', 'Q92569')"
"('P62136', 'O60840')"
"('O95865', 'P61224')"
"('Q05513', 'Q8TEW0')"
"('Q9ULK4', 'A0JLT2')"
"('Q8WUI4', 'P0C5Z0')"
"('P04637', 'P53350')"
"('Q16526', 'Q12933')"
"('P26367', 'P20226')"
"('Q09161', 'O95793')"
"('O14964', 'P40939')"
"('P41252', 'Q15714')"
"('O43318', 'O75663')"
"('574447', 'Q9Y4K3')"
"('O00232', 'P62195')"
"('Q9UPN9', 'Q15796')"
"('Q00653', 'P49368')"
"('Q9Y243', 'P23443')"
"('P22626', 'P51991')"
"('P05129', 'P16520')"
"('Q9H254', 'Q9UK32')"
"('A0JLT2', 'Q9BUE0')"
"('Q14289', 'Q8N668')"
"('P05556', 'O00214')"
"('P62258', 'Q92934')"
"('Q5T2W1', 'Q8WTV0')"
"('P16471', 'Q99490')"
"('O60260', 'O14933')"
"('Q8IVI9', 'Q05193')"
"('Q9H6S1', 'Q92844')"
"('P0C1Z6', 'Q8NBZ0')"
"('P98170', 'Q9Y5V3')"
"('P50151', 'Q92806')"
"('P30307', 'P04637')"
"('P25054', 'P12270')"
"('Q86YW9', 'Q99459')"
"('P09919', 'Q9UHF4')"
"('Q99933', 'P11142')"
"('Q99996', 'Q9NRI5')"
"('Q9Y4X3', 'P32248')"
"('P11473', 'O95257')"
"('Q8TDR0', 'P14618')"
"('P51946', 'P33993')"
"('O43281', 'Q05397')"
"('P06576', 'P11802')"
"('P62714', 'P32121')"
"('P60709', 'Q96A32')"
"('Q9H816', 'P34931')"
"('Q16594', 'P68431')"
"('Q6P1J9', 'O15514')"
"('P03915', 'O43674')"
"('Q9BPX5', 'P61158')"
"('P04406', 'Q16637')"
"('Q16537', 'P31749')"
"('Q9UK22', 'P62877')"
"('O60285', 'P10644')"
"('Q13797', 'Q07890')"
"('O60814', 'Q9UBL3')"
"('P34932', 'O15379')"
"('P62873', 'Q92633')"
"('P48551', 'P01571')"
"('Q8N1F7', 'Q99623')"
"('P29597', 'P42336')"
"('O96019', 'P04637')"
"('Q13257', 'Q9UM13')"
"('P08575', 'P42680')"
"('P40933', 'Q13651')"
"('Q96EY7', 'Q9Y383')"
"('Q92750', 'Q16514')"
"('P03923', 'O43678')"
"('P28562', 'P49427')"
"('O43678', 'O95139')"
"('P26641', 'P61981')"
"('P42224', 'P09912')"
"('P43146', 'P46779')"
"('O43318', 'O43741')"
"('Q9Y6Q9', 'P13631')"
"('O43678', 'Q9NX14')"
"('P67809', 'P84103')"
"('Q13547', 'O60921')"
"('Q15428', 'O60506')"
"('P30480', 'P48147')"
"('Q9NYY1', 'Q9UHF4')"
"('Q9UNH5', 'Q9UJX4')"
"('Q9UHD0', 'Q14626')"
"('O43914', 'P78324')"
"('Q9BZC7', 'Q96SN8')"
"('P25021', 'P63092')"
"('Q08050', 'P49454')"
"('Q9Y383', 'Q96EY7')"
"('Q9NRR5', 'Q01130')"
"('Q9NXR8', 'Q15906')"
"('O14618', 'P00441')"
"('P11021', 'P19438')"
"('O95084', 'P34896')"
"('Q15038', 'Q8N9H8')"
"('Q15811', 'P61086')"
"('Q8TBB1', 'P49757')"
"('P17612', 'Q12879')"
"('O43683', 'Q99459')"
"('O15504', 'Q03518')"
"('9757', 'P16333')"
"('P0CG48', 'O75113')"
"('O15400', 'Q9UEU0')"
"('Q8TDR0', 'P35579')"
"('P17947', 'P21359')"
"('Q16620', 'P22001')"
"('P16520', 'P84996')"
"('Q9Y4W6', 'P15153')"
"('P48380', 'Q8HWS3')"
"('P17028', 'Q9BVJ6')"
"('Q9H1C4', 'Q96KA5')"
"('Q14164', 'P07814')"
"('P05387', 'Q00653')"
"('Q15370', 'Q96L50')"
"('Q9NXV2', 'Q13617')"
"('Q9HC52', 'O95931')"
"('O75365', 'P57678')"
"('P50453', 'P04406')"
"('O14879', 'P09914')"
"('P18859', 'P03928')"
"('P18146', 'O75947')"
"('O43909', 'P06241')"
"('O60880', 'P31994')"
"('P08729', 'P12004')"
"('P41159', 'P48551')"
"('Q15365', 'Q9NR12')"
"('P62877', 'Q14999')"
"('P48544', 'Q06330')"
"('P12544', 'P39687')"
"('P20936', 'Q96QB1')"
"('O14933', 'Q8N5U6')"
"('P01130', 'Q5SW96')"
"('Q15637', 'P98175')"
"('P08754', 'P08631')"
"('Q00839', 'Q01130')"
"('P50616', 'A5YKK6')"
"('Q96B97', 'Q07889')"
"('P35443', 'P18827')"
"('Q9NPB6', 'Q8ND90')"
"('Q15459', 'P35609')"
"('P30304', 'P31946')"
"('Q96A72', 'P61981')"
"('P68104', 'Q9HAV4')"
"('Q14103', 'Q13151')"
"('Q08999', 'P15172')"
"('A6NMZ7', 'P13612')"
"('P62633', 'P61254')"
"('Q9NPF7', 'Q5VWK5')"
"('O43609', 'P57678')"
"('Q9H0E3', 'Q9HBM6')"
"('Q9UKT5', 'Q15843')"
"('P40429', 'P05388')"
"('O43292', 'Q13002')"
"('Q16665', 'Q13547')"
"('Q04917', 'P18146')"
"('P29322', 'Q8N5V2')"
"('Q9Y5J5', 'Q9UI26')"
"('Q8IWZ8', 'Q01081')"
"('406952', 'P40763')"
"('P01871', 'P49841')"
"('P10276', 'O15479')"
"('O43318', 'Q9UBE8')"
"('Q13432', 'Q12988')"
"('Q13042', 'P12757')"
"('P53355', 'Q16659')"
"('406885', 'P36897')"
"('Q9Y5V3', 'Q8IZ08')"
"('O00483', 'O95139')"
"('Q01804', 'Q9H9G7')"
"('P49841', 'O94805')"
"('P42566', 'Q9Y3C5')"
"('Q16548', 'P22736')"
"('Q8N122', 'O14939')"
"('P61224', 'O94887')"
"('Q07020', 'P35268')"
"('P61224', 'P48736')"
"('Q99962', 'Q15560')"
"('Q9Y219', 'P54259')"
"('Q14031', 'P05067')"
"('Q9Y5X3', 'Q9UBS4')"
"('P01571', 'Q99665')"
"('Q9C0A6', 'O95751')"
"('P01106', 'Q8NHJ6')"
"('Q9UFF9', 'Q9NZN8')"
"('Q9NQU5', 'P53667')"
"('P24941', 'Q15843')"
"('P12429', 'Q96ID5')"
"('P01889', 'Q16836')"
"('Q9Y230', 'P0C0S5')"
"('P62910', 'P35268')"
"('Q14416', 'P04899')"
"('Q92905', 'Q00987')"
"('P49116', 'Q9Y4K3')"
"('O14654', 'P20333')"
"('P42357', 'P41235')"
"('Q9NRI5', 'P13639')"
"('A1A4S6', 'P15153')"
"('O75347', 'Q9Y4K3')"
"('P39900', 'P15502')"
"('Q7Z3U7', 'P19438')"
"('O60858', 'P78545')"
"('Q92620', 'Q92917')"
"('P01100', 'Q04206')"
"('Q8N461', 'Q16659')"
"('O95249', 'P46459')"
"('Q5UIP0', 'Q9Y3A3')"
"('Q9Y2G2', 'Q96P20')"
"('P20585', 'Q8IY92')"
"('P61254', 'P62829')"
"('P36941', 'O15111')"
"('P31946', 'P55851')"
"('Q96QB1', 'P68104')"
"('Q9H0H5', 'P62745')"
"('P30542', 'P00813')"
"('Q9HCJ2', 'Q96CW9')"
"('P04637', 'Q13547')"
"('Q6ZVN8', 'P22004')"
"('Q99836', 'O43318')"
"('Q9UGP5', 'Q13426')"
"('P12956', 'Q96HA7')"
"('P62304', 'P18206')"
"('O14640', 'Q9UM47')"
"('P54274', 'Q8TDM6')"
"('P12107', 'O75578')"
"('Q14153', 'P31947')"
"('Q9UIG0', 'O60264')"
"('P42229', 'P51813')"
"('P07948', 'Q07666')"
"('P22314', 'Q92598')"
"('Q9UL03', 'Q14152')"
"('Q15796', 'Q13526')"
"('P21802', 'P19174')"
"('P62993', 'Q9H5I1')"
"('P62993', 'P01111')"
"('P60660', 'P30480')"
"('P62277', 'P08708')"
"('P49790', 'P78406')"
"('Q12772', 'Q92888')"
"('O43623', 'P12830')"
"('P53597', 'Q96I99')"
"('O43318', 'O14543')"
"('Q96EE3', 'P57740')"
"('Q92610', 'P63165')"
"('P48357', 'Q07869')"
"('Q05513', 'Q6R327')"
"('P07355', 'P60709')"
"('O95715', 'P51681')"
"('Q9Y6K9', 'Q8NHW5')"
"('Q9Y266', 'O15264')"
