negatives
"('Q9Y691', 'O60840')"
"('Q13635', 'Q99835')"
"('P02489', 'P02511')"
"('P02768', 'P05155')"
"('Q14145', 'Q8IY92')"
"('P19525', 'Q15633')"
"('Q9H0E2', 'P98170')"
"('P21860', 'P15498')"
"('Q13227', 'Q9Y618')"
"('P34947', 'P35372')"
"('Q9Y6M9', 'Q9NX14')"
"('P68104', 'Q09472')"
"('Q9UHI6', 'P62314')"
"('P49662', 'P20618')"
"('Q9H1C4', 'O14735')"
"('P57678', 'P14678')"
"('Q58FF6', 'P30291')"
"('Q07817', 'Q16611')"
"('O60671', 'Q9UIF7')"
"('P19793', 'A5YKK6')"
"('Q04206', 'Q15653')"
"('P04406', 'P61019')"
"('Q9NQT5', 'Q92841')"
"('Q9Y3C7', 'O95994')"
"('O95886', 'P27986')"
"('P35626', 'Q8NGF9')"
"('Q16539', 'Q5JSJ4')"
"('Q12974', 'P49356')"
"('P16333', 'P32239')"
"('P41182', 'O15519')"
"('P20333', 'P25705')"
"('P35222', 'Q08211')"
"('O14610', 'Q00722')"
"('O95813', 'O96014')"
"('P62258', 'O15151')"
"('P05230', 'P29317')"
"('P62258', 'Q16186')"
"('Q9Y5J5', 'P63173')"
"('Q9H816', 'Q13315')"
"('P41743', 'Q9Y4G8')"
"('Q92831', 'P37173')"
"('Q13077', 'Q9Y286')"
"('Q68E01', 'Q99459')"
"('P61088', 'Q8WWF5')"
"('Q8NI35', 'P78369')"
"('P55210', 'Q9UBF6')"
"('P25025', 'P67775')"
"('Q05086', 'O14933')"
"('P63098', 'Q13042')"
"('P53680', 'P09497')"
"('Q969T4', 'P36897')"
"('Q9NXR7', 'Q5VTD9')"
"('P61978', 'P98179')"
"('P46940', 'P62316')"
"('Q9P2W3', 'Q15147')"
"('P36897', 'Q9UIK4')"
"('O75886', 'Q9Y3C5')"
"('Q01201', 'Q15306')"
"('P12757', 'Q9UBH0')"
"('Q96DB2', 'P33778')"
"('O43809', 'O75533')"
"('Q13573', 'P48643')"
"('O15116', 'Q96B26')"
"('P16144', 'P60709')"
"('Q9NZV5', 'Q9H2G2')"
"('Q9NPC8', 'Q99502')"
"('Q16543', 'Q8NEY8')"
"('P51681', 'P32121')"
"('P04637', 'P04731')"
"('P38432', 'Q96CN9')"
"('P20366', 'P07199')"
"('406905', 'P11413')"
"('Q13136', 'P35240')"
"('A8TX70', 'Q13683')"
"('O75478', 'Q15648')"
"('Q07889', 'P17301')"
"('Q13131', 'P14672')"
"('Q5VVX9', 'P29590')"
"('O95400', 'Q15366')"
"('Q9NWX5', 'Q93034')"
"('P15153', 'O75914')"
"('Q13569', 'P27695')"
"('O75800', 'Q9BYM8')"
"('Q8N108', 'Q92769')"
"('Q9UKF6', 'P62140')"
"('Q8N7H5', 'P30876')"
"('Q9Y3I1', 'P62877')"
"('Q9P0W0', 'P32927')"
"('Q9NX09', 'Q13619')"
"('O95886', 'P19174')"
"('P43364', 'Q8NDB6')"
"('Q16659', 'Q9H1R3')"
"('P29320', 'P46108')"
"('P04637', 'Q9BRQ8')"
"('P62826', 'P06454')"
"('Q9BYM8', 'Q9Y2X8')"
"('O75943', 'Q9UM73')"
"('Q8WVM7', 'Q14683')"
"('Q8N2W9', 'Q13137')"
"('P40763', '406991')"
"('P46782', 'P22090')"
"('Q15024', 'Q13868')"
"('Q86SS6', 'P60880')"
"('O14827', 'Q9H2G2')"
"('P62249', 'P63220')"
"('P06239', 'P23471')"
"('P13987', 'Q06124')"
"('Q9NQB0', 'P12956')"
"('O95931', 'O00257')"
"('P05388', 'P62888')"
"('Q9NRX1', 'P24593')"
"('P23508', 'P27695')"
"('P17612', 'Q9NY47')"
"('Q96A65', 'Q13573')"
"('Q13432', 'P04083')"
"('Q15389', 'P29317')"
"('P49448', 'O75674')"
"('O60508', 'Q16629')"
"('Q14738', 'Q96PY6')"
"('Q13352', 'Q9P2H0')"
"('Q99684', 'P35556')"
"('Q8WXE1', 'Q9NVI1')"
"('Q15645', 'Q86YR5')"
"('P16104', 'O75529')"
"('P46109', 'P29353')"
"('P16333', 'O43150')"
"('Q9BUF5', 'Q9Y6G9')"
"('Q96KQ7', 'P01106')"
"('Q06190', 'Q9UPR3')"
"('Q9Y265', 'Q92993')"
"('P31947', 'Q9H1Y0')"
"('P38606', 'P38936')"
"('Q5JY77', 'Q96KB5')"
"('Q6ZVL6', 'P54259')"
"('P01112', 'Q9P212')"
"('P53350', 'P68366')"
"('Q16787', 'P16070')"
"('O15355', 'P30533')"
"('P09086', 'P51948')"
"('P14678', 'P53618')"
"('Q9UN88', 'O95166')"
"('P00533', 'Q8WUM4')"
"('P62714', 'P05129')"
"('Q03431', 'P84996')"
"('Q969H0', 'P36956')"
"('P01116', 'P68104')"
"('Q92769', 'Q9H7L9')"
"('P12980', 'Q7Z5A7')"
"('Q99731', 'P46092')"
"('Q9NYR9', 'Q16637')"
"('O75937', 'Q05519')"
"('Q9Y2D9', 'O43439')"
"('A0JLT2', 'O43513')"
"('P69892', 'Q99717')"
"('Q96BI3', 'Q04721')"
"('P52292', 'P04637')"
"('P42338', 'P16885')"
"('O14576', 'A6NHL2')"
