negatives
"('Q9Y243', 'P62140')"
"('O43791', 'Q8IXJ6')"
"('P48304', 'Q6UXH1')"
"('Q9NPF2', 'Q02556')"
"('P32121', 'A6NH00')"
"('P62136', 'P15735')"
"('P01344', 'Q9UNN5')"
"('Q04206', 'P27708')"
"('Q15287', 'Q96S94')"
"('Q96LR2', 'O14964')"
"('P22415', 'P15407')"
"('P46781', 'P63220')"
"('Q92783', 'O60220')"
"('Q9Y5J5', 'O60762')"
"('P40227', 'O15264')"
"('Q9UKV8', 'O94776')"
"('P04141', 'P26992')"
"('Q8TBN0', 'P62491')"
"('Q9H160', 'P20671')"
"('Q9NPF5', 'P04637')"
"('Q92900', 'Q8IU60')"
"('P08865', 'P39019')"
"('Q16401', 'O43242')"
"('Q00005', 'P27708')"
"('Q9NV70', 'Q03001')"
"('Q9Y5J5', 'Q9C0E2')"
"('O43920', 'Q16718')"
"('P35268', 'P61313')"
"('P50502', 'P60953')"
"('P12883', 'Q9P2M7')"
"('O96019', 'Q96EZ8')"
"('Q9UNX3', 'P05388')"
"('P10301', 'O00329')"
"('Q07955', 'Q08170')"
"('Q8IYB3', 'Q15287')"
"('O95072', 'Q9UQE7')"
"('P22694', 'P42262')"
"('Q9NPB6', 'Q8N3R9')"
"('Q9HCK5', 'P31689')"
"('Q9UKN8', 'Q9Y5Q9')"
"('P50453', 'P68104')"
"('Q6NXT2', 'Q99525')"
"('P08648', 'P12931')"
"('P15531', 'P27695')"
"('P47914', 'P30480')"
"('Q9NRA8', 'Q15797')"
"('O15514', 'O95402')"
"('Q8N6Y0', 'Q9NTK1')"
"('P10451', 'P26006')"
"('O43187', 'P08138')"
"('Q9UNS2', 'Q16531')"
"('Q9H1C0', 'P62873')"
"('Q9BY27', 'Q9NS73')"
"('O95872', 'P13164')"
"('Q9HAU4', 'P49406')"
"('P51617', 'Q9H0E2')"
"('O00292', 'Q96S42')"
"('Q01844', 'Q9BQD3')"
"('P56199', 'P49023')"
"('Q01101', 'P07437')"
"('P27986', 'P09564')"
"('P62256', 'Q9Y508')"
"('O15198', 'Q9H871')"
"('P18754', 'Q9Y478')"
"('P05060', 'P15153')"
"('Q13315', 'Q92574')"
"('P09619', 'O43639')"
"('Q9UK08', 'Q8NFM4')"
"('O00273', 'Q01844')"
"('P22612', 'P61586')"
"('Q92878', 'P78527')"
"('Q5RKV6', 'Q8TF46')"
"('P05023', 'O00168')"
"('Q9Y2S0', 'P53803')"
"('Q9NR30', 'O60343')"
"('P52757', 'O00212')"
"('P19105', 'Q5VT25')"
"('Q99942', 'P62837')"
"('Q8NFP7', 'Q9NS23')"
"('O95751', 'Q9Y247')"
"('P10586', 'Q9Y4H2')"
"('P26441', 'P08887')"
"('Q6ZVL6', 'Q14697')"
"('P50993', 'P32418')"
"('P01889', 'P69905')"
"('Q99677', 'P63218')"
"('Q9UBS8', 'Q9Y2X8')"
"('O95843', 'Q02846')"
"('Q13573', 'P22626')"
"('P62993', 'P22681')"
"('Q8TDR0', 'P08107')"
"('Q92831', 'Q9ULM3')"
"('P32745', 'P08107')"
"('P42229', 'P42224')"
"('P55001', 'P35555')"
"('P14174', 'Q6XUX3')"
"('P11274', 'P46109')"
"('P62424', 'P30050')"
"('Q16891', 'Q8N2W9')"
"('P01243', 'Q7L2H7')"
"('P11142', 'P41220')"
"('P67870', 'Q16543')"
"('P06753', 'P01111')"
"('P51991', 'O60508')"
"('O00115', 'Q9Y230')"
"('Q9Y2Q3', 'Q9NZT2')"
"('Q9UBU9', 'P84103')"
"('Q9NPJ4', 'P13631')"
"('Q09028', 'Q02539')"
"('P30504', 'P24752')"
"('P00750', 'P05452')"
"('Q9Y3B4', 'Q9H9G7')"
"('Q8TEW0', 'P01876')"
"('Q04917', 'Q04912')"
"('P56645', 'P46527')"
"('Q8WWQ0', 'Q13509')"
"('P01023', 'Q92845')"
"('P51991', 'Q13243')"
"('Q07890', 'Q14247')"
"('P08670', 'Q13573')"
"('Q9UBC3', 'P48552')"
"('Q08050', 'P01106')"
"('Q9Y295', 'P30480')"
"('Q9UBS5', 'P09471')"
"('Q96EY7', 'Q14197')"
"('O14920', 'P04350')"
"('Q9NRD5', 'Q96RK0')"
"('P14151', 'P41743')"
"('Q13432', 'P18754')"
"('P04908', 'Q99879')"
"('P68400', 'P18846')"
"('P36897', 'O43172')"
"('P00519', 'P20774')"
"('Q07864', 'Q13573')"
"('Q9BTT4', 'Q8IX12')"
"('Q13573', 'Q9Y450')"
"('P61964', 'O15047')"
"('P50914', 'O95793')"
"('P10275', 'O95251')"
"('Q9P2I0', 'Q6UXN9')"
"('Q08945', 'Q96QV6')"
"('Q99767', 'P98164')"
"('P14780', 'Q99075')"
"('P50150', 'P48549')"
"('P38432', 'O60231')"
"('P12004', 'P40937')"
"('Q14397', 'P35557')"
"('Q9BV94', 'P61247')"
"('P06239', 'P07766')"
"('Q13480', 'Q12913')"
