negatives
"('P35226', 'O75525')"
"('Q01130', 'P38919')"
"('O60573', 'Q9H257')"
"('P62263', 'P11441')"
"('O14980', 'Q14141')"
"('P41743', 'Q16236')"
"('O14836', 'P51617')"
"('P46939', 'P06748')"
"('P23246', 'Q06609')"
"('O95817', 'Q8N720')"
"('O00716', 'Q9H0E9')"
"('Q9Y4K3', 'O00463')"
"('P82664', 'Q14197')"
"('P01112', 'P81274')"
"('Q969S3', 'Q99848')"
"('O76013', 'Q13404')"
"('P62979', 'Q99496')"
"('P15121', 'P13929')"
"('P25445', 'Q15628')"
"('Q6P1L6', 'P05067')"
"('P63167', 'Q8TDI0')"
"('Q5T447', 'P18146')"
"('P62256', 'P19474')"
"('Q13620', 'Q6NW29')"
"('Q6P1J9', 'P10809')"
"('O00418', 'Q13085')"
"('P23142', 'Q6UY14')"
"('Q9HCK4', 'O75044')"
"('O60716', 'P49286')"
"('C4AMC7', 'P05067')"
"('P25686', 'P51957')"
"('P22001', 'P22459')"
"('Q15486', 'Q8WU58')"
"('O15111', 'Q8NI38')"
"('A7E2Y1', 'Q9BY77')"
"('Q96QA5', 'P49736')"
"('Q9Y2I1', 'Q504Q3')"
"('O14744', 'Q5VWX1')"
"('Q13363', 'Q49AN0')"
"('Q3KNS6', 'P40763')"
"('P82930', 'P58062')"
"('P06400', 'P52926')"
"('P54652', 'Q99615')"
"('P62873', 'P04899')"
"('P84103', 'Q14011')"
"('P31150', 'Q92930')"
"('Q05086', 'P05067')"
"('O43852', 'Q15185')"
"('P24941', 'P99999')"
"('Q96NX5', 'P18146')"
"('P10276', 'P48681')"
"('P32121', 'P45984')"
"('Q99832', 'Q02575')"
"('O76014', 'P78386')"
"('Q15424', 'P18583')"
"('O75487', 'P57078')"
"('Q15717', 'O75123')"
"('P29322', 'Q38SD2')"
"('Q01094', 'P55081')"
"('Q09666', 'P52739')"
"('O00422', 'P04004')"
"('P07947', 'P08581')"
"('P17301', 'O00459')"
"('P48431', 'P62312')"
"('P25705', 'P51451')"
"('Q9BXB1', 'Q01650')"
"('P12830', 'Q13547')"
"('Q9NPL8', 'O96000')"
"('O00625', 'P46926')"
"('P40763', 'Q5TA89')"
"('P25788', 'Q14164')"
"('P23945', 'O95467')"
"('Q9HAC8', 'P08237')"
"('Q14999', 'P46013')"
"('P62273', 'P15880')"
"('Q92905', 'P08865')"
"('Q13616', 'P14649')"
"('Q8N8D1', 'Q9BSM1')"
"('P10826', 'P13631')"
"('P11021', 'Q6HA08')"
"('P61254', 'P18077')"
"('O60508', 'Q8TAD8')"
"('Q8TD86', 'P16298')"
"('Q9P2H0', 'O75665')"
"('Q969P0', 'Q53EL6')"
"('O00303', 'P02751')"
"('Q99728', 'Q15276')"
"('P08572', 'O00339')"
"('P04629', 'O43156')"
"('Q9BRQ3', 'Q0VD86')"
"('P60410', 'Q8IV13')"
"('P29274', 'Q08043')"
"('Q9NR50', 'Q6P2E9')"
"('Q5TA82', 'Q6L8G8')"
"('Q14134', 'Q9Y6D9')"
"('P55769', 'Q14137')"
"('O95817', 'O43151')"
"('Q7L5Y6', 'Q9BW61')"
"('A0JLT2', 'P46060')"
"('P50990', 'A6NHQ4')"
"('Q96NC0', 'P51116')"
"('O43143', 'Q9UBU9')"
"('Q9UM11', 'P30304')"
"('P58004', 'P55072')"
"('O95995', 'Q86Z20')"
"('P29374', 'Q71DI3')"
"('Q13387', 'P51805')"
"('P62837', 'Q9UPQ7')"
"('Q92905', 'P07900')"
"('P55072', 'P32969')"
"('P06493', 'Q99638')"
"('Q92956', 'P31689')"
"('P62140', 'P78332')"
"('P09131', 'Q9BX66')"
"('Q6L8G9', 'Q6UY14')"
"('Q9H8V3', 'Q92572')"
"('O75694', 'P48304')"
"('P07339', 'P20339')"
"('Q99816', 'O95405')"
"('Q6NUK4', 'Q8N5N7')"
"('P50402', 'Q8NFH5')"
"('Q8IXW0', 'Q7Z3S9')"
"('Q99933', 'P25788')"
"('A2RU30', 'P63104')"
"('Q9C0B0', 'Q92769')"
"('Q9H6D7', 'Q9HCE1')"
"('Q13418', 'Q6NUN9')"
"('Q96CN9', 'Q08379')"
"('Q99836', 'O43541')"
"('P36897', 'Q03167')"
"('Q14289', 'P06239')"
"('Q9UJW3', 'Q13485')"
"('Q9UEU0', 'Q14232')"
"('O95619', 'P0C0S5')"
"('P01116', 'Q9UJX0')"
"('Q7Z6J0', 'Q16584')"
"('Q13469', 'P11142')"
"('P05198', 'Q99575')"
"('P16422', 'P51572')"
"('Q05519', 'P12270')"
"('P22415', 'Q9Y4W6')"
"('Q13188', 'P46937')"
"('Q70CQ2', 'Q9UBT2')"
"('P10147', 'O00574')"
"('P62136', 'P41236')"
"('P28065', 'Q15788')"
"('Q6ZMR3', 'P51148')"
"('Q13115', 'P53778')"
"('Q8TAL5', 'B7ZAP0')"
"('P55072', 'Q9H4A3')"
"('Q13573', 'Q99570')"
"('P09651', 'Q96MU7')"
"('P25789', 'Q7Z6Z7')"
"('Q13618', 'P23526')"
"('O95166', 'Q9BQS8')"
"('P50502', 'P14923')"
"('P01344', 'P21802')"
"('Q969H0', 'P36956')"
"('Q9Y2H1', 'Q9HCE7')"
"('Q5T200', 'Q69YN4')"
"('Q8N0U6', 'Q96K80')"
"('O75340', 'P10599')"
"('Q92878', 'Q06609')"
"('O15537', 'P14415')"
"('O95613', 'O00444')"
"('P15248', 'P09619')"
"('Q9NVZ3', 'Q96CW1')"
"('Q14669', 'P27694')"
"('Q8TB03', 'P50222')"
"('Q13765', 'P20226')"
"('Q8NGX3', 'P38405')"
"('Q6P1N0', 'Q9C0F1')"
"('P48039', 'B2RTY4')"
"('P56817', 'Q9HCE1')"
"('Q86X19', 'P04439')"
"('Q9NP55', 'Q9BRG1')"
"('Q6NZI2', 'Q96JG6')"
"('Q8N112', 'P26715')"
"('P33991', 'O95696')"
"('P14625', 'P19388')"
"('O43865', 'P37802')"
"('P33981', 'Q9GZZ1')"
"('P03372', 'Q9NTJ3')"
"('P20073', 'O94805')"
"('P02462', 'Q13797')"
"('P13760', 'P01737')"
"('P62851', 'Q02878')"
"('P14373', 'P62993')"
"('Q2NL82', 'Q9NRD1')"
"('Q05952', 'P22694')"
"('Q13315', 'Q6ZWJ1')"
"('Q9UBC3', 'P35625')"
"('P09619', 'Q07889')"
"('Q9H6L2', 'Q7Z3S9')"
"('Q9NX04', 'Q9H0C1')"
"('P18754', 'P46379')"
"('Q9UQ88', 'Q14974')"
"('P55316', 'P13674')"
"('P60660', 'P63267')"
"('Q15746', 'P60660')"
"('Q14186', 'P05090')"
"('Q14500', 'Q02410')"
"('Q9NYG5', 'Q9UJX6')"
"('Q04837', 'Q9Y3B7')"
"('Q53TS8', 'Q9H257')"
"('Q96FW1', 'Q99497')"
"('P04629', 'P31942')"
"('O00231', 'Q15008')"
"('P53007', 'P18206')"
"('P43358', 'Q53EQ6')"
"('P11308', 'Q13426')"
"('Q9Y4H2', 'Q92569')"
"('O95433', 'O15360')"
"('P08670', 'Q6ZU52')"
"('P27635', 'Q9UMY1')"
"('Q9NZC7', 'P60520')"
"('Q38SD2', 'Q9HC44')"
"('Q9H6F5', 'Q96HE9')"
"('Q96EG3', 'O95967')"
"('Q6P2Q9', 'O43390')"
"('Q9Y657', 'Q9H2C0')"
"('Q9NYU2', 'Q9UGT4')"
"('O60506', 'Q8N8N7')"
"('P38432', 'Q8TBK6')"
"('Q96HR8', 'Q96PK6')"
"('Q04206', 'P01562')"
"('Q9UPT6', 'P04049')"
"('Q15717', 'Q5VVQ6')"
"('P47756', 'P13612')"
"('P06213', 'P62993')"
"('P20226', 'Q03164')"
"('Q9H244', 'Q9NX76')"
"('Q9BUH8', 'Q8IYX7')"
"('Q13435', 'O75643')"
"('Q9UKV5', 'O75800')"
"('Q8NI27', 'Q5VYK3')"
"('O95819', 'Q6ZW49')"
"('P62714', 'P46531')"
"('Q01860', 'Q8N680')"
"('O14576', 'Q8NFZ8')"
"('Q9Y6G9', 'P55072')"
"('Q9Y2P4', 'Q13291')"
"('P21579', 'Q96PK6')"
"('P68431', 'Q86Y91')"
"('Q5VYS8', 'Q9UBT6')"
"('O95817', 'P53539')"
"('Q3B820', 'O94972')"
"('Q2TAL8', 'P31321')"
"('P23771', 'P04155')"
"('O00233', 'Q96JG6')"
"('P18146', 'Q9Y222')"
"('P34949', 'Q15365')"
"('Q9UJZ1', 'Q00325')"
"('P18850', 'Q8NHY2')"
"('P17987', 'P10398')"
"('P31946', 'Q9Y2K5')"
"('Q9BRX9', 'P55795')"
"('Q96QC0', 'Q15435')"
"('Q8NCT1', 'O00308')"
"('O60610', 'P04629')"
"('O14964', 'Q9UBU9')"
"('Q9Y4A5', 'O95619')"
"('O60716', 'P22223')"
"('P38936', 'P12004')"
"('Q16620', 'P62487')"
"('Q9NRD5', 'P49683')"
"('P07737', 'Q15717')"
"('P03372', 'P78527')"
"('Q9NRD1', 'Q9NXS2')"
"('P28062', 'Q06323')"
"('P29590', 'P13056')"
"('P32121', 'Q7Z3T1')"
"('P62910', 'Q9BT49')"
"('O14576', 'Q6ZRR9')"
"('P05412', 'Q71RC2')"
"('P55075', 'P09619')"
"('P43115', 'Q9Y394')"
"('O95433', 'Q13618')"
"('Q8N5R6', 'O60232')"
"('Q96MF2', 'Q9C086')"
"('Q99459', 'Q75QN2')"
"('Q00534', 'Q13595')"
"('Q5T3J3', 'Q9Y3A3')"
"('Q00987', 'Q9BQ75')"
"('P61224', 'P55196')"
"('Q9C0B0', 'O94826')"
"('Q6ZNH5', 'P59991')"
"('Q9NZD8', 'P01730')"
"('P19087', 'Q13432')"
"('Q6L8H2', 'Q9UGL9')"
"('Q9UG63', 'O00567')"
"('Q8NGJ7', 'P62873')"
"('Q9BRP8', 'Q13895')"
"('Q9Y6X2', 'P42224')"
"('P61964', 'Q8IYH5')"
"('O60341', 'O15297')"
"('Q15717', 'Q9Y383')"
"('Q5TC82', 'Q96LI5')"
"('Q9GZZ9', 'Q15438')"
"('P80192', 'Q9HCE7')"
"('P19525', 'P27635')"
"('P0DP25', 'Q9H0B3')"
"('O14493', 'P09758')"
"('Q96B02', 'Q9NS56')"
"('Q9BUN8', 'P49736')"
"('P09429', 'Q6RW13')"
"('Q9H3R5', 'Q71F23')"
"('P63104', 'P21980')"
"('Q13242', 'P26368')"
"('Q8WVN8', 'Q16643')"
"('Q9P0U1', 'P50542')"
"('P0DP24', 'O43303')"
"('Q02543', 'Q9BYG3')"
"('Q9Y2V7', 'Q8TAU3')"
"('P54277', 'Q13616')"
"('O94973', 'Q14232')"
"('P12931', 'P21333')"
"('Q9NRQ2', 'Q15645')"
"('Q16637', 'Q96AE4')"
"('P31946', 'Q96NE9')"
"('P49736', 'O75643')"
"('Q96CT7', 'O75569')"
"('O00400', 'Q8NI35')"
"('Q68CZ1', 'Q641Q2')"
"('P21549', 'Q5VZ52')"
"('O14745', 'Q9ULV1')"
"('P62993', 'Q8TE12')"
"('Q99417', 'P61163')"
"('Q9Y3M2', 'O75420')"
"('Q9NRR6', 'O95544')"
"('Q9BYQ3', 'P60370')"
"('P67775', 'Q562F6')"
"('Q5S007', 'Q8IWX8')"
"('Q93008', 'Q9H0W5')"
"('Q14192', 'Q9UBI6')"
"('Q5VSL9', 'Q9ULQ0')"
"('Q7Z6Z7', 'P07339')"
"('O76031', 'Q16740')"
"('Q969H0', 'P61587')"
"('P12830', 'P63261')"
"('P49585', 'O15126')"
"('Q8NEB9', 'Q16643')"
"('Q15365', 'Q07955')"
"('P62753', 'O95897')"
"('P27540', 'Q9Y5J3')"
"('P00519', 'P16220')"
"('P04183', 'Q5TA45')"
"('Q15059', 'P04629')"
"('Q3LI64', 'Q15038')"
"('P36888', 'P42336')"
"('Q58FG0', 'Q07020')"
"('O75400', 'Q15233')"
"('P02008', 'Q9Y6K9')"
"('Q08211', 'O94826')"
"('P51668', 'P21580')"
"('Q15788', 'P19474')"
"('O60341', 'P27694')"
"('Q96CN9', 'Q9BSI4')"
"('Q9NV06', 'P0DPB6')"
"('P26367', 'Q6NT76')"
"('O43805', 'Q9NRD5')"
"('O15085', 'P49840')"
"('O43175', 'Q6UW78')"
"('Q6K0P9', 'Q9HCD5')"
"('O95989', 'P33992')"
"('Q9BV68', 'Q86VP1')"
"('Q9BUZ4', 'Q9P2A4')"
"('P15374', 'O95817')"
"('Q9Y4K3', 'Q14192')"
"('P23229', 'Q13683')"
"('Q86SE8', 'Q9H8W4')"
"('Q96EK9', 'P45985')"
"('Q9NSA1', 'P08069')"
"('P09661', 'Q2TBE0')"
"('Q15562', 'Q14669')"
"('P55327', 'Q99598')"
"('Q9H4M9', 'P12830')"
"('P06733', 'P05155')"
"('P01569', 'P52333')"
"('P16333', 'Q14118')"
"('Q9ULU4', 'Q8N201')"
"('P53667', 'P07900')"
"('Q9Y2Q3', 'Q9BVI4')"
"('P60520', 'Q9UN88')"
"('P48444', 'P04629')"
"('Q92793', 'P53539')"
"('P62993', 'Q08209')"
"('Q6IQ23', 'P12830')"
"('Q9UJX3', 'P04792')"
"('P83881', 'Q92901')"
"('Q12834', 'Q9UI95')"
"('Q9Y6C9', 'O95466')"
"('Q7Z736', 'P04629')"
"('Q8N257', 'Q8WUI4')"
"('P46779', 'P84098')"
"('Q9Y4L1', 'Q93063')"
"('Q9Y4G6', 'P26010')"
"('Q9Y6C9', 'Q9Y698')"
"('Q96ST3', 'Q6ZWL3')"
"('P62258', 'Q9UJM3')"
"('Q12952', 'P49116')"
"('Q5T7P3', 'Q7L4P6')"
"('P04629', 'P11021')"
"('O15169', 'Q13200')"
"('P38398', 'P46013')"
"('P07305', 'Q99575')"
"('Q12905', 'P62745')"
"('P13612', 'P49736')"
"('P62906', 'O95602')"
"('O60678', 'Q8N137')"
"('Q8IU60', 'Q9UJ70')"
"('P12931', 'P48357')"
"('P62879', 'Q16778')"
"('Q9Y5R8', 'P48553')"
"('O60603', 'Q15654')"
"('Q00987', 'Q92619')"
"('P46092', 'P04899')"
"('P36954', 'P28065')"
"('P62937', 'Q96QV6')"
"('Q99728', 'Q9P2H0')"
"('P68371', 'O75449')"
"('Q15005', 'Q9P0N5')"
"('P04629', 'P06756')"
"('Q96L91', 'P16104')"
"('P02792', 'Q9BQB6')"
"('P07199', 'Q17RP2')"
"('Q6P587', 'O14494')"
"('P43146', 'P62266')"
"('O43318', 'Q7Z434')"
"('Q969G3', 'P10826')"
"('Q06587', 'P06400')"
"('P39656', 'P49411')"
"('Q8NCE0', 'Q9H078')"
"('Q9Y5M8', 'P08240')"
"('O14980', 'Q9BZ72')"
"('Q9Y2J4', 'Q96HA8')"
"('O96018', 'P49810')"
"('Q53ET0', 'Q8NHV4')"
"('Q13618', 'O43482')"
"('P11308', 'O96014')"
"('Q13867', 'P45983')"
"('O95573', 'P13984')"
"('Q9NVP2', 'Q8IY18')"
"('Q6A162', 'Q567U6')"
"('Q92905', 'Q6UN15')"
"('Q68D10', 'Q96KG9')"
"('Q9BZS1', 'Q92993')"
"('P60866', 'P61313')"
"('Q8WV44', 'P08238')"
"('P78527', 'O00221')"
"('O60232', 'O76070')"
"('P24864', 'P10244')"
"('Q14194', 'P07737')"
"('P53041', 'P06733')"
"('Q9UQM7', 'P31946')"
"('Q9UK17', 'Q9Y265')"
"('Q9P2J5', 'P37108')"
"('Q92838', 'Q9P0J7')"
"('P15918', 'Q01196')"
"('Q14764', 'Q16665')"
"('Q96F07', 'Q9BQS6')"
"('O15116', 'P28074')"
"('Q9Y2K1', 'Q9UBG3')"
"('Q969V6', 'Q2KHM9')"
"('Q9NRQ2', 'Q5T749')"
"('Q9H204', 'Q8N6Y0')"
"('P07948', 'Q5VWX1')"
"('Q6NUN9', 'Q96HS1')"
"('Q9UKV8', 'P38936')"
"('Q6PKX4', 'Q6P1W5')"
"('O15397', 'Q9NQX6')"
"('P55786', 'Q15418')"
"('Q13418', 'P68366')"
"('Q16543', 'P00533')"
"('P35610', 'Q15884')"
"('Q9NVV9', 'Q63ZY3')"
"('O60447', 'Q8WVP5')"
"('P34931', 'O95166')"
"('P28065', 'Q9Y3I1')"
"('P35548', 'P12956')"
"('Q04917', 'Q32P44')"
"('Q6EMK4', 'P61313')"
"('P35613', 'P20648')"
"('Q9BZ95', 'Q96MF2')"
"('Q15365', 'O60739')"
"('Q9H9S0', 'Q8NBJ5')"
"('O00159', 'Q96BQ5')"
"('Q04837', 'O95166')"
"('Q9NSB4', 'P49639')"
"('Q96J02', 'Q9Y4K3')"
"('Q6UWR7', 'Q96S06')"
"('Q8WVE6', 'Q9ULQ1')"
"('Q14980', 'Q15022')"
"('P12004', 'Q99684')"
"('Q9NRD1', 'Q9NR50')"
"('P00533', 'O75474')"
"('O95661', 'P01137')"
"('Q9NQT4', 'P25787')"
"('Q14566', 'Q12888')"
"('Q9Y696', 'P41240')"
"('P63010', 'O00291')"
"('P40222', 'O43395')"
"('Q9Y4P8', 'Q8TDY2')"
"('Q6IBS0', 'Q9ULC4')"
"('Q93062', 'P61236')"
"('P07437', 'P09913')"
"('Q13137', 'Q9BSH4')"
"('Q9BUJ2', 'O43711')"
"('Q9HAC7', 'Q9BYD6')"
"('P23458', 'P14784')"
"('Q13618', 'Q9NVR0')"
"('P19367', 'Q8N6T3')"
"('P07992', 'Q92793')"
"('Q9UNA3', 'P84085')"
"('Q96HE9', 'Q15397')"
"('P49286', 'Q96MW5')"
"('Q9BYV6', 'P55769')"
"('P13631', 'Q15025')"
"('Q9H0W5', 'P28799')"
"('P62993', 'Q96RT1')"
"('Q7Z3S9', 'P12236')"
"('P02042', 'P13598')"
"('Q5TIA1', 'Q15843')"
"('P0C0S5', 'Q16778')"
"('Q15363', 'P23508')"
"('Q9BVA1', 'Q13748')"
"('O60506', 'P42356')"
"('O75083', 'Q3KQV9')"
"('Q9Y520', 'P04629')"
"('Q9BVI4', 'A0JLT2')"
"('P56282', 'O96006')"
"('Q5T4F7', 'Q9ULV1')"
"('P54253', 'Q53G59')"
"('Q5T5U3', 'Q8IWL3')"
"('Q99496', 'O76031')"
"('Q99853', 'Q04727')"
"('Q9Y2X7', 'Q9HCH0')"
"('Q13838', 'P78406')"
"('P01588', 'P42702')"
"('Q9Y5K5', 'P25786')"
"('Q96DZ9', 'P30405')"
"('Q92830', 'O75529')"
"('P62263', 'P49792')"
"('Q00526', 'Q969G2')"
"('Q9Y478', 'P17980')"
"('P78527', 'O75795')"
"('O75643', 'Q96DI7')"
"('P98082', 'Q9H2G2')"
"('P24539', 'Q14164')"
"('Q9NQC3', 'Q9P0N5')"
"('P23769', 'P36406')"
"('P01106', 'O00255')"
"('P61160', 'P23528')"
"('P50458', 'Q8N0U6')"
"('P78362', 'P86480')"
"('O00410', 'Q92844')"
"('Q9BRT9', 'P33992')"
"('P35244', 'Q15554')"
"('O00217', 'O60313')"
"('Q99798', 'P04075')"
"('P03950', 'P13489')"
"('Q99959', 'P27448')"
"('P05113', 'Q8IU57')"
"('Q8IUI8', 'P62316')"
"('P67936', 'Q92614')"
"('P57078', 'P35240')"
"('Q9UHD1', 'Q7L3B6')"
"('Q9UQ90', 'Q496A3')"
"('O95166', 'P17844')"
"('Q9Y2X0', 'Q9BUE0')"
"('P50225', 'Q92783')"
"('Q9NYB0', 'P49736')"
"('Q9BT49', 'Q7Z3Y8')"
"('P50750', 'Q13151')"
"('O95166', 'P25205')"
"('O95155', 'Q9UNE7')"
"('P24539', 'Q14202')"
"('Q01167', 'O60268')"
"('Q12904', 'Q6FI81')"
"('Q15831', 'P05062')"
"('Q9H583', 'Q8N6M8')"
"('P14921', 'Q7L0J3')"
"('Q8IWX8', 'Q99459')"
"('Q9UJZ1', 'P04629')"
"('P63244', 'P21731')"
"('P68402', 'P53041')"
"('Q9BYD2', 'Q8N3F8')"
"('P49685', 'P31946')"
"('P17600', 'Q9H6X2')"
"('P84103', 'Q6EMK4')"
"('P41159', 'P26951')"
"('O00560', 'Q9ULU8')"
"('O00762', 'P51965')"
"('Q9UI09', 'P54709')"
"('Q9H773', 'Q9NQW7')"
"('O14654', 'Q96CW5')"
"('Q01850', 'Q96IJ6')"
"('P84022', 'Q9H7M9')"
"('Q9UJ83', 'Q96E35')"
"('Q9BYG3', 'Q02539')"
"('Q9Y2T2', 'Q9Y2J2')"
"('O43889', 'Q6EMB2')"
"('P25788', 'P35228')"
"('P25789', 'Q7L0Q8')"
"('P27695', 'P26583')"
"('Q5XKK7', 'Q6IA86')"
"('P08575', 'P42768')"
"('P14678', 'P62306')"
"('P27986', 'Q9H1H9')"
"('Q8TAI1', 'Q9BYR9')"
"('P08473', 'P12004')"
"('Q9UH62', 'Q5JWF2')"
"('P62877', 'P78395')"
"('Q7Z739', 'Q8IUH5')"
"('O95793', 'P19367')"
"('P13612', 'P31040')"
"('Q86SE5', 'Q9HCS7')"
"('Q00839', 'P35251')"
"('P06748', 'Q71UI9')"
"('Q13616', 'Q01082')"
"('P10244', 'Q9UBE8')"
"('Q9Y2G4', 'Q9BUV8')"
"('P42685', 'P06400')"
"('P68366', 'P11021')"
"('O95644', 'Q14974')"
"('Q8N3L3', 'Q96LR2')"
"('Q9UK33', 'P60410')"
"('O95644', 'P05362')"
"('Q13596', 'O60701')"
"('P78318', 'Q01844')"
"('P12931', 'Q96KG7')"
"('O15350', 'Q92667')"
"('Q8NBT0', 'Q3B820')"
"('Q0ZGT2', 'Q8N3V7')"
"('P06493', 'Q9H1E3')"
"('Q92466', 'Q15019')"
"('P11310', 'P30153')"
"('P54577', 'P11142')"
"('Q8TAP6', 'P54725')"
"('Q6NUN9', 'P48047')"
"('P17480', 'Q9UJU2')"
"('Q8TCJ0', 'O43929')"
"('Q5BJF6', 'Q8TCU4')"
"('P01137', 'Q9BY76')"
"('Q13131', 'P55072')"
"('P09874', 'Q7L2J0')"
"('Q15404', 'Q9Y6I4')"
"('Q96EV8', 'Q03001')"
"('Q9Y4E8', 'Q9H257')"
"('P21246', 'Q96EW2')"
"('Q7L190', 'P10599')"
"('P42858', 'Q71U36')"
"('Q9H7B4', 'P25208')"
"('Q92905', 'O95678')"
"('Q9H967', 'P35579')"
"('Q9Y696', 'P23508')"
"('P84022', 'P28749')"
"('P23258', 'P07498')"
"('Q13797', 'P26012')"
"('Q6YHU6', 'O60939')"
"('Q9UHF7', 'Q13547')"
"('P54108', 'P04217')"
"('Q8IWL3', 'O43181')"
"('P32942', 'Q13349')"
"('P49821', 'Q9C009')"
"('Q9UHD1', 'Q9Y371')"
"('Q15369', 'Q9H765')"
"('O75448', 'P48443')"
"('Q96QD5', 'Q00403')"
"('P60370', 'P32242')"
"('Q9NV79', 'Q15370')"
"('Q99747', 'P31321')"
"('Q09472', 'P61457')"
"('P25098', 'Q8N0Y3')"
"('Q6IBW4', 'P09234')"
"('Q9Y5W5', 'Q9H1J7')"
"('P04629', 'Q6UXD5')"
"('Q6NUS6', 'P30837')"
"('Q13137', 'O95201')"
"('P35626', 'Q8NGF1')"
"('Q9NR81', 'Q9BYU1')"
"('P02751', 'P55884')"
"('P51571', 'Q9Y468')"
"('Q8IUQ4', 'Q9Y4B4')"
"('Q06124', 'P30405')"
"('Q96BR6', 'Q7Z3Y8')"
"('Q96PZ0', 'Q92538')"
"('Q9BUE6', 'P0C0E4')"
"('Q99550', 'Q5TB80')"
"('Q99933', 'Q86TG7')"
"('Q9Y4A5', 'Q9UQR1')"
"('O15294', 'P52594')"
"('P10720', 'P46092')"
"('P61254', 'O43324')"
"('Q5VU43', 'P61968')"
"('Q2WGJ6', 'Q8IVD9')"
"('O00567', 'Q12905')"
"('P01909', 'Q13432')"
"('P46776', 'Q99496')"
"('Q15717', 'Q86XR8')"
"('Q99677', 'P63218')"
"('Q9BZE9', 'Q9Y263')"
"('P26583', 'Q08945')"
"('Q10586', 'P35638')"
"('P32780', 'Q9H2D6')"
"('P38919', 'O00571')"
"('P05783', 'O95751')"
"('P11586', 'Q9H9B4')"
"('Q9UJX6', 'Q99459')"
"('P13639', 'Q92597')"
"('P62847', 'P62899')"
"('P62244', 'Q86VP6')"
"('O14757', 'Q9BTD8')"
"('P09651', 'P20930')"
"('Q9UL15', 'Q8TDM6')"
"('P55072', 'Q5T124')"
"('P03372', 'P60763')"
"('Q07666', 'Q9UKS6')"
"('Q9P0J0', 'P12236')"
"('Q13561', 'Q9BTE1')"
"('P13569', 'Q93084')"
"('Q9NUB4', 'Q8IUH5')"
"('Q9H1P3', 'Q9P0L0')"
"('P12980', 'Q96Q42')"
"('O14980', 'Q13487')"
"('P50222', 'Q8N3L3')"
"('Q8WVC0', 'P36873')"
"('Q9BZR8', 'Q9Y296')"
"('O95983', 'Q8NFU7')"
"('Q9NWZ8', 'Q93008')"
"('Q8N8U2', 'Q9BUG6')"
"('P82979', 'Q9ULW0')"
"('Q13045', 'P36873')"
"('P28482', 'P30041')"
"('P17252', 'Q9GZQ8')"
"('Q9UKX7', 'O75694')"
"('Q9Y2W1', 'Q16637')"
"('Q08AM6', 'O15067')"
"('Q6W2J9', 'Q9P2D0')"
"('P01344', 'P35916')"
"('Q16836', 'P38117')"
"('O95544', 'Q96S53')"
"('P00966', 'P43490')"
"('Q9NRR5', 'P0CG06')"
"('O00483', 'O95718')"
"('Q96EV2', 'O00159')"
"('Q9Y3A0', 'Q13011')"
"('P49901', 'P0DN86')"
"('P54709', 'Q9NZJ7')"
"('P10644', 'P82279')"
"('P07954', 'Q9H0W9')"
"('P00403', 'Q14999')"
"('Q7L5D6', 'P46379')"
"('Q15415', 'Q15287')"
"('P14778', 'Q9H0E2')"
"('O43463', 'Q96NE9')"
"('P14678', 'O75177')"
"('Q9H2F3', 'Q92979')"
"('Q9BZ95', 'Q92922')"
"('Q9H204', 'Q9GZV5')"
"('A2RTX5', 'P01106')"
"('Q5T749', 'Q9NZC4')"
"('O43918', 'O60563')"
"('Q8TAD2', 'Q14627')"
"('Q86XK2', 'P63208')"
"('O60506', 'P46063')"
"('Q6NUN9', 'Q02539')"
"('P12931', 'O15530')"
"('Q15149', 'Q9UMR2')"
"('Q96EP5', 'Q9UMY4')"
"('P62854', 'Q9BRP8')"
"('Q70CQ2', 'Q9BSM1')"
"('Q8NHG8', 'P05023')"
"('P05067', 'Q96KN2')"
"('P10909', 'P18509')"
"('O95714', 'O60308')"
"('Q9NU53', 'Q8WUD6')"
"('P42566', 'O94973')"
"('Q7Z3S9', 'A1A5C7')"
"('P16157', 'P36897')"
"('Q99653', 'Q9UBU9')"
"('P08243', 'P17655')"
"('P28482', 'P35658')"
"('Q9Y2T1', 'Q9HB15')"
"('Q9NSB8', 'Q14573')"
"('P42768', 'O14641')"
"('Q8IVL5', 'Q9P2Y4')"
"('P40337', 'Q15942')"
"('Q13151', 'Q8IX12')"
"('P28074', 'P54578')"
"('Q15811', 'Q9HCN6')"
"('Q7Z6B0', 'Q9UJY5')"
"('Q9NQX5', 'A8MQ03')"
"('O15303', 'P63092')"
"('Q9UI14', 'P40426')"
"('P01100', 'Q14686')"
"('O95071', 'Q16659')"
"('Q13617', 'Q86V81')"
"('Q9BX66', 'O14492')"
"('Q15691', 'O60308')"
"('P40227', 'Q86SE9')"
"('P10644', 'Q16659')"
"('P22102', 'P09417')"
"('O95070', 'Q9BQ24')"
"('P62263', 'Q5C9Z4')"
"('P04629', 'Q15006')"
"('O15318', 'P04424')"
"('P18621', 'P46778')"
"('Q09161', 'P31943')"
"('P10398', 'P13639')"
"('P35453', 'Q12778')"
"('Q86XP3', 'P23352')"
"('P42285', 'P48431')"
"('O14733', 'Q9Y6R4')"
"('P62140', 'Q6P4F7')"
"('O00429', 'Q99459')"
"('P17612', 'Q8NGG6')"
"('Q9Y5W8', 'P84996')"
"('Q8WUY9', 'Q9BQ89')"
"('P30740', 'P24158')"
"('Q13085', 'O76071')"
