negatives
"('Q8N8S7', 'Q9UGI8')"
"('O14610', 'P45984')"
"('P46109', 'Q9HB21')"
"('P78329', 'P12931')"
"('P01569', 'P14784')"
"('O60674', 'P50570')"
"('Q9BTT4', 'Q9UM73')"
"('O15169', 'O95996')"
"('P31939', 'P78545')"
"('Q401N2', 'O00754')"
"('P40763', 'P01106')"
"('P32121', 'P67775')"
"('O15533', 'P30511')"
"('Q14192', 'Q9Y4K3')"
"('Q14209', 'Q06609')"
"('P08134', 'Q9Y4K3')"
"('Q96GE4', 'Q7L590')"
"('O00483', 'P51970')"
"('Q06323', 'P08670')"
"('P22681', 'Q8WYR1')"
"('P78537', 'O75478')"
"('P47914', 'P61927')"
"('P51149', 'Q9BUF5')"
"('Q07817', 'Q9UKT9')"
"('P17676', 'Q13485')"
"('Q15256', 'P53778')"
"('P62979', 'P25789')"
"('Q5VVX9', 'Q96EQ8')"
"('P03923', 'O75489')"
"('P13498', 'A8MVU1')"
"('P27037', 'Q9UER7')"
"('P29459', 'Q8IU57')"
"('Q13315', 'P32519')"
"('P51532', 'Q01628')"
"('P54646', 'Q12778')"
"('Q12986', 'P84103')"
"('P33993', 'Q14683')"
"('Q08211', 'P38398')"
"('Q96B97', 'Q13191')"
"('Q9Y6M9', 'O95168')"
"('P33241', 'Q9NNX6')"
"('P34931', 'Q04206')"
"('O75150', 'Q09161')"
"('Q2M3C7', 'Q8TBB1')"
"('Q96GE4', 'Q14691')"
"('P61956', 'O60341')"
"('P04179', 'P01037')"
"('P09471', 'P42338')"
"('Q08211', 'Q13242')"
"('P55210', 'P08670')"
"('Q9Y4K3', 'P31939')"
"('P52735', 'P05783')"
"('P05787', 'P04049')"
"('P11802', 'O96020')"
"('Q13233', 'P45984')"
"('Q99684', 'P01106')"
"('O00212', 'O96013')"
"('P25398', 'P46781')"
"('O00303', 'O60832')"
"('P05452', 'P23443')"
"('P49918', 'P33993')"
"('Q05516', 'Q14192')"
"('O00303', 'Q53GS7')"
"('O60684', 'P63165')"
"('Q12824', 'Q969G3')"
"('Q8IX03', 'Q16659')"
"('Q14457', 'P05412')"
"('Q8TAU3', 'Q15834')"
"('Q04759', 'Q8IV61')"
"('O95715', 'P46094')"
"('P63165', 'Q9C086')"
"('P34897', 'P62993')"
"('Q9NZJ7', 'Q15796')"
"('P51693', 'P18754')"
"('P58181', 'P38405')"
"('P05556', 'Q12929')"
"('O15111', 'Q9BYH8')"
"('Q8N474', 'Q9H1J7')"
"('P61289', 'P11171')"
"('P14314', 'P78545')"
"('O14775', 'Q00722')"
"('P78337', 'Q92985')"
"('P12931', 'P48736')"
"('P06493', 'P06400')"
"('Q14197', 'P30044')"
"('P01100', 'Q04206')"
"('Q9Y5K5', 'Q96EZ8')"
"('P27986', 'P01133')"
"('P46109', 'P27986')"
"('P05015', 'P40238')"
"('Q71UI9', 'Q96DB2')"
"('P32121', 'A6NET4')"
"('P61968', 'P38398')"
"('P41235', 'P02652')"
"('Q9HCC8', 'Q8WVB3')"
"('Q9UIG0', 'O60264')"
"('P04080', 'P18146')"
"('Q96CW1', 'O00291')"
"('P68104', 'Q16363')"
"('Q9H0M0', 'Q9BTC0')"
"('P08631', 'Q99816')"
"('P28827', 'P63244')"
"('Q13094', 'O75791')"
"('P50750', 'Q4G0J3')"
"('P62851', 'P22090')"
"('P14317', 'Q92918')"
"('Q00653', 'P63165')"
"('Q92620', 'P52756')"
"('Q15287', 'Q7Z6J4')"
"('Q9UGN5', 'P10412')"
"('P42224', 'P09912')"
"('P48729', 'P16220')"
"('Q99459', 'Q7Z6Z7')"
"('Q969G2', 'Q9UG01')"
"('Q13748', 'Q9Y572')"
"('P22415', 'P78527')"
"('Q14247', 'O15144')"
"('P03915', 'P03923')"
"('Q9UJV9', 'Q99459')"
"('O15116', 'Q9HAU5')"
"('O60566', 'Q6XZF7')"
"('P08572', 'Q96IP4')"
"('Q96A08', 'P0C5Y9')"
"('P42858', 'Q96CV9')"
"('P04637', 'P36873')"
"('P55854', 'Q2NL82')"
"('O60783', 'Q14164')"
"('Q13145', 'Q14332')"
"('Q13277', 'O95405')"
"('Q13043', 'Q5VYV7')"
"('P03973', 'P28799')"
"('Q14031', 'P08514')"
"('P01106', 'Q14847')"
"('Q13535', 'Q8TAQ2')"
"('Q14194', 'Q6P1K2')"
"('Q13573', 'P08651')"
"('P43364', 'P10275')"
"('P39019', 'P62241')"
"('Q9Y6K9', 'Q9UNS2')"
"('Q14197', 'P28331')"
"('P11234', 'P45984')"
"('Q9Y3U8', 'P40429')"
"('O75940', 'P14678')"
"('O43684', 'O75554')"
"('P16435', 'P12956')"
"('Q969Q5', 'P31150')"
"('P51617', 'O14836')"
