negatives
"frozenset({'Q14511', 'Q96MA1', 'TGFbetaReceptor'})"
"frozenset({'P46379', 'Q6T4P5', 'TGFbetaReceptor'})"
"frozenset({'Q14593', 'TGFbetaReceptor', 'Q96IP4'})"
"frozenset({'Q86UW9', 'P37235', 'TGFbetaReceptor'})"
"frozenset({'Q8N556', 'TGFbetaReceptor', 'Q02156'})"
"frozenset({'P26010', 'Q13477', 'TGFbetaReceptor'})"
"frozenset({'A7MCY6', 'Q9UHD2', 'TGFbetaReceptor'})"
"frozenset({'P05141', 'Q13233', 'TGFbetaReceptor'})"
"frozenset({'P42768', 'P06241', 'TGFbetaReceptor'})"
"frozenset({'O14744', 'Q16543', 'TGFbetaReceptor'})"
"frozenset({'Q96KQ7', 'O75362', 'TGFbetaReceptor'})"
"frozenset({'Q9BRL6', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'Q9NRV9', 'TGFbetaReceptor', 'Q9H8T0'})"
"frozenset({'TGFbetaReceptor', 'Q13620', 'Q92769'})"
"frozenset({'Q9NP77', 'Q8WVJ2', 'TGFbetaReceptor'})"
"frozenset({'P10070', 'O15524', 'TGFbetaReceptor'})"
"frozenset({'Q8TD06', 'Q8IUC1', 'TGFbetaReceptor'})"
"frozenset({'Q99759', 'Q15172', 'TGFbetaReceptor'})"
"frozenset({'Q13618', 'Q9H0H3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P15374', 'Q969Q1'})"
"frozenset({'TGFbetaReceptor', 'P61923', 'Q9HD26'})"
"frozenset({'Q8IWS0', 'P33778', 'TGFbetaReceptor'})"
"frozenset({'Q9BV68', 'Q9Y2L1', 'TGFbetaReceptor'})"
"frozenset({'P62993', 'Q9H1R2', 'TGFbetaReceptor'})"
"frozenset({'Q9BXL7', 'P43403', 'TGFbetaReceptor'})"
"frozenset({'Q9UP38', 'Q9H1J7', 'TGFbetaReceptor'})"
"frozenset({'Q56P42', 'TGFbetaReceptor', 'Q9ULZ3'})"
"frozenset({'P25024', 'O00585', 'TGFbetaReceptor'})"
"frozenset({'P57076', 'O75635', 'TGFbetaReceptor'})"
"frozenset({'P14406', 'TGFbetaReceptor', 'P15923'})"
"frozenset({'P53611', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'Q14CX7', 'P19022', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'A5D8V7', 'Q9HD26'})"
"frozenset({'Q86YS3', 'Q9BXF6', 'TGFbetaReceptor'})"
"frozenset({'Q8IXW5', 'Q9NRZ9', 'TGFbetaReceptor'})"
