negatives
"frozenset({'A0JLT2', 'P17480', 'TGFbetaReceptor'})"
"frozenset({'Q9HAH7', 'P61962', 'TGFbetaReceptor'})"
"frozenset({'Q14498', 'P27694', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q05516', 'Q92769'})"
"frozenset({'P19784', 'Q99496', 'TGFbetaReceptor'})"
"frozenset({'Q8NCE0', 'Q13315', 'TGFbetaReceptor'})"
"frozenset({'Q15717', 'TGFbetaReceptor', 'Q13177'})"
"frozenset({'Q9Y277', 'P48047', 'TGFbetaReceptor'})"
"frozenset({'P42677', 'TGFbetaReceptor', 'P18077'})"
"frozenset({'P30793', 'TGFbetaReceptor', 'O95433'})"
"frozenset({'P63241', 'Q7LFX5', 'TGFbetaReceptor'})"
"frozenset({'P98170', 'Q8IUQ4', 'TGFbetaReceptor'})"
"frozenset({'Q16594', 'O14647', 'TGFbetaReceptor'})"
"frozenset({'P02461', 'Q86VP6', 'TGFbetaReceptor'})"
"frozenset({'P51148', 'O60783', 'TGFbetaReceptor'})"
"frozenset({'P18615', 'TGFbetaReceptor', 'Q09161'})"
"frozenset({'Q92688', 'P05067', 'TGFbetaReceptor'})"
"frozenset({'P05412', 'TGFbetaReceptor', 'Q9UHI6'})"
"frozenset({'Q53HC9', 'P49368', 'TGFbetaReceptor'})"
"frozenset({'P35226', 'P15941', 'TGFbetaReceptor'})"
"frozenset({'Q9Y297', 'O15169', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9UI14', 'Q9Y5X0'})"
"frozenset({'Q9HB75', 'Q8N1F7', 'TGFbetaReceptor'})"
"frozenset({'P30084', 'Q9UQ80', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9Y250', 'Q14241'})"
"frozenset({'Q9NXB0', 'P49368', 'TGFbetaReceptor'})"
"frozenset({'Q93008', 'Q9Y5Y2', 'TGFbetaReceptor'})"
"frozenset({'Q6ZT07', 'Q9UJV9', 'TGFbetaReceptor'})"
"frozenset({'P03372', 'TGFbetaReceptor', 'P46531'})"
"frozenset({'TGFbetaReceptor', 'Q9P2D0', 'Q9UHA4'})"
"frozenset({'Q15287', 'Q9UJV9', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P35226', 'Q8NCA5'})"
"frozenset({'P06748', 'Q16777', 'TGFbetaReceptor'})"
"frozenset({'Q96PG8', 'P04637', 'TGFbetaReceptor'})"
"frozenset({'Q08379', 'P51946', 'TGFbetaReceptor'})"
"frozenset({'Q86X19', 'P48444', 'TGFbetaReceptor'})"
"frozenset({'O76003', 'TGFbetaReceptor', 'Q13422'})"
"frozenset({'Q9Y3Q4', 'P12931', 'TGFbetaReceptor'})"
"frozenset({'P54259', 'TGFbetaReceptor', 'Q9Y219'})"
"frozenset({'Q68DA7', 'P83916', 'TGFbetaReceptor'})"
"frozenset({'O75400', 'Q13595', 'TGFbetaReceptor'})"
"frozenset({'Q13616', 'P04406', 'TGFbetaReceptor'})"
"frozenset({'P62987', 'P49736', 'TGFbetaReceptor'})"
"frozenset({'P0DP23', 'P63098', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5L0', 'Q29983', 'TGFbetaReceptor'})"
"frozenset({'P08069', 'Q00722', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P04637', 'Q09028'})"
"frozenset({'Q15628', 'Q8N163', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q03060', 'P54253'})"
"frozenset({'P16220', 'Q9BTC8', 'TGFbetaReceptor'})"
"frozenset({'O00231', 'Q9UJV3', 'TGFbetaReceptor'})"
"frozenset({'P62995', 'Q01130', 'TGFbetaReceptor'})"
"frozenset({'Q8NFH3', 'P78406', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P13984', 'O94763'})"
"frozenset({'P19338', 'Q13315', 'TGFbetaReceptor'})"
"frozenset({'Q13618', 'Q8NC69', 'TGFbetaReceptor'})"
"frozenset({'Q9H1D9', 'O14802', 'TGFbetaReceptor'})"
"frozenset({'Q9NY46', 'Q07954', 'TGFbetaReceptor'})"
"frozenset({'Q5JST6', 'Q16589', 'TGFbetaReceptor'})"
"frozenset({'P15408', 'P18846', 'TGFbetaReceptor'})"
"frozenset({'P52294', 'TGFbetaReceptor', 'Q9HD26'})"
"frozenset({'Q9Y3C8', 'P21281', 'TGFbetaReceptor'})"
"frozenset({'Q08830', 'Q9H3S7', 'TGFbetaReceptor'})"
"frozenset({'Q96EG3', 'TGFbetaReceptor', 'Q8TF50'})"
"frozenset({'Q5TCZ1', 'Q9NYF3', 'TGFbetaReceptor'})"
"frozenset({'Q5W5X9', 'P13196', 'TGFbetaReceptor'})"
"frozenset({'Q9NRL2', 'P61956', 'TGFbetaReceptor'})"
"frozenset({'Q6NUN9', 'TGFbetaReceptor', 'Q6ZMS7'})"
"frozenset({'O75478', 'Q96ST3', 'TGFbetaReceptor'})"
"frozenset({'P26639', 'P23246', 'TGFbetaReceptor'})"
"frozenset({'P18428', 'P25788', 'TGFbetaReceptor'})"
"frozenset({'O14980', 'TGFbetaReceptor', 'Q96P50'})"
"frozenset({'P31946', 'P68400', 'TGFbetaReceptor'})"
"frozenset({'P12931', 'P26012', 'TGFbetaReceptor'})"
"frozenset({'P62979', 'P14866', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9UQB8', 'P52306'})"
"frozenset({'A8MQ03', 'Q14584', 'TGFbetaReceptor'})"
"frozenset({'Q15038', 'Q96LR5', 'TGFbetaReceptor'})"
"frozenset({'Q96I15', 'Q16773', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2X9', 'Q01860', 'TGFbetaReceptor'})"
"frozenset({'Q9H7F0', 'P17931', 'TGFbetaReceptor'})"
"frozenset({'Q8NH19', 'TGFbetaReceptor', 'P22694'})"
"frozenset({'P34947', 'Q9UBN7', 'TGFbetaReceptor'})"
"frozenset({'P35240', 'Q08188', 'TGFbetaReceptor'})"
"frozenset({'Q06124', 'Q8TBB1', 'TGFbetaReceptor'})"
"frozenset({'Q14202', 'Q92633', 'TGFbetaReceptor'})"
"frozenset({'Q8WVM7', 'Q96DB2', 'TGFbetaReceptor'})"
"frozenset({'Q6IQ23', 'P41252', 'TGFbetaReceptor'})"
"frozenset({'Q9UBU8', 'Q15014', 'TGFbetaReceptor'})"
"frozenset({'Q969T4', 'Q9BVG3', 'TGFbetaReceptor'})"
"frozenset({'P24821', 'P16144', 'TGFbetaReceptor'})"
"frozenset({'P46779', 'P62917', 'TGFbetaReceptor'})"
"frozenset({'P30530', 'P62993', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P51788', 'Q8TAD8'})"
"frozenset({'Q9BZW7', 'TGFbetaReceptor', 'Q9BSG1'})"
"frozenset({'Q9BW85', 'TGFbetaReceptor', 'O43660'})"
"frozenset({'P40763', 'Q16666', 'TGFbetaReceptor'})"
"frozenset({'Q16718', 'TGFbetaReceptor', 'P22612'})"
"frozenset({'O95202', 'Q3LI66', 'TGFbetaReceptor'})"
"frozenset({'P13804', 'Q96EQ0', 'TGFbetaReceptor'})"
"frozenset({'P20749', 'Q13363', 'TGFbetaReceptor'})"
"frozenset({'P02042', 'TGFbetaReceptor', 'P09105'})"
"frozenset({'Q9H7H0', 'Q13137', 'TGFbetaReceptor'})"
"frozenset({'Q9NZ94', 'TGFbetaReceptor', 'P68104'})"
"frozenset({'Q16643', 'TGFbetaReceptor', 'O75128'})"
"frozenset({'Q9BQE3', 'Q14204', 'TGFbetaReceptor'})"
"frozenset({'O00308', 'Q08188', 'TGFbetaReceptor'})"
"frozenset({'Q12888', 'O60563', 'TGFbetaReceptor'})"
"frozenset({'P52564', 'Q9ULV5', 'TGFbetaReceptor'})"
"frozenset({'P61960', 'TGFbetaReceptor', 'Q9UK32'})"
"frozenset({'Q8NFM4', 'P16520', 'TGFbetaReceptor'})"
"frozenset({'Q8NHQ1', 'Q15834', 'TGFbetaReceptor'})"
"frozenset({'O43741', 'O43186', 'TGFbetaReceptor'})"
"frozenset({'Q16513', 'O95470', 'TGFbetaReceptor'})"
"frozenset({'Q16665', 'P11274', 'TGFbetaReceptor'})"
"frozenset({'Q13402', 'P58418', 'TGFbetaReceptor'})"
"frozenset({'Q6PJG6', 'Q9UPP1', 'TGFbetaReceptor'})"
"frozenset({'O43255', 'P63279', 'TGFbetaReceptor'})"
"frozenset({'Q15910', 'Q96T88', 'TGFbetaReceptor'})"
"frozenset({'P07288', 'P02768', 'TGFbetaReceptor'})"
"frozenset({'P35221', 'P11532', 'TGFbetaReceptor'})"
"frozenset({'P43034', 'TGFbetaReceptor', 'Q8N157'})"
"frozenset({'Q969P0', 'P16402', 'TGFbetaReceptor'})"
"frozenset({'P35908', 'Q7Z794', 'TGFbetaReceptor'})"
"frozenset({'Q9Y3B7', 'P49411', 'TGFbetaReceptor'})"
"frozenset({'P58340', 'Q9UIM3', 'TGFbetaReceptor'})"
"frozenset({'P27658', 'Q15038', 'TGFbetaReceptor'})"
"frozenset({'P49715', 'P38936', 'TGFbetaReceptor'})"
"frozenset({'P22612', 'TGFbetaReceptor', 'Q8NGS6'})"
"frozenset({'P60228', 'Q9NRC8', 'TGFbetaReceptor'})"
"frozenset({'A6NI79', 'Q13233', 'TGFbetaReceptor'})"
"frozenset({'O94905', 'P04234', 'TGFbetaReceptor'})"
"frozenset({'P35579', 'TGFbetaReceptor', 'P05412'})"
"frozenset({'Q00722', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'P39023', 'Q9Y2K1', 'TGFbetaReceptor'})"
"frozenset({'Q9UHD9', 'Q16186', 'TGFbetaReceptor'})"
"frozenset({'P52272', 'Q9UQ35', 'TGFbetaReceptor'})"
"frozenset({'Q9HC24', 'P10599', 'TGFbetaReceptor'})"
"frozenset({'Q96NB1', 'TGFbetaReceptor', 'Q9P270'})"
"frozenset({'Q9UBI6', 'P05771', 'TGFbetaReceptor'})"
"frozenset({'P21333', 'P47755', 'TGFbetaReceptor'})"
"frozenset({'P10826', 'P23771', 'TGFbetaReceptor'})"
"frozenset({'Q14683', 'Q13242', 'TGFbetaReceptor'})"
"frozenset({'P60900', 'Q5VYK3', 'TGFbetaReceptor'})"
"frozenset({'Q6ZU80', 'TGFbetaReceptor', 'Q15058'})"
"frozenset({'Q13200', 'P08913', 'TGFbetaReceptor'})"
"frozenset({'P16520', 'TGFbetaReceptor', 'P01111'})"
"frozenset({'Q504Q3', 'Q9HAC8', 'TGFbetaReceptor'})"
"frozenset({'Q9UNX3', 'P61326', 'TGFbetaReceptor'})"
"frozenset({'P60673', 'Q7Z5R6', 'TGFbetaReceptor'})"
"frozenset({'Q9NUL3', 'Q8IVT5', 'TGFbetaReceptor'})"
"frozenset({'P10644', 'Q9Y463', 'TGFbetaReceptor'})"
"frozenset({'Q8NH51', 'P62873', 'TGFbetaReceptor'})"
"frozenset({'Q9NWT6', 'Q3KP44', 'TGFbetaReceptor'})"
"frozenset({'Q15796', 'TGFbetaReceptor', 'Q9H3D4'})"
"frozenset({'P12830', 'TGFbetaReceptor', 'P68431'})"
"frozenset({'P13674', 'Q9Y468', 'TGFbetaReceptor'})"
"frozenset({'P0C862', 'Q8IYK4', 'TGFbetaReceptor'})"
"frozenset({'O43684', 'Q92905', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'TGFbetaReceptor', 'A2VDJ0'})"
"frozenset({'Q92731', 'O43823', 'TGFbetaReceptor'})"
"frozenset({'O00206', 'P01106', 'TGFbetaReceptor'})"
"frozenset({'Q8NI36', 'TGFbetaReceptor', 'Q15269'})"
"frozenset({'TGFbetaReceptor', 'Q2TAY7', 'P04004'})"
"frozenset({'P25786', 'Q8NHQ1', 'TGFbetaReceptor'})"
"frozenset({'Q13618', 'O43175', 'TGFbetaReceptor'})"
"frozenset({'Q9NZJ0', 'P61088', 'TGFbetaReceptor'})"
"frozenset({'P60484', 'P63279', 'TGFbetaReceptor'})"
"frozenset({'Q7Z6G8', 'P00533', 'TGFbetaReceptor'})"
"frozenset({'P14625', 'P51532', 'TGFbetaReceptor'})"
"frozenset({'P56537', 'P63279', 'TGFbetaReceptor'})"
"frozenset({'P20226', 'P09429', 'TGFbetaReceptor'})"
"frozenset({'O75695', 'Q9Y5L0', 'TGFbetaReceptor'})"
"frozenset({'P01857', 'Q9H7N4', 'TGFbetaReceptor'})"
"frozenset({'O00214', 'O00560', 'TGFbetaReceptor'})"
"frozenset({'P40222', 'O43395', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'Q7Z7M0', 'TGFbetaReceptor'})"
"frozenset({'P50993', 'TGFbetaReceptor', 'Q9GZN7'})"
"frozenset({'Q8N715', 'Q13137', 'TGFbetaReceptor'})"
"frozenset({'Q99816', 'O15554', 'TGFbetaReceptor'})"
"frozenset({'Q11206', 'P22304', 'TGFbetaReceptor'})"
"frozenset({'P61158', 'Q9Y606', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P63244', 'P61254'})"
"frozenset({'P01106', 'P13674', 'TGFbetaReceptor'})"
"frozenset({'O43427', 'TGFbetaReceptor', 'P12004'})"
"frozenset({'P62701', 'Q9Y262', 'TGFbetaReceptor'})"
"frozenset({'P42338', 'P61224', 'TGFbetaReceptor'})"
"frozenset({'Q13418', 'Q9P003', 'TGFbetaReceptor'})"
"frozenset({'Q6ZW49', 'P10909', 'TGFbetaReceptor'})"
"frozenset({'Q14314', 'Q9NQC7', 'TGFbetaReceptor'})"
"frozenset({'O75382', 'Q15562', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q16891', 'O14530'})"
"frozenset({'Q15717', 'Q9UBN7', 'TGFbetaReceptor'})"
"frozenset({'Q9Y2J2', 'Q15788', 'TGFbetaReceptor'})"
"frozenset({'P16220', 'Q7Z3K3', 'TGFbetaReceptor'})"
"frozenset({'Q00839', 'P20333', 'TGFbetaReceptor'})"
"frozenset({'Q6IAA8', 'TGFbetaReceptor', 'P68104'})"
"frozenset({'TGFbetaReceptor', 'P55259', 'P04746'})"
"frozenset({'Q8IYR0', 'TGFbetaReceptor', 'Q8IYX7'})"
"frozenset({'TGFbetaReceptor', 'P08047', 'O14813'})"
"frozenset({'Q05516', 'O43504', 'TGFbetaReceptor'})"
"frozenset({'Q9BQ75', 'Q9HCC6', 'TGFbetaReceptor'})"
"frozenset({'Q16531', 'Q9P209', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q5T2T1', 'P29074'})"
"frozenset({'Q13315', 'Q9H7Z6', 'TGFbetaReceptor'})"
"frozenset({'A4D2G3', 'O60262', 'TGFbetaReceptor'})"
"frozenset({'Q8NEP3', 'TGFbetaReceptor', 'Q9NQH7'})"
"frozenset({'P61421', 'Q8NI27', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5M8', 'Q9NPF0', 'TGFbetaReceptor'})"
"frozenset({'P09651', 'Q5QJE6', 'TGFbetaReceptor'})"
"frozenset({'Q9NPJ6', 'Q96RN5', 'TGFbetaReceptor'})"
"frozenset({'Q04837', 'TGFbetaReceptor', 'P68431'})"
"frozenset({'P78369', 'Q8N7P3', 'TGFbetaReceptor'})"
"frozenset({'Q16539', 'TGFbetaReceptor', 'Q8WYK2'})"
"frozenset({'P36507', 'P62714', 'TGFbetaReceptor'})"
"frozenset({'P35711', 'P48431', 'TGFbetaReceptor'})"
"frozenset({'P29372', 'P18887', 'TGFbetaReceptor'})"
"frozenset({'P63151', 'Q9UBN1', 'TGFbetaReceptor'})"
"frozenset({'Q00688', 'Q9UFW8', 'TGFbetaReceptor'})"
"frozenset({'P51812', 'P67870', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'P05388', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q92945', 'P24941'})"
"frozenset({'Q7L2J0', 'P40937', 'TGFbetaReceptor'})"
"frozenset({'O14920', 'Q05513', 'TGFbetaReceptor'})"
"frozenset({'P43243', 'O76011', 'TGFbetaReceptor'})"
"frozenset({'O95477', 'Q8TBB1', 'TGFbetaReceptor'})"
"frozenset({'P27348', 'Q9H9J4', 'TGFbetaReceptor'})"
"frozenset({'P04406', 'Q13315', 'TGFbetaReceptor'})"
"frozenset({'P28482', 'Q9H2K2', 'TGFbetaReceptor'})"
"frozenset({'Q13465', 'Q9ULK4', 'TGFbetaReceptor'})"
"frozenset({'Q96MF2', 'Q8N9E0', 'TGFbetaReceptor'})"
"frozenset({'O75478', 'O14964', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q13620', 'O95678'})"
"frozenset({'Q8NGT1', 'O60262', 'TGFbetaReceptor'})"
"frozenset({'O60331', 'P19022', 'TGFbetaReceptor'})"
"frozenset({'Q99615', 'Q13049', 'TGFbetaReceptor'})"
"frozenset({'Q96MT8', 'P51114', 'TGFbetaReceptor'})"
"frozenset({'O75179', 'P01100', 'TGFbetaReceptor'})"
"frozenset({'P13284', 'TGFbetaReceptor', 'P53355'})"
"frozenset({'P49674', 'P61964', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q14161', 'Q13177'})"
"frozenset({'O43529', 'TGFbetaReceptor', 'Q15818'})"
"frozenset({'TGFbetaReceptor', 'O43715', 'Q9Y255'})"
"frozenset({'P20671', 'P49450', 'TGFbetaReceptor'})"
"frozenset({'P09619', 'P23467', 'TGFbetaReceptor'})"
"frozenset({'Q96DN5', 'Q15691', 'TGFbetaReceptor'})"
"frozenset({'Q6ZW49', 'O75394', 'TGFbetaReceptor'})"
"frozenset({'P63261', 'TGFbetaReceptor', 'P18564'})"
"frozenset({'P52701', 'Q9BV68', 'TGFbetaReceptor'})"
"frozenset({'Q5JSL3', 'P63000', 'TGFbetaReceptor'})"
"frozenset({'P16234', 'O43847', 'TGFbetaReceptor'})"
"frozenset({'Q8N122', 'P31751', 'TGFbetaReceptor'})"
"frozenset({'P31939', 'P61956', 'TGFbetaReceptor'})"
"frozenset({'P61968', 'Q9UKT9', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9BYR7', 'Q8TCT0'})"
"frozenset({'A6NMZ7', 'P05556', 'TGFbetaReceptor'})"
"frozenset({'P52735', 'Q13573', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P18754', 'O00505'})"
"frozenset({'Q5T7P2', 'Q9BYR7', 'TGFbetaReceptor'})"
"frozenset({'Q16665', 'P35227', 'TGFbetaReceptor'})"
"frozenset({'P01591', 'Q13043', 'TGFbetaReceptor'})"
"frozenset({'Q9UQC2', 'O00459', 'TGFbetaReceptor'})"
"frozenset({'Q02539', 'Q9H7H0', 'TGFbetaReceptor'})"
"frozenset({'P27348', 'Q14814', 'TGFbetaReceptor'})"
"frozenset({'Q14764', 'TGFbetaReceptor', 'O43586'})"
"frozenset({'TGFbetaReceptor', 'Q8NBX0', 'P35754'})"
"frozenset({'TGFbetaReceptor', 'P06576', 'Q9Y6M9'})"
"frozenset({'P11940', 'P39023', 'TGFbetaReceptor'})"
"frozenset({'P20823', 'Q8IUE6', 'TGFbetaReceptor'})"
"frozenset({'O00625', 'P49721', 'TGFbetaReceptor'})"
"frozenset({'Q9NZJ5', 'TGFbetaReceptor', 'Q13077'})"
"frozenset({'Q9Y3C7', 'Q03519', 'TGFbetaReceptor'})"
"frozenset({'Q9HCE7', 'TGFbetaReceptor', 'Q96AV8'})"
"frozenset({'Q8NEP3', 'TGFbetaReceptor', 'O76003'})"
"frozenset({'P07948', 'Q8NDB2', 'TGFbetaReceptor'})"
"frozenset({'P08581', 'TGFbetaReceptor', 'Q9ULZ2'})"
"frozenset({'O15259', 'TGFbetaReceptor', 'Q07912'})"
"frozenset({'Q9BR84', 'P60369', 'TGFbetaReceptor'})"
"frozenset({'Q13151', 'Q9GZQ8', 'TGFbetaReceptor'})"
"frozenset({'Q08J23', 'P67809', 'TGFbetaReceptor'})"
"frozenset({'P38117', 'TGFbetaReceptor', 'Q6DD88'})"
"frozenset({'Q9H244', 'Q5U3C3', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q5VWX1', 'Q13882'})"
"frozenset({'TGFbetaReceptor', 'Q9UPR0', 'P62136'})"
"frozenset({'Q9Y2K5', 'Q15323', 'TGFbetaReceptor'})"
"frozenset({'Q9UHF5', 'TGFbetaReceptor', 'Q9NRM6'})"
"frozenset({'P68036', 'Q9BT67', 'TGFbetaReceptor'})"
"frozenset({'Q9UHL9', 'Q13315', 'TGFbetaReceptor'})"
"frozenset({'P13798', 'Q14247', 'TGFbetaReceptor'})"
"frozenset({'Q96C23', 'Q01415', 'TGFbetaReceptor'})"
"frozenset({'P38484', 'TGFbetaReceptor', 'Q13007'})"
"frozenset({'P36941', 'Q9BR77', 'TGFbetaReceptor'})"
"frozenset({'Q96B96', 'Q9UGQ2', 'TGFbetaReceptor'})"
"frozenset({'P29084', 'P50613', 'TGFbetaReceptor'})"
"frozenset({'P0DP23', 'O75592', 'TGFbetaReceptor'})"
"frozenset({'Q15554', 'P28340', 'TGFbetaReceptor'})"
"frozenset({'Q96JB5', 'P62906', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P85037', 'P29692'})"
"frozenset({'Q9BWJ2', 'O76015', 'TGFbetaReceptor'})"
"frozenset({'Q92731', 'P01178', 'TGFbetaReceptor'})"
"frozenset({'O95298', 'Q15717', 'TGFbetaReceptor'})"
"frozenset({'Q04864', 'Q96B26', 'TGFbetaReceptor'})"
"frozenset({'P48146', 'O76011', 'TGFbetaReceptor'})"
"frozenset({'P61604', 'Q9UJ68', 'TGFbetaReceptor'})"
"frozenset({'O15379', 'Q7L7L0', 'TGFbetaReceptor'})"
"frozenset({'Q09472', 'P14618', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O95425', 'Q14896'})"
"frozenset({'Q68CP9', 'TGFbetaReceptor', 'P24522'})"
"frozenset({'Q13547', 'Q8N680', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q9NPD8', 'Q9NVI1'})"
"frozenset({'Q9Y4P1', 'O75385', 'TGFbetaReceptor'})"
"frozenset({'Q9NRL3', 'Q9BQ95', 'TGFbetaReceptor'})"
"frozenset({'Q9P015', 'Q9HD33', 'TGFbetaReceptor'})"
"frozenset({'P62875', 'Q9NQT4', 'TGFbetaReceptor'})"
"frozenset({'P25963', 'P63208', 'TGFbetaReceptor'})"
"frozenset({'Q05639', 'Q99759', 'TGFbetaReceptor'})"
"frozenset({'Q13309', 'P17542', 'TGFbetaReceptor'})"
"frozenset({'P04406', 'P04075', 'TGFbetaReceptor'})"
"frozenset({'Q9NRD1', 'TGFbetaReceptor', 'Q16643'})"
"frozenset({'P27540', 'P12931', 'TGFbetaReceptor'})"
"frozenset({'P11940', 'P26368', 'TGFbetaReceptor'})"
"frozenset({'P11308', 'O15393', 'TGFbetaReceptor'})"
"frozenset({'O43741', 'TGFbetaReceptor', 'Q12933'})"
"frozenset({'P24928', 'TGFbetaReceptor', 'Q00403'})"
"frozenset({'TGFbetaReceptor', 'Q86YR5', 'Q63ZY3'})"
"frozenset({'Q8N108', 'TGFbetaReceptor', 'O95785'})"
"frozenset({'Q4V328', 'TGFbetaReceptor', 'Q9UNL4'})"
"frozenset({'O95793', 'P14635', 'TGFbetaReceptor'})"
"frozenset({'Q96CX2', 'P22059', 'TGFbetaReceptor'})"
"frozenset({'P35249', 'P47897', 'TGFbetaReceptor'})"
"frozenset({'Q9BXT2', 'Q9UQM7', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6H1', 'TGFbetaReceptor', 'Q12933'})"
"frozenset({'Q9ULK4', 'Q8N5D0', 'TGFbetaReceptor'})"
"frozenset({'O95793', 'P26641', 'TGFbetaReceptor'})"
"frozenset({'Q92993', 'O60684', 'TGFbetaReceptor'})"
"frozenset({'O43463', 'A6NEM1', 'TGFbetaReceptor'})"
"frozenset({'P46934', 'Q9H930', 'TGFbetaReceptor'})"
"frozenset({'Q00005', 'TGFbetaReceptor', 'Q9Y5Z7'})"
"frozenset({'O95274', 'Q9BTX1', 'TGFbetaReceptor'})"
"frozenset({'P49588', 'TGFbetaReceptor', 'P08238'})"
"frozenset({'Q9BWN1', 'O14595', 'TGFbetaReceptor'})"
"frozenset({'Q12756', 'O94986', 'TGFbetaReceptor'})"
"frozenset({'O75841', 'Q12982', 'TGFbetaReceptor'})"
"frozenset({'P05423', 'Q99729', 'TGFbetaReceptor'})"
"frozenset({'P0DPB3', 'P11137', 'TGFbetaReceptor'})"
"frozenset({'Q13616', 'O43474', 'TGFbetaReceptor'})"
"frozenset({'Q9Y6C9', 'Q99643', 'TGFbetaReceptor'})"
"frozenset({'O00567', 'Q14011', 'TGFbetaReceptor'})"
"frozenset({'P37058', 'Q15796', 'TGFbetaReceptor'})"
"frozenset({'Q9H9V9', 'Q9UBU9', 'TGFbetaReceptor'})"
"frozenset({'O95865', 'Q9H5J8', 'TGFbetaReceptor'})"
"frozenset({'Q9H2G2', 'Q15427', 'TGFbetaReceptor'})"
"frozenset({'P22304', 'Q5VSG8', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q8TAD4', 'P63027'})"
"frozenset({'Q9Y6Q9', 'O15264', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q4G0M1', 'Q86YD3'})"
"frozenset({'Q4V328', 'Q99598', 'TGFbetaReceptor'})"
"frozenset({'Q16658', 'Q9UKE5', 'TGFbetaReceptor'})"
"frozenset({'Q9Y5N1', 'Q99962', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'Q13829', 'Q9UHB6'})"
"frozenset({'Q9H040', 'P42166', 'TGFbetaReceptor'})"
"frozenset({'Q14008', 'Q9H2G2', 'TGFbetaReceptor'})"
"frozenset({'O75821', 'P20042', 'TGFbetaReceptor'})"
"frozenset({'Q9BVS5', 'TGFbetaReceptor', 'Q8NI37'})"
"frozenset({'TGFbetaReceptor', 'P00568', 'Q6Y288'})"
"frozenset({'Q15717', 'P01584', 'TGFbetaReceptor'})"
"frozenset({'O75717', 'Q9BPZ2', 'TGFbetaReceptor'})"
"frozenset({'Q8IWZ5', 'TGFbetaReceptor', 'O76003'})"
"frozenset({'Q13033', 'P49917', 'TGFbetaReceptor'})"
"frozenset({'Q13618', 'P33076', 'TGFbetaReceptor'})"
"frozenset({'P49810', 'Q6PIL6', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'O43399', 'P46060'})"
"frozenset({'P17181', 'P01563', 'TGFbetaReceptor'})"
"frozenset({'P16104', 'Q9Y4L1', 'TGFbetaReceptor'})"
"frozenset({'Q96KC2', 'Q9BU64', 'TGFbetaReceptor'})"
"frozenset({'TGFbetaReceptor', 'P49759', 'O76083'})"
"frozenset({'Q9BXW9', 'Q9ULX7', 'TGFbetaReceptor'})"
"frozenset({'P12830', 'Q7Z2W4', 'TGFbetaReceptor'})"
"frozenset({'P49736', 'O94826', 'TGFbetaReceptor'})"
"frozenset({'P07355', 'Q8N6T7', 'TGFbetaReceptor'})"
"frozenset({'Q5W0B1', 'Q96DB2', 'TGFbetaReceptor'})"
"frozenset({'P19320', 'Q9Y262', 'TGFbetaReceptor'})"
"frozenset({'Q08380', 'P29353', 'TGFbetaReceptor'})"
"frozenset({'P78424', 'Q13541', 'TGFbetaReceptor'})"
"frozenset({'Q9NZM5', 'O14958', 'TGFbetaReceptor'})"
"frozenset({'Q9UI15', 'TGFbetaReceptor', 'P13929'})"
"frozenset({'P60228', 'TGFbetaReceptor', 'P62330'})"
"frozenset({'P19320', 'P46776', 'TGFbetaReceptor'})"
