negatives
"frozenset({'Q96IT1', 'P15880', 'IL4'})"
"frozenset({'Q567U6', 'IL4', 'Q14161'})"
"frozenset({'P61586', 'IL4', 'Q13464'})"
"frozenset({'P04075', 'IL4', 'A7E2Y1'})"
"frozenset({'Q9BQ87', 'IL4', 'Q9Y266'})"
"frozenset({'P46100', 'IL4', 'P61956'})"
"frozenset({'Q8NGV6', 'IL4', 'P38405'})"
"frozenset({'P62993', 'IL4', 'Q05513'})"
"frozenset({'Q16181', 'Q13641', 'IL4'})"
"frozenset({'IL4', 'P61313', 'P55209'})"
"frozenset({'P68036', 'IL4', 'P01100'})"
"frozenset({'IL4', 'Q6UWB1', 'P40225'})"
"frozenset({'Q9H9G7', 'Q58FF7', 'IL4'})"
"frozenset({'Q8WWY3', 'Q13625', 'IL4'})"
"frozenset({'Q8TAF3', 'IL4', 'Q14152'})"
"frozenset({'P23497', 'IL4', 'P49792'})"
"frozenset({'P60953', 'P33316', 'IL4'})"
"frozenset({'Q13616', 'Q9H4L4', 'IL4'})"
"frozenset({'P03372', 'IL4', 'O14777'})"
"frozenset({'Q9ULK4', 'IL4', 'Q96T37'})"
"frozenset({'IL4', 'Q9Y3C5', 'Q13546'})"
"frozenset({'Q58FG0', 'Q96GD4', 'IL4'})"
"frozenset({'P29474', 'IL4', 'Q92743'})"
"frozenset({'P54274', 'IL4', 'Q8WVM7'})"
"frozenset({'Q15678', 'P01106', 'IL4'})"
"frozenset({'P60953', 'P32121', 'IL4'})"
"frozenset({'IL4', 'Q9Y272', 'P16520'})"
"frozenset({'P57078', 'Q15185', 'IL4'})"
"frozenset({'P28072', 'IL4', 'P28074'})"
"frozenset({'P15880', 'IL4', 'Q659C4'})"
"frozenset({'O75147', 'O43390', 'IL4'})"
"frozenset({'Q7Z6Z7', 'IL4', 'P49959'})"
"frozenset({'P50453', 'Q13432', 'IL4'})"
"frozenset({'O00159', 'IL4', 'Q12906'})"
"frozenset({'P23284', 'IL4', 'O75152'})"
"frozenset({'IL4', 'Q9Y5S2', 'Q13546'})"
"frozenset({'P35070', 'Q15303', 'IL4'})"
"frozenset({'Q96KK5', 'IL4', 'P07954'})"
"frozenset({'P19784', 'IL4', 'P16383'})"
"frozenset({'P06899', 'IL4', 'Q9UKV0'})"
"frozenset({'IL4', 'P35244', 'O75717'})"
"frozenset({'IL4', 'P49407', 'Q8TD57'})"
"frozenset({'P36955', 'Q7L775', 'IL4'})"
"frozenset({'Q99942', 'IL4', 'P51668'})"
"frozenset({'Q8NHZ8', 'Q9UI95', 'IL4'})"
"frozenset({'Q96NT1', 'P54257', 'IL4'})"
"frozenset({'P06241', 'IL4', 'P54829'})"
"frozenset({'Q8TAD2', 'IL4', 'P26992'})"
"frozenset({'IL4', 'A6NKK0', 'P62873'})"
"frozenset({'P11940', 'IL4', 'P68871'})"
"frozenset({'Q71RG4', 'Q9UMX0', 'IL4'})"
"frozenset({'IL4', 'Q13153', 'P30613'})"
"frozenset({'Q8IWL3', 'IL4', 'Q9H0U6'})"
"frozenset({'P52594', 'IL4', 'P12830'})"
"frozenset({'Q13547', 'P11310', 'IL4'})"
"frozenset({'P62987', 'IL4', 'P19838'})"
"frozenset({'P10275', 'IL4', 'O96028'})"
"frozenset({'Q9BTT4', 'P24928', 'IL4'})"
"frozenset({'Q8N6H7', 'P03372', 'IL4'})"
"frozenset({'P02751', 'IL4', 'Q13765'})"
"frozenset({'P14859', 'P17096', 'IL4'})"
"frozenset({'Q9UHI6', 'O60939', 'IL4'})"
"frozenset({'IL4', 'Q15554', 'Q9UKJ3'})"
"frozenset({'IL4', 'P10828', 'P10588'})"
"frozenset({'Q8NI32', 'IL4', 'Q96JB5'})"
"frozenset({'O60870', 'IL4', 'P27694'})"
"frozenset({'Q9H4M9', 'Q7L804', 'IL4'})"
"frozenset({'P09016', 'IL4', 'O95863'})"
"frozenset({'P51677', 'IL4', 'Q07325'})"
"frozenset({'IL4', 'Q9UGP8', 'O00629'})"
"frozenset({'P25098', 'IL4', 'Q9H340'})"
"frozenset({'Q86UX6', 'IL4', 'P62993'})"
"frozenset({'P20671', 'IL4', 'Q9UJW3'})"
"frozenset({'Q15560', 'P08670', 'IL4'})"
"frozenset({'Q53EP0', 'IL4', 'P20807'})"
"frozenset({'P16104', 'IL4', 'P49407'})"
"frozenset({'Q9H6Z9', 'IL4', 'Q8NC74'})"
"frozenset({'IL4', 'Q9HCE1', 'O75683'})"
"frozenset({'P17844', 'IL4', 'P29353'})"
"frozenset({'Q9ULV4', 'IL4', 'Q16864'})"
"frozenset({'IL4', 'P29016', 'Q9NZ53'})"
"frozenset({'P54652', 'Q8NHY2', 'IL4'})"
"frozenset({'Q96JZ2', 'IL4', 'Q9BXM7'})"
"frozenset({'Q8TBX8', 'Q15717', 'IL4'})"
"frozenset({'IL4', 'P25101', 'Q96KC2'})"
"frozenset({'IL4', 'O95166', 'P62081'})"
"frozenset({'Q9UHX1', 'P54727', 'IL4'})"
"frozenset({'Q13535', 'Q9P0V9', 'IL4'})"
"frozenset({'Q13242', 'IL4', 'O75937'})"
"frozenset({'P62888', 'P05387', 'IL4'})"
"frozenset({'P30450', 'Q8NHL6', 'IL4'})"
"frozenset({'IL4', 'P21333', 'Q9Y4I1'})"
"frozenset({'P61254', 'P62241', 'IL4'})"
"frozenset({'O15344', 'O95210', 'IL4'})"
"frozenset({'IL4', 'P40763', 'O43439'})"
"frozenset({'IL4', 'Q9UQR1', 'Q6W2J9'})"
"frozenset({'O95433', 'IL4', 'O14490'})"
"frozenset({'P56385', 'IL4', 'P63220'})"
"frozenset({'IL4', 'P04083', 'P68133'})"
"frozenset({'P45984', 'P11234', 'IL4'})"
"frozenset({'Q13144', 'IL4', 'Q9H1Y3'})"
"frozenset({'IL4', 'P51572', 'O15078'})"
"frozenset({'Q9H4L4', 'IL4', 'Q9P2P5'})"
"frozenset({'Q13683', 'P21333', 'IL4'})"
"frozenset({'IL4', 'O96008', 'Q9H0U4'})"
"frozenset({'O15524', 'IL4', 'P42680'})"
"frozenset({'Q9Y5K5', 'IL4', 'P25789'})"
"frozenset({'P61006', 'IL4', 'Q13277'})"
"frozenset({'P41225', 'IL4', 'O43186'})"
"frozenset({'Q8N2W9', 'P48552', 'IL4'})"
"frozenset({'Q15046', 'IL4', 'P18621'})"
"frozenset({'Q96EF6', 'IL4', 'Q93034'})"
"frozenset({'IL4', 'O43825', 'P04114'})"
"frozenset({'O14980', 'P62241', 'IL4'})"
"frozenset({'IL4', 'P62266', 'P24941'})"
"frozenset({'Q9NQX3', 'IL4', 'Q3SX64'})"
"frozenset({'IL4', 'P23396', 'Q9BRP8'})"
"frozenset({'Q5S007', 'IL4', 'Q00610'})"
"frozenset({'P46734', 'IL4', 'Q16539'})"
"frozenset({'Q04864', 'P01116', 'IL4'})"
"frozenset({'P11487', 'IL4', 'P17948'})"
"frozenset({'P46379', 'Q15714', 'IL4'})"
"frozenset({'Q6NUS6', 'IL4', 'Q9BZF1'})"
"frozenset({'Q8TCB6', 'IL4', 'P38405'})"
"frozenset({'Q9NPJ8', 'IL4', 'Q9BWW4'})"
"frozenset({'P54725', 'IL4', 'Q96BR9'})"
"frozenset({'Q8IVH2', 'IL4', 'P46013'})"
"frozenset({'Q8WXU2', 'IL4', 'O60341'})"
"frozenset({'Q8IVT5', 'IL4', 'P61158'})"
"frozenset({'IL4', 'Q6PJG2', 'Q16539'})"
"frozenset({'Q9Y5A6', 'IL4', 'P60411'})"
"frozenset({'IL4', 'P52732', 'Q8N4J0'})"
"frozenset({'IL4', 'Q01362', 'P17947'})"
"frozenset({'IL4', 'P10768', 'P04629'})"
"frozenset({'P06241', 'Q6PIZ9', 'IL4'})"
"frozenset({'Q9UPZ9', 'IL4', 'P05067'})"
"frozenset({'P17096', 'P19838', 'IL4'})"
"frozenset({'P10415', 'IL4', 'Q14738'})"
"frozenset({'IL4', 'P62805', 'P25205'})"
"frozenset({'Q96R72', 'Q92731', 'IL4'})"
"frozenset({'P30281', 'Q9BT43', 'IL4'})"
"frozenset({'O15530', 'IL4', 'Q13191'})"
"frozenset({'P06733', 'Q969M1', 'IL4'})"
"frozenset({'P01857', 'IL4', 'P31994'})"
