negatives
"frozenset({'Q14157', 'Receptor', 'P63027'})"
"frozenset({'Q9BWJ5', 'Q96F63', 'Receptor'})"
"frozenset({'Q9NRD1', 'P60891', 'Receptor'})"
"frozenset({'Q15717', 'Q8IYN2', 'Receptor'})"
"frozenset({'Receptor', 'P09622', 'P07954'})"
"frozenset({'P40617', 'Q2TAC2', 'Receptor'})"
"frozenset({'O75665', 'P52209', 'Receptor'})"
"frozenset({'P07199', 'Q9HC52', 'Receptor'})"
"frozenset({'P63261', 'Receptor', 'P02751'})"
"frozenset({'P32754', 'P38936', 'Receptor'})"
"frozenset({'P19387', 'Receptor', 'P18615'})"
"frozenset({'P51170', 'Q9Y6Q5', 'Receptor'})"
"frozenset({'P35232', 'P51572', 'Receptor'})"
"frozenset({'P22626', 'Q96CS2', 'Receptor'})"
"frozenset({'P18146', 'O75937', 'Receptor'})"
"frozenset({'Q14596', 'Q9NYZ3', 'Receptor'})"
"frozenset({'Q9UBK2', 'O75925', 'Receptor'})"
"frozenset({'Q9Y478', 'Receptor', 'O00764'})"
"frozenset({'O43741', 'Q9P2W3', 'Receptor'})"
"frozenset({'Q13416', 'P13500', 'Receptor'})"
"frozenset({'Receptor', 'Q9NQZ2', 'Q13748'})"
"frozenset({'P32121', 'Q8NGT7', 'Receptor'})"
"frozenset({'O00329', 'P17948', 'Receptor'})"
"frozenset({'Q96DV4', 'P09001', 'Receptor'})"
"frozenset({'Q9NRR4', 'P04637', 'Receptor'})"
"frozenset({'Q8WUM0', 'Q16666', 'Receptor'})"
"frozenset({'Receptor', 'Q9P2T0', 'P48643'})"
"frozenset({'Q12905', 'Receptor', 'P49770'})"
"frozenset({'Receptor', 'P61326', 'P16989'})"
"frozenset({'Q05193', 'P27986', 'Receptor'})"
"frozenset({'O75306', 'Q9UI09', 'Receptor'})"
"frozenset({'Q3LI76', 'P59990', 'Receptor'})"
"frozenset({'Receptor', 'P49368', 'Q14164'})"
"frozenset({'O95166', 'P46087', 'Receptor'})"
"frozenset({'Q14978', 'P22087', 'Receptor'})"
"frozenset({'P05141', 'Q13148', 'Receptor'})"
"frozenset({'P38919', 'Q13523', 'Receptor'})"
"frozenset({'Q5SVS4', 'P35613', 'Receptor'})"
"frozenset({'P37198', 'P52292', 'Receptor'})"
"frozenset({'P31946', 'P85037', 'Receptor'})"
"frozenset({'Q9ULZ3', 'Receptor', 'Q86W26'})"
"frozenset({'P24928', 'O60563', 'Receptor'})"
"frozenset({'Q9NQG5', 'A5D8V6', 'Receptor'})"
"frozenset({'Q13642', 'Q5VU43', 'Receptor'})"
"frozenset({'Q15238', 'O75400', 'Receptor'})"
"frozenset({'P57078', 'Q9BUF5', 'Receptor'})"
"frozenset({'P41218', 'P16104', 'Receptor'})"
"frozenset({'Q6Y7W6', 'Q8TAP6', 'Receptor'})"
"frozenset({'Receptor', 'P10451', 'Q9NZI2'})"
"frozenset({'P37840', 'Receptor', 'P49841'})"
"frozenset({'Q9Y4B4', 'Q8IUQ4', 'Receptor'})"
"frozenset({'P57076', 'P17900', 'Receptor'})"
