negatives
"frozenset({'Q13573', 'Hedgehog', 'Q9UKM9'})"
"frozenset({'P55072', 'P14784', 'Hedgehog'})"
"frozenset({'Q00987', 'Hedgehog', 'P09211'})"
"frozenset({'P48729', 'Q9H0K1', 'Hedgehog'})"
"frozenset({'Q99665', 'Q8IZI9', 'Hedgehog'})"
"frozenset({'Q9NQT8', 'Hedgehog', 'P41182'})"
"frozenset({'O00483', 'Hedgehog', 'Q07021'})"
"frozenset({'Hedgehog', 'P57721', 'Q9UKE5'})"
"frozenset({'Hedgehog', 'P51168', 'P37088'})"
"frozenset({'Q8TAF3', 'Q96HN2', 'Hedgehog'})"
"frozenset({'O75398', 'Hedgehog', 'P52758'})"
"frozenset({'P16333', 'O60244', 'Hedgehog'})"
"frozenset({'P48444', 'Hedgehog', 'Q99459'})"
"frozenset({'P36873', 'Hedgehog', 'Q9Y4K3'})"
"frozenset({'Q7L2H7', 'Hedgehog', 'P01241'})"
"frozenset({'Hedgehog', 'Q96JC4', 'Q6L8G8'})"
"frozenset({'Q03111', 'Q6W2J9', 'Hedgehog'})"
"frozenset({'Q96HE9', 'Q6ZN17', 'Hedgehog'})"
"frozenset({'Q5VTD9', 'Hedgehog', 'O00468'})"
"frozenset({'P17542', 'Hedgehog', 'Q01826'})"
"frozenset({'Hedgehog', 'P11279', 'Q5VZM2'})"
"frozenset({'P40763', 'Q07666', 'Hedgehog'})"
"frozenset({'Q15843', 'Q15046', 'Hedgehog'})"
"frozenset({'P56537', 'Hedgehog', 'P06730'})"
"frozenset({'P35606', 'Hedgehog', 'Q96T51'})"
"frozenset({'O43264', 'Hedgehog', 'Q00341'})"
"frozenset({'P82979', 'Hedgehog', 'Q6Y2X3'})"
"frozenset({'P05067', 'Hedgehog', 'Q12824'})"
"frozenset({'Q9UPN9', 'Q15717', 'Hedgehog'})"
"frozenset({'Q9UPN9', 'P22557', 'Hedgehog'})"
"frozenset({'P0DMN0', 'Q16637', 'Hedgehog'})"
"frozenset({'Q13237', 'P32418', 'Hedgehog'})"
"frozenset({'P18124', 'Hedgehog', 'P63220'})"
"frozenset({'P62993', 'Q04917', 'Hedgehog'})"
"frozenset({'P31995', 'Q8N6C8', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P78527', 'Q9UBX2'})"
"frozenset({'Q8TDY2', 'Q4ZG55', 'Hedgehog'})"
"frozenset({'Q92905', 'P47929', 'Hedgehog'})"
"frozenset({'P49736', 'Hedgehog', 'Q6MZT1'})"
"frozenset({'Q5JTV8', 'Q9UHL9', 'Hedgehog'})"
"frozenset({'Q9Y243', 'P04049', 'Hedgehog'})"
"frozenset({'Q9BQE3', 'O43237', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P18206', 'P13612'})"
"frozenset({'P56750', 'Hedgehog', 'Q16625'})"
"frozenset({'Q8N752', 'Hedgehog', 'P20333'})"
"frozenset({'Hedgehog', 'Q7Z794', 'P46108'})"
"frozenset({'Q5HYA8', 'Q92667', 'Hedgehog'})"
"frozenset({'P04083', 'Q96IY1', 'Hedgehog'})"
"frozenset({'Q6WCQ1', 'Hedgehog', 'Q9UKW4'})"
"frozenset({'P55072', 'Q92905', 'Hedgehog'})"
"frozenset({'P01133', 'P29353', 'Hedgehog'})"
"frozenset({'Q07812', 'P12235', 'Hedgehog'})"
"frozenset({'P78362', 'Hedgehog', 'Q13247'})"
"frozenset({'Q5JTW2', 'Hedgehog', 'Q9HCE1'})"
"frozenset({'P60409', 'Q99895', 'Hedgehog'})"
"frozenset({'Q9NRG1', 'P48431', 'Hedgehog'})"
"frozenset({'Q86YN6', 'Q9UDV6', 'Hedgehog'})"
"frozenset({'Hedgehog', 'P40692', 'Q9H9S4'})"
"frozenset({'Hedgehog', 'Q92561', 'Q96JG8'})"
"frozenset({'Q13153', 'Q9ULZ3', 'Hedgehog'})"
"frozenset({'Q9Y6J9', 'Hedgehog', 'O75529'})"
"frozenset({'Q8NHX4', 'Q9BYR5', 'Hedgehog'})"
"frozenset({'P01242', 'Q9BUE6', 'Hedgehog'})"
"frozenset({'Q14197', 'P31040', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q8TD17', 'Q9NX04'})"
"frozenset({'Q5T442', 'P56693', 'Hedgehog'})"
"frozenset({'Hedgehog', 'Q9Y4E8', 'Q9H668'})"
"frozenset({'Q92993', 'Q9H840', 'Hedgehog'})"
"frozenset({'P43631', 'Hedgehog', 'P43629'})"
"frozenset({'Hedgehog', 'Q14571', 'Q9H244'})"
"frozenset({'Hedgehog', 'P11717', 'Q9Y5J6'})"
"frozenset({'P06865', 'Q9NQW7', 'Hedgehog'})"
"frozenset({'P12643', 'Hedgehog', 'Q9H2X0'})"
"frozenset({'Q9BV44', 'O95777', 'Hedgehog'})"
"frozenset({'O96020', 'Hedgehog', 'P38936'})"
"frozenset({'Q16665', 'Hedgehog', 'O14746'})"
"frozenset({'P83731', 'P46779', 'Hedgehog'})"
"frozenset({'Q9HBE5', 'Hedgehog', 'P05231'})"
"frozenset({'P30518', 'Q5JY77', 'Hedgehog'})"
"frozenset({'Q15223', 'P21802', 'Hedgehog'})"
"frozenset({'P60568', 'Q01344', 'Hedgehog'})"
"frozenset({'Hedgehog', 'O75530', 'P62995'})"
"frozenset({'P34932', 'P15692', 'Hedgehog'})"
"frozenset({'Q9NYY1', 'Hedgehog', 'Q13261'})"
"frozenset({'Q9HCS4', 'Hedgehog', 'Q9H6I2'})"
"frozenset({'P62913', 'Q9Y2K1', 'Hedgehog'})"
"frozenset({'O15027', 'Q14244', 'Hedgehog'})"
"frozenset({'Q9NRD5', 'P31645', 'Hedgehog'})"
"frozenset({'Q9Y3E7', 'Hedgehog', 'O95630'})"
"frozenset({'Hedgehog', 'Q12905', 'O75530'})"
"frozenset({'Q5T653', 'Hedgehog', 'Q96A35'})"
"frozenset({'O95199', 'Hedgehog', 'O00459'})"
"frozenset({'Hedgehog', 'Q53G59', 'P41182'})"
"frozenset({'Q9C0B0', 'Q14152', 'Hedgehog'})"
"frozenset({'Q6ZRY4', 'Hedgehog', 'P86480'})"
"frozenset({'O60293', 'P42858', 'Hedgehog'})"
"frozenset({'P01106', 'Q7Z3D6', 'Hedgehog'})"
"frozenset({'P17066', 'P19838', 'Hedgehog'})"
"frozenset({'P00533', 'P0DML3', 'Hedgehog'})"
"frozenset({'Q9Y2F9', 'Q15717', 'Hedgehog'})"
"frozenset({'Q9BTU6', 'Hedgehog', 'P52732'})"
"frozenset({'Q8N3C7', 'O75386', 'Hedgehog'})"
"frozenset({'P35232', 'P10275', 'Hedgehog'})"
"frozenset({'Q6PK04', 'Q13368', 'Hedgehog'})"
"frozenset({'Q2WGJ6', 'Q9NRQ2', 'Hedgehog'})"
"frozenset({'Q04637', 'P47897', 'Hedgehog'})"
"frozenset({'P98170', 'Q96IK5', 'Hedgehog'})"
"frozenset({'Q7LG56', 'P78362', 'Hedgehog'})"
"frozenset({'O43665', 'O00422', 'Hedgehog'})"
"frozenset({'P43366', 'Q96SB4', 'Hedgehog'})"
"frozenset({'Q92793', 'Q02556', 'Hedgehog'})"
"frozenset({'Q9UQM7', 'Q9Y3A4', 'Hedgehog'})"
"frozenset({'Q13185', 'Q14592', 'Hedgehog'})"
"frozenset({'Q8NGI2', 'Hedgehog', 'Q9P2W3'})"
"frozenset({'Q16539', 'P78356', 'Hedgehog'})"
"frozenset({'Q2TAL6', 'Hedgehog', 'Q9BWG6'})"
"frozenset({'P55084', 'Hedgehog', 'Q8IYR6'})"
"frozenset({'Hedgehog', 'Q7L190', 'Q7Z7K2'})"
"frozenset({'Q8NGB9', 'O60262', 'Hedgehog'})"
"frozenset({'Q8IX21', 'Q13315', 'Hedgehog'})"
"frozenset({'Q8WUM0', 'Hedgehog', 'P61163'})"
"frozenset({'P46783', 'Q01844', 'Hedgehog'})"
"frozenset({'Q13315', 'Q96P11', 'Hedgehog'})"
"frozenset({'P19174', 'P63244', 'Hedgehog'})"
"frozenset({'Q16539', 'Hedgehog', 'P25963'})"
"frozenset({'Q9C009', 'Hedgehog', 'Q9NRZ9'})"
