negatives
"frozenset({'Q13315', 'OncostatinM', 'Q96GD4'})"
"frozenset({'OncostatinM', 'Q15147', 'P62879'})"
"frozenset({'Q02779', 'OncostatinM', 'P42858'})"
"frozenset({'OncostatinM', 'P08588', 'P38405'})"
"frozenset({'OncostatinM', 'Q71U36', 'Q9H9S0'})"
"frozenset({'OncostatinM', 'P30740', 'Q00403'})"
"frozenset({'P35626', 'OncostatinM', 'A6NDH6'})"
"frozenset({'O95229', 'OncostatinM', 'O00622'})"
"frozenset({'OncostatinM', 'Q14140', 'O60733'})"
"frozenset({'OncostatinM', 'Q9HCE1', 'Q8NEY8'})"
"frozenset({'OncostatinM', 'Q9NRC8', 'P08621'})"
"frozenset({'P22694', 'OncostatinM', 'Q8NGX0'})"
"frozenset({'OncostatinM', 'O14654', 'Q9BV73'})"
"frozenset({'OncostatinM', 'Q8N4J0', 'P08235'})"
"frozenset({'OncostatinM', 'P07288', 'P01857'})"
"frozenset({'Q9P253', 'OncostatinM', 'Q86YA3'})"
"frozenset({'OncostatinM', 'P05112', 'O60674'})"
"frozenset({'Q7Z4P5', 'OncostatinM', 'O00238'})"
"frozenset({'OncostatinM', 'O60674', 'P17181'})"
"frozenset({'Q96S96', 'OncostatinM', 'Q02750'})"
"frozenset({'Q05513', 'OncostatinM', 'P13645'})"
"frozenset({'OncostatinM', 'P14373', 'Q9HC52'})"
"frozenset({'P51451', 'OncostatinM', 'P16885'})"
"frozenset({'OncostatinM', 'Q13557', 'P05412'})"
"frozenset({'OncostatinM', 'P05067', 'Q9NSC5'})"
"frozenset({'Q9UKX5', 'OncostatinM', 'Q9HBI1'})"
"frozenset({'OncostatinM', 'Q58FF8', 'Q9BUU2'})"
"frozenset({'OncostatinM', 'P05388', 'P62917'})"
"frozenset({'P46531', 'OncostatinM', 'O94906'})"
"frozenset({'OncostatinM', 'P13807', 'Q9Y250'})"
"frozenset({'OncostatinM', 'P42701', 'P01568'})"
"frozenset({'Q16627', 'OncostatinM', 'P25024'})"
"frozenset({'OncostatinM', 'Q96EQ8', 'P61077'})"
"frozenset({'OncostatinM', 'O95425', 'P62140'})"
"frozenset({'Q9Y371', 'OncostatinM', 'P61923'})"
"frozenset({'P50914', 'Q13617', 'OncostatinM'})"
"frozenset({'P62979', 'OncostatinM', 'P12004'})"
"frozenset({'O14497', 'OncostatinM', 'Q13469'})"
"frozenset({'Q9NP66', 'OncostatinM', 'Q8TBB1'})"
"frozenset({'OncostatinM', 'O43889', 'Q14773'})"
"frozenset({'OncostatinM', 'Q96NE9', 'P61981'})"
"frozenset({'OncostatinM', 'O95466', 'P42166'})"
"frozenset({'OncostatinM', 'Q9Y230', 'Q96CW1'})"
"frozenset({'OncostatinM', 'P62280', 'P61513'})"
"frozenset({'Q13618', 'OncostatinM', 'Q12931'})"
"frozenset({'Q9BYD3', 'Q07021', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9NYL9', 'P24941'})"
"frozenset({'OncostatinM', 'O75530', 'Q9BVP2'})"
"frozenset({'Q96S44', 'OncostatinM', 'Q9Y3C4'})"
"frozenset({'OncostatinM', 'P13637', 'Q99832'})"
"frozenset({'OncostatinM', 'Q5VTY9', 'P10275'})"
"frozenset({'O15162', 'OncostatinM', 'Q8WWR8'})"
"frozenset({'Q9H7B4', 'OncostatinM', 'Q8TAA9'})"
"frozenset({'P51451', 'OncostatinM', 'Q8N5R6'})"
"frozenset({'Q99626', 'OncostatinM', 'Q9UJW3'})"
"frozenset({'OncostatinM', 'O75970', 'Q96A37'})"
"frozenset({'Q9Y277', 'OncostatinM', 'P12236'})"
"frozenset({'Q01970', 'OncostatinM', 'O14745'})"
"frozenset({'OncostatinM', 'P22612', 'O43524'})"
"frozenset({'P30530', 'OncostatinM', 'Q06418'})"
"frozenset({'Q16891', 'Q01780', 'OncostatinM'})"
"frozenset({'Q99436', 'P20618', 'OncostatinM'})"
"frozenset({'Q5VYK3', 'OncostatinM', 'P35580'})"
"frozenset({'Q15424', 'OncostatinM', 'Q70EL2'})"
"frozenset({'OncostatinM', 'P52333', 'P21860'})"
"frozenset({'Q9BYD2', 'OncostatinM', 'Q8IXZ2'})"
"frozenset({'OncostatinM', 'O75962', 'Q16670'})"
"frozenset({'P48039', 'Q14997', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q92817', 'P13674'})"
"frozenset({'OncostatinM', 'P25789', 'Q9C0J9'})"
"frozenset({'OncostatinM', 'P14416', 'P61952'})"
"frozenset({'OncostatinM', 'O95425', 'P04150'})"
"frozenset({'P35626', 'Q5JQS5', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P10909', 'P14625'})"
"frozenset({'P11274', 'OncostatinM', 'O96018'})"
"frozenset({'OncostatinM', 'P35237', 'Q9UKR3'})"
"frozenset({'OncostatinM', 'P21246', 'O43765'})"
"frozenset({'P63000', 'OncostatinM', 'O60890'})"
"frozenset({'P49411', 'Q9GZQ8', 'OncostatinM'})"
"frozenset({'P16473', 'OncostatinM', 'Q9Y467'})"
"frozenset({'P63104', 'Q04837', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9UHB6', 'Q9ULR3'})"
"frozenset({'OncostatinM', 'Q14240', 'O60271'})"
"frozenset({'Q13087', 'OncostatinM', 'P60520'})"
"frozenset({'OncostatinM', 'Q9HCE1', 'Q08211'})"
"frozenset({'OncostatinM', 'Q9Y448', 'Q15154'})"
"frozenset({'OncostatinM', 'Q8NBS9', 'P55060'})"
"frozenset({'Q01804', 'OncostatinM', 'Q02413'})"
"frozenset({'OncostatinM', 'Q13618', 'Q96IK5'})"
"frozenset({'OncostatinM', 'Q92583', 'P51684'})"
"frozenset({'OncostatinM', 'O60563', 'P54277'})"
"frozenset({'O75369', 'OncostatinM', 'Q96C86'})"
"frozenset({'Q9UKI8', 'OncostatinM', 'Q99638'})"
"frozenset({'OncostatinM', 'P35998', 'Q9H040'})"
"frozenset({'OncostatinM', 'P50991', 'Q9NVK5'})"
"frozenset({'OncostatinM', 'Q9Y248', 'P13639'})"
"frozenset({'OncostatinM', 'P07355', 'P20823'})"
"frozenset({'OncostatinM', 'Q96C55', 'Q9NRD5'})"
"frozenset({'OncostatinM', 'Q9BQ83', 'P35749'})"
"frozenset({'P49336', 'OncostatinM', 'Q13503'})"
"frozenset({'Q9Y5J5', 'OncostatinM', 'P08195'})"
"frozenset({'OncostatinM', 'Q9Y4K3', 'P12081'})"
"frozenset({'OncostatinM', 'O95292', 'Q9Y5X3'})"
"frozenset({'OncostatinM', 'O00571', 'Q13418'})"
"frozenset({'OncostatinM', 'O95630', 'Q9BZP3'})"
"frozenset({'OncostatinM', 'Q16543', 'Q9BSF8'})"
"frozenset({'OncostatinM', 'Q53EL6', 'Q5S007'})"
"frozenset({'OncostatinM', 'Q07890', 'P11233'})"
"frozenset({'P28290', 'OncostatinM', 'P22681'})"
"frozenset({'OncostatinM', 'Q00536', 'O95544'})"
"frozenset({'OncostatinM', 'P15884', 'Q15560'})"
"frozenset({'P04629', 'OncostatinM', 'O00401'})"
"frozenset({'P28482', 'Q8N122', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q92835', 'P46109'})"
"frozenset({'P07900', 'OncostatinM', 'O94966'})"
"frozenset({'OncostatinM', 'Q13478', 'P18146'})"
"frozenset({'OncostatinM', 'Q9ULJ3', 'Q5TCX8'})"
"frozenset({'P49286', 'OncostatinM', 'O15164'})"
"frozenset({'OncostatinM', 'P29590', 'P23458'})"
"frozenset({'OncostatinM', 'Q9UER7', 'Q9H3D4'})"
"frozenset({'O75553', 'OncostatinM', 'Q8WU79'})"
"frozenset({'OncostatinM', 'O95602', 'Q9BXB1'})"
"frozenset({'OncostatinM', 'P52306', 'Q13636'})"
"frozenset({'OncostatinM', 'Q16584', 'P60953'})"
"frozenset({'P12318', 'Q06124', 'OncostatinM'})"
"frozenset({'Q8TEQ6', 'OncostatinM', 'Q93034'})"
"frozenset({'OncostatinM', 'Q9Y6OncostatinM7', 'P12830'})"
"frozenset({'P60903', 'OncostatinM', 'P00747'})"
"frozenset({'OncostatinM', 'Q13573', 'Q8N6R0'})"
"frozenset({'OncostatinM', 'P15735', 'Q92973'})"
"frozenset({'OncostatinM', 'P68133', 'P42771'})"
"frozenset({'P46100', 'OncostatinM', 'Q92793'})"
"frozenset({'OncostatinM', 'P36873', 'P19525'})"
"frozenset({'OncostatinM', 'Q93034', 'Q8N782'})"
"frozenset({'OncostatinM', 'P11021', 'Q8TF40'})"
"frozenset({'OncostatinM', 'Q8TCG1', 'Q92597'})"
"frozenset({'Q15637', 'OncostatinM', 'Q9UBK2'})"
"frozenset({'Q9UBK9', 'OncostatinM', 'Q9BYV6'})"
"frozenset({'Q13492', 'OncostatinM', 'A1L0T0'})"
"frozenset({'P09619', 'OncostatinM', 'P05013'})"
"frozenset({'OncostatinM', 'Q8NI36', 'Q9NY93'})"
"frozenset({'Q9P1W9', 'OncostatinM', 'Q8NFZ0'})"
"frozenset({'OncostatinM', 'Q8N6C5', 'P27037'})"
"frozenset({'Q9Y5B9', 'Q8WVC0', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P01106', 'O43143'})"
"frozenset({'Q5VYK3', 'Q8TF39', 'OncostatinM'})"
"frozenset({'OncostatinM', 'O14867', 'Q92750'})"
"frozenset({'P35244', 'OncostatinM', 'Q99933'})"
"frozenset({'Q9P2K5', 'Q9H9B4', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P63220', 'P46782'})"
"frozenset({'OncostatinM', 'Q9HCG8', 'Q16825'})"
"frozenset({'OncostatinM', 'P30050', 'P62249'})"
"frozenset({'OncostatinM', 'O60749', 'Q15714'})"
"frozenset({'P33992', 'OncostatinM', 'Q93062'})"
"frozenset({'OncostatinM', 'P22694', 'Q8N127'})"
"frozenset({'OncostatinM', 'P27635', 'Q92979'})"
"frozenset({'OncostatinM', 'Q9HBW0', 'P41182'})"
"frozenset({'OncostatinM', 'P37837', 'P07864'})"
"frozenset({'OncostatinM', 'Q9Y4F3', 'Q6ZRI6'})"
"frozenset({'OncostatinM', 'O96017', 'O75400'})"
"frozenset({'OncostatinM', 'Q9BUI4', 'P0DPB5'})"
"frozenset({'P22460', 'OncostatinM', 'Q96EB6'})"
"frozenset({'OncostatinM', 'P62987', 'P58335'})"
"frozenset({'OncostatinM', 'Q9Y224', 'P49770'})"
"frozenset({'OncostatinM', 'Q5VVX9', 'Q6PJ69'})"
"frozenset({'OncostatinM', 'P51959', 'Q13619'})"
"frozenset({'OncostatinM', 'Q70EL4', 'P67870'})"
"frozenset({'Q96FW1', 'Q99623', 'OncostatinM'})"
"frozenset({'Q7Z6L0', 'OncostatinM', 'O43181'})"
"frozenset({'OncostatinM', 'Q92837', 'Q8N2S1'})"
"frozenset({'OncostatinM', 'O75822', 'Q99614'})"
"frozenset({'OncostatinM', 'Q15653', 'Q14161'})"
"frozenset({'OncostatinM', 'Q9HCE1', 'P18848'})"
"frozenset({'OncostatinM', 'O60232', 'Q9NTJ3'})"
"frozenset({'OncostatinM', 'P13612', 'Q8N983'})"
"frozenset({'Q69YU3', 'OncostatinM', 'Q96QF0'})"
"frozenset({'OncostatinM', 'P12109', 'Q15262'})"
"frozenset({'OncostatinM', 'P62899', 'P62249'})"
"frozenset({'Q99750', 'OncostatinM', 'P24278'})"
"frozenset({'OncostatinM', 'Q9Y312', 'Q56P03'})"
"frozenset({'OncostatinM', 'Q9UOncostatinMR2', 'Q92817'})"
"frozenset({'OncostatinM', 'P25098', 'Q9UKL2'})"
"frozenset({'Q9Y297', 'OncostatinM', 'P46934'})"
"frozenset({'Q00535', 'OncostatinM', 'Q16620'})"
"frozenset({'P07550', 'OncostatinM', 'Q6UB35'})"
"frozenset({'Q14999', 'OncostatinM', 'P31943'})"
"frozenset({'Q8N3X1', 'OncostatinM', 'P42858'})"
"frozenset({'P01579', 'OncostatinM', 'P49711'})"
"frozenset({'O14965', 'OncostatinM', 'O60260'})"
"frozenset({'OncostatinM', 'Q9H0U3', 'P05412'})"
"frozenset({'OncostatinM', 'P46778', 'P26373'})"
"frozenset({'OncostatinM', 'Q9H4L5', 'Q9Y228'})"
"frozenset({'OncostatinM', 'O96019', 'Q9NXR8'})"
"frozenset({'Q8IX06', 'OncostatinM', 'Q9BWG6'})"
"frozenset({'P04629', 'OncostatinM', 'Q8IYB3'})"
"frozenset({'OncostatinM', 'Q9BXW9', 'O95619'})"
"frozenset({'OncostatinM', 'O43823', 'Q14186'})"
"frozenset({'Q9H063', 'OncostatinM', 'Q96JH7'})"
"frozenset({'OncostatinM', 'P46379', 'Q7Z434'})"
"frozenset({'OncostatinM', 'P11021', 'Q9Y6X8'})"
"frozenset({'Q92769', 'OncostatinM', 'P08151'})"
"frozenset({'P61769', 'OncostatinM', 'P02786'})"
"frozenset({'P68431', 'OncostatinM', 'Q01082'})"
"frozenset({'Q14344', 'OncostatinM', 'Q96RI0'})"
"frozenset({'Q96FW1', 'OncostatinM', 'P02766'})"
"frozenset({'OncostatinM', 'Q92785', 'Q9UDV6'})"
"frozenset({'Q13309', 'OncostatinM', 'Q13485'})"
"frozenset({'OncostatinM', 'O60763', 'P42574'})"
"frozenset({'OncostatinM', 'P56945', 'Q16539'})"
"frozenset({'OncostatinM', 'P04818', 'P68400'})"
"frozenset({'OncostatinM', 'Q9HA38', 'Q9ULOncostatinM6'})"
"frozenset({'OncostatinM', 'Q9NRC8', 'Q13895'})"
"frozenset({'Q9UGOncostatinM1', 'Q07065', 'OncostatinM'})"
"frozenset({'O94776', 'OncostatinM', 'Q13547'})"
"frozenset({'OncostatinM', 'P05787', 'Q9H307'})"
"frozenset({'OncostatinM', 'P61619', 'P60059'})"
"frozenset({'P32929', 'OncostatinM', 'P48147'})"
"frozenset({'OncostatinM', 'P41221', 'Q13485'})"
"frozenset({'OncostatinM', 'P09497', 'Q9H267'})"
"frozenset({'OncostatinM', 'Q9BXN2', 'Q7L0Q8'})"
"frozenset({'P47224', 'OncostatinM', 'A4D1S5'})"
"frozenset({'OncostatinM', 'P08779', 'P18146'})"
"frozenset({'Q13315', 'OncostatinM', 'Q13472'})"
"frozenset({'OncostatinM', 'O95467', 'P25024'})"
"frozenset({'OncostatinM', 'O14920', 'P67775'})"
"frozenset({'OncostatinM', 'P54274', 'P04632'})"
"frozenset({'OncostatinM', 'Q9BUJ2', 'O60506'})"
"frozenset({'OncostatinM', 'Q8IVS8', 'Q53G59'})"
"frozenset({'OncostatinM', 'Q9P2H3', 'Q8IY31'})"
"frozenset({'Q8N122', 'OncostatinM', 'Q9UBU9'})"
"frozenset({'P27348', 'OncostatinM', 'P48730'})"
"frozenset({'OncostatinM', 'Q9NWX6', 'Q96OncostatinMX6'})"
"frozenset({'OncostatinM', 'P05067', 'Q9H5V9'})"
"frozenset({'Q8IX90', 'OncostatinM', 'Q9NPJ6'})"
"frozenset({'OncostatinM', 'P49736', 'P27658'})"
"frozenset({'P12931', 'OncostatinM', 'P21333'})"
"frozenset({'OncostatinM', 'A6ND48', 'Q9P2W3'})"
"frozenset({'OncostatinM', 'O15524', 'P16871'})"
"frozenset({'OncostatinM', 'P51991', 'Q92616'})"
"frozenset({'OncostatinM', 'P53618', 'P05067'})"
"frozenset({'OncostatinM', 'O00590', 'Q99616'})"
"frozenset({'P26196', 'O43298', 'OncostatinM'})"
"frozenset({'P28482', 'OncostatinM', 'Q92908'})"
"frozenset({'Q9ULX3', 'OncostatinM', 'Q13823'})"
"frozenset({'OncostatinM', 'Q08379', 'Q6NS38'})"
"frozenset({'OncostatinM', 'O95292', 'O75396'})"
"frozenset({'Q99496', 'OncostatinM', 'P04908'})"
"frozenset({'OncostatinM', 'Q9UI95', 'O96006'})"
"frozenset({'O15205', 'OncostatinM', 'Q9H832'})"
"frozenset({'OncostatinM', 'Q92542', 'P17931'})"
"frozenset({'P60660', 'OncostatinM', 'P0DP25'})"
"frozenset({'OncostatinM', 'Q8NH16', 'P22612'})"
"frozenset({'P26368', 'OncostatinM', 'P08758'})"
"frozenset({'Q2OncostatinMV58', 'OncostatinM', 'Q01130'})"
"frozenset({'Q9BSOncostatinM1', 'OncostatinM', 'Q12888'})"
"frozenset({'OncostatinM', 'O00214', 'P14780'})"
"frozenset({'O60264', 'O43175', 'OncostatinM'})"
"frozenset({'P68431', 'P62318', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q9BTC0', 'Q99459'})"
"frozenset({'OncostatinM', 'Q9BZW7', 'Q9HCK0'})"
"frozenset({'Q15262', 'OncostatinM', 'P04183'})"
"frozenset({'P30279', 'P49918', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P02788', 'P0DP23'})"
"frozenset({'P07948', 'OncostatinM', 'Q9NRA0'})"
"frozenset({'O14757', 'OncostatinM', 'Q9HB96'})"
"frozenset({'OncostatinM', 'Q15717', 'O60725'})"
"frozenset({'Q9BQ65', 'OncostatinM', 'Q56P03'})"
"frozenset({'P17252', 'OncostatinM', 'P12931'})"
"frozenset({'OncostatinM', 'P61247', 'Q00839'})"
"frozenset({'P04629', 'OncostatinM', 'Q15397'})"
"frozenset({'OncostatinM', 'Q8IUH5', 'P50995'})"
"frozenset({'OncostatinM', 'Q9UPT5', 'Q15834'})"
"frozenset({'Q13309', 'OncostatinM', 'O00233'})"
"frozenset({'P01889', 'OncostatinM', 'O75694'})"
"frozenset({'P55899', 'OncostatinM', 'P08246'})"
"frozenset({'P35916', 'OncostatinM', 'P08620'})"
"frozenset({'Q8IVD9', 'OncostatinM', 'Q70CQ1'})"
"frozenset({'OncostatinM', 'Q5TCZ1', 'Q8WUI4'})"
"frozenset({'OncostatinM', 'O14641', 'O95166'})"
"frozenset({'Q9Y2W1', 'OncostatinM', 'Q15393'})"
"frozenset({'Q99759', 'OncostatinM', 'P62249'})"
"frozenset({'OncostatinM', 'O43597', 'Q9BUB5'})"
"frozenset({'Q13523', 'A0JLT2', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P61964', 'Q9H7D7'})"
"frozenset({'Q9BXL5', 'P23497', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q15165', 'Q9H4F8'})"
"frozenset({'OncostatinM', 'Q9BW62', 'P68363'})"
"frozenset({'OncostatinM', 'P01106', 'O14802'})"
"frozenset({'Q9NPF5', 'OncostatinM', 'P12004'})"
"frozenset({'OncostatinM', 'Q86WV1', 'P0DPB6'})"
"frozenset({'P50053', 'OncostatinM', 'Q15287'})"
"frozenset({'OncostatinM', 'Q99618', 'P23511'})"
"frozenset({'P49407', 'OncostatinM', 'P58173'})"
"frozenset({'Q09666', 'OncostatinM', 'P47755'})"
"frozenset({'P29597', 'OncostatinM', 'P40238'})"
"frozenset({'OncostatinM', 'Q9Y314', 'Q9P2P5'})"
"frozenset({'Q9BQ66', 'OncostatinM', 'Q96H86'})"
"frozenset({'P35527', 'OncostatinM', 'Q99963'})"
"frozenset({'OncostatinM', 'Q13263', 'Q01105'})"
"frozenset({'P38432', 'OncostatinM', 'Q6NT76'})"
"frozenset({'Q99757', 'OncostatinM', 'O75934'})"
"frozenset({'OncostatinM', 'O00214', 'Q9Y6X5'})"
"frozenset({'P27348', 'OncostatinM', 'P26045'})"
"frozenset({'OncostatinM', 'P32119', 'P22061'})"
"frozenset({'P62241', 'OncostatinM', 'P62993'})"
"frozenset({'O15111', 'OncostatinM', 'Q8NAA4'})"
"frozenset({'OncostatinM', 'Q6IAA8', 'Q9NQL2'})"
"frozenset({'Q8IWV7', 'P58753', 'OncostatinM'})"
"frozenset({'Q6NZ67', 'OncostatinM', 'Q96CW5'})"
"frozenset({'P23443', 'OncostatinM', 'Q15717'})"
"frozenset({'Q99496', 'OncostatinM', 'Q9NYH9'})"
"frozenset({'OncostatinM', 'P55199', 'Q9UHB7'})"
"frozenset({'O43929', 'OncostatinM', 'Q9NRD1'})"
"frozenset({'Q9BWF3', 'OncostatinM', 'P52597'})"
"frozenset({'Q9H063', 'OncostatinM', 'P20226'})"
"frozenset({'OncostatinM', 'P01911', 'Q96KN2'})"
"frozenset({'OncostatinM', 'Q6UWY0', 'Q16635'})"
"frozenset({'P25705', 'OncostatinM', 'Q9NZJ7'})"
"frozenset({'P48552', 'OncostatinM', 'P28702'})"
"frozenset({'OncostatinM', 'P13612', 'P48729'})"
"frozenset({'OncostatinM', 'O75417', 'Q06609'})"
"frozenset({'OncostatinM', 'Q5OncostatinM9N0', 'Q96ES7'})"
"frozenset({'Q02539', 'OncostatinM', 'Q6ZN55'})"
"frozenset({'OncostatinM', 'Q9UHD9', 'P30040'})"
"frozenset({'OncostatinM', 'O43819', 'Q13418'})"
"frozenset({'Q9UGI9', 'O95822', 'OncostatinM'})"
"frozenset({'P07900', 'OncostatinM', 'Q9UJX6'})"
"frozenset({'OncostatinM', 'P22830', 'Q9C002'})"
"frozenset({'OncostatinM', 'Q9Y3L3', 'P00519'})"
"frozenset({'OncostatinM', 'P62906', 'P46782'})"
"frozenset({'OncostatinM', 'P68400', 'Q15257'})"
"frozenset({'OncostatinM', 'Q86YZ3', 'Q13617'})"
"frozenset({'OncostatinM', 'Q53TS8', 'P54257'})"
"frozenset({'Q504Q3', 'OncostatinM', 'O15372'})"
"frozenset({'P27694', 'OncostatinM', 'Q99459'})"
"frozenset({'Q02045', 'OncostatinM', 'P35580'})"
"frozenset({'Q00577', 'OncostatinM', 'P19525'})"
"frozenset({'P59768', 'OncostatinM', 'P42336'})"
"frozenset({'OncostatinM', 'O75643', 'Q7LBR1'})"
"frozenset({'OncostatinM', 'P22061', 'Q8N9OncostatinM5'})"
"frozenset({'OncostatinM', 'P68400', 'Q15545'})"
"frozenset({'OncostatinM', 'P0DOncostatinMV8', 'O95166'})"
"frozenset({'OncostatinM', 'Q14D33', 'Q8NA61'})"
"frozenset({'P63208', 'OncostatinM', 'O60907'})"
"frozenset({'OncostatinM', 'P20042', 'Q13144'})"
"frozenset({'OncostatinM', 'Q9H4X1', 'P84022'})"
"frozenset({'OncostatinM', 'P08238', 'Q29974'})"
"frozenset({'OncostatinM', 'Q86VOncostatinM9', 'P78362'})"
"frozenset({'Q9UBB9', 'OncostatinM', 'Q9BSD3'})"
"frozenset({'OncostatinM', 'Q7Z417', 'P46108'})"
"frozenset({'OncostatinM', 'Q13568', 'Q9BT78'})"
"frozenset({'P63165', 'OncostatinM', 'Q92610'})"
"frozenset({'OncostatinM', 'Q13131', 'O00231'})"
"frozenset({'OncostatinM', 'P19838', 'P01562'})"
"frozenset({'O75379', 'OncostatinM', 'Q9BXK5'})"
"frozenset({'Q15633', 'OncostatinM', 'Q96SI9'})"
"frozenset({'OncostatinM', 'P17947', 'P02775'})"
"frozenset({'P62244', 'OncostatinM', 'O95166'})"
"frozenset({'P62136', 'OncostatinM', 'A6NK89'})"
"frozenset({'OncostatinM', 'Q13616', 'P84022'})"
"frozenset({'OncostatinM', 'Q9H334', 'Q38SD2'})"
"frozenset({'OncostatinM', 'Q13084', 'Q15070'})"
"frozenset({'OncostatinM', 'Q14160', 'Q05086'})"
"frozenset({'OncostatinM', 'P29353', 'A7KAX9'})"
"frozenset({'OncostatinM', 'Q99962', 'P35462'})"
"frozenset({'OncostatinM', 'Q92508', 'P51148'})"
"frozenset({'OncostatinM', 'Q15717', 'Q01453'})"
"frozenset({'OncostatinM', 'Q92630', 'P04637'})"
"frozenset({'Q04323', 'OncostatinM', 'Q9UBS4'})"
"frozenset({'P25490', 'OncostatinM', 'Q01201'})"
"frozenset({'O75746', 'OncostatinM', 'P09466'})"
"frozenset({'OncostatinM', 'O00308', 'P19388'})"
"frozenset({'OncostatinM', 'P46109', 'Q9UBU9'})"
"frozenset({'OncostatinM', 'Q13310', 'Q9H4A4'})"
"frozenset({'Q13610', 'Q9BW61', 'OncostatinM'})"
"frozenset({'OncostatinM', 'P29353', 'P20273'})"
"frozenset({'P00558', 'OncostatinM', 'P06737'})"
"frozenset({'OncostatinM', 'Q8NE71', 'Q00688'})"
"frozenset({'Q16720', 'OncostatinM', 'Q96J42'})"
"frozenset({'P63104', 'Q8NDZ2', 'OncostatinM'})"
"frozenset({'Q15020', 'OncostatinM', 'Q13620'})"
"frozenset({'OncostatinM', 'Q9NS00', 'Q96EU7'})"
"frozenset({'OncostatinM', 'Q9C0H5', 'P61018'})"
"frozenset({'OncostatinM', 'Q8WVE6', 'Q8NHP6'})"
"frozenset({'OncostatinM', 'Q13153', 'Q9BWU1'})"
"frozenset({'P00533', 'OncostatinM', 'Q16543'})"
"frozenset({'OncostatinM', 'Q7Z3K3', 'Q15038'})"
"frozenset({'OncostatinM', 'P35227', 'O75461'})"
"frozenset({'OncostatinM', 'Q15466', 'Q9Y6Q9'})"
"frozenset({'P62308', 'OncostatinM', 'Q969L4'})"
"frozenset({'P07550', 'OncostatinM', 'P04899'})"
"frozenset({'OncostatinM', 'P0DOncostatinMV9', 'Q12905'})"
"frozenset({'OncostatinM', 'Q13418', 'O43143'})"
"frozenset({'Q9BVJ6', 'OncostatinM', 'P68400'})"
"frozenset({'OncostatinM', 'Q15717', 'Q9H6Z4'})"
"frozenset({'OncostatinM', 'P0DOncostatinMV8', 'Q86WN1'})"
"frozenset({'Q92905', 'OncostatinM', 'Q9UK96'})"
"frozenset({'O95644', 'OncostatinM', 'P04637'})"
"frozenset({'OncostatinM', 'Q15154', 'Q96SN8'})"
"frozenset({'OncostatinM', 'Q9UHX1', 'Q13310'})"
"frozenset({'OncostatinM', 'Q00325', 'Q8N5N7'})"
"frozenset({'OncostatinM', 'P04049', 'P62837'})"
"frozenset({'Q96C36', 'OncostatinM', 'P12757'})"
"frozenset({'OncostatinM', 'P68400', 'Q13435'})"
"frozenset({'OncostatinM', 'Q9UL42', 'Q14D33'})"
"frozenset({'OncostatinM', 'Q9NZC7', 'Q9HAH7'})"
"frozenset({'Q9NY33', 'OncostatinM', 'O95379'})"
"frozenset({'OncostatinM', 'P05067', 'Q96A08'})"
"frozenset({'OncostatinM', 'O95239', 'Q9UBU9'})"
"frozenset({'OncostatinM', 'Q9NTX7', 'P49916'})"
"frozenset({'P49336', 'OncostatinM', 'P18146'})"
"frozenset({'OncostatinM', 'Q02880', 'P49792'})"
"frozenset({'OncostatinM', 'P12830', 'Q05682'})"
"frozenset({'P60228', 'OncostatinM', 'P07498'})"
"frozenset({'OncostatinM', 'P62491', 'Q01968'})"
"frozenset({'Q96GS6', 'OncostatinM', 'Q8WW35'})"
"frozenset({'Q9BVQ7', 'Q86YD3', 'OncostatinM'})"
"frozenset({'Q5T1V6', 'OncostatinM', 'Q9UBU9'})"
"frozenset({'OncostatinM', 'Q92574', 'P07196'})"
"frozenset({'Q9C0C7', 'OncostatinM', 'O60260'})"
"frozenset({'P28482', 'Q9H6Z9', 'OncostatinM'})"
"frozenset({'OncostatinM', 'Q13162', 'Q9UNY4'})"
"frozenset({'OncostatinM', 'Q8N490', 'Q9H4A6'})"
"frozenset({'OncostatinM', 'Q99880', 'O15047'})"
"frozenset({'OncostatinM', 'Q8IWL3', 'Q86UT6'})"
"frozenset({'OncostatinM', 'O75528', 'Q92831'})"
"frozenset({'P51812', 'OncostatinM', 'Q16543'})"
"frozenset({'OncostatinM', 'Q96J02', 'P12004'})"
"frozenset({'OncostatinM', 'P49848', 'P05067'})"
"frozenset({'Q9ULZ3', 'OncostatinM', 'P29590'})"
"frozenset({'OncostatinM', 'Q9NU53', 'O94923'})"
"frozenset({'OncostatinM', 'P49406', 'Q9HD33'})"
"frozenset({'Q13618', 'OncostatinM', 'Q92785'})"
"frozenset({'OncostatinM', 'Q8TDY2', 'P15927'})"
"frozenset({'Q16816', 'OncostatinM', 'P06737'})"
"frozenset({'OncostatinM', 'O15265', 'O00339'})"
"frozenset({'P38398', 'OncostatinM', 'O95456'})"
