negatives
"frozenset({'P43115', 'O95819', 'TWEAK'})"
"frozenset({'Q96NY9', 'Q96T88', 'TWEAK'})"
"frozenset({'Q96BY9', 'Q9Y3E0', 'TWEAK'})"
"frozenset({'O60603', 'TWEAK', 'P56962'})"
"frozenset({'P20618', 'P83731', 'TWEAK'})"
"frozenset({'Q9BSV6', 'Q9UKB1', 'TWEAK'})"
"frozenset({'P17041', 'TWEAK', 'Q9NUX5'})"
"frozenset({'P00533', 'Q96P16', 'TWEAK'})"
"frozenset({'Q9BUY5', 'Q9H6L4', 'TWEAK'})"
"frozenset({'Q9BZD4', 'Q9UBW8', 'TWEAK'})"
"frozenset({'Q92569', 'TWEAK', 'Q5H9K5'})"
"frozenset({'O75558', 'Q6P597', 'TWEAK'})"
"frozenset({'P10827', 'TWEAK', 'Q15648'})"
"frozenset({'TWEAK', 'P46379', 'P62979'})"
"frozenset({'TWEAK', 'O15020', 'Q96KP1'})"
"frozenset({'Q9UJY1', 'TWEAK', 'O15375'})"
"frozenset({'Q8NHQ1', 'Q96T49', 'TWEAK'})"
"frozenset({'Q9BUV8', 'Q6NXE6', 'TWEAK'})"
"frozenset({'P51692', 'Q9BZS1', 'TWEAK'})"
"frozenset({'O95714', 'TWEAK', 'Q96EB6'})"
"frozenset({'Q14103', 'Q9UPU5', 'TWEAK'})"
"frozenset({'P11802', 'O43463', 'TWEAK'})"
"frozenset({'TWEAK', 'P62979', 'Q09472'})"
"frozenset({'Q9UK80', 'TWEAK', 'Q8IVT5'})"
"frozenset({'P39023', 'Q9NX58', 'TWEAK'})"
"frozenset({'P33316', 'P60953', 'TWEAK'})"
"frozenset({'Q99459', 'Q96I25', 'TWEAK'})"
"frozenset({'Q16620', 'P12034', 'TWEAK'})"
"frozenset({'Q9BQE3', 'Q3KNV8', 'TWEAK'})"
"frozenset({'O00193', 'P52788', 'TWEAK'})"
"frozenset({'TWEAK', 'Q3KPI0', 'Q4KMG0'})"
"frozenset({'Q9NWX6', 'P12081', 'TWEAK'})"
"frozenset({'P53675', 'Q9H492', 'TWEAK'})"
"frozenset({'P35080', 'Q9Y613', 'TWEAK'})"
"frozenset({'P60510', 'P05412', 'TWEAK'})"
"frozenset({'P52799', 'TWEAK', 'P42338'})"
"frozenset({'Q9UN42', 'Q13683', 'TWEAK'})"
"frozenset({'Q8WWY3', 'TWEAK', 'Q96LR2'})"
"frozenset({'O14727', 'TWEAK', 'P54652'})"
"frozenset({'P49903', 'P13994', 'TWEAK'})"
"frozenset({'TWEAK', 'P17987', 'P07900'})"
"frozenset({'Q12986', 'TWEAK', 'Q05639'})"
