negatives
"frozenset({'Q5T2D2', 'Q9Y394', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P14635', 'Q96GN5'})"
"frozenset({'Q92925', 'P18031', 'TNFalpha'})"
"frozenset({'Q00839', 'TNFalpha', 'P56537'})"
"frozenset({'Q8NDX5', 'O75909', 'TNFalpha'})"
"frozenset({'P50395', 'TNFalpha', 'Q9H1Y0'})"
"frozenset({'Q5T5X7', 'TNFalpha', 'Q96EZ8'})"
"frozenset({'P05067', 'O75030', 'TNFalpha'})"
"frozenset({'Q99933', 'Q9HAV7', 'TNFalpha'})"
"frozenset({'Q92793', 'Q03060', 'TNFalpha'})"
"frozenset({'Q92731', 'TNFalpha', 'A8CG34'})"
"frozenset({'P45983', 'TNFalpha', 'O43379'})"
"frozenset({'Q15561', 'TNFalpha', 'Q13077'})"
"frozenset({'Q68CZ1', 'Q9Y4F5', 'TNFalpha'})"
"frozenset({'P53367', 'O60678', 'TNFalpha'})"
"frozenset({'P68366', 'TNFalpha', 'Q7L5N1'})"
"frozenset({'Q8IWV1', 'P27986', 'TNFalpha'})"
"frozenset({'Q9UNF1', 'Q9H040', 'TNFalpha'})"
