negatives
"frozenset({'P49336', 'TNFalpha', 'P19387'})"
"frozenset({'Q8WXG1', 'O75626', 'TNFalpha'})"
"frozenset({'O94985', 'Q9H2G2', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13698', 'Q13557'})"
"frozenset({'Q05048', 'Q96QU8', 'TNFalpha'})"
"frozenset({'P26951', 'TNFalpha', 'P01566'})"
"frozenset({'P32121', 'P16989', 'TNFalpha'})"
"frozenset({'P28749', 'TNFalpha', 'Q13574'})"
"frozenset({'Q9H9B1', 'TNFalpha', 'P10145'})"
"frozenset({'Q8NC51', 'Q14204', 'TNFalpha'})"
"frozenset({'P47897', 'TNFalpha', 'Q15714'})"
"frozenset({'P57059', 'P39023', 'TNFalpha'})"
"frozenset({'Q9Y4K3', 'P55786', 'TNFalpha'})"
"frozenset({'P46060', 'TNFalpha', 'Q9BVT8'})"
"frozenset({'P05412', 'TNFalpha', 'Q04837'})"
"frozenset({'O14939', 'P06241', 'TNFalpha'})"
"frozenset({'Q9BYM8', 'O15455', 'TNFalpha'})"
"frozenset({'Q16666', 'P37198', 'TNFalpha'})"
"frozenset({'P09493', 'O60260', 'TNFalpha'})"
"frozenset({'Q14781', 'P60409', 'TNFalpha'})"
"frozenset({'Q00536', 'O43896', 'TNFalpha'})"
"frozenset({'Q92616', 'Q9Y4P8', 'TNFalpha'})"
"frozenset({'P05412', 'Q13885', 'TNFalpha'})"
"frozenset({'P30040', 'Q96HE7', 'TNFalpha'})"
"frozenset({'P32121', 'P53779', 'TNFalpha'})"
"frozenset({'Q32MH5', 'TNFalpha', 'Q6A162'})"
"frozenset({'P16104', 'P56524', 'TNFalpha'})"
"frozenset({'Q9BXK5', 'TNFalpha', 'O75084'})"
"frozenset({'Q8WUE5', 'TNFalpha', 'P49754'})"
"frozenset({'Q9P2A4', 'TNFalpha', 'P62993'})"
"frozenset({'O00422', 'P35226', 'TNFalpha'})"
"frozenset({'Q9UQ84', 'TNFalpha', 'P43246'})"
"frozenset({'P56880', 'A6NM45', 'TNFalpha'})"
"frozenset({'Q9NQ50', 'Q4U2R6', 'TNFalpha'})"
"frozenset({'P32121', 'Q02539', 'TNFalpha'})"
"frozenset({'P04629', 'Q96HE7', 'TNFalpha'})"
"frozenset({'P05388', 'P62913', 'TNFalpha'})"
"frozenset({'Q14469', 'Q9NVI1', 'TNFalpha'})"
"frozenset({'P03372', 'TNFalpha', 'P29474'})"
"frozenset({'P41440', 'P08047', 'TNFalpha'})"
"frozenset({'P02545', 'Q16512', 'TNFalpha'})"
"frozenset({'P84243', 'TNFalpha', 'O00189'})"
"frozenset({'P27694', 'TNFalpha', 'P61026'})"
"frozenset({'Q15323', 'TNFalpha', 'Q17RB8'})"
"frozenset({'TNFalpha', 'P05161', 'P13010'})"
"frozenset({'P61221', 'P61247', 'TNFalpha'})"
"frozenset({'Q92526', 'Q96MX6', 'TNFalpha'})"
"frozenset({'P11274', 'Q9ULV8', 'TNFalpha'})"
"frozenset({'Q92609', 'TNFalpha', 'Q9H492'})"
"frozenset({'Q86SQ4', 'TNFalpha', 'O75896'})"
"frozenset({'Q6P1K2', 'O43683', 'TNFalpha'})"
"frozenset({'P57076', 'Q9UI42', 'TNFalpha'})"
"frozenset({'Q15170', 'TNFalpha', 'Q99504'})"
"frozenset({'A7E2Y1', 'TNFalpha', 'Q96HS1'})"
"frozenset({'O43776', 'O60678', 'TNFalpha'})"
"frozenset({'Q8N9B8', 'TNFalpha', 'P46934'})"
"frozenset({'P40429', 'P23396', 'TNFalpha'})"
"frozenset({'P00533', 'TNFalpha', 'Q99952'})"
"frozenset({'Q9BQ66', 'TNFalpha', 'Q9NX63'})"
"frozenset({'Q9BT92', 'Q9Y2D8', 'TNFalpha'})"
"frozenset({'P62888', 'P62913', 'TNFalpha'})"
"frozenset({'Q16254', 'Q8N682', 'TNFalpha'})"
"frozenset({'Q92934', 'O75582', 'TNFalpha'})"
"frozenset({'P0DMV8', 'TNFalpha', 'Q9UQL6'})"
"frozenset({'TNFalpha', 'Q9Y3U8', 'P30050'})"
"frozenset({'P35968', 'TNFalpha', 'Q8IW45'})"
"frozenset({'P42226', 'Q00978', 'TNFalpha'})"
"frozenset({'Q8WWY3', 'TNFalpha', 'Q96GN5'})"
"frozenset({'Q70CQ2', 'Q9Y5K6', 'TNFalpha'})"
"frozenset({'P19474', 'P51948', 'TNFalpha'})"
"frozenset({'A5D8T8', 'TNFalpha', 'Q9UBS3'})"
"frozenset({'P51617', 'Q15293', 'TNFalpha'})"
"frozenset({'Q15772', 'TNFalpha', 'Q13315'})"
"frozenset({'Q86WN2', 'TNFalpha', 'P16871'})"
"frozenset({'P43115', 'Q6UXM1', 'TNFalpha'})"
"frozenset({'Q96IQ9', 'TNFalpha', 'Q63ZY3'})"
"frozenset({'P32121', 'Q8NGJ8', 'TNFalpha'})"
"frozenset({'Q15287', 'P42766', 'TNFalpha'})"
"frozenset({'O75771', 'TNFalpha', 'Q7Z6Z7'})"
"frozenset({'Q96L21', 'Q9HCE1', 'TNFalpha'})"
"frozenset({'P22694', 'P52566', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P48643', 'Q8WZ74'})"
"frozenset({'Q9Y672', 'Q92633', 'TNFalpha'})"
"frozenset({'O95197', 'O75815', 'TNFalpha'})"
"frozenset({'P16104', 'P07195', 'TNFalpha'})"
"frozenset({'Q8N128', 'O14975', 'TNFalpha'})"
"frozenset({'TNFalpha', 'O76064', 'Q8IZU0'})"
"frozenset({'Q16531', 'Q96BN2', 'TNFalpha'})"
"frozenset({'Q8N9R6', 'Q99523', 'TNFalpha'})"
"frozenset({'Q5VV17', 'TNFalpha', 'P51784'})"
"frozenset({'P23769', 'P28069', 'TNFalpha'})"
"frozenset({'P23229', 'TNFalpha', 'Q16363'})"
"frozenset({'Q9NRI5', 'Q6ZP82', 'TNFalpha'})"
"frozenset({'Q04771', 'Q13485', 'TNFalpha'})"
"frozenset({'P35247', 'TNFalpha', 'P14780'})"
"frozenset({'Q9Y4H2', 'Q8N122', 'TNFalpha'})"
"frozenset({'Q9BQ89', 'TNFalpha', 'Q5JR59'})"
"frozenset({'P19367', 'O94903', 'TNFalpha'})"
"frozenset({'Q93075', 'Q9HCE1', 'TNFalpha'})"
"frozenset({'Q8N137', 'TNFalpha', 'Q4VCS5'})"
"frozenset({'P48431', 'Q99575', 'TNFalpha'})"
"frozenset({'Q16181', 'TNFalpha', 'P04004'})"
"frozenset({'P05787', 'Q2TAY7', 'TNFalpha'})"
"frozenset({'Q9Y376', 'Q53R12', 'TNFalpha'})"
"frozenset({'P61927', 'P62906', 'TNFalpha'})"
"frozenset({'Q9BV68', 'TNFalpha', 'Q96FW1'})"
"frozenset({'Q01844', 'TNFalpha', 'P52272'})"
"frozenset({'TNFalpha', 'P08047', 'Q53GS9'})"
"frozenset({'Q96NL6', 'Q9HCJ0', 'TNFalpha'})"
"frozenset({'O43181', 'TNFalpha', 'O96000'})"
"frozenset({'P62699', 'TNFalpha', 'Q96D03'})"
"frozenset({'P04626', 'Q00325', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q9Y6K5', 'P16403'})"
"frozenset({'Q96Q27', 'Q04837', 'TNFalpha'})"
"frozenset({'Q86UB2', 'TNFalpha', 'Q15717'})"
"frozenset({'Q92547', 'P09884', 'TNFalpha'})"
"frozenset({'Q9NPB6', 'Q13163', 'TNFalpha'})"
"frozenset({'P31947', 'Q13107', 'TNFalpha'})"
"frozenset({'O96008', 'TNFalpha', 'Q9Y6H1'})"
"frozenset({'Q8TBK6', 'TNFalpha', 'P51788'})"
"frozenset({'P30556', 'P30411', 'TNFalpha'})"
"frozenset({'O43247', 'TNFalpha', 'Q8IWV8'})"
"frozenset({'P53675', 'TNFalpha', 'P08754'})"
"frozenset({'Q9HBG4', 'Q15185', 'TNFalpha'})"
"frozenset({'O00213', 'Q15427', 'TNFalpha'})"
"frozenset({'P61587', 'TNFalpha', 'P42331'})"
"frozenset({'Q9UP95', 'Q8IYB1', 'TNFalpha'})"
"frozenset({'O43663', 'TNFalpha', 'P13284'})"
"frozenset({'Q9NR45', 'P61088', 'TNFalpha'})"
"frozenset({'P63096', 'TNFalpha', 'Q01668'})"
"frozenset({'O94766', 'Q9Y2U8', 'TNFalpha'})"
"frozenset({'Q9H4L7', 'TNFalpha', 'P12004'})"
"frozenset({'Q00722', 'P04899', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13242', 'Q86VP6'})"
"frozenset({'Q96CV9', 'P35968', 'TNFalpha'})"
"frozenset({'O43463', 'Q9Y4E5', 'TNFalpha'})"
"frozenset({'Q13153', 'P61981', 'TNFalpha'})"
"frozenset({'P37173', 'TNFalpha', 'P36896'})"
"frozenset({'Q13683', 'P12814', 'TNFalpha'})"
"frozenset({'Q8IY57', 'TNFalpha', 'P63208'})"
"frozenset({'P17844', 'P38159', 'TNFalpha'})"
"frozenset({'O00233', 'O75832', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q15714', 'Q14194'})"
"frozenset({'Q9Y2S7', 'Q15750', 'TNFalpha'})"
"frozenset({'P68104', 'TNFalpha', 'O14965'})"
"frozenset({'Q8WXF1', 'TNFalpha', 'Q9NQ48'})"
"frozenset({'Q9UET6', 'P61604', 'TNFalpha'})"
"frozenset({'P62875', 'TNFalpha', 'O96017'})"
"frozenset({'Q5VSL9', 'P30153', 'TNFalpha'})"
"frozenset({'Q96B36', 'TNFalpha', 'Q13501'})"
"frozenset({'Q9UIS9', 'P02533', 'TNFalpha'})"
"frozenset({'P27348', 'TNFalpha', 'Q9Y490'})"
"frozenset({'P04629', 'Q66K74', 'TNFalpha'})"
"frozenset({'Q9Y3D6', 'Q9NQG6', 'TNFalpha'})"
"frozenset({'Q6PKG0', 'Q14141', 'TNFalpha'})"
"frozenset({'Q9BXS5', 'Q9H5J0', 'TNFalpha'})"
"frozenset({'Q15047', 'Q9BXR0', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13428', 'O95801'})"
"frozenset({'Q9GZQ8', 'Q92820', 'TNFalpha'})"
"frozenset({'Q9H7E9', 'P23508', 'TNFalpha'})"
"frozenset({'Q86YW0', 'TNFalpha', 'P04279'})"
"frozenset({'Q13535', 'TNFalpha', 'Q8N392'})"
"frozenset({'Q96I24', 'TNFalpha', 'Q13315'})"
"frozenset({'P50151', 'P04899', 'TNFalpha'})"
"frozenset({'P11142', 'TNFalpha', 'P54577'})"
"frozenset({'P50151', 'O00459', 'TNFalpha'})"
"frozenset({'P60520', 'TNFalpha', 'P31040'})"
"frozenset({'Q9BUB5', 'P54252', 'TNFalpha'})"
"frozenset({'P25791', 'TNFalpha', 'Q6IBW4'})"
"frozenset({'P38405', 'Q8NGN5', 'TNFalpha'})"
"frozenset({'Q5JST6', 'TNFalpha', 'Q9NZD8'})"
"frozenset({'Q8WUI4', 'Q9UHB6', 'TNFalpha'})"
"frozenset({'P12931', 'TNFalpha', 'Q9GZT9'})"
"frozenset({'Q5JSH3', 'TNFalpha', 'P28340'})"
"frozenset({'Q96NB3', 'Q13123', 'TNFalpha'})"
"frozenset({'Q9BWF2', 'Q96LK0', 'TNFalpha'})"
"frozenset({'P63220', 'TNFalpha', 'P01106'})"
"frozenset({'TNFalpha', 'P62714', 'Q9Y6R9'})"
"frozenset({'Q99801', 'TNFalpha', 'P17542'})"
"frozenset({'Q9Y2S7', 'TNFalpha', 'Q7Z5Q5'})"
"frozenset({'Q96NX5', 'TNFalpha', 'Q68CJ9'})"
"frozenset({'O43396', 'Q9BTM9', 'TNFalpha'})"
"frozenset({'P63220', 'Q02878', 'TNFalpha'})"
"frozenset({'Q15427', 'TNFalpha', 'Q9P013'})"
"frozenset({'TNFalpha', 'Q92796', 'Q13224'})"
"frozenset({'P19320', 'P62249', 'TNFalpha'})"
"frozenset({'Q9BYU1', 'TNFalpha', 'Q8N6Y0'})"
"frozenset({'Q9NQC7', 'Q16763', 'TNFalpha'})"
"frozenset({'Q9BVG8', 'TNFalpha', 'P54646'})"
"frozenset({'Q5VTD9', 'TNFalpha', 'Q8N6Y0'})"
"frozenset({'P22694', 'Q9H2C5', 'TNFalpha'})"
"frozenset({'Q6PH85', 'P61081', 'TNFalpha'})"
"frozenset({'P32004', 'Q02246', 'TNFalpha'})"
"frozenset({'P01137', 'P09486', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q96JG9', 'Q9H2C0'})"
"frozenset({'Q9BZJ0', 'TNFalpha', 'P31946'})"
"frozenset({'O95251', 'Q9C0J8', 'TNFalpha'})"
"frozenset({'Q5T749', 'O14756', 'TNFalpha'})"
"frozenset({'P24394', 'P29597', 'TNFalpha'})"
"frozenset({'Q9UJW3', 'TNFalpha', 'Q9UHA3'})"
"frozenset({'P04839', 'Q92793', 'TNFalpha'})"
"frozenset({'Q9UJS0', 'TNFalpha', 'P00403'})"
"frozenset({'Q5TB80', 'Q8WX93', 'TNFalpha'})"
"frozenset({'Q68D10', 'TNFalpha', 'O95104'})"
"frozenset({'Q13085', 'P54253', 'TNFalpha'})"
"frozenset({'P62851', 'O14980', 'TNFalpha'})"
"frozenset({'P26639', 'P41250', 'TNFalpha'})"
"frozenset({'Q16659', 'O14735', 'TNFalpha'})"
"frozenset({'Q8IZU1', 'Q9UBU9', 'TNFalpha'})"
"frozenset({'Q13007', 'TNFalpha', 'Q08334'})"
"frozenset({'Q96PY6', 'Q9Y496', 'TNFalpha'})"
"frozenset({'P32121', 'TNFalpha', 'Q8NGM9'})"
"frozenset({'Q15276', 'O75843', 'TNFalpha'})"
"frozenset({'Q9NUT2', 'TNFalpha', 'Q9BRR6'})"
"frozenset({'Q9HB96', 'TNFalpha', 'Q9BTP7'})"
"frozenset({'Q13620', 'O95817', 'TNFalpha'})"
"frozenset({'Q12905', 'TNFalpha', 'P19525'})"
"frozenset({'Q96LR5', 'Q13064', 'TNFalpha'})"
"frozenset({'O14980', 'TNFalpha', 'Q6ICB4'})"
"frozenset({'P0DPB5', 'Q9BUI4', 'TNFalpha'})"
"frozenset({'O15239', 'Q9HAU4', 'TNFalpha'})"
"frozenset({'Q8N2W9', 'TNFalpha', 'P05783'})"
"frozenset({'Q14974', 'TNFalpha', 'Q12769'})"
"frozenset({'TNFalpha', 'Q6ZVT0', 'Q9UL42'})"
"frozenset({'Q68D86', 'Q8IYX8', 'TNFalpha'})"
"frozenset({'P10276', 'TNFalpha', 'Q71SY5'})"
"frozenset({'P11021', 'TNFalpha', 'Q01094'})"
"frozenset({'Q9Y2X8', 'Q9NZQ3', 'TNFalpha'})"
"frozenset({'O75665', 'Q53EZ4', 'TNFalpha'})"
"frozenset({'Q9BYV2', 'TNFalpha', 'Q7Z3I7'})"
"frozenset({'P18146', 'Q9P299', 'TNFalpha'})"
"frozenset({'P05556', 'TNFalpha', 'P16471'})"
"frozenset({'Q15287', 'TNFalpha', 'P57678'})"
"frozenset({'Q9UNF1', 'P25685', 'TNFalpha'})"
"frozenset({'Q15542', 'TNFalpha', 'O75486'})"
"frozenset({'P23588', 'TNFalpha', 'Q9BU89'})"
"frozenset({'P21675', 'TNFalpha', 'P29083'})"
"frozenset({'P62314', 'TNFalpha', 'O14893'})"
"frozenset({'Q13797', 'P12109', 'TNFalpha'})"
"frozenset({'P32121', 'TNFalpha', 'O95222'})"
"frozenset({'P11142', 'P49257', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q7L592', 'Q5S007'})"
"frozenset({'Q14203', 'TNFalpha', 'Q9BY44'})"
"frozenset({'TNFalpha', 'P08238', 'Q9GZR7'})"
"frozenset({'P62273', 'P18124', 'TNFalpha'})"
"frozenset({'Q9UPW0', 'TNFalpha', 'Q8N680'})"
"frozenset({'O75365', 'O94874', 'TNFalpha'})"
"frozenset({'P25054', 'TNFalpha', 'P57740'})"
"frozenset({'TNFalpha', 'Q15554', 'Q8TC07'})"
"frozenset({'P08253', 'P04637', 'TNFalpha'})"
"frozenset({'Q7L5A3', 'TNFalpha', 'Q3LI70'})"
"frozenset({'Q9UBN7', 'P12956', 'TNFalpha'})"
"frozenset({'P54253', 'Q7L0J3', 'TNFalpha'})"
"frozenset({'O15162', 'TNFalpha', 'Q9UQ90'})"
"frozenset({'P16298', 'Q9UJX5', 'TNFalpha'})"
"frozenset({'Q13363', 'P45984', 'TNFalpha'})"
"frozenset({'Q53RY4', 'TNFalpha', 'P50222'})"
"frozenset({'O96019', 'A8MYZ6', 'TNFalpha'})"
"frozenset({'P60891', 'TNFalpha', 'Q9HCE7'})"
"frozenset({'Q8NGG5', 'P17612', 'TNFalpha'})"
"frozenset({'P42772', 'Q00534', 'TNFalpha'})"
"frozenset({'O96013', 'TNFalpha', 'P52198'})"
"frozenset({'Q96CW1', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'TNFalpha', 'P56545', 'Q14919'})"
"frozenset({'Q07955', 'TNFalpha', 'Q14676'})"
"frozenset({'P63165', 'Q9UBE0', 'TNFalpha'})"
"frozenset({'Q9P0N5', 'TNFalpha', 'Q07960'})"
"frozenset({'Q9Y2X3', 'Q9NR30', 'TNFalpha'})"
"frozenset({'P60896', 'TNFalpha', 'Q9Y244'})"
"frozenset({'Q969T4', 'TNFalpha', 'Q86XT4'})"
"frozenset({'Q9UBE8', 'Q8N122', 'TNFalpha'})"
"frozenset({'Q9H3C7', 'O96013', 'TNFalpha'})"
"frozenset({'Q14527', 'TNFalpha', 'Q9NZJ0'})"
"frozenset({'P11142', 'P11473', 'TNFalpha'})"
"frozenset({'Q9NQ76', 'TNFalpha', 'Q2QGD7'})"
"frozenset({'P19474', 'P10155', 'TNFalpha'})"
"frozenset({'Q13618', 'P28068', 'TNFalpha'})"
"frozenset({'Q96T58', 'TNFalpha', 'P24863'})"
"frozenset({'Q15154', 'Q96M89', 'TNFalpha'})"
"frozenset({'Q9H788', 'TNFalpha', 'O75410'})"
"frozenset({'Q9C0C7', 'TNFalpha', 'Q9Y2Z0'})"
"frozenset({'P52272', 'TNFalpha', 'Q8IYB3'})"
"frozenset({'O14832', 'Q96L14', 'TNFalpha'})"
"frozenset({'O00591', 'TNFalpha', 'P46459'})"
"frozenset({'P49795', 'TNFalpha', 'Q08AG7'})"
"frozenset({'P54709', 'TNFalpha', 'P27635'})"
"frozenset({'Q05D60', 'P23258', 'TNFalpha'})"
"frozenset({'Q13325', 'TNFalpha', 'Q9NPJ6'})"
"frozenset({'Q9NV96', 'P30532', 'TNFalpha'})"
"frozenset({'P05107', 'Q9BQE5', 'TNFalpha'})"
"frozenset({'P07900', 'P42771', 'TNFalpha'})"
"frozenset({'P40692', 'TNFalpha', 'Q14032'})"
"frozenset({'TNFalpha', 'O95813', 'P56703'})"
"frozenset({'Q00839', 'TNFalpha', 'P16401'})"
"frozenset({'O14763', 'TNFalpha', 'Q6NUQ4'})"
"frozenset({'P01579', 'P48551', 'TNFalpha'})"
"frozenset({'P62258', 'P09651', 'TNFalpha'})"
"frozenset({'P15260', 'P19838', 'TNFalpha'})"
"frozenset({'P35659', 'Q09472', 'TNFalpha'})"
"frozenset({'Q9NRF2', 'TNFalpha', 'P62993'})"
"frozenset({'O95872', 'Q8TCT9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P62979', 'P60900'})"
"frozenset({'Q96L21', 'TNFalpha', 'Q6NUN9'})"
"frozenset({'Q15311', 'TNFalpha', 'P19438'})"
"frozenset({'Q15723', 'TNFalpha', 'Q5JU00'})"
"frozenset({'Q9HBA0', 'TNFalpha', 'Q96J02'})"
"frozenset({'Q9BSJ8', 'P12830', 'TNFalpha'})"
"frozenset({'Q8NGF3', 'P25098', 'TNFalpha'})"
"frozenset({'O14776', 'P18146', 'TNFalpha'})"
"frozenset({'Q8N2I9', 'P05412', 'TNFalpha'})"
"frozenset({'Q96P53', 'Q9NQG6', 'TNFalpha'})"
"frozenset({'P35613', 'P20711', 'TNFalpha'})"
"frozenset({'P19784', 'P16455', 'TNFalpha'})"
"frozenset({'P62191', 'TNFalpha', 'Q00987'})"
"frozenset({'Q13405', 'Q96DV4', 'TNFalpha'})"
"frozenset({'O95336', 'P54274', 'TNFalpha'})"
"frozenset({'Q92905', 'TNFalpha', 'Q7Z2Y8'})"
"frozenset({'O15131', 'TNFalpha', 'P34896'})"
"frozenset({'Q9UM82', 'O14980', 'TNFalpha'})"
"frozenset({'Q2MV58', 'TNFalpha', 'O60613'})"
"frozenset({'P04629', 'Q96DV4', 'TNFalpha'})"
"frozenset({'Q15139', 'P46937', 'TNFalpha'})"
"frozenset({'Q15165', 'Q9NRD1', 'TNFalpha'})"
"frozenset({'O60563', 'Q96J88', 'TNFalpha'})"
"frozenset({'P28566', 'Q9UBU3', 'TNFalpha'})"
"frozenset({'P62937', 'P46108', 'TNFalpha'})"
"frozenset({'Q14657', 'TNFalpha', 'Q9BXV9'})"
"frozenset({'Q5T3J3', 'TNFalpha', 'Q8IX03'})"
"frozenset({'Q9UHD2', 'P26373', 'TNFalpha'})"
"frozenset({'Q8IY18', 'Q9UBK7', 'TNFalpha'})"
"frozenset({'P25098', 'TNFalpha', 'P50148'})"
"frozenset({'P98173', 'P50222', 'TNFalpha'})"
"frozenset({'Q92765', 'TNFalpha', 'P62877'})"
"frozenset({'Q5T5U3', 'TNFalpha', 'Q7L0Q8'})"
"frozenset({'P54252', 'TNFalpha', 'O95155'})"
"frozenset({'TNFalpha', 'O00499', 'O94973'})"
"frozenset({'P30566', 'P54727', 'TNFalpha'})"
"frozenset({'P31943', 'TNFalpha', 'Q8IYB3'})"
"frozenset({'O75530', 'Q9GZV8', 'TNFalpha'})"
"frozenset({'Q14994', 'Q96RN5', 'TNFalpha'})"
"frozenset({'Q9UQB3', 'TNFalpha', 'Q14160'})"
"frozenset({'O95757', 'Q15637', 'TNFalpha'})"
"frozenset({'P20340', 'TNFalpha', 'Q9BY78'})"
"frozenset({'TNFalpha', 'P04798', 'Q15738'})"
"frozenset({'O75943', 'TNFalpha', 'Q9NR33'})"
"frozenset({'TNFalpha', 'Q9Y5K5', 'Q86Y46'})"
"frozenset({'Q13698', 'TNFalpha', 'P28223'})"
"frozenset({'Q9UK11', 'P60409', 'TNFalpha'})"
"frozenset({'P00533', 'Q92529', 'TNFalpha'})"
"frozenset({'O43561', 'TNFalpha', 'P62993'})"
"frozenset({'P60410', 'Q9BQ89', 'TNFalpha'})"
"frozenset({'P23769', 'TNFalpha', 'Q15717'})"
"frozenset({'Q9BYV6', 'TNFalpha', 'Q93009'})"
"frozenset({'P20671', 'TNFalpha', 'Q92769'})"
"frozenset({'P05230', 'P21579', 'TNFalpha'})"
"frozenset({'Q13418', 'P04350', 'TNFalpha'})"
"frozenset({'Q9GZQ8', 'Q9NT62', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q86VP6', 'Q9BQG0'})"
"frozenset({'O95995', 'TNFalpha', 'Q9BW66'})"
"frozenset({'Q9UBW8', 'Q9BX70', 'TNFalpha'})"
"frozenset({'Q14500', 'TNFalpha', 'Q92796'})"
"frozenset({'P18206', 'TNFalpha', 'P60660'})"
"frozenset({'Q06945', 'P19429', 'TNFalpha'})"
"frozenset({'Q9P2W9', 'Q5SQN1', 'TNFalpha'})"
"frozenset({'P62847', 'P62854', 'TNFalpha'})"
"frozenset({'P68036', 'TNFalpha', 'P62877'})"
"frozenset({'P51965', 'Q6PD62', 'TNFalpha'})"
"frozenset({'Q13546', 'O75460', 'TNFalpha'})"
"frozenset({'P53602', 'TNFalpha', 'P32456'})"
"frozenset({'TNFalpha', 'Q9H0W5', 'Q8IYA6'})"
"frozenset({'O00220', 'Q12933', 'TNFalpha'})"
"frozenset({'Q16666', 'Q9UIF9', 'TNFalpha'})"
"frozenset({'Q04837', 'TNFalpha', 'Q86VP6'})"
"frozenset({'TNFalpha', 'O43808', 'Q92817'})"
"frozenset({'Q15173', 'TNFalpha', 'P46695'})"
"frozenset({'Q9P2P5', 'Q9H7Z6', 'TNFalpha'})"
"frozenset({'A1A4S6', 'TNFalpha', 'P17081'})"
"frozenset({'P00533', 'Q9H299', 'TNFalpha'})"
"frozenset({'P07900', 'Q9H1R3', 'TNFalpha'})"
"frozenset({'Q9UBC2', 'Q8WXE9', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P31994', 'P62993'})"
"frozenset({'P22415', 'Q12830', 'TNFalpha'})"
"frozenset({'P36957', 'P55209', 'TNFalpha'})"
"frozenset({'P16070', 'TNFalpha', 'A8TX70'})"
"frozenset({'Q96IQ9', 'Q9BWT7', 'TNFalpha'})"
"frozenset({'O60729', 'TNFalpha', 'Q9UJX2'})"
"frozenset({'Q9BT92', 'Q14532', 'TNFalpha'})"
"frozenset({'TNFalpha', 'Q13617', 'P55072'})"
"frozenset({'P49736', 'Q96T23', 'TNFalpha'})"
"frozenset({'Q8TBZ8', 'Q9BWT7', 'TNFalpha'})"
"frozenset({'Q8NGM8', 'P22694', 'TNFalpha'})"
"frozenset({'Q9UQP3', 'P31431', 'TNFalpha'})"
"frozenset({'Q9UBF6', 'TNFalpha', 'P46934'})"
"frozenset({'Q9UHV2', 'TNFalpha', 'Q9BW66'})"
"frozenset({'P28749', 'P08047', 'TNFalpha'})"
"frozenset({'Q14232', 'TNFalpha', 'P29508'})"
"frozenset({'Q9NQW1', 'Q9Y6B6', 'TNFalpha'})"
"frozenset({'P20783', 'P36888', 'TNFalpha'})"
"frozenset({'O15209', 'TNFalpha', 'Q96EZ8'})"
"frozenset({'TNFalpha', 'Q9NX01', 'Q9BVS4'})"
"frozenset({'O60262', 'Q8NGC4', 'TNFalpha'})"
"frozenset({'TNFalpha', 'P11678', 'Q9H2C0'})"
"frozenset({'Q9Y2W1', 'TNFalpha', 'P49759'})"
"frozenset({'Q9Y2J4', 'TNFalpha', 'P43358'})"
"frozenset({'Q9UNM6', 'TNFalpha', 'Q9H3U1'})"
"frozenset({'P51668', 'TNFalpha', 'O43164'})"
"frozenset({'TNFalpha', 'Q562F6', 'Q8TF66'})"
"frozenset({'P35579', 'P0DP24', 'TNFalpha'})"
"frozenset({'P49841', 'TNFalpha', 'Q9UBK2'})"
"frozenset({'Q9HBI1', 'TNFalpha', 'P26012'})"
"frozenset({'Q9NRX1', 'Q5TAP6', 'TNFalpha'})"
"frozenset({'P20073', 'TNFalpha', 'P43246'})"
"frozenset({'P13385', 'Q9H871', 'TNFalpha'})"
"frozenset({'O95071', 'Q8TED0', 'TNFalpha'})"
"frozenset({'Q12986', 'TNFalpha', 'P84103'})"
"frozenset({'P38936', 'Q12979', 'TNFalpha'})"
"frozenset({'P46109', 'TNFalpha', 'O15524'})"
"frozenset({'P46778', 'Q07020', 'TNFalpha'})"
"frozenset({'Q96B97', 'TNFalpha', 'P63279'})"
"frozenset({'TNFalpha', 'P29033', 'Q96K37'})"
"frozenset({'P11940', 'TNFalpha', 'Q13283'})"
"frozenset({'P45973', 'TNFalpha', 'Q3KNS6'})"
"frozenset({'Q7L2H7', 'TNFalpha', 'O00303'})"
"frozenset({'Q9Y6Y8', 'Q96LA8', 'TNFalpha'})"
"frozenset({'Q13485', 'P27540', 'TNFalpha'})"
"frozenset({'O43707', 'TNFalpha', 'P26012'})"
"frozenset({'P01106', 'TNFalpha', 'P00338'})"
"frozenset({'Q16795', 'TNFalpha', 'O75251'})"
"frozenset({'TNFalpha', 'Q99459', 'P68363'})"
"frozenset({'Q9Y6G9', 'TNFalpha', 'P51808'})"
"frozenset({'P24928', 'Q6PD62', 'TNFalpha'})"
"frozenset({'Q9NRL3', 'Q9UKZ9', 'TNFalpha'})"
"frozenset({'P25054', 'TNFalpha', 'Q9H0U6'})"
"frozenset({'O15111', 'TNFalpha', 'O94832'})"
"frozenset({'Q9UNE7', 'TNFalpha', 'Q9UMS4'})"
