negatives
"frozenset({'KitReceptor', 'P35555', 'O94985'})"
"frozenset({'P52797', 'KitReceptor', 'P60369'})"
"frozenset({'KitReceptor', 'Q8TCJ0', 'Q8N8B7'})"
"frozenset({'Q9UKB1', 'KitReceptor', 'P49406'})"
"frozenset({'KitReceptor', 'Q9UNN5', 'Q9UBS4'})"
"frozenset({'P49768', 'KitReceptor', 'P42574'})"
"frozenset({'KitReceptor', 'P40238', 'P13232'})"
"frozenset({'Q9UKE5', 'KitReceptor', 'Q9P258'})"
"frozenset({'KitReceptor', 'O15144', 'Q9Y4K3'})"
"frozenset({'KitReceptor', 'Q9UBN1', 'P48730'})"
"frozenset({'KitReceptor', 'P09429', 'Q969G3'})"
"frozenset({'KitReceptor', 'Q92736', 'P68106'})"
"frozenset({'KitReceptor', 'O75618', 'Q8WXF8'})"
"frozenset({'Q9NPB6', 'KitReceptor', 'O14641'})"
"frozenset({'KitReceptor', 'Q9HCS4', 'Q13485'})"
"frozenset({'Q8N5N7', 'KitReceptor', 'P49406'})"
"frozenset({'Q02246', 'KitReceptor', 'Q12860'})"
"frozenset({'O14787', 'KitReceptor', 'P00533'})"
"frozenset({'Q96EP0', 'KitReceptor', 'Q9H4B6'})"
"frozenset({'P27361', 'KitReceptor', 'O43318'})"
"frozenset({'KitReceptor', 'Q9UJM8', 'Q13303'})"
"frozenset({'Q13596', 'Q00765', 'KitReceptor'})"
"frozenset({'Q14676', 'Q12929', 'KitReceptor'})"
"frozenset({'Q99942', 'KitReceptor', 'Q9H832'})"
"frozenset({'O95433', 'KitReceptor', 'Q9Y5I1'})"
"frozenset({'O15111', 'KitReceptor', 'Q96MN2'})"
"frozenset({'Q9Y4J8', 'KitReceptor', 'Q13474'})"
"frozenset({'Q9BYN8', 'KitReceptor', 'O14880'})"
"frozenset({'Q9Y6Q6', 'O00300', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q7Z3Y7', 'P13647'})"
"frozenset({'Q15910', 'P42772', 'KitReceptor'})"
"frozenset({'Q15907', 'KitReceptor', 'Q9ULW8'})"
"frozenset({'KitReceptor', 'P25098', 'Q8NGT1'})"
"frozenset({'KitReceptor', 'P54652', 'Q9NVX0'})"
"frozenset({'O43148', 'KitReceptor', 'P49736'})"
"frozenset({'P27348', 'KitReceptor', 'Q99683'})"
"frozenset({'KitReceptor', 'Q03164', 'Q9NRC8'})"
"frozenset({'P40763', 'KitReceptor', 'Q9BY41'})"
"frozenset({'Q9NRA8', 'KitReceptor', 'Q00534'})"
"frozenset({'Q9BUG6', 'KitReceptor', 'A8MQ03'})"
"frozenset({'KitReceptor', 'Q92538', 'Q9HBV2'})"
"frozenset({'KitReceptor', 'P61956', 'Q8N7C3'})"
"frozenset({'Q07817', 'KitReceptor', 'P35568'})"
"frozenset({'Q8NGE9', 'KitReceptor', 'P32121'})"
"frozenset({'Q5VSL9', 'O43815', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9BVI4', 'Q9BYG3'})"
"frozenset({'KitReceptor', 'P56381', 'Q9P032'})"
"frozenset({'KitReceptor', 'Q96CS3', 'Q9BSF4'})"
"frozenset({'Q15262', 'Q86XX4', 'KitReceptor'})"
"frozenset({'P62807', 'KitReceptor', 'Q9H444'})"
"frozenset({'Q92905', 'KitReceptor', 'Q14974'})"
"frozenset({'KitReceptor', 'O95758', 'Q9H0I2'})"
"frozenset({'P20138', 'KitReceptor', 'Q15034'})"
"frozenset({'Q03112', 'KitReceptor', 'Q92769'})"
"frozenset({'P23763', 'Q16623', 'KitReceptor'})"
"frozenset({'Q03001', 'KitReceptor', 'O15198'})"
"frozenset({'Q14683', 'Q8N5N7', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O75208', 'Q96ER9'})"
"frozenset({'P06756', 'Q9NRD1', 'KitReceptor'})"
"frozenset({'Q96KQ7', 'P12273', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9Y5M8', 'P63173'})"
"frozenset({'O75486', 'KitReceptor', 'Q16514'})"
"frozenset({'Q96GY3', 'Q9BYV2', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q99523', 'Q8N9R6'})"
"frozenset({'Q5TEU4', 'KitReceptor', 'O60361'})"
"frozenset({'Q9ULV8', 'KitReceptor', 'P62256'})"
"frozenset({'KitReceptor', 'Q15532', 'Q96PK6'})"
"frozenset({'KitReceptor', 'Q8TAA3', 'P28062'})"
"frozenset({'Q16236', 'KitReceptor', 'P33527'})"
"frozenset({'P63167', 'Q63ZY3', 'KitReceptor'})"
"frozenset({'Q9Y570', 'KitReceptor', 'O75083'})"
"frozenset({'KitReceptor', 'P62701', 'P05412'})"
"frozenset({'P04406', 'KitReceptor', 'P23528'})"
"frozenset({'Q8NG92', 'KitReceptor', 'P17612'})"
"frozenset({'Q99848', 'KitReceptor', 'Q15397'})"
"frozenset({'KitReceptor', 'Q8TAP6', 'P37235'})"
"frozenset({'KitReceptor', 'P12883', 'Q9Y5K8'})"
"frozenset({'Q9BPU9', 'Q9Y5A9', 'KitReceptor'})"
"frozenset({'Q13308', 'KitReceptor', 'P50281'})"
"frozenset({'P62829', 'KitReceptor', 'P62906'})"
"frozenset({'Q14999', 'Q09666', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P23508', 'Q15599'})"
"frozenset({'A5YKK6', 'KitReceptor', 'Q8WY41'})"
"frozenset({'O75147', 'Q8IZL8', 'KitReceptor'})"
