negatives
"frozenset({'Q9UNE7', 'KitReceptor', 'P00533'})"
"frozenset({'P68104', 'KitReceptor', 'Q96RL7'})"
"frozenset({'KitReceptor', 'Q9Y2Q3', 'Q9BVI4'})"
"frozenset({'P15822', 'Q9UKB1', 'KitReceptor'})"
"frozenset({'O60313', 'Q12983', 'KitReceptor'})"
"frozenset({'P35221', 'KitReceptor', 'Q9NRC8'})"
"frozenset({'Q13315', 'Q96T37', 'KitReceptor'})"
"frozenset({'O60673', 'KitReceptor', 'Q15554'})"
"frozenset({'O43156', 'P04629', 'KitReceptor'})"
"frozenset({'Q99755', 'KitReceptor', 'Q8IVT5'})"
"frozenset({'P22607', 'KitReceptor', 'Q86XS8'})"
"frozenset({'O43765', 'Q86Z23', 'KitReceptor'})"
"frozenset({'Q9BXB1', 'KitReceptor', 'P80404'})"
"frozenset({'KitReceptor', 'P05412', 'P62195'})"
"frozenset({'Q00587', 'KitReceptor', 'P31946'})"
"frozenset({'P23258', 'KitReceptor', 'Q96G01'})"
"frozenset({'Q5RL73', 'KitReceptor', 'P50453'})"
"frozenset({'Q9ULJ7', 'KitReceptor', 'O14980'})"
"frozenset({'Q96R06', 'Q13748', 'KitReceptor'})"
"frozenset({'A7MCY6', 'KitReceptor', 'Q9UHD2'})"
"frozenset({'KitReceptor', 'Q9NY65', 'Q9UGJ1'})"
"frozenset({'Q03001', 'Q15287', 'KitReceptor'})"
"frozenset({'Q99755', 'Q9Y6U3', 'KitReceptor'})"
"frozenset({'Q9BSB4', 'KitReceptor', 'P55084'})"
"frozenset({'P62312', 'KitReceptor', 'Q96NC0'})"
"frozenset({'Q9P015', 'KitReceptor', 'P48431'})"
"frozenset({'Q13185', 'Q92560', 'KitReceptor'})"
"frozenset({'P15884', 'KitReceptor', 'Q9Y5Q8'})"
"frozenset({'KitReceptor', 'Q9HCK8', 'Q14974'})"
"frozenset({'O75290', 'KitReceptor', 'Q9HCE1'})"
"frozenset({'KitReceptor', 'Q9UNM6', 'P02751'})"
"frozenset({'P25963', 'KitReceptor', 'Q9UDV6'})"
"frozenset({'KitReceptor', 'Q8WX92', 'P10620'})"
"frozenset({'KitReceptor', 'Q9UNL4', 'P17482'})"
"frozenset({'P61006', 'KitReceptor', 'P20674'})"
"frozenset({'P26368', 'KitReceptor', 'Q9UQ35'})"
"frozenset({'Q13077', 'KitReceptor', 'Q3SYA9'})"
"frozenset({'Q15653', 'Q13576', 'KitReceptor'})"
"frozenset({'Q9Y3D9', 'KitReceptor', 'Q9Y6E7'})"
"frozenset({'Q8TDH9', 'Q96GS4', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9P2E9', 'Q01844'})"
"frozenset({'KitReceptor', 'O15355', 'P04908'})"
"frozenset({'Q01362', 'P07948', 'KitReceptor'})"
"frozenset({'Q9UBH0', 'KitReceptor', 'P12757'})"
"frozenset({'Q6PKC3', 'Q99523', 'KitReceptor'})"
"frozenset({'Q16790', 'Q9HAV4', 'KitReceptor'})"
"frozenset({'Q9UQR1', 'KitReceptor', 'O14862'})"
"frozenset({'Q9UBU9', 'KitReceptor', 'Q9NP74'})"
"frozenset({'Q7L0Y3', 'KitReceptor', 'P34897'})"
"frozenset({'Q9H5J0', 'KitReceptor', 'Q07021'})"
"frozenset({'Q9UKE5', 'KitReceptor', 'P51991'})"
"frozenset({'Q13526', 'KitReceptor', 'P26368'})"
"frozenset({'Q8NHL6', 'KitReceptor', 'P29350'})"
"frozenset({'P46063', 'KitReceptor', 'P17301'})"
"frozenset({'KitReceptor', 'Q8IX19', 'Q8TAC2'})"
"frozenset({'Q15149', 'KitReceptor', 'P35232'})"
"frozenset({'Q14157', 'KitReceptor', 'Q9NRC8'})"
"frozenset({'P61981', 'Q7Z401', 'KitReceptor'})"
"frozenset({'P62879', 'KitReceptor', 'O60262'})"
"frozenset({'P22314', 'KitReceptor', 'Q16594'})"
"frozenset({'KitReceptor', 'P47914', 'P23396'})"
"frozenset({'KitReceptor', 'P0C7P0', 'Q7L2E3'})"
"frozenset({'KitReceptor', 'Q9HCU9', 'Q9UBN7'})"
"frozenset({'Q9C0B0', 'KitReceptor', 'O75436'})"
"frozenset({'Q5T6S3', 'O43189', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P61978', 'P49792'})"
"frozenset({'KitReceptor', 'Q99759', 'P04899'})"
"frozenset({'KitReceptor', 'Q9UKG4', 'O00590'})"
"frozenset({'Q9P2W3', 'P53778', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P60709', 'P40337'})"
"frozenset({'Q9BY43', 'KitReceptor', 'P61604'})"
"frozenset({'KitReceptor', 'Q9NQW6', 'Q9Y4I1'})"
"frozenset({'Q02083', 'P34059', 'KitReceptor'})"
"frozenset({'Q6IPM2', 'KitReceptor', 'P16220'})"
"frozenset({'P49407', 'Q8NH51', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O75925', 'Q9BYV6'})"
"frozenset({'P26368', 'KitReceptor', 'P28838'})"
"frozenset({'KitReceptor', 'Q9Y672', 'Q401N2'})"
"frozenset({'P10242', 'Q9UKA1', 'KitReceptor'})"
"frozenset({'P43121', 'KitReceptor', 'P07550'})"
"frozenset({'Q7Z4N2', 'Q6W2J9', 'KitReceptor'})"
"frozenset({'O60259', 'P43007', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q8TF42', 'Q96PM5'})"
"frozenset({'KitReceptor', 'Q09472', 'P23769'})"
"frozenset({'KitReceptor', 'Q9UBC2', 'Q9HCE1'})"
"frozenset({'Q99575', 'KitReceptor', 'Q15527'})"
"frozenset({'Q14CZ7', 'KitReceptor', 'Q92665'})"
"frozenset({'KitReceptor', 'P62829', 'P14927'})"
"frozenset({'P50991', 'Q9NVK5', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P16403', 'Q8N7H5'})"
"frozenset({'Q96PV0', 'KitReceptor', 'Q8IYT8'})"
"frozenset({'P04626', 'KitReceptor', 'P05023'})"
"frozenset({'O75147', 'KitReceptor', 'Q12789'})"
"frozenset({'Q9HC52', 'KitReceptor', 'Q9UBB9'})"
"frozenset({'KitReceptor', 'O00716', 'Q9Y4W6'})"
"frozenset({'KitReceptor', 'P29401', 'P24941'})"
"frozenset({'Q8IV50', 'KitReceptor', 'Q8WVZ9'})"
"frozenset({'P19012', 'Q9BXY8', 'KitReceptor'})"
"frozenset({'Q8NER5', 'KitReceptor', 'Q96S42'})"
"frozenset({'KitReceptor', 'P26639', 'Q9UQL6'})"
"frozenset({'KitReceptor', 'P17844', 'Q8WYQ5'})"
"frozenset({'KitReceptor', 'Q8IWV8', 'P58753'})"
"frozenset({'P19875', 'P19838', 'KitReceptor'})"
"frozenset({'O00299', 'P05161', 'KitReceptor'})"
"frozenset({'Q07890', 'KitReceptor', 'P61586'})"
"frozenset({'Q4G0F5', 'KitReceptor', 'Q5T1M5'})"
"frozenset({'KitReceptor', 'P22090', 'P62847'})"
"frozenset({'Q9NWU5', 'Q6P1L8', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q9UQ03', 'Q15714'})"
"frozenset({'KitReceptor', 'P56524', 'Q14966'})"
"frozenset({'P62258', 'Q8TDD1', 'KitReceptor'})"
"frozenset({'Q13617', 'KitReceptor', 'P09234'})"
"frozenset({'Q13509', 'Q15149', 'KitReceptor'})"
"frozenset({'Q9UBC0', 'P04150', 'KitReceptor'})"
"frozenset({'Q04323', 'KitReceptor', 'Q8NFA0'})"
"frozenset({'KitReceptor', 'Q96IQ9', 'P26371'})"
"frozenset({'Q15834', 'KitReceptor', 'Q9NTK1'})"
"frozenset({'KitReceptor', 'O75616', 'Q14197'})"
"frozenset({'KitReceptor', 'Q99558', 'Q04864'})"
"frozenset({'Q9UPN9', 'P17542', 'KitReceptor'})"
"frozenset({'P19404', 'KitReceptor', 'P21912'})"
"frozenset({'KitReceptor', 'Q9H165', 'Q14839'})"
"frozenset({'P68104', 'P19838', 'KitReceptor'})"
"frozenset({'Q8NB46', 'KitReceptor', 'Q5H9R7'})"
"frozenset({'P62140', 'KitReceptor', 'Q9C0B5'})"
"frozenset({'Q9H3S7', 'KitReceptor', 'O95235'})"
"frozenset({'KitReceptor', 'P50914', 'Q15050'})"
"frozenset({'KitReceptor', 'P16144', 'Q14050'})"
"frozenset({'KitReceptor', 'Q8NBE8', 'Q96GG9'})"
"frozenset({'P68104', 'KitReceptor', 'Q13618'})"
"frozenset({'P14921', 'Q9UER7', 'KitReceptor'})"
"frozenset({'Q8IWV2', 'Q6IQ23', 'KitReceptor'})"
"frozenset({'P21860', 'KitReceptor', 'Q9HBH1'})"
"frozenset({'Q5SVZ6', 'KitReceptor', 'Q96DR7'})"
"frozenset({'O75344', 'Q13404', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O76015', 'Q8N6Y0'})"
"frozenset({'Q9Y376', 'KitReceptor', 'Q15051'})"
"frozenset({'KitReceptor', 'P62913', 'Q7L5N1'})"
"frozenset({'P62266', 'KitReceptor', 'P20618'})"
"frozenset({'O95182', 'KitReceptor', 'Q9BQ15'})"
"frozenset({'Q8NG08', 'KitReceptor', 'P09884'})"
"frozenset({'Q9Y6H1', 'Q3MIX3', 'KitReceptor'})"
"frozenset({'P55081', 'KitReceptor', 'Q12933'})"
"frozenset({'KitReceptor', 'Q6FI13', 'O00255'})"
"frozenset({'P05112', 'KitReceptor', 'P78552'})"
"frozenset({'KitReceptor', 'P02511', 'P30301'})"
"frozenset({'Q5BKY6', 'KitReceptor', 'Q7Z3S9'})"
"frozenset({'O75019', 'P43405', 'KitReceptor'})"
"frozenset({'P02549', 'KitReceptor', 'Q8TAE8'})"
"frozenset({'KitReceptor', 'Q99750', 'Q969E2'})"
"frozenset({'KitReceptor', 'Q15645', 'Q16773'})"
"frozenset({'KitReceptor', 'Q8NHU6', 'P24385'})"
"frozenset({'Q14584', 'KitReceptor', 'P26371'})"
"frozenset({'P00491', 'KitReceptor', 'Q9UKY1'})"
"frozenset({'P14373', 'KitReceptor', 'Q9BYV6'})"
"frozenset({'O14929', 'KitReceptor', 'O75360'})"
"frozenset({'KitReceptor', 'Q9Y696', 'Q9UBT2'})"
"frozenset({'P40763', 'KitReceptor', 'P29590'})"
"frozenset({'Q12846', 'O43752', 'KitReceptor'})"
"frozenset({'P31749', 'KitReceptor', 'Q9UKY1'})"
"frozenset({'KitReceptor', 'Q8IZL8', 'O43918'})"
"frozenset({'Q7LG56', 'Q00987', 'KitReceptor'})"
"frozenset({'Q96HE7', 'KitReceptor', 'Q9UJU6'})"
"frozenset({'Q14562', 'P62906', 'KitReceptor'})"
"frozenset({'P78424', 'KitReceptor', 'Q92673'})"
"frozenset({'KitReceptor', 'P36543', 'Q9Y4K3'})"
"frozenset({'Q99598', 'KitReceptor', 'Q9HBH1'})"
"frozenset({'KitReceptor', 'P46782', 'P30876'})"
"frozenset({'O15287', 'KitReceptor', 'Q96JG6'})"
"frozenset({'KitReceptor', 'Q8NBJ4', 'Q13561'})"
"frozenset({'Q9H0L4', 'KitReceptor', 'O14964'})"
"frozenset({'P49407', 'KitReceptor', 'P61981'})"
"frozenset({'P04629', 'KitReceptor', 'Q96P70'})"
"frozenset({'Q13153', 'KitReceptor', 'Q13363'})"
"frozenset({'Q86SQ9', 'KitReceptor', 'Q8IVH2'})"
"frozenset({'KitReceptor', 'P09104', 'Q5JVS0'})"
"frozenset({'KitReceptor', 'Q9Y265', 'P12830'})"
"frozenset({'Q6ZN57', 'KitReceptor', 'Q8WV44'})"
"frozenset({'P43657', 'KitReceptor', 'Q8WY07'})"
"frozenset({'P56199', 'KitReceptor', 'P21815'})"
"frozenset({'KitReceptor', 'Q15428', 'Q9Y6A4'})"
"frozenset({'Q92185', 'Q96ED9', 'KitReceptor'})"
"frozenset({'Q14558', 'KitReceptor', 'P60891'})"
"frozenset({'Q14469', 'KitReceptor', 'Q13642'})"
"frozenset({'Q5VTD9', 'KitReceptor', 'Q6NUQ1'})"
"frozenset({'KitReceptor', 'O43306', 'Q9Y243'})"
"frozenset({'Q9Y6Q9', 'P10826', 'KitReceptor'})"
"frozenset({'P61981', 'KitReceptor', 'O15151'})"
"frozenset({'Q86Z02', 'Q9UER7', 'KitReceptor'})"
"frozenset({'P26358', 'KitReceptor', 'Q16777'})"
"frozenset({'P25963', 'KitReceptor', 'P25786'})"
"frozenset({'P61221', 'O15371', 'KitReceptor'})"
"frozenset({'Q99575', 'KitReceptor', 'Q9BYG3'})"
"frozenset({'P16615', 'Q5T3F8', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O75530', 'Q99729'})"
"frozenset({'KitReceptor', 'Q9BVC4', 'P49815'})"
"frozenset({'KitReceptor', 'Q12905', 'P26641'})"
"frozenset({'KitReceptor', 'P54646', 'Q8N1B4'})"
"frozenset({'KitReceptor', 'P31273', 'Q8NHQ1'})"
"frozenset({'KitReceptor', 'Q6RFH5', 'P05455'})"
"frozenset({'P09012', 'Q13620', 'KitReceptor'})"
"frozenset({'O60812', 'KitReceptor', 'B2RXH8'})"
"frozenset({'P38936', 'KitReceptor', 'O94952'})"
"frozenset({'Q92630', 'KitReceptor', 'Q9NR20'})"
"frozenset({'KitReceptor', 'O43318', 'Q92918'})"
"frozenset({'Q86X19', 'KitReceptor', 'P27986'})"
"frozenset({'P05067', 'KitReceptor', 'Q9UHQ1'})"
"frozenset({'KitReceptor', 'Q02556', 'Q92793'})"
"frozenset({'KitReceptor', 'P62487', 'O43896'})"
"frozenset({'Q14457', 'KitReceptor', 'P21580'})"
"frozenset({'P20916', 'P20908', 'KitReceptor'})"
"frozenset({'P05113', 'KitReceptor', 'P10912'})"
"frozenset({'Q9H4Z3', 'KitReceptor', 'P24928'})"
"frozenset({'KitReceptor', 'P46531', 'Q8NFP9'})"
"frozenset({'P50148', 'KitReceptor', 'P28335'})"
"frozenset({'KitReceptor', 'Q13616', 'P62318'})"
"frozenset({'P14678', 'KitReceptor', 'Q96GG9'})"
"frozenset({'Q9P0M9', 'KitReceptor', 'Q16254'})"
"frozenset({'Q92851', 'KitReceptor', 'P30041'})"
"frozenset({'Q15233', 'KitReceptor', 'Q99459'})"
"frozenset({'Q13315', 'KitReceptor', 'Q9UIS9'})"
"frozenset({'KitReceptor', 'P02751', 'P68402'})"
"frozenset({'Q68EM7', 'KitReceptor', 'P32121'})"
"frozenset({'Q9BRP4', 'KitReceptor', 'Q641Q2'})"
"frozenset({'Q15717', 'KitReceptor', 'Q7L273'})"
"frozenset({'KitReceptor', 'P79522', 'Q9Y294'})"
"frozenset({'Q15560', 'O43298', 'KitReceptor'})"
"frozenset({'P35442', 'KitReceptor', 'P13612'})"
"frozenset({'Q15831', 'KitReceptor', 'P17936'})"
"frozenset({'KitReceptor', 'P62829', 'Q9UNX3'})"
"frozenset({'Q14204', 'KitReceptor', 'Q9NRI5'})"
"frozenset({'KitReceptor', 'Q9NR30', 'Q13823'})"
"frozenset({'KitReceptor', 'Q9NP50', 'Q16576'})"
"frozenset({'P04626', 'KitReceptor', 'P23470'})"
"frozenset({'O14975', 'P17405', 'KitReceptor'})"
"frozenset({'P0DP24', 'KitReceptor', 'Q14164'})"
"frozenset({'P49760', 'KitReceptor', 'Q9UBU9'})"
"frozenset({'P24530', 'P63096', 'KitReceptor'})"
"frozenset({'Q9Y2D8', 'KitReceptor', 'Q8IX12'})"
"frozenset({'Q9Y2Q9', 'KitReceptor', 'P68431'})"
"frozenset({'Q9Y698', 'KitReceptor', 'Q00005'})"
"frozenset({'KitReceptor', 'Q03154', 'P55735'})"
"frozenset({'Q9H9B4', 'KitReceptor', 'O94826'})"
"frozenset({'KitReceptor', 'Q8IZL8', 'P12931'})"
"frozenset({'O14818', 'KitReceptor', 'P13612'})"
"frozenset({'P04629', 'KitReceptor', 'Q9C0D3'})"
"frozenset({'Q15165', 'O95613', 'KitReceptor'})"
"frozenset({'Q9H875', 'KitReceptor', 'O14980'})"
"frozenset({'KitReceptor', 'Q13751', 'P18084'})"
"frozenset({'Q13617', 'KitReceptor', 'P63241'})"
"frozenset({'A3KMH1', 'Q13907', 'KitReceptor'})"
"frozenset({'Q969Q1', 'KitReceptor', 'P61086'})"
"frozenset({'P09874', 'P50914', 'KitReceptor'})"
"frozenset({'P61244', 'KitReceptor', 'O60563'})"
"frozenset({'KitReceptor', 'Q92526', 'P22695'})"
"frozenset({'Q16665', 'KitReceptor', 'P17948'})"
"frozenset({'KitReceptor', 'O75150', 'P56705'})"
"frozenset({'P39656', 'KitReceptor', 'O75964'})"
"frozenset({'KitReceptor', 'Q14126', 'Q9UHB6'})"
"frozenset({'KitReceptor', 'Q13617', 'P23396'})"
"frozenset({'O76081', 'KitReceptor', 'Q92504'})"
"frozenset({'KitReceptor', 'P60328', 'Q8TBB1'})"
"frozenset({'O14662', 'O43752', 'KitReceptor'})"
"frozenset({'Q15717', 'KitReceptor', 'P49257'})"
"frozenset({'Q9P0N5', 'Q8IUW5', 'KitReceptor'})"
"frozenset({'Q14160', 'KitReceptor', 'Q92796'})"
"frozenset({'Q9Y6Q9', 'KitReceptor', 'Q09472'})"
"frozenset({'KitReceptor', 'Q13547', 'O95096'})"
"frozenset({'P52272', 'Q8NHW5', 'KitReceptor'})"
"frozenset({'Q8N6R1', 'KitReceptor', 'Q13323'})"
"frozenset({'Q92731', 'KitReceptor', 'O15164'})"
"frozenset({'Q8WXR4', 'KitReceptor', 'P15313'})"
"frozenset({'KitReceptor', 'Q05516', 'P04637'})"
"frozenset({'P78424', 'KitReceptor', 'P12268'})"
"frozenset({'KitReceptor', 'P25067', 'P62805'})"
"frozenset({'Q9P127', 'KitReceptor', 'O75031'})"
"frozenset({'P83731', 'Q9Y5L4', 'KitReceptor'})"
"frozenset({'Q07617', 'KitReceptor', 'Q6DD88'})"
"frozenset({'KitReceptor', 'Q9NZI7', 'O60674'})"
"frozenset({'P04406', 'Q15046', 'KitReceptor'})"
"frozenset({'Q9NSE4', 'KitReceptor', 'Q9UHD1'})"
"frozenset({'KitReceptor', 'Q9UHM6', 'Q86Y82'})"
"frozenset({'O95793', 'KitReceptor', 'P55786'})"
"frozenset({'Q96QC0', 'KitReceptor', 'Q8N8Y5'})"
"frozenset({'P51398', 'KitReceptor', 'P27986'})"
"frozenset({'P45880', 'KitReceptor', 'Q7KZF4'})"
"frozenset({'KitReceptor', 'P27986', 'P35968'})"
"frozenset({'Q1A5X7', 'KitReceptor', 'Q96NT1'})"
"frozenset({'Q15717', 'O75529', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P83876', 'Q8NI17'})"
"frozenset({'KitReceptor', 'Q9Y4Z0', 'Q9BRA0'})"
"frozenset({'P60900', 'KitReceptor', 'P04222'})"
"frozenset({'O14544', 'KitReceptor', 'P10275'})"
"frozenset({'KitReceptor', 'P10632', 'Q9H492'})"
"frozenset({'Q13237', 'KitReceptor', 'Q05469'})"
"frozenset({'Q8NAP3', 'KitReceptor', 'Q13428'})"
"frozenset({'KitReceptor', 'P42336', 'P06401'})"
"frozenset({'KitReceptor', 'P19320', 'P16401'})"
"frozenset({'P13796', 'P35241', 'KitReceptor'})"
"frozenset({'Q08AD1', 'KitReceptor', 'Q6ZW31'})"
"frozenset({'O95619', 'KitReceptor', 'O95359'})"
"frozenset({'P10599', 'KitReceptor', 'Q15080'})"
"frozenset({'O43557', 'KitReceptor', 'P21145'})"
"frozenset({'P63172', 'P53367', 'KitReceptor'})"
"frozenset({'P36578', 'KitReceptor', 'Q9GZL7'})"
"frozenset({'Q9UPN7', 'KitReceptor', 'O95573'})"
"frozenset({'P68400', 'KitReceptor', 'Q09028'})"
"frozenset({'Q13418', 'KitReceptor', 'Q9NV58'})"
"frozenset({'Q92621', 'KitReceptor', 'Q99496'})"
"frozenset({'Q13286', 'KitReceptor', 'Q5XKP0'})"
"frozenset({'P46781', 'KitReceptor', 'P27694'})"
"frozenset({'KitReceptor', 'P07947', 'Q8N9I9'})"
"frozenset({'KitReceptor', 'P19338', 'P11387'})"
"frozenset({'Q8WXH5', 'KitReceptor', 'O43559'})"
"frozenset({'KitReceptor', 'Q13077', 'Q8TBP0'})"
"frozenset({'Q8TBC4', 'KitReceptor', 'O60341'})"
"frozenset({'KitReceptor', 'Q12873', 'Q10570'})"
"frozenset({'KitReceptor', 'Q9NVR5', 'Q9NVJ2'})"
"frozenset({'Q6AZY7', 'KitReceptor', 'Q9UBS3'})"
"frozenset({'KitReceptor', 'P24539', 'P00387'})"
"frozenset({'P62266', 'KitReceptor', 'P61247'})"
"frozenset({'Q07954', 'Q03405', 'KitReceptor'})"
"frozenset({'Q969W9', 'KitReceptor', 'Q9BTE1'})"
"frozenset({'Q8TAG9', 'KitReceptor', 'Q13277'})"
"frozenset({'P31153', 'KitReceptor', 'Q14164'})"
"frozenset({'P31431', 'KitReceptor', 'P02751'})"
"frozenset({'Q16666', 'KitReceptor', 'O43660'})"
"frozenset({'P30153', 'Q9UBN1', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P68431', 'P62633'})"
"frozenset({'P10599', 'KitReceptor', 'Q96D03'})"
"frozenset({'P04259', 'KitReceptor', 'O76015'})"
"frozenset({'P08238', 'KitReceptor', 'P54646'})"
"frozenset({'Q6ZUJ8', 'KitReceptor', 'P61218'})"
"frozenset({'Q96JP9', 'O43490', 'KitReceptor'})"
"frozenset({'P60033', 'KitReceptor', 'Q9Y262'})"
"frozenset({'KitReceptor', 'Q8WZ79', 'Q495W5'})"
"frozenset({'P37198', 'KitReceptor', 'Q9NYB9'})"
"frozenset({'KitReceptor', 'Q13485', 'P23769'})"
"frozenset({'Q15435', 'KitReceptor', 'Q9Y2W2'})"
"frozenset({'Q13490', 'KitReceptor', 'Q96FW1'})"
"frozenset({'Q71UM5', 'KitReceptor', 'P63244'})"
"frozenset({'P05067', 'KitReceptor', 'Q96LJ8'})"
"frozenset({'P19404', 'P22612', 'KitReceptor'})"
"frozenset({'Q15717', 'KitReceptor', 'O43829'})"
"frozenset({'P25963', 'KitReceptor', 'P31260'})"
"frozenset({'KitReceptor', 'O75420', 'Q8NEH6'})"
"frozenset({'P18847', 'KitReceptor', 'Q01844'})"
"frozenset({'Q8NBR6', 'KitReceptor', 'Q07866'})"
"frozenset({'Q969Q1', 'P05067', 'KitReceptor'})"
"frozenset({'P34947', 'O00712', 'KitReceptor'})"
"frozenset({'P61160', 'O15294', 'KitReceptor'})"
"frozenset({'Q9UM73', 'Q9H479', 'KitReceptor'})"
"frozenset({'P14649', 'KitReceptor', 'Q9Y572'})"
"frozenset({'P49407', 'KitReceptor', 'Q13428'})"
"frozenset({'Q96CW1', 'KitReceptor', 'Q59EK9'})"
"frozenset({'Q8WUY1', 'KitReceptor', 'P00533'})"
"frozenset({'Q9Y240', 'O43823', 'KitReceptor'})"
"frozenset({'KitReceptor', 'O14980', 'Q9Y5T5'})"
"frozenset({'KitReceptor', 'P56385', 'O75964'})"
"frozenset({'Q92905', 'P62081', 'KitReceptor'})"
"frozenset({'Q9UPN3', 'KitReceptor', 'P24941'})"
"frozenset({'KitReceptor', 'Q6ZNH5', 'Q07627'})"
"frozenset({'P55081', 'KitReceptor', 'P51116'})"
"frozenset({'Q12767', 'KitReceptor', 'O95274'})"
"frozenset({'KitReceptor', 'P39023', 'Q504Q3'})"
"frozenset({'KitReceptor', 'O15027', 'P48431'})"
"frozenset({'Q9H1C3', 'KitReceptor', 'Q9NWS8'})"
"frozenset({'Q92838', 'KitReceptor', 'Q69YG0'})"
"frozenset({'Q86U44', 'P01106', 'KitReceptor'})"
"frozenset({'P17480', 'KitReceptor', 'Q15906'})"
"frozenset({'KitReceptor', 'P05067', 'Q9UEE9'})"
"frozenset({'Q86SJ6', 'KitReceptor', 'Q9H255'})"
"frozenset({'KitReceptor', 'O14920', 'P30048'})"
"frozenset({'Q9BSG1', 'O14744', 'KitReceptor'})"
"frozenset({'P62140', 'KitReceptor', 'P67936'})"
"frozenset({'P28070', 'Q14997', 'KitReceptor'})"
"frozenset({'Q15973', 'KitReceptor', 'P60370'})"
"frozenset({'Q14790', 'O94905', 'KitReceptor'})"
"frozenset({'Q16540', 'P62829', 'KitReceptor'})"
"frozenset({'P00519', 'Q15642', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P78362', 'Q16630'})"
"frozenset({'P50402', 'P35579', 'KitReceptor'})"
"frozenset({'O43303', 'KitReceptor', 'Q9NPJ6'})"
"frozenset({'A8K8V0', 'KitReceptor', 'Q8TB68'})"
"frozenset({'P34925', 'KitReceptor', 'P06493'})"
"frozenset({'Q15653', 'KitReceptor', 'Q9BQI3'})"
"frozenset({'Q02543', 'KitReceptor', 'Q9NY93'})"
"frozenset({'Q86VW0', 'KitReceptor', 'Q93045'})"
"frozenset({'P62158', 'P01106', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q96RU2', 'Q9UK80'})"
"frozenset({'KitReceptor', 'Q9BRQ3', 'Q5T619'})"
"frozenset({'A5D8T8', 'KitReceptor', 'O00462'})"
"frozenset({'P42892', 'P01019', 'KitReceptor'})"
"frozenset({'P49407', 'Q13618', 'KitReceptor'})"
"frozenset({'P55263', 'KitReceptor', 'Q9NTZ6'})"
"frozenset({'Q9H6T3', 'KitReceptor', 'Q9NXB0'})"
"frozenset({'Q9UI12', 'KitReceptor', 'Q9Y5J5'})"
"frozenset({'O76031', 'KitReceptor', 'Q15714'})"
"frozenset({'KitReceptor', 'Q8IWU2', 'Q16821'})"
"frozenset({'Q86XF7', 'KitReceptor', 'Q9BYR9'})"
"frozenset({'P55957', 'KitReceptor', 'Q9UKY1'})"
"frozenset({'P49759', 'Q01130', 'KitReceptor'})"
"frozenset({'P48454', 'Q12968', 'KitReceptor'})"
"frozenset({'P17858', 'KitReceptor', 'Q12962'})"
"frozenset({'KitReceptor', 'O94806', 'Q16236'})"
"frozenset({'Q6IEG0', 'Q15696', 'KitReceptor'})"
"frozenset({'KitReceptor', 'Q6ZU80', 'Q6P1N0'})"
"frozenset({'P35611', 'KitReceptor', 'Q13813'})"
"frozenset({'KitReceptor', 'P41182', 'O43257'})"
"frozenset({'P82675', 'KitReceptor', 'O75844'})"
"frozenset({'P09001', 'KitReceptor', 'P49411'})"
"frozenset({'P38919', 'P55795', 'KitReceptor'})"
"frozenset({'Q9UBL3', 'KitReceptor', 'O95758'})"
"frozenset({'O75342', 'P19838', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P61163', 'Q99459'})"
"frozenset({'Q13619', 'KitReceptor', 'P38646'})"
"frozenset({'P06702', 'KitReceptor', 'Q9Y6Y9'})"
"frozenset({'KitReceptor', 'P27986', 'P30086'})"
"frozenset({'Q5HY92', 'KitReceptor', 'O43813'})"
"frozenset({'Q9Y3E0', 'O75489', 'KitReceptor'})"
"frozenset({'Q02083', 'Q6UWY0', 'KitReceptor'})"
"frozenset({'P68400', 'KitReceptor', 'P52907'})"
"frozenset({'KitReceptor', 'P60331', 'Q9UHI7'})"
"frozenset({'P33981', 'KitReceptor', 'Q96PE2'})"
"frozenset({'P55769', 'Q9UJA5', 'KitReceptor'})"
"frozenset({'O60858', 'KitReceptor', 'Q9Y4K3'})"
"frozenset({'Q13332', 'Q14240', 'KitReceptor'})"
"frozenset({'P30304', 'KitReceptor', 'Q00537'})"
"frozenset({'KitReceptor', 'O95714', 'Q9NRC8'})"
"frozenset({'Q9UET6', 'Q9H173', 'KitReceptor'})"
"frozenset({'KitReceptor', 'P20338', 'O95704'})"
"frozenset({'Q13418', 'KitReceptor', 'P35606'})"
"frozenset({'Q13888', 'KitReceptor', 'Q9HD15'})"
"frozenset({'KitReceptor', 'Q9NQT8', 'Q9P244'})"
"frozenset({'Q4G0J3', 'KitReceptor', 'Q9BYG3'})"
"frozenset({'P01857', 'KitReceptor', 'Q9HAW8'})"
