negatives
"('Q9H237', 'Q9H1J5')"
"('Q9NXR8', 'Q15906')"
"('P19013', 'Q8IY92')"
"('P60709', 'P07900')"
"('Q13748', 'Q92974')"
"('P54257', 'Q5T3J3')"
"('P63000', 'O00401')"
"('Q8WXI9', 'Q16576')"
"('Q7KZI7', 'P61981')"
"('P15173', 'P62324')"
"('Q96ST3', 'P10828')"
"('Q9GZQ8', 'P55084')"
"('Q5QNW6', 'Q71UI9')"
"('Q13255', 'P19086')"
"('P01106', 'P53634')"
"('O15297', 'O15264')"
"('Q8NFH8', 'Q9Y6I3')"
"('P53567', 'Q9Y2D1')"
"('P16871', 'P42224')"
"('O95084', 'Q6KC79')"
"('P63279', 'Q8N448')"
"('P60763', 'O75914')"
"('P22607', 'P18847')"
"('P15692', 'P17948')"
"('Q8NBJ4', 'Q9BQ52')"
"('P07996', 'Q08722')"
"('P35590', 'P23470')"
"('P55010', 'Q13347')"
"('P0CG48', 'P49459')"
"('P28562', 'P45983')"
"('P46783', 'P62081')"
"('P34903', 'Q9H0R8')"
"('O95630', 'Q9NZZ3')"
"('O43617', 'Q96Q05')"
"('P05556', 'P20339')"
"('P19174', 'P06213')"
"('P25942', 'Q03135')"
"('Q13416', 'Q9Y5N6')"
"('Q93077', 'P56524')"
"('P59990', 'P18146')"
"('Q5VU43', 'Q9UKE5')"
"('O95819', 'O43318')"
"('O94832', 'Q9BRX2')"
"('Q13535', 'Q70CQ2')"
"('Q9C0I1', 'Q13614')"
"('Q9Y2X8', 'Q9Y3C5')"
"('Q9UBC1', 'Q9H5V9')"
"('Q9Y3C0', 'P37198')"
"('Q9UBB6', 'O75365')"
"('Q01094', 'Q16875')"
"('Q00610', 'O95782')"
"('O43610', 'P62993')"
"('Q15047', 'P38936')"
"('P63165', 'P46060')"
"('Q92879', 'Q9UKM9')"
"('Q15038', 'Q5VWP2')"
"('Q504Q3', 'O14901')"
"('Q9UBS9', 'O43586')"
"('Q9NRR5', 'Q9BTA9')"
"('O00273', 'Q01844')"
"('Q99961', 'Q96B97')"
"('Q9UM47', 'Q86Y01')"
"('P46108', 'P80404')"
"('Q16718', 'O75306')"
"('Q92620', 'P55081')"
"('O14929', 'Q6NXT2')"
"('P46782', 'P62851')"
"('P61077', 'Q13489')"
"('P23508', 'P29401')"
"('Q12824', 'P04637')"
"('Q13077', 'P17844')"
"('P62136', 'Q92934')"
"('Q15047', 'P50616')"
"('P17947', 'Q08722')"
"('Q13315', 'Q9H4Z2')"
"('P62158', 'P16871')"
"('Q9NQU5', 'Q86YV6')"
"('P15104', 'Q15653')"
"('Q96QV1', 'Q14623')"
"('Q14011', 'Q9BS40')"
"('Q8NI60', 'Q9UI14')"
"('Q13769', 'Q96NB3')"
"('P48047', 'P56537')"
"('Q92905', 'Q8N114')"
"('P55795', 'P52272')"
"('Q13535', 'Q9UGV2')"
"('Q16186', 'O43684')"
"('P62701', 'P62280')"
"('O95178', 'O95298')"
"('P67775', 'Q7Z3S7')"
"('A6NHL2', 'Q13885')"
"('P04632', 'P56134')"
"('Q14240', 'Q6Y7W6')"
"('Q9NYU2', 'P04222')"
"('Q8TDB6', 'P51965')"
"('Q9UNM6', 'P35998')"
"('Q9UBN6', 'Q13158')"
"('Q02809', 'Q99759')"
"('Q12873', 'P24522')"
"('O95999', 'P31749')"
"('P11047', 'P26010')"
"('Q9P2W3', 'P42336')"
"('P62993', 'Q9UMY4')"
"('Q16637', 'Q01085')"
"('P16035', 'P50281')"
"('Q15637', 'O95400')"
"('Q9H2G2', 'Q9UJT2')"
"('O94817', 'Q8TDY2')"
"('P63010', 'Q9NVV9')"
"('Q9Y2Q3', 'O14925')"
"('P18621', 'Q07020')"
"('Q9H8E8', 'P61964')"
"('Q9UN74', 'P04637')"
"('P08754', 'P61952')"
"('P07947', 'Q96KM6')"
"('P32121', 'O95047')"
"('P12110', 'O75578')"
"('O00217', 'P51970')"
"('Q9NS73', 'Q9GZM8')"
"('O60934', 'P04637')"
"('5512', 'Q13263')"
"('Q9BXI2', 'P25205')"
"('Q9NRM2', 'O15541')"
"('P27361', 'Q04206')"
"('Q9P035', 'Q9HAW0')"
"('Q9H6S1', 'P19438')"
"('P10914', 'Q9BTT4')"
"('O14576', 'P07437')"
"('P43360', 'Q9HAV4')"
"('P41235', 'Q15466')"
"('P23508', 'Q04637')"
"('P84022', 'Q12830')"
"('Q9H467', 'O15111')"
"('P01100', 'P24385')"
"('Q9NRI5', 'Q14195')"
"('A6NI73', 'P43405')"
"('Q15797', 'Q13485')"
"('P08727', 'P63104')"
"('Q9UBS5', 'P50150')"
"('P53420', 'P05556')"
"('Q13255', 'P48995')"
"('P43364', 'P14373')"
"('P43246', 'Q9UQ84')"
"('Q01085', 'Q92945')"
"('O15379', 'Q92956')"
"('P46776', 'P35268')"
"('Q07912', 'Q13243')"
"('P49207', 'P46779')"
"('Q9C035', 'P62837')"
"('Q16637', 'Q8IZL8')"
"('P04839', 'O60603')"
"('Q9ULJ3', 'Q00005')"
"('Q9UET6', 'P61970')"
"('Q9NZM4', 'P27986')"
"('Q15714', 'Q8IXL6')"
"('Q9UKE5', 'P62263')"
"('P20340', 'P01303')"
"('P00519', 'P16333')"
"('Q14164', '51639')"
"('Q12824', 'P06400')"
"('P12931', 'P28340')"
"('P05155', 'P09871')"
"('Q9UBI6', 'P08754')"
"('Q9BUJ2', 'P52272')"
"('Q14061', 'P51681')"
"('Q38SD2', 'Q8N9P6')"
"('P42766', 'P62750')"
"('P12830', 'P15151')"
"('Q93077', 'Q16778')"
"('Q00005', 'Q14974')"
"('P32881', 'P31785')"
"('P02776', 'P51685')"
"('Q7Z7J5', 'Q7L590')"
"('Q9P0W0', 'Q6UXL0')"
"('Q96H20', 'O14641')"
"('Q05086', 'Q9NR33')"
"('Q9Y3A3', 'Q9Y6E0')"
"('P27797', 'P11166')"
"('Q13409', 'Q6PEY2')"
"('Q9BUH8', 'Q9H4E7')"
"('O75380', 'O43181')"
"('Q00987', 'P62829')"
"('P62829', 'P62750')"
"('P13232', 'P19235')"
"('P39023', 'Q9Y478')"
"('Q01201', 'O00626')"
"('P29350', 'P01589')"
"('P55884', 'P62753')"
"('P19438', 'Q9H6S1')"
"('Q7L2E3', 'Q16576')"
"('P56750', 'O00501')"
"('P17542', 'Q16576')"
"('Q14766', 'P02751')"
"('P12980', 'Q9UK59')"
"('A6NMX2', 'P78344')"
"('Q07889', 'O95782')"
"('Q15843', 'P68104')"
"('P56705', 'O14904')"
"('Q7L590', 'O43929')"
"('P51116', 'Q9Y3Q8')"
"('Q15910', 'P49716')"
"('Q14508', 'P21246')"
"('P16066', 'P49768')"
"('Q92994', 'Q9H1D9')"
"('P30480', 'Q15643')"
"('Q9UPS6', 'Q96A08')"
"('Q16665', 'Q9UHD8')"
"('Q9P2G9', 'Q8TBH0')"
"('Q16576', 'Q99459')"
"('Q9Y508', 'P51668')"
"('P41208', 'Q01831')"
"('Q03135', 'Q8NFW9')"
"('P10827', 'P63261')"
"('P25098', 'P25025')"
"('P42229', 'O00459')"
"('Q9Y696', 'P60709')"
"('O75558', 'P25788')"
"('P28482', 'P04141')"
"('Q96DB2', 'Q16777')"
"('O75525', 'Q07666')"
"('P31749', 'Q14203')"
"('Q9UK32', 'P26358')"
"('Q15485', 'P26022')"
"('P63218', 'Q13698')"
"('P04908', 'P33778')"
"('Q15029', 'P61981')"
"('Q9Y4D1', 'P60953')"
"('Q9NS56', 'Q96B02')"
"('Q00526', 'Q14186')"
"('P12429', 'Q13432')"
"('P40306', 'Q02556')"
"('Q15554', 'Q9NYB0')"
"('P45983', 'O15264')"
"('26765', 'P04637')"
"('Q13347', 'O60739')"
"('Q15047', 'P68431')"
"('Q9Y4K3', 'P22061')"
"('P10276', 'Q15910')"
"('O60381', 'Q9Y5K6')"
"('P17931', 'P02763')"
"('P62805', 'Q8NCD3')"
"('Q15365', 'Q13247')"
"('P01106', 'Q92623')"
"('P05107', 'P08571')"
"('P67870', 'Q9NRC8')"
"('Q6ZYL4', 'P19447')"
"('Q9H9L3', 'P46108')"
"('P68104', 'Q00005')"
"('P11233', 'Q13393')"
"('P51449', 'Q14686')"
"('Q15399', 'Q9BXR5')"
"('P52735', 'Q8NC51')"
"('P11021', 'P60484')"
"('O43426', 'Q99962')"
"('Q16643', 'Q9BVJ7')"
"('Q9H2G2', 'O14490')"
"('Q9UMS4', 'Q01081')"
"('Q149N8', 'Q9NS91')"
"('P50458', 'Q02962')"
"('P46934', 'Q16655')"
"('O75582', 'O43889')"
"('Q9UGL9', 'Q96ID5')"
"('P49407', 'O00505')"
"('P08473', 'P60709')"
"('Q15637', 'P52597')"
"('P34932', 'Q9Y6K9')"
"('P05120', 'Q14653')"
"('Q00005', 'P07900')"
"('P30480', 'O00193')"
"('P62304', 'P83369')"
"('Q04206', 'P07900')"
"('O60684', 'Q00978')"
"('O00238', 'P62987')"
"('Q99750', 'P48378')"
"('P78527', 'Q9BUB5')"
"('Q15910', 'O75461')"
"('Q9Y6J8', 'Q9UBB4')"
"('Q05195', 'P0CG47')"
"('P61289', 'P51116')"
"('O96019', 'P51531')"
"('P17482', 'Q8IY92')"
"('Q14164', 'P09874')"
"('O75844', 'Q9UET6')"
"('Q15047', 'O60333')"
"('Q15843', 'P62837')"
"('P51817', 'P26678')"
"('P49023', 'Q01844')"
"('Q15029', 'O00273')"
"('P16035', 'Q9Y617')"
"('P17693', 'Q8N109')"
"('P51531', 'O00716')"
"('P53804', 'Q05086')"
"('Q13509', 'P04183')"
"('P42224', 'P01106')"
"('O75937', 'Q16629')"
"('Q5FBB7', 'P30154')"
"('Q99759', 'Q00610')"
"('Q15303', 'P42338')"
"('P62993', 'Q9Y5X2')"
"('P67870', 'Q96K83')"
"('Q9GZT8', 'Q8TC92')"
"('P16104', 'Q96DH6')"
"('Q9Y2W1', 'Q06455')"
"('Q96HE7', 'P30101')"
"('Q8NEA9', 'Q4V326')"
"('P49841', 'P19838')"
"('Q07890', 'O00212')"
"('Q16612', 'Q9UMN6')"
"('Q9Y6X8', 'Q3ZCQ8')"
"('P50402', 'Q99962')"
"('Q13555', 'Q13698')"
"('P30480', 'P24752')"
"('O43586', 'P42766')"
"('P60709', 'Q99558')"
"('P25205', 'Q96CS2')"
"('P48061', 'P51681')"
"('O95343', 'Q5BKZ1')"
"('P09919', 'P17181')"
"('Q9UPN3', 'Q13439')"
"('P22033', 'Q14197')"
"('Q7Z2X4', 'P18146')"
"('P11362', 'P35568')"
"('P00734', 'P25116')"
"('Q9NNX6', 'P61812')"
"('Q9HCK4', 'P16870')"
"('P11802', 'Q16543')"
"('Q9H9B4', 'P23508')"
"('Q9UQB8', 'Q9HAP6')"
"('Q9UBS5', 'P55157')"
"('P32121', 'P67775')"
"('P68431', 'Q9BVI0')"
"('P06400', 'O14777')"
"('406989', 'P08581')"
"('Q14164', 'Q3MHD2')"
"('406906', 'O95644')"
"('Q5T5P2', 'Q9NQT4')"
"('P62888', 'P26373')"
"('P51451', 'P42336')"
"('P45379', 'P07951')"
"('P26368', 'Q15428')"
"('P31751', 'P38936')"
"('Q9UET6', 'Q9NU22')"
"('Q14134', 'P49773')"
"('O15519', 'Q02750')"
"('Q14469', 'Q0VG06')"
"('Q9Y463', 'P28482')"
"('P21333', 'P00973')"
"('Q5W0B1', 'O14874')"
"('P60468', 'P43307')"
"('P28340', 'Q96S55')"
"('O15379', 'O75533')"
"('P10276', 'P48681')"
"('Q96QV6', 'Q99879')"
"('Q14197', 'Q9BYD3')"
"('O60861', 'Q15637')"
"('Q08380', 'Q9NYJ8')"
"('Q71F23', 'P12956')"
"('Q13164', 'Q16512')"
"('P55212', 'Q9H2X6')"
"('Q96P70', 'Q99459')"
"('Q14145', 'Q9H492')"
"('Q9HD36', 'Q16611')"
"('P27986', 'O75167')"
"('P54259', 'Q9P2R6')"
"('Q96HA8', 'Q15645')"
"('Q9NRW1', 'P62993')"
"('O76031', 'O75365')"
"('P62993', 'P08047')"
"('P55735', 'Q15436')"
"('P35544', 'P07949')"
"('Q00987', 'P20226')"
"('Q68EM7', 'Q6XZF7')"
"('P05386', 'Q00005')"
"('P47756', 'P23508')"
"('Q96EE3', 'Q9NRG9')"
"('P30626', 'P49810')"
"('Q99731', 'P51686')"
"('Q9Y272', 'P50151')"
"('Q99578', 'P62993')"
"('P14921', 'P84022')"
"('P01106', 'O95236')"
"('O15162', 'O94817')"
"('Q8WXD5', 'Q9BQ83')"
"('P62805', 'P35659')"
"('Q9UKR5', 'P17028')"
"('P67775', 'O96017')"
"('Q96Q15', 'Q8IYD1')"
"('Q5SRE5', 'Q8NFH3')"
"('P03915', 'O00217')"
"('Q15796', 'Q9NYN1')"
"('Q14258', 'Q9Y2X8')"
"('P15924', 'P63104')"
"('P62877', 'O15534')"
"('P51654', 'P41221')"
"('Q9H6Z4', 'O75618')"
"('P50148', 'P48050')"
"('O14493', 'P56747')"
"('Q16181', 'Q13573')"
"('P28290', 'P62258')"
"('Q99816', 'P45378')"
"('Q99613', 'Q13347')"
"('Q15008', 'P78545')"
"('P67775', 'Q00005')"
"('Q9H2U1', 'Q13418')"
"('Q96B97', 'P08631')"
"('Q15459', 'P35609')"
"('P19838', 'Q13887')"
"('P06241', 'Q92874')"
"('P26006', 'Q07890')"
"('P28482', 'P01116')"
"('P61421', 'P40616')"
"('Q7L7L0', 'P56524')"
"('Q9UBI6', 'Q9UBY5')"
"('P60709', 'Q9C086')"
"('Q9Y478', 'Q15836')"
"('P31942', 'Q9Y2Q3')"
"('Q99996', 'Q9P1U1')"
"('P16403', 'Q96HA7')"
"('P01920', 'P01909')"
"('P36894', 'Q15797')"
"('Q13177', 'P22061')"
"('Q00526', 'P61024')"
"('P07437', 'P19438')"
"('P15498', 'Q9H814')"
"('Q9UQC2', 'Q9Y4K3')"
"('P56693', 'Q5T442')"
"('P16104', 'P60709')"
"('P23258', 'Q9BW27')"
"('P63215', 'Q13972')"
"('P04637', 'Q9NY72')"
"('Q9Y243', 'P15336')"
"('P51817', 'Q9HAV0')"
"('P03956', 'P17676')"
"('P62979', 'P61247')"
"('O95471', 'Q9Y5I7')"
"('Q9Y3E7', 'Q99717')"
"('P45984', 'P13686')"
