negatives
"('Q13127', 'Q8TAQ2')"
"('A8MT69', 'O15287')"
"('Q14185', 'Q8IXI1')"
"('P22694', 'P62834')"
"('P40337', 'P23284')"
"('Q9UJM3', 'P29353')"
"('P54727', 'Q9P286')"
"('P11308', 'Q92769')"
"('P21333', 'P08238')"
"('P06241', 'P04234')"
"('Q7Z5H3', 'Q9H4E5')"
"('P11047', 'Q9Y3C0')"
"('Q9H0E2', 'P54253')"
"('P35916', 'Q8WYR1')"
"('O00459', 'P36897')"
"('406928', 'Q15596')"
"('Q8WXD5', 'Q9Y3F4')"
"('Q9H2G2', 'Q9H204')"
"('O43521', 'P45983')"
"('P56693', 'P35712')"
"('Q9UI14', 'Q8N612')"
"('P62888', 'P46778')"
"('Q13283', 'P35225')"
"('P25189', 'Q01453')"
"('P37840', 'P28482')"
"('P19388', 'O15514')"
"('Q8ND90', 'Q9BYG5')"
"('P49327', 'P08238')"
"('Q96PM5', 'P39023')"
"('P15498', 'P61586')"
"('O60296', 'P18505')"
"('P04637', 'P63165')"
"('Q8TDN6', 'P62633')"
"('O60244', 'Q9NWA0')"
"('Q13200', 'P43686')"
"('P04150', 'Q99816')"
"('Q9C000', 'Q9NPP4')"
"('Q9NS73', 'Q9ULM3')"
"('O14641', 'Q15287')"
"('Q8IXH7', 'Q9Y241')"
"('P41182', 'P48551')"
"('Q02078', 'Q15672')"
"('P35555', 'O43597')"
"('P63096', 'P01112')"
"('P14598', 'Q9Y5S8')"
"('Q8N1F7', 'Q9Y2Q3')"
"('P62258', 'Q00613')"
"('Q9UKX5', 'P17301')"
"('Q14161', 'Q9NR80')"
"('P11309', 'Q96B36')"
"('P19388', 'P52434')"
"('P07900', 'P04637')"
"('P62330', 'Q9UHV9')"
"('P51671', 'P25025')"
"('Q13573', 'Q9HAU5')"
"('P62854', 'Q92597')"
"('Q9Y6Q9', 'P11474')"
"('P18146', 'Q15532')"
"('Q06124', 'Q9Y4H2')"
"('P02549', 'Q01082')"
"('P14625', 'P11021')"
"('Q8NE01', 'O75365')"
"('P60953', 'Q9UKI2')"
"('Q9NUJ1', 'P16104')"
"('O43290', 'Q99459')"
"('Q14164', 'P60981')"
"('P84022', 'P05121')"
"('Q96AY3', 'Q9BQ83')"
"('P25021', 'Q96D09')"
"('P36406', 'Q5VVX9')"
"('Q96BD5', 'O60711')"
"('Q9P2H0', 'Q9NRI5')"
"('P50502', 'P60520')"
"('P25490', 'O75530')"
"('P29508', 'Q15853')"
"('Q8IZI9', 'P26992')"
"('Q9BRP4', 'P62195')"
"('P14866', 'Q92620')"
"('P22694', 'P18847')"
"('P17301', 'P08648')"
"('Q15906', 'Q13137')"
"('Q15714', 'Q15047')"
"('P36873', 'P04637')"
"('Q16665', 'Q16790')"
"('Q9UKA9', 'Q07666')"
"('Q13555', 'P51828')"
"('P40926', 'O75390')"
"('407051', 'P55316')"
"('Q9UQL6', 'P0C0S8')"
"('Q13950', 'Q6P1K2')"
"('Q9H0E2', 'Q86TG7')"
"('Q969U6', 'P63208')"
"('P62979', 'P46379')"
"('O95136', 'P63096')"
"('Q9BWH2', 'Q92995')"
"('Q9H8T0', 'Q9UPT5')"
"('Q15047', 'Q13263')"
"('P10914', 'P32455')"
"('Q96LR5', 'O15344')"
"('P26368', 'Q8N684')"
"('P21462', 'P84996')"
"('Q9GZQ8', 'Q9H492')"
"('Q9UKE5', 'Q9NRI5')"
"('P22681', 'P31785')"
"('Q9NR96', 'P41182')"
"('P49238', 'P52333')"
"('Q9GZY6', 'Q9NRR5')"
"('Q08050', 'P11168')"
"('P46940', 'P62330')"
"('Q9Y620', 'Q8N8B7')"
"('P35442', 'P56199')"
"('Q9Y6X2', 'Q14765')"
"('Q04759', 'Q9NRA0')"
"('P41159', 'P32927')"
"('P53420', 'P16144')"
"('Q15008', 'P62333')"
"('Q15834', 'O60293')"
"('P36956', 'Q8WVJ9')"
"('Q13263', 'Q7L2J0')"
"('Q13526', 'Q09013')"
"('P10600', 'Q8NER5')"
"('Q03164', 'Q9P0U4')"
"('P55001', 'P62805')"
"('Q12962', 'Q92831')"
"('P01011', 'P05067')"
"('Q15389', 'P29317')"
"('P14780', 'P01100')"
"('O00501', 'P56746')"
"('P01889', 'Q00688')"
"('O75934', 'Q15637')"
"('O60814', 'Q7L7L0')"
"('Q13557', 'O95644')"
"('P01344', 'P48745')"
"('Q96MT8', 'Q9NRI5')"
"('P13747', 'P43628')"
"('A8K0R7', 'P63104')"
"('P23284', 'P30480')"
"('Q9NPI1', 'Q9BX70')"
"('P49841', 'Q13469')"
"('O15239', 'O43676')"
"('P31946', 'P46937')"
"('O60925', 'O00291')"
"('P05107', 'Q9Y490')"
"('Q9BXW9', 'P12004')"
"('P04229', 'P01903')"
"('Q08043', 'P68032')"
"('P30307', 'Q8WZA2')"
"('O60262', 'Q99677')"
"('O75534', 'P01241')"
"('P62873', 'Q13153')"
"('Q05513', 'Q9NR12')"
"('P61769', 'Q15306')"
"('P51991', 'Q05519')"
"('Q7Z3B4', 'P63010')"
"('Q96B02', 'Q9NZS9')"
"('Q5QP82', 'Q8IY92')"
"('P27482', 'Q32MK0')"
"('O15357', 'Q06190')"
"('406982', 'Q14209')"
"('Q99616', 'P51677')"
"('O43639', 'Q9NZQ3')"
"('Q6PCE3', 'P41182')"
"('P61073', 'P49716')"
"('Q03001', 'Q13177')"
"('P56385', 'P00846')"
"('P41134', 'P15923')"
"('P43146', 'P15311')"
"('Q9UQL6', 'P62807')"
"('O14654', 'P27986')"
"('Q6P1K2', 'Q16236')"
"('P67870', 'Q9UKI9')"
"('O94906', 'Q15029')"
"('Q8WW43', 'Q04721')"
"('Q14164', 'O95834')"
"('P53350', 'P19793')"
"('Q9H6X2', 'P38398')"
"('O60260', 'O60671')"
"('Q9Y6K9', 'Q14204')"
"('Q14164', 'P62158')"
"('P67870', 'O15054')"
"('P52757', 'P63000')"
"('Q12873', 'P13805')"
"('Q9BS34', 'Q96EK5')"
"('P49589', 'P26641')"
"('Q13137', 'O14639')"
"('P19793', 'Q92831')"
"('O15105', 'O75807')"
"('P08670', 'Q8N2W9')"
"('P09874', 'Q13315')"
"('Q14103', 'P26599')"
"('A8K6C2', 'P40238')"
"('P31947', 'Q8TEW0')"
"('Q6PML9', 'P24385')"
"('P19338', 'P12544')"
"('P27635', 'P62913')"
"('Q08043', 'P56199')"
"('P49841', 'P21246')"
"('Q07912', 'Q13177')"
"('Q96JB5', 'Q9NRI5')"
"('Q96AQ9', 'Q01844')"
"('P10412', 'P16333')"
"('O00233', 'P43686')"
"('P48230', 'P20823')"
"('Q8TAE8', 'Q14197')"
"('Q16236', 'P13569')"
"('Q13485', 'O75400')"
"('P23508', 'P48730')"
"('Q9UL18', 'P05023')"
"('P53420', 'P18084')"
"('O95619', 'P16104')"
"('Q8N257', 'P0C0S5')"
"('Q14CS0', 'Q04637')"
"('P61225', 'Q59EK9')"
"('P40337', 'O43294')"
"('P31943', 'P07910')"
"('P61011', 'Q99459')"
"('Q15365', 'P11940')"
"('P41240', 'P49023')"
"('O94989', 'Q9H6J7')"
"('Q96B02', 'Q96G75')"
"('P17612', 'Q93100')"
"('P46778', 'Q9P1W9')"
"('Q8NDC0', 'P63279')"
"('O94925', 'P62330')"
