negatives
"('P17405', 'P18146')"
"('Q9NQC7', 'Q13114')"
"('O75563', 'P08631')"
"('P04626', 'O95704')"
"('Q9UJ98', 'O60216')"
"('P49736', 'Q9BXI2')"
"('P00533', 'Q9NSE2')"
"('P45983', 'Q96J02')"
"('P51817', 'Q01814')"
"('P50151', 'P53778')"
"('P42338', 'P60763')"
"('P15880', 'P60866')"
"('P04637', 'Q9NQW6')"
"('Q96FW1', 'Q9P2G9')"
"('Q16777', 'Q96A08')"
"('Q9P003', 'O14656')"
"('P42224', 'P19438')"
"('P47914', 'P62913')"
"('Q92616', 'Q9Y4P8')"
"('P49593', 'P56192')"
"('P84103', 'Q8IX12')"
"('P31946', 'P49674')"
"('P16035', 'P30084')"
"('O43707', 'Q08043')"
"('P0C0S8', 'Q8WUI4')"
"('P62140', 'Q9UKF6')"
"('P05060', 'P19388')"
"('P12004', 'P36873')"
"('P22694', 'Q13698')"
"('Q9NX14', 'P03923')"
"('P46778', 'P46779')"
"('Q13315', 'Q8N3X1')"
"('Q13616', 'Q5XUX0')"
"('O43623', 'P56545')"
"('P55084', 'Q13233')"
"('Q9BUJ2', 'P38159')"
"('P56524', 'Q99877')"
"('P02686', 'P54259')"
"('Q01130', 'Q8IWZ8')"
"('P31689', 'Q9H9G7')"
"('Q99728', 'O95453')"
"('Q00005', 'P81605')"
"('P16333', 'O95886')"
"('P13569', 'Q13952')"
"('P51617', 'O00206')"
"('Q8TEY5', 'Q92793')"
"('P29992', 'Q9BZM1')"
"('Q14938', 'P12755')"
"('Q9BPW8', 'P41743')"
"('Q13362', 'Q9UPR3')"
"('P47881', 'P38405')"
"('P23508', 'Q96S44')"
"('P16220', 'Q7Z624')"
"('P12931', 'P98172')"
"('Q8TCX1', 'Q14203')"
"('P49815', 'Q15382')"
"('Q6VMQ6', 'P08572')"
"('Q8NHW4', 'P51686')"
"('P29459', 'P01589')"
"('P20073', 'P46379')"
"('Q8WU17', 'Q9H832')"
"('Q15843', 'P15880')"
"('P00519', 'Q06124')"
"('P07948', 'P08637')"
"('O43293', 'Q02045')"
"('Q13797', 'Q99759')"
"('Q9Y6Y9', 'Q8IWL1')"
"('Q00005', 'P07437')"
"('Q86Y56', 'Q15714')"
"('P01563', 'P08887')"
"('P00367', 'Q99558')"
"('26765', 'Q99966')"
"('Q9HAU0', 'P54253')"
"('P50570', 'O43597')"
"('P62316', 'Q92993')"
"('P07948', 'Q9H400')"
"('P30050', 'Q00005')"
"('Q07955', 'Q00839')"
"('Q9H1Y0', 'P23921')"
"('Q9GZS1', 'Q9BUJ2')"
"('P19438', 'P20333')"
"('Q9UBD5', 'Q99741')"
"('P22087', 'Q9NX58')"
"('574411', 'P14174')"
"('P05107', 'P27986')"
"('Q13535', 'Q9UBT2')"
"('O15259', 'Q9ULH1')"
"('P55072', 'Q9Y2R2')"
"('P46778', 'P61927')"
"('P84090', 'P78330')"
"('P28074', 'P20618')"
"('Q8N726', 'P24385')"
"('P61077', 'Q8TDN6')"
"('Q5VTR2', 'P35998')"
"('Q99623', 'Q8IXJ6')"
"('P62834', 'P52735')"
"('P18146', 'Q9Y222')"
"('P52803', 'P22455')"
"('Q9Y4K3', 'O75347')"
"('Q9Y4K3', 'P55786')"
"('P27986', 'P16871')"
"('Q9UBQ5', 'Q96HC4')"
"('Q96G25', 'Q9BTT4')"
"('P60660', 'Q99759')"
"('P42224', 'P43405')"
"('P63261', 'P13533')"
"('Q9NWV8', 'Q96RL1')"
"('P55157', 'Q9NRJ4')"
"('P00519', 'Q05655')"
"('P14625', 'Q99459')"
"('P26038', 'P24941')"
"('Q9NPC6', 'O43707')"
"('Q9UII4', 'O14933')"
"('Q96B02', 'Q9NX47')"
"('Q08379', 'Q14134')"
"('Q969F2', 'Q96BH1')"
"('Q9H2G2', 'O94856')"
"('P51532', 'Q9UBP5')"
"('P19387', 'Q8WVC0')"
"('P09874', 'P12956')"
"('Q14164', 'P30044')"
"('Q00653', 'P62195')"
"('P00519', 'P19447')"
"('Q9UN74', 'Q15047')"
"('O96000', 'P03886')"
"('Q15428', 'O75554')"
"('Q13042', 'Q9NZH5')"
"('Q13315', 'Q9UBS0')"
"('Q8NG27', 'Q8IYI8')"
"('Q5VYK3', 'Q9Y6K9')"
"('Q6PGN9', 'P10124')"
"('Q8NGS5', 'P38405')"
"('Q92956', 'O43464')"
"('O43309', 'P63165')"
"('Q9Y2W2', 'Q15811')"
"('O14920', 'O60477')"
"('Q5T5U3', 'P31947')"
"('P61289', 'O00233')"
"('P14923', 'P18146')"
"('P36578', 'P62829')"
"('Q92633', 'P62879')"
"('P51668', 'Q6Q0C0')"
"('Q13233', 'P62266')"
"('P13010', 'P10144')"
"('O14543', 'P29597')"
"('Q9Y6X2', 'Q15911')"
"('Q9UK32', 'P22736')"
"('O14920', 'Q8N163')"
"('Q8TD19', 'Q9H0R8')"
"('Q9Y6K1', 'Q15047')"
"('Q8TES7', 'P14373')"
"('P14316', 'P50591')"
"('P23508', 'O14745')"
"('Q96RG2', 'P16118')"
"('P61077', 'Q96EQ8')"
"('O76093', 'P35916')"
"('P60568', 'Q01167')"
"('P26012', 'P01137')"
"('Q9H0D6', 'Q9NRI5')"
"('Q05519', 'Q13243')"
"('P46108', 'Q8IZD9')"
"('P13501', 'P01833')"
"('Q07820', 'P10415')"
"('Q6PIZ9', 'O00459')"
"('O75626', 'Q7Z7L9')"
"('P35226', 'P21246')"
"('P68400', 'Q13426')"
