negatives
"('Q13601', 'Q02539')"
"('O95201', 'P19544')"
"('Q96BA8', 'Q969S6')"
"('Q9H6L2', 'Q7Z4F1')"
"('Q9BQI7', 'P54277')"
"('Q15910', 'Q6PKG0')"
"('P04637', 'P61964')"
"('O15067', 'Q9UGJ0')"
"('O00329', 'O00459')"
"('Q9NZC7', 'Q8TEQ6')"
"('Q9NP64', 'Q6NYC1')"
"('Q5RKV6', 'Q9BYD3')"
"('Q16539', 'Q16644')"
"('Q68EM7', 'P60953')"
"('Q86VE0', 'Q9ULX6')"
"('P07550', 'P62633')"
"('Q9UBB9', 'P04259')"
"('Q99729', 'Q9Y2R9')"
"('P51531', 'Q8WUZ0')"
"('Q8N9I5', 'Q9BYR6')"
"('P05067', 'Q96MS0')"
"('O60610', 'P49450')"
"('Q71UI9', 'O95166')"
"('Q14676', 'Q8NF37')"
"('Q9NVP2', 'Q04323')"
"('Q8TBB1', 'Q9NPD3')"
"('O43586', 'Q02543')"
"('Q01844', 'Q96CX2')"
"('Q9UKW4', 'Q6WCQ1')"
"('Q08117', 'Q9BWG6')"
"('P05015', 'P24394')"
"('Q5T749', 'Q7Z6R9')"
"('P04632', 'Q9P289')"
"('Q00526', 'P06493')"
"('P55036', 'Q99798')"
"('Q92882', 'Q04864')"
"('P09038', 'P62195')"
"('P22626', 'Q00688')"
"('P62841', 'P09001')"
"('Q9UPG8', 'P28482')"
"('Q9Y664', 'O95163')"
"('P09651', 'O95816')"
"('Q16540', 'Q00839')"
"('Q9HAV7', 'P07902')"
"('Q9BRQ3', 'Q96D03')"
"('Q8N490', 'O75496')"
"('Q16514', 'O75486')"
"('P30679', 'Q13200')"
"('P08865', 'P39023')"
"('Q13950', 'P17931')"
"('Q86W92', 'Q9NRM7')"
"('P51692', 'P42224')"
"('O43790', 'Q14D33')"
"('P29401', 'Q14061')"
"('P02774', 'Q92569')"
"('O96019', 'Q9Y230')"
"('Q8IXL7', 'Q15654')"
"('P05013', 'P09619')"
"('P11388', 'Q9NR30')"
"('Q15637', 'P22102')"
"('Q15038', 'Q9BTL3')"
"('P28715', 'Q12962')"
"('Q86UT8', 'P63104')"
"('P63208', 'O00221')"
"('Q9UNQ0', 'P08151')"
"('P46776', 'P47897')"
"('P09603', 'P08138')"
"('P02747', 'P08246')"
"('P19784', 'Q9Y520')"
"('P04792', 'Q86SE9')"
"('Q7Z6B0', 'Q9UJY5')"
"('P07910', 'P62633')"
"('Q96GG9', 'P09234')"
"('Q8IVT5', 'P40939')"
"('Q8IXI2', 'O60296')"
"('Q96L34', 'P62258')"
"('Q05086', 'Q6UWE0')"
"('P61769', 'Q6MZP7')"
"('Q96EY4', 'Q9H2G4')"
"('Q8NGZ6', 'Q9P2W3')"
"('P27701', 'Q9P2B2')"
"('P06748', 'Q7L2H7')"
"('Q16695', 'P21980')"
"('P55786', 'Q9NR45')"
"('P61956', 'P04083')"
"('Q15717', 'P17081')"
"('Q14186', 'P28749')"
"('O00264', 'Q9BUP0')"
"('Q9Y4K0', 'P30101')"
"('P21580', 'Q9UK99')"
"('Q8TAP9', 'P22307')"
"('Q13243', 'P07910')"
"('P15880', 'P63167')"
"('P01106', 'Q9UGI6')"
"('Q99836', 'Q9HCE7')"
"('P21675', 'Q02539')"
"('Q04912', 'P26927')"
"('Q9H9Z2', 'O60832')"
"('P12830', 'O75367')"
"('Q15046', 'Q96FW1')"
"('Q13480', 'P42336')"
"('P21810', 'Q16082')"
"('P43146', 'Q92828')"
"('O60706', 'P00338')"
"('P10914', 'P40763')"
"('Q14164', 'P20618')"
"('P49736', 'Q9H857')"
"('Q8N9N5', 'P22557')"
"('P18206', 'P48637')"
"('Q8WV16', 'Q16531')"
"('P29350', 'P20963')"
"('Q15834', 'Q15910')"
"('P61981', 'P48730')"
"('P13727', 'Q13219')"
"('P61964', 'P10242')"
"('P62906', 'P46779')"
"('Q14558', 'Q9HC24')"
"('P05412', 'P48507')"
"('Q86UX2', 'P38398')"
"('Q9BUF5', 'Q9BQE3')"
"('Q9NPJ6', 'Q66GS9')"
"('Q99439', 'Q9NWT6')"
"('Q96EB6', 'P78316')"
"('Q96RT1', 'O15111')"
"('P26358', 'P40692')"
"('Q9Y2W1', 'P03372')"
"('P49023', 'P25054')"
"('P60981', 'O15198')"
"('O75145', 'O15083')"
"('Q86X19', 'Q96RD7')"
"('P68400', 'Q16204')"
"('P34897', 'A2RRH5')"
"('Q8N1B4', 'Q969G3')"
"('Q8NGA5', 'P62873')"
"('Q9NS87', 'Q8WYQ5')"
"('Q02880', 'Q9UPV0')"
"('Q02543', 'P68104')"
"('Q9Y6Y8', 'Q96LA8')"
"('P10244', 'Q9GZQ8')"
"('Q9H9B4', 'P24752')"
"('P62701', 'O14965')"
"('Q38SD2', 'Q96J02')"
"('P21917', 'P62873')"
"('Q9Y5L0', 'P08572')"
"('P06241', 'Q07666')"
"('P27694', 'O14974')"
"('Q86X10', 'Q8IYX4')"
"('Q92541', 'O00267')"
"('Q92629', 'O43556')"
"('Q9NYK5', 'Q9NX20')"
"('Q53EP0', 'Q13557')"
"('P17812', 'O14829')"
"('P24941', 'P04637')"
"('O94782', 'P61626')"
"('Q03989', 'P61024')"
"('Q96SB8', 'Q9Y547')"
"('P09651', 'P07900')"
"('Q6A163', 'O14964')"
"('Q9BVJ7', 'Q9P2H0')"
"('Q9BPW8', 'P50990')"
"('P36542', 'P50222')"
"('Q00839', 'Q7KZF4')"
"('O95831', 'P13569')"
"('P09661', 'Q07955')"
"('P31749', 'P09601')"
"('A6NHR9', 'Q5T3J3')"
"('Q9UJF2', 'P61981')"
"('Q92997', 'O94772')"
"('Q9Y478', 'P30085')"
"('Q969T4', 'Q9BW61')"
"('Q9Y3S2', 'P60410')"
"('P04629', 'Q9UQQ2')"
"('Q02543', 'Q9BYG3')"
"('O14775', 'P28482')"
"('Q8N9I9', 'Q9NR21')"
"('P19320', 'P07737')"
"('Q13191', 'P62736')"
"('P40424', 'P14653')"
"('O75344', 'O94763')"
"('Q01844', 'Q13485')"
"('Q8N573', 'P83731')"
"('Q16836', 'P11171')"
"('P14770', 'Q92624')"
"('Q9NWQ4', 'Q9GZV8')"
"('O00499', 'O15397')"
"('P26885', 'P04075')"
"('Q9UNA4', 'O14641')"
"('Q49AN0', 'P07814')"
"('Q13228', 'O75752')"
"('P49841', 'Q14449')"
"('Q02880', 'P23511')"
"('Q08211', 'P84103')"
"('P08238', 'Q9BSI4')"
"('Q96GG9', 'P04080')"
"('Q07812', 'Q15365')"
"('Q9BYQ0', 'O14633')"
"('P25788', 'Q99933')"
"('O00212', 'Q9NQU5')"
"('Q53HL2', 'P11055')"
"('P14635', 'Q99828')"
"('P31350', 'Q96RI1')"
"('P57737', 'P54132')"
"('Q8WTX9', 'P60328')"
"('P40855', 'P28288')"
"('Q96BW9', 'O00483')"
"('Q8TAB3', 'Q8WUW1')"
"('O75626', 'P40306')"
"('Q13765', 'Q13148')"
"('Q9Y286', 'Q9UHX1')"
"('Q9NX58', 'Q6P158')"
"('Q7Z392', 'Q7Z6L1')"
"('O60684', 'P78424')"
"('Q66GS9', 'Q5GH76')"
"('Q99501', 'Q96B97')"
"('P63104', 'P27986')"
"('O95718', 'Q8NHS0')"
"('Q9Y6G9', 'Q9BUF5')"
"('P14672', 'Q9BZJ0')"
"('Q13309', 'Q99471')"
"('P04264', 'O76011')"
"('P03372', 'Q08752')"
"('Q99549', 'P35226')"
"('Q96S82', 'Q93008')"
"('P41250', 'Q9C0B0')"
"('Q9NR28', 'P30480')"
"('Q8N9L1', 'Q567U6')"
"('Q13200', 'P45983')"
"('P05067', 'Q68BL7')"
"('Q8NDH6', 'Q9BVG8')"
"('P52948', 'Q86VU5')"
"('P10827', 'P31321')"
"('P63000', 'Q8TEJ3')"
"('Q8NHQ8', 'Q9NPB6')"
"('O00463', 'P54725')"
"('P50991', 'Q8WW22')"
"('P49674', 'Q9ULX3')"
"('Q9NY12', 'Q14145')"
"('P49790', 'Q9BTL4')"
"('P21579', 'Q9Y6K9')"
"('O14964', 'Q9UMX0')"
"('P14324', 'O94979')"
"('P53671', 'Q8TEW0')"
"('Q96DH6', 'P19320')"
"('P62330', 'Q15438')"
"('P35232', 'P13612')"
"('Q96BI3', 'Q15717')"
"('Q9HCP0', 'Q9UHC7')"
"('Q9H6L4', 'Q6ZU15')"
"('P38646', 'Q9H6A0')"
"('Q8IWB7', 'Q8IW50')"
"('Q9UPQ9', 'O60308')"
"('Q9UBC5', 'Q9Y5J5')"
"('P07737', 'Q8TCT1')"
"('P30084', 'Q9Y4K3')"
"('O60716', 'O60331')"
"('Q9P0K7', 'P61981')"
"('O75436', 'Q16864')"
"('P05771', 'P26012')"
"('Q16795', 'P00533')"
"('Q9Y2D8', 'O75616')"
"('P01241', 'P40238')"
"('Q969G5', 'Q13405')"
