negatives
"('Q9C040', 'Q9Y2X8')"
"('Q9H0E2', 'Q9H0D6')"
"('P68400', 'Q8IY92')"
"('28881', 'O43521')"
"('Q99727', 'P08253')"
"('P12931', 'P35222')"
"('Q09028', 'P04183')"
"('Q8TAP6', 'P14136')"
"('P28702', 'P49116')"
"('Q9NYN1', 'O00238')"
"('O15350', 'P55212')"
"('Q9NVP2', 'P51965')"
"('P67870', 'P82979')"
"('Q01844', 'P56277')"
"('P51817', 'Q9UD71')"
"('P55795', 'O75937')"
"('Q02878', 'P46778')"
"('O75688', 'P05161')"
"('P52272', 'O15479')"
"('Q92995', '6702')"
"('Q04206', 'Q15717')"
"('Q14164', 'P20132')"
"('P48444', 'Q99459')"
"('Q8IZD9', 'P00519')"
"('Q6WCQ1', 'P11021')"
"('Q9UJX2', 'Q01094')"
"('Q8TDR0', 'Q9NYJ8')"
"('P55196', 'P63104')"
"('Q9NPF4', 'Q5VU43')"
"('Q9UM07', 'P62805')"
"('P04141', 'P17096')"
"('Q8IUQ4', 'P56975')"
"('P05556', 'O00214')"
"('Q13200', 'P48556')"
"('P07948', 'P08637')"
"('Q9Y2A0', 'Q9P035')"
"('Q8N2W9', 'O15105')"
"('Q14164', 'O75347')"
"('P54760', 'P52799')"
"('P36956', 'Q13085')"
"('Q8N4C6', 'Q8IZP0')"
"('Q86X55', 'Q6ZRS2')"
"('P11802', 'P04632')"
"('Q13976', 'O15264')"
"('Q6UWE0', 'P61077')"
"('P62070', 'P42336')"
"('Q01844', 'O60858')"
"('Q9NRR4', 'P17844')"
"('P06899', 'Q99878')"
"('P83731', 'P26373')"
"('P50150', 'Q00722')"
"('P67809', 'P07910')"
"('Q8IYF1', 'Q13137')"
"('Q01113', 'P29597')"
"('P23284', 'Q9NRR5')"
"('P14625', 'Q16659')"
"('Q9UKW6', 'Q8N6T7')"
"('Q15038', 'Q9UBV8')"
"('O43639', 'Q05397')"
"('P01106', 'Q96G23')"
"('P53803', 'Q8WVC0')"
"('P67870', 'O60739')"
"('Q13562', 'Q16620')"
"('Q16659', 'Q7L5N1')"
"('P29350', 'P03372')"
"('P28702', 'Q6P2C8')"
"('Q15631', 'Q9H1Y0')"
"('P62875', 'O95602')"
"('Q16795', 'O43677')"
"('P62424', 'P05387')"
"('P32519', 'P24071')"
"('Q9UNA1', 'Q9H4E5')"
"('Q96PU5', 'P10721')"
"('P01563', 'Q13651')"
"('Q9Y230', 'O00115')"
"('P04637', 'P01135')"
"('Q15654', 'Q14160')"
"('Q9H4L7', 'Q13573')"
"('Q9NYR9', 'Q15653')"
"('P01135', 'P08069')"
"('P30559', 'P08754')"
"('P51946', 'Q03181')"
"('P53350', 'P16278')"
"('O00311', 'Q14566')"
"('O95163', 'O14530')"
"('Q9UGU5', 'Q15714')"
"('O00311', 'P33992')"
"('P29350', 'P26992')"
"('Q00005', 'Q8WXS5')"
"('P16104', 'P48740')"
"('Q15365', 'Q7Z434')"
"('Q6P1K2', 'Q13950')"
"('P60568', 'P40189')"
"('Q9NWM8', 'P19388')"
"('Q9Y289', 'Q96RT1')"
"('Q13952', 'P30307')"
"('Q8IW41', 'P04637')"
"('P49662', 'P09661')"
"('P53675', 'P00533')"
"('Q9Y230', 'O14746')"
"('O60814', 'Q86WJ1')"
"('P05000', 'Q8N6P7')"
"('O14986', 'O14640')"
"('P38936', 'Q14103')"
"('O75937', 'Q13242')"
"('P98175', 'P24864')"
"('P78417', 'P26641')"
"('P10070', 'Q2M1P5')"
"('O14654', 'P48039')"
"('P46734', 'O15264')"
"('Q96RL1', 'P63279')"
"('P51532', 'P01106')"
"('O95843', 'P51841')"
"('O00255', 'P31273')"
"('P61088', 'O76050')"
"('P36896', 'Q9UER7')"
"('P36406', 'Q13114')"
"('P21246', 'Q9Y6N8')"
"('P56945', 'Q9Y6K9')"
"('P10828', 'P19793')"
"('O15054', 'P03372')"
"('O14744', 'Q9NTK5')"
"('P35609', 'P26010')"
"('P48380', 'Q33E94')"
"('P63092', 'Q9P2W3')"
"('P02795', 'P04278')"
"('P34932', 'Q16659')"
"('Q13153', 'P53350')"
"('Q9BQA1', 'P31946')"
"('Q86V81', 'Q01081')"
"('P61956', 'Q15047')"
"('P25791', 'P23771')"
"('Q15750', 'Q86VX9')"
"('P28749', 'Q92994')"
"('P09544', 'Q9ULV1')"
"('Q9HD67', 'Q71U36')"
"('P00519', 'Q71SY5')"
"('P98187', 'O76096')"
"('P23508', 'Q15691')"
"('O75955', 'O94875')"
"('Q13191', 'Q14627')"
"('O75529', 'Q9Y4A5')"
"('Q15154', 'Q9NYB9')"
"('Q13247', 'Q15366')"
"('Q13315', 'O14980')"
"('P30466', 'P26715')"
"('P26641', 'P07814')"
"('Q14469', 'P17676')"
"('P33240', 'Q9P2H0')"
"('O15379', 'Q6FI13')"
"('P01584', 'P09429')"
"('O14512', 'Q9UHF4')"
"('P49137', 'P53667')"
"('P06493', 'O00429')"
"('P11142', 'Q9BXA6')"
"('Q86Y39', 'Q16795')"
"('Q15554', 'O60934')"
"('P56705', 'Q9H461')"
"('Q9BWU1', 'O75448')"
"('Q9P2S5', 'P35326')"
"('O60262', 'P48051')"
"('Q7L590', 'P33991')"
"('P43250', 'P51681')"
"('Q9UPM9', 'Q01780')"
"('Q14CB8', 'Q7L0Q8')"
"('Q9Y2Q3', 'Q9Y678')"
"('P55287', 'Q6VMQ6')"
"('P05412', 'Q14457')"
"('Q9UKA9', 'P98175')"
"('P51668', 'Q9H6Y7')"
"('P18146', 'P35711')"
"('P15531', 'P35398')"
"('P48740', 'Q92890')"
"('Q9C040', 'P62837')"
"('Q13315', 'Q9BSD3')"
"('Q13425', 'P11532')"
"('P49321', 'Q05397')"
"('Q7Z3T8', 'P36894')"
"('Q9H0R8', 'Q9NX00')"
"('P49913', 'Q99572')"
"('Q96CW1', 'Q14197')"
"('O00221', 'P78527')"
"('P22681', 'P40189')"
"('Q9UIW2', 'P63000')"
"('Q9UKW4', 'P63010')"
"('Q13315', 'Q9UPV0')"
"('P51531', 'O94906')"
"('O43379', 'O14733')"
"('P27348', 'O15553')"
"('P51668', 'Q9NZS9')"
"('O15511', 'P60709')"
"('P15336', 'Q16520')"
"('P62140', 'O60927')"
"('O94819', 'P12980')"
"('B1A4H9', 'P23458')"
"('P03891', 'Q9P0J0')"
"('P63010', 'P53680')"
"('O15534', 'Q13315')"
"('Q13415', 'P78396')"
"('P28482', 'O15119')"
"('P63244', 'P12236')"
"('P04637', 'P38646')"
"('O96014', 'O75581')"
"('Q15022', 'P35221')"
"('O60671', 'O75943')"
"('O60244', 'Q9BWU1')"
"('P62140', 'Q9UF02')"
"('Q99612', 'Q9NRX1')"
"('P67775', 'Q15257')"
"('P19838', 'P33681')"
"('Q9Y4K3', 'O60573')"
"('O15239', 'Q9P0J0')"
"('P62701', 'P35544')"
"('P68104', 'Q9UBC1')"
"('O75251', 'O75438')"
"('Q9Y6K1', 'P63279')"
"('P50876', 'P62256')"
"('Q9UK32', 'Q8TDZ2')"
"('P59665', 'P09237')"
"('Q13547', 'Q9Y230')"
"('P13498', 'Q9Y5S8')"
"('Q13330', 'Q86YP4')"
"('Q9H6Y2', 'Q9P2G9')"
"('P01106', 'Q6PKG0')"
"('P31269', 'P40424')"
"('Q9BQ52', 'Q9H1I8')"
"('P02768', 'P07477')"
"('Q9C0J8', 'Q13573')"
"('P38646', 'Q15653')"
"('Q96HA8', 'P61457')"
"('P04062', 'P07602')"
"('Q9NP31', 'P00533')"
"('Q13535', 'Q9UHB6')"
"('O14512', 'Q8N6P7')"
"('P47813', 'Q96BK5')"
"('P03897', 'O75251')"
"('Q00839', 'Q08211')"
"('P62829', 'P60953')"
"('Q8N878', 'Q13188')"
"('Q99459', 'Q9BWF3')"
"('Q15831', 'P51532')"
"('P59544', 'A8MTJ3')"
"('P42575', 'Q9HB75')"
"('P26012', 'Q13797')"
"('P52272', 'P01889')"
"('P62873', 'P48051')"
"('Q9UHV7', 'Q15648')"
"('Q00978', 'P55265')"
"('P22612', 'P61224')"
"('Q01081', 'Q16629')"
"('P04637', 'P48730')"
"('O95295', 'Q16539')"
"('P35900', 'Q9HAU0')"
"('Q9UQK1', 'O95685')"
"('Q13426', 'P49917')"
"('P26045', 'P63104')"
"('Q96LR5', 'Q9UBS8')"
"('Q71U36', 'P23276')"
"('O60244', 'Q9BUE0')"
"('Q00839', 'P26599')"
"('Q9Y5X1', 'Q9P0L1')"
"('Q9BQ75', 'Q9UKV8')"
"('Q96IJ6', 'O75909')"
"('Q13111', 'Q99877')"
"('P25490', 'Q9H981')"
"('Q86YV6', 'P24844')"
"('Q99459', 'Q15021')"
"('Q99459', 'Q9UJX3')"
"('P59768', 'P48549')"
"('Q9NPC8', 'Q99502')"
"('P12314', 'Q8IYS5')"
"('P56748', 'P56750')"
"('Q9P0M6', 'O60814')"
"('Q8WYR1', 'Q13480')"
"('P58753', 'P10398')"
"('Q16695', 'Q2TAY7')"
"('P08107', 'P00533')"
"('O60925', 'Q99759')"
"('P09619', 'Q05209')"
"('Q9H9Y6', 'P27986')"
"('Q9NWV8', 'Q9NXR7')"
"('P25054', 'P33176')"
"('O43439', 'Q06455')"
"('P49746', 'P26012')"
"('P49407', 'P25116')"
"('Q92793', 'P19474')"
"('Q9H095', 'P49841')"
"('P62993', 'P25106')"
"('O15444', 'P41597')"
"('Q7Z569', 'Q6VAB6')"
"('P62424', 'P62913')"
"('P98095', 'Q96GW7')"
"('P08908', 'P16520')"
"('Q7Z6G3', 'Q8TBB1')"
"('Q9NRV9', 'P00533')"
"('Q93074', 'Q9NVC6')"
"('Q9HA65', 'Q12789')"
"('P12755', 'O15379')"
"('Q13501', 'Q12913')"
"('P46379', 'Q9P2S5')"
"('P16473', 'P08069')"
"('Q9UJX6', 'Q13042')"
"('P01127', 'P10721')"
"('P62877', 'Q86VP6')"
"('P83881', 'Q92901')"
"('Q9Y3C5', 'Q9UJ41')"
"('P35900', 'Q13057')"
"('P17948', 'P42224')"
"('P46531', 'P48736')"
"('P04637', 'P58004')"
"('P19235', 'P23458')"
"('P51159', 'Q7L5N1')"
"('P17568', 'O95298')"
"('O14544', 'P52630')"
"('P05783', 'P13987')"
"('Q9Y478', 'Q13131')"
"('P25791', 'P61371')"
"('Q01201', 'Q96ST3')"
"('Q86X55', 'P37231')"
"('O00154', 'P54253')"
"('P30260', 'Q8WWL7')"
"('P28562', 'Q15759')"
"('Q9UJX2', 'P24385')"
"('Q13315', 'Q5UIP0')"
"('P13686', 'P45984')"
"('Q03181', 'P19793')"
"('P61952', 'Q15147')"
"('P62258', 'Q99459')"
"('P07359', 'Q92569')"
"('P28482', 'Q05682')"
"('Q9NQC7', 'Q7Z434')"
"('Q06190', 'Q9NY47')"
"('Q99750', 'Q14781')"
"('P49736', 'Q13368')"
"('P62330', 'Q9UI30')"
"('Q9NPC3', 'P14635')"
"('P05114', 'P10412')"
"('Q8TAQ2', 'O14497')"
"('O95831', 'Q9HAW0')"
"('Q5VWX1', 'O75525')"
"('P01568', 'Q01113')"
"('Q13409', 'Q13509')"
"('P09769', 'P98082')"
"('P48039', 'Q15084')"
"('O00308', 'Q96G27')"
"('P51817', 'P54289')"
"('Q10570', 'Q9C0J8')"
"('O00165', 'O00303')"
"('Q9P2S5', 'Q9H3U1')"
"('P09619', 'Q9BQ66')"
"('Q05397', 'P01730')"
"('P60510', 'O15379')"
"('P11229', 'P16520')"
"('Q08211', 'P84103')"
"('Q92759', 'P50613')"
"('P31749', 'P98170')"
"('Q01844', 'Q13601')"
"('Q676U5', 'Q00610')"
"('P21580', 'O95786')"
"('Q13323', 'P10415')"
"('P16871', 'P06733')"
"('Q8NHJ6', 'O75015')"
"('P49642', 'Q13748')"
"('P20908', 'Q9UKX5')"
"('P04150', 'P45452')"
"('Q9NYY1', 'P48551')"
"('Q9UQM7', 'P48058')"
"('P27540', 'P00450')"
"('P63104', 'P06733')"
"('P01588', 'P16871')"
"('P62879', 'Q96PN6')"
"('P60568', 'P26038')"
"('Q9Y4G6', 'P26010')"
"('P49675', 'Q8TD31')"
"('Q92993', 'Q15906')"
"('Q13200', 'Q15008')"
"('P23258', 'Q8WUM4')"
"('Q16537', 'Q02641')"
"('Q99459', 'Q9UPN6')"
"('P49716', 'Q16520')"
"('P40763', 'Q8TAE8')"
"('O75593', 'Q15583')"
"('P01111', 'Q14449')"
"('P16104', 'P22626')"
"('P40939', 'O75815')"
"('Q9UKX5', 'P35609')"
"('Q12851', 'Q16560')"
"('P20248', 'Q14209')"
"('P62899', 'P30050')"
"('Q14164', 'P23921')"
"('Q8NH59', 'P38405')"
"('P04637', 'Q9HCN2')"
"('P01112', 'Q04864')"
"('Q16659', 'Q13561')"
"('Q9UM54', 'P62993')"
"('Q9UNZ2', 'Q13190')"
"('Q9NRM2', 'Q9NQ84')"
"('Q16560', 'O14788')"
"('Q93077', 'Q92769')"
"('P05067', 'P07196')"
"('Q9Y2X8', 'Q13233')"
"('Q15835', 'P25024')"
"('P55268', 'Q13797')"
"('P04745', 'Q7L5N1')"
"('P11802', 'Q14188')"
"('P04198', 'P25205')"
"('O60861', 'Q8IZP0')"
"('O14933', 'Q9H9V4')"
"('P25490', 'Q9ULG1')"
"('P17813', 'P18146')"
"('P49840', 'Q8N0Z3')"
"('P36578', 'P27635')"
"('P01871', 'Q13009')"
"('P01106', 'Q9NVR5')"
"('Q13573', 'P48643')"
"('A7KAX9', 'Q13588')"
"('P26010', 'Q99704')"
"('P12931', 'Q92569')"
"('P29466', 'P10275')"
"('P08631', 'Q9H204')"
"('O43543', 'O43542')"
"('Q9NRH1', 'O15068')"
"('Q8TDR0', 'Q9P2Q2')"
"('O00193', 'Q8WWI5')"
"('P09874', 'P0CG48')"
"('Q07817', 'Q96LC9')"
"('O14818', 'P16035')"
"('P61952', 'Q00722')"
"('P08107', 'P45983')"
"('P51948', 'P20248')"
"('P04141', 'Q01113')"
"('P05771', 'P15311')"
"('P22694', 'Q9H0K1')"
"('Q8N5C8', 'Q9Y6K9')"
"('Q99558', 'P17844')"
"('P26641', 'P49589')"
"('Q08209', 'O95644')"
"('Q16625', 'P56750')"
"('Q8IV61', 'O14807')"
"('Q9Y297', 'P30291')"
"('Q9UIS9', 'O43463')"
"('Q00653', 'Q9BSJ2')"
"('Q14164', 'Q9NR31')"
"('P42226', 'Q13287')"
"('Q9HCU9', 'Q92769')"
"('P15336', 'Q9UDV6')"
"('O60841', 'O15264')"
"('Q92905', 'Q13485')"
"('Q13315', 'Q9GZT6')"
"('Q9Y6D9', 'Q96AQ9')"
"('Q8IXI1', 'Q13177')"
"('O15519', 'Q96JQ0')"
"('P17252', 'P02545')"
"('P01889', 'P00403')"
"('P60520', 'P31644')"
"('P33240', 'Q12996')"
"('P25098', 'P30086')"
"('P38936', 'Q96FW1')"
"('P00519', 'P46108')"
"('P29083', 'P08243')"
"('Q9UKV0', 'P62258')"
"('O43318', 'P08107')"
"('Q9BQ66', 'P50222')"
"('P48436', 'O75444')"
"('O75116', 'Q8TBX8')"
"('Q03001', 'Q96EV8')"
"('P30443', 'P43629')"
"('Q15758', 'P20333')"
"('Q9NTK5', 'Q9H1I8')"
"('P01106', 'Q8NBJ4')"
"('O15360', 'Q13472')"
"('Q13573', 'Q9Y490')"
"('O95751', 'P18848')"
"('O95376', 'O14933')"
"('P62158', 'Q16566')"
"('Q92956', 'Q9P2H0')"
"('Q13042', 'Q15796')"
"('P46108', 'Q8IZP0')"
"('Q15759', 'P05423')"
"('O75165', 'Q9UK32')"
"('Q6P2Q9', 'P01106')"
"('P62913', 'P62945')"
"('P63272', 'Q5T3J3')"
"('O96000', 'O43678')"
"('P84996', 'P62879')"
"('P26012', 'P06756')"
"('Q15365', 'Q9P2S5')"
"('Q9ULK4', 'Q9BWU1')"
"('P06401', 'P53779')"
"('Q96RR4', 'Q9UGI9')"
"('P35527', 'P01857')"
"('O14775', 'P35498')"
"('O14746', 'O60832')"
"('Q9Y4K3', 'P61158')"
"('P49674', 'P10070')"
"('Q9H1I8', 'Q9HA65')"
"('P63165', 'P25963')"
"('P37198', 'Q13123')"
"('Q00610', 'Q9Y572')"
"('P11802', 'P20073')"
"('Q9UMX0', 'Q9NRR5')"
"('Q96Q15', 'Q969Q6')"
"('P23508', 'P51812')"
"('O95863', 'P05814')"
"('Q6ZUM4', 'P63000')"
"('P04439', 'Q8N423')"
"('Q9HCK5', 'P56385')"
"('Q12933', 'P08779')"
"('P29353', 'O75791')"
"('P22309', 'Q14164')"
"('P02743', 'P00505')"
"('P30304', 'P01112')"
"('Q86SG6', 'P16333')"
"('P04183', 'P16278')"
"('Q06124', 'Q15303')"
"('Q3LXA3', 'Q9BYX4')"
"('P60604', 'O60291')"
"('Q99459', 'P52907')"
"('P26038', 'P32942')"
"('P18146', 'Q13887')"
"('O00232', 'O00487')"
"('P10809', 'O00429')"
"('P06899', 'Q96QV6')"
"('Q13526', 'P04222')"
"('Q16543', 'O43318')"
"('Q86U06', 'Q14181')"
"('O43617', 'Q9Y5R8')"
"('Q15717', 'P38936')"
"('Q504T8', 'O95257')"
"('Q9NSC5', 'Q14571')"
"('Q02556', 'P21359')"
"('Q15349', 'P01116')"
"('P22626', 'Q07955')"
"('P01023', 'P60568')"
"('P31751', 'Q99941')"
"('P40337', 'P62834')"
"('P48544', 'Q92769')"
"('Q9UL54', 'P62993')"
"('Q9Y4K3', 'Q9HAV5')"
"('P17612', 'O95644')"
"('O00222', 'P09471')"
"('P11940', 'P61981')"
"('O95167', 'P03897')"
"('P11487', 'P08581')"
"('P05556', 'O00182')"
"('P38936', 'Q96N67')"
"('P62995', 'Q15428')"
"('O60658', 'Q01201')"
"('O43505', 'Q8N3Y3')"
"('Q04724', 'Q01196')"
"('Q7Z3G6', 'Q92997')"
"('P15153', 'P53365')"
"('P52735', 'P21860')"
"('Q01094', 'Q92831')"
"('Q8TEM1', 'Q99567')"
"('P00519', 'O00213')"
"('P0C1H6', 'O75367')"
"('P27707', 'P48443')"
"('Q12789', 'Q9HA65')"
"('P19012', 'O95751')"
"('P60709', 'Q6P4R8')"
"('Q99942', 'P62979')"
"('P40425', 'Q96EZ8')"
"('Q9H1Y0', 'P31947')"
"('Q96Q15', 'Q8ND04')"
"('Q9H160', 'Q92769')"
"('O94989', 'Q9Y3A3')"
"('P07948', 'Q14643')"
"('P04637', 'Q96GM8')"
"('Q14031', 'Q9UKX5')"
"('P61353', 'P62750')"
"('P40337', 'P39019')"
"('Q06124', 'Q8WYR1')"
"('Q8IWF7', 'Q9Y508')"
"('P16144', 'A8K7I4')"
"('Q92915', 'P22607')"
"('Q14192', 'Q15796')"
"('P53778', 'Q04206')"
"('Q12796', 'Q92731')"
"('O75494', 'P31947')"
"('Q99956', 'P28482')"
"('A6ND48', 'P38405')"
"('O15444', 'P49238')"
"('Q96BK5', 'Q9BZE4')"
"('O43318', 'O15304')"
"('Q13573', 'P08670')"
"('Q6STE5', 'Q92925')"
"('O75581', 'Q9BXY4')"
"('Q96GD4', 'Q02241')"
"('Q13315', 'Q15361')"
"('Q9Y6K8', 'O60701')"
"('P42566', 'P22607')"
"('Q15672', 'P01033')"
"('P67775', 'O14640')"
"('O43924', 'P60953')"
"('Q9Y613', 'P01112')"
"('Q9Y2W2', 'P12931')"
"('Q9UHD2', 'O00571')"
"('O14599', 'Q05086')"
"('Q13283', 'Q9Y4K3')"
"('O43301', 'Q13573')"
"('P16333', 'P31273')"
"('O43676', 'Q86Y39')"
"('Q15834', 'Q5VTD9')"
"('Q13485', 'Q13643')"
"('Q6PKG0', 'Q96GD4')"
"('Q9UKY1', 'Q13765')"
"('Q9NRR4', 'Q01844')"
"('P62987', 'Q29983')"
"('P00797', 'Q96SI1')"
"('P63146', 'Q8IWV7')"
"('P40424', 'P00749')"
"('O95777', 'P62310')"
"('Q5JY77', 'P25116')"
"('Q9Y2K7', 'P63208')"
"('P17931', 'P16144')"
"('P61626', 'P19838')"
"('P61927', 'P18124')"
"('Q13772', 'P37231')"
"('Q9ULH1', 'P0CG48')"
"('Q15942', 'P15498')"
"('P62277', 'P62753')"
"('P98095', 'Q00610')"
"('P25098', 'P51684')"
"('P0CG48', 'Q9H160')"
"('P27824', 'P30050')"
"('Q15843', 'Q13620')"
"('Q6GQQ9', 'P19438')"
"('P35268', 'Q9HC24')"
"('Q8N6P7', 'Q06124')"
"('P0C869', 'P04278')"
"('Q13467', 'Q92997')"
"('O60861', 'O43516')"
"('O15111', 'P04350')"
"('Q01094', 'Q9NPJ4')"
"('Q8IZP6', 'Q712K3')"
"('P41594', 'P48995')"
"('Q13237', 'P50993')"
"('P08238', 'Q9GZX7')"
"('O00221', 'Q9UKB1')"
"('P62945', 'P18621')"
"('Q99750', 'Q8WWR8')"
"('O75970', 'A6NM45')"
"('Q16537', 'Q9UPR3')"
"('P61077', 'P46934')"
"('O00429', 'Q9NQG6')"
"('O75369', 'O95433')"
"('P62837', 'Q86YT6')"
"('Q9H7E9', 'Q8N5V2')"
"('Q15075', 'P61106')"
"('O95999', 'P0CG47')"
"('P78406', 'Q9BUJ2')"
"('Q14653', 'Q8IU54')"
"('Q13309', 'P38936')"
"('Q7Z5K2', 'Q14683')"
"('Q9NPI1', 'P25440')"
"('P24864', 'P51610')"
"('P03886', 'O95182')"
"('Q8WUM4', 'P23508')"
"('P21796', 'P23508')"
"('Q9UBS5', 'O60262')"
"('Q6UXH1', 'P04183')"
"('P45984', 'Q12968')"
"('O95139', 'O96000')"
"('P27348', 'Q02241')"
"('Q92905', 'Q12772')"
"('Q15075', 'P51148')"
"('P55196', 'P31946')"
"('Q0VDF9', 'Q00613')"
"('Q03001', 'Q9BZL6')"
"('P31942', 'Q14103')"
"('O00159', 'Q9HC98')"
"('Q12873', 'Q14839')"
"('Q99683', 'Q16637')"
"('P56750', 'O75970')"
"('Q9Y6F1', 'Q16778')"
"('Q15382', 'P42345')"
"('Q9H4P4', 'Q15303')"
"('P27348', 'P68363')"
"('P37198', 'P40425')"
"('P08107', 'Q9NZL4')"
"('Q99877', 'Q9UBL3')"
"('O96013', 'Q38SD2')"
"('Q12834', 'O95997')"
"('Q96TA1', 'Q96KM6')"
"('Q9BRT9', 'Q9BVW5')"
"('Q9UBD9', 'Q969J5')"
"('Q9GZX6', 'Q14627')"
"('Q96T60', 'P49916')"
"('P15880', 'P42677')"
"('P01889', 'O95831')"
"('P01100', 'Q15654')"
"('Q9UBU9', 'P09467')"
"('Q13526', 'O60739')"
"('P15036', 'O95551')"
"('O60934', 'P16104')"
"('P23467', 'P09619')"
"('Q13216', 'Q13888')"
"('Q53F19', 'Q8TAD8')"
"('Q8IYI6', 'P05783')"
"('Q9H1J1', 'Q9UBU9')"
"('P13612', 'O43707')"
"('Q01105', 'P29372')"
"('Q9NRR5', 'Q9NYW0')"
"('P35225', 'Q12905')"
"('Q99459', 'Q9UL68')"
"('P20749', 'Q92993')"
"('P25054', 'Q92997')"
"('P03897', 'P03901')"
"('P61981', 'Q9UJF2')"
"('Q9NQB0', 'O14627')"
"('Q9UHQ1', 'P62837')"
"('Q9Y6Q9', 'P02768')"
"('P17676', 'Q13485')"
"('P01567', 'P16871')"
"('Q9BY76', 'P59998')"
"('P01106', 'Q8N3F0')"
"('O95433', 'Q9P1A6')"
"('P62979', 'Q15303')"
"('P51665', 'O00233')"
"('A8K6C2', 'P24394')"
"('P22681', 'P12314')"
"('Q9Y5X1', 'P17028')"
"('Q96CW1', 'Q5JTH9')"
"('Q6FI13', 'Q16778')"
"('P07355', 'O60739')"
"('P04899', 'P12931')"
"('Q9UBN7', 'P0CG48')"
"('Q13563', 'Q6VY07')"
"('O75533', 'Q8TAD8')"
"('O14543', 'Q9Y4K3')"
"('Q9NX65', 'Q0D2J5')"
"('P35225', 'P10912')"
"('P56524', 'P27348')"
"('O95049', 'O95471')"
"('Q9H0Q3', 'P14373')"
"('P08603', 'P62993')"
"('O14807', 'O00329')"
"('O75369', 'P23229')"
"('Q9Y371', 'P07333')"
"('O75800', 'Q9NX47')"
"('Q9NV70', 'Q8IX03')"
"('Q99878', 'Q99879')"
"('Q9Y3Q8', 'P33552')"
"('P61254', 'P49207')"
"('O75521', 'P32121')"
"('P10809', 'P63104')"
"('P17480', 'O95602')"
"('Q08945', 'Q15843')"
"('P62714', 'P52630')"
"('P84022', 'Q13445')"
"('Q8TEW6', 'P00533')"
"('Q96LR5', 'O15344')"
"('P05997', 'P56199')"
"('Q15834', 'Q9UJ04')"
"('Q16799', 'Q07817')"
"('Q9BQE3', 'P68371')"
"('P46459', 'O00161')"
"('O75293', 'Q8WWL7')"
"('Q8WWI5', 'O43809')"
"('Q96QE5', 'Q15005')"
"('Q04917', 'Q7KZI7')"
"('Q92900', 'Q9Y5S9')"
"('Q14191', 'P15927')"
"('P14921', 'P10275')"
"('Q96S59', 'Q16620')"
"('P40763', 'Q96IK5')"
"('P98170', 'P55212')"
"('P12270', 'O75694')"
"('P08107', 'P48436')"
"('P02647', 'Q9Y6X4')"
"('Q15691', 'Q96GD4')"
"('Q9UHD2', 'P50991')"
"('P27708', 'Q8NEV4')"
"('P17252', 'Q9GZT9')"
"('P06241', 'Q9H9L3')"
"('P20073', 'Q75N90')"
"('P40818', 'Q14596')"
"('P62244', 'P39019')"
"('O75629', 'P20226')"
"('Q9Y5W5', 'O00755')"
"('Q9GZT3', 'P11171')"
"('Q9BQA5', 'Q12933')"
"('Q14164', 'P61803')"
"('Q96M61', 'Q15025')"
"('Q13501', 'P01106')"
"('Q8IYL3', 'Q7L5N1')"
"('P01116', 'Q02750')"
"('Q9UBW8', 'Q5VYV7')"
"('P51991', 'Q08170')"
"('Q8NA92', 'Q15047')"
"('Q01081', 'Q07955')"
"('Q5VTD9', 'Q8IXK0')"
"('Q16513', 'Q96JN2')"
"('P51532', 'Q14164')"
"('Q13535', 'Q96JP5')"
"('Q96D59', 'Q969F0')"
"('Q8WXI7', 'P09382')"
"('P17706', 'P06213')"
"('Q16659', 'Q08345')"
"('Q9BZM3', 'P00519')"
"('Q9UER7', 'Q86Z02')"
"('Q8NB16', 'Q13573')"
"('O75116', 'Q9BZL4')"
"('Q8WWQ0', 'Q9H169')"
"('P10415', 'Q96PG8')"
"('P26639', 'P62330')"
"('P30305', 'P78386')"
"('Q9H8Y8', 'Q13228')"
"('Q8IYM9', 'Q96RK0')"
"('P51668', 'P20073')"
"('P78318', 'Q9UJV3')"
"('Q9UPT9', 'Q16594')"
"('P09923', 'Q14240')"
"('O43741', 'P98177')"
"('P50552', 'P17301')"
"('P15882', 'P63000')"
"('Q9NPH9', 'Q99650')"
"('O00141', 'Q13435')"
"('Q9UNE7', 'Q13485')"
"('Q92925', 'O96019')"
"('P61313', 'P18077')"
"('Q53TQ3', 'O96019')"
"('O60603', 'Q8IUC6')"
"('Q14240', 'Q96DG6')"
"('Q9HAU4', 'P26641')"
"('Q15287', 'P84090')"
"('P10914', 'P10242')"
"('Q02535', 'P36956')"
"('Q12816', 'Q93009')"
"('Q01130', 'Q8IYB3')"
"('Q06124', 'P63010')"
"('P01589', 'P14784')"
"('P48443', 'P05060')"
"('Q5TH69', 'P54259')"
"('P41091', 'Q9BY44')"
"('Q9NT62', 'Q9H0R8')"
"('P53618', 'O94830')"
"('Q9BYJ9', 'O43187')"
"('O43353', 'O43318')"
"('Q96E14', 'Q9H9A7')"
"('P22307', 'Q15067')"
"('P61313', 'Q92901')"
"('Q9UNX3', 'P46776')"
"('Q8N3U4', 'O60216')"
"('Q8IW93', 'Q9Y4D1')"
"('Q07890', 'P28482')"
"('O43734', 'Q96RJ3')"
"('P68400', 'Q63ZY3')"
"('O43516', 'P42768')"
"('P00533', 'P51813')"
"('P03886', 'P03905')"
"('Q5UIP0', 'P04792')"
