negatives
"('120329', 'P55211')"
"('Q9UBR4', 'Q14192')"
"('Q15022', 'P06400')"
"('Q9UJF2', 'Q15653')"
"('P08590', 'P13533')"
"('P19438', 'P01375')"
"('Q9H2F5', 'Q9BPY8')"
"('Q9P031', 'Q9Y4K3')"
"('Q12988', 'O43149')"
"('Q99590', 'Q01130')"
"('Q14257', 'Q9Y4K3')"
"('P31946', 'Q6WCQ1')"
"('P0CG47', 'P49281')"
"('P17931', 'P30049')"
"('P08571', 'Q04206')"
"('Q14669', 'A5YM72')"
"('P18509', 'P27487')"
"('Q12796', 'Q92753')"
"('P0CG48', 'P61981')"
"('Q9UMX0', 'O75400')"
"('P31943', 'Q9BUJ2')"
"('Q8N1I0', 'O00212')"
"('P07947', 'P05106')"
"('Q969F0', 'Q96D59')"
"('P18031', 'P25963')"
"('Q99996', 'O43586')"
"('Q9BQ66', 'Q03518')"
"('P14618', 'P10398')"
"('P49750', 'Q8TDY2')"
"('Q99816', 'Q96H20')"
"('O60907', 'Q8IUQ4')"
"('Q02641', 'P55040')"
"('P54198', 'Q99459')"
"('Q14832', 'Q9UK08')"
"('P52735', 'Q9Y6E0')"
"('Q13315', 'Q9BXW9')"
"('P14780', 'Q09472')"
"('P15104', 'P03915')"
"('O95619', 'O96019')"
"('Q9BQD7', 'Q92993')"
"('Q13748', 'P49642')"
"('Q8N6F1', 'O75508')"
"('Q6VMQ6', 'P60709')"
"('P04637', 'P20248')"
"('P00533', 'Q9H267')"
"('P55010', 'Q14152')"
"('O60684', 'P00966')"
"('Q02790', 'P63104')"
"('O60262', 'Q01668')"
"('P36941', 'P11215')"
"('P56381', 'P06576')"
"('P05164', 'P21281')"
"('P12830', 'Q9UI95')"
"('P40926', 'O75390')"
"('O14640', 'Q15797')"
"('Q15276', 'P61020')"
"('Q01130', 'P49759')"
"('P29622', 'P20936')"
"('P62993', 'P13671')"
"('Q8IVM0', 'Q6GQQ9')"
"('Q9Y371', 'P22607')"
"('O43633', 'P40818')"
"('Q92620', 'O60508')"
"('Q9Y265', 'Q99459')"
"('O60684', 'Q96K83')"
"('Q6ZVK8', 'Q9BQD3')"
"('P62273', 'P62081')"
"('P10809', 'Q9NWA0')"
"('P10145', 'P32248')"
"('P42345', 'Q07817')"
"('Q9ULC4', 'P01889')"
