negatives
"('O14641', 'Q5SW24')"
"('Q9P031', 'Q92956')"
"('Q96EY1', 'Q7Z2Y5')"
"('Q99062', 'P29597')"
"('O14625', 'P32248')"
"('Q14D04', 'Q9Y2Q3')"
"('Q9BY11', 'Q05193')"
"('P51668', 'Q9UNE7')"
"('P01106', 'P68366')"
"('Q9UBF6', 'P67870')"
"('Q92569', 'Q8IZP0')"
"('Q12959', 'Q9GZV5')"
"('Q92738', 'O43707')"
"('P01569', 'P31785')"
"('P51843', 'P10275')"
"('P49411', 'Q00005')"
"('Q9H3M7', 'Q9HAU4')"
"('O75165', 'P49841')"
"('Q15858', 'P62158')"
"('Q16659', 'Q15435')"
"('Q9NX70', 'Q9BWU1')"
"('P63104', 'Q5QNW6')"
"('Q9UKB1', 'P16471')"
"('Q8IY92', 'Q9NYB0')"
"('P18621', 'Q9UKV8')"
"('Q08211', 'Q15428')"
"('P42224', 'Q969M7')"
"('Q9H093', 'P07900')"
"('Q09028', '7503')"
"('P40189', 'O00329')"
"('P21580', 'O14920')"
"('Q04771', 'P36897')"
"('P01236', 'Q13651')"
"('P36507', 'Q13164')"
"('Q9H2C0', 'P46821')"
"('Q14197', 'P36542')"
"('Q99741', 'P62979')"
"('P40763', 'P19838')"
"('P10155', 'O76071')"
"('Q9Y5J5', 'Q13619')"
"('P55268', 'P26010')"
"('Q13263', 'O75376')"
"('P01106', 'P55273')"
"('O43927', 'P26641')"
"('P57087', 'Q9BX67')"
"('Q9Y620', 'Q9H8Y8')"
"('Q9UFF9', 'O75175')"
"('Q92956', 'Q9P003')"
"('Q9Y6F6', 'Q14571')"
"('P61981', 'Q8TEW8')"
"('Q8N6F1', 'O14493')"
"('P22626', 'P14866')"
"('P00533', 'P53675')"
"('P02679', 'P04196')"
"('P28340', 'P43360')"
"('Q09013', 'Q16637')"
"('Q9Y243', 'Q53GL0')"
"('O14933', 'O15344')"
"('Q13573', 'O94776')"
"('P60604', 'Q00987')"
"('P62891', 'P18124')"
"('Q9P2K8', 'P52564')"
"('P62258', 'Q14257')"
"('Q9BUV8', 'Q8N6L1')"
"('P63104', 'Q13813')"
"('P60520', 'P15880')"
"('P32856', 'O00161')"
"('P61247', 'P23396')"
"('Q8IYF1', 'Q9NX45')"
"('Q9C086', 'P25490')"
"('P18146', 'Q03014')"
"('Q16594', 'Q9Y6J9')"
"('P02790', 'O00214')"
"('P49840', 'O75581')"
"('P35609', 'Q99700')"
"('Q16778', 'O60907')"
"('Q9Y616', 'O43187')"
"('Q01844', 'Q96MA1')"
"('P06241', 'P12319')"
"('O60884', 'P84022')"
"('Q9Y2R2', 'P01889')"
"('Q86YM7', 'O00329')"
"('P51665', 'P35998')"
"('Q13573', 'P49116')"
"('Q9UP83', 'P63000')"
"('Q13129', 'P01112')"
