negatives
"('Q13618', 'Q13263')"
"('Q02878', 'Q13616')"
"('Q04724', 'P18146')"
"('Q9NXF8', 'Q9BT67')"
"('P35579', 'P27482')"
"('Q15672', 'P25490')"
"('Q9NQL9', 'Q9BVN2')"
"('Q2KJY2', 'Q00534')"
"('Q96ID5', 'Q8TF65')"
"('Q14241', 'Q15025')"
"('Q14526', 'O43189')"
"('Q9NRG0', 'Q06124')"
"('P04629', 'P68371')"
"('O75586', 'P36956')"
"('Q06124', 'O00453')"
"('P36406', 'Q6P1J9')"
"('Q99729', 'Q9Y6Y0')"
"('Q12906', 'Q9H0N5')"
"('O75530', 'Q9Y2P8')"
"('Q9NRD1', 'O96019')"
"('Q9Y371', 'P16234')"
"('P23771', 'Q13469')"
"('O95714', 'Q9H0W5')"
"('P33992', 'Q99750')"
"('Q9NYL9', 'Q5S007')"
"('P08754', 'Q15717')"
"('Q6P1J9', 'Q8IX03')"
"('P13569', 'Q9P055')"
"('Q15717', 'Q8WVC6')"
"('O15294', 'P01040')"
"('Q8NBR0', 'Q9C029')"
"('Q8IY92', 'Q14197')"
"('O43790', 'P61970')"
"('O94776', 'P04150')"
"('Q9Y6G3', 'Q02878')"
"('O43707', 'Q12874')"
"('P54725', 'P62191')"
"('O75478', 'P55884')"
"('P06241', 'Q13905')"
"('Q9H492', 'P22626')"
"('P35268', 'P07686')"
"('O95758', 'Q8N394')"
"('P62993', 'Q6P1W5')"
"('Q99567', 'Q3V6T2')"
"('Q86XF0', 'P29016')"
"('P17676', 'P29466')"
"('P51159', 'O60383')"
"('Q9UFC0', 'P49746')"
"('P11926', 'Q14032')"
"('Q8IWV8', 'O94761')"
"('P08237', 'O95456')"
"('Q9H300', 'Q9Y282')"
"('O43739', 'O43482')"
"('P62158', 'Q14318')"
"('P20333', 'Q03135')"
"('O43318', 'P19438')"
"('Q71UI9', 'O75147')"
"('Q96FW1', 'P62979')"
"('Q9UBT2', 'P54727')"
"('P11142', 'Q9Y6Y0')"
"('Q8TCS8', 'P26599')"
"('O60264', 'P51858')"
"('P60033', 'P49368')"
"('P32121', 'Q8NGP9')"
"('Q8NH37', 'Q9P2W3')"
"('P02647', 'P02671')"
"('O43920', 'O95169')"
"('Q9UBL6', 'P49736')"
"('Q15653', 'P11142')"
"('Q15029', 'O95777')"
"('Q8N488', 'Q8TC84')"
"('P51970', 'O95167')"
"('Q9UBN7', 'Q92993')"
"('P49638', 'Q8N9I5')"
"('P04629', 'Q96T88')"
"('Q9P2P5', 'Q8IXQ4')"
"('Q96R06', 'Q15648')"
"('P01889', 'Q14954')"
"('Q00013', 'P52594')"
"('P80188', 'Q969S2')"
"('Q13948', 'Q03431')"
"('P14618', 'P20073')"
"('Q13769', 'P46776')"
"('Q6UB99', 'Q9H0H5')"
"('P08572', 'Q9NRD1')"
"('P62330', 'P20290')"
"('P15927', 'Q14683')"
"('Q08211', 'P60520')"
"('Q14203', 'Q14847')"
"('Q01105', 'P04637')"
"('Q18PE1', 'Q9UKG1')"
"('Q9Y2Q5', 'Q96BK5')"
"('P84095', 'Q14185')"
"('Q01105', 'P62714')"
"('P16220', 'P54252')"
"('P63218', 'Q00975')"
"('P83916', 'P10588')"
"('P57678', 'Q9Y3C8')"
"('P01563', 'P40189')"
"('P27658', 'Q9BYQ3')"
"('P47897', 'Q12904')"
"('P48509', 'P15529')"
"('P31749', 'Q14315')"
"('Q15773', 'P28288')"
"('O95067', 'Q8NE35')"
"('P00338', 'P62820')"
"('P51677', 'O60674')"
"('Q86XR8', 'P62829')"
"('Q9Y680', 'P06733')"
"('P13196', 'Q7Z614')"
"('Q96CV9', 'Q86Y82')"
"('Q9H267', 'P31946')"
"('Q8IVT2', 'Q01968')"
"('O75937', 'Q9UQ35')"
"('Q9HCE1', 'P35240')"
"('O15212', 'O60925')"
"('Q96JB2', 'Q8IUH5')"
"('P20618', 'Q15555')"
"('O15304', 'P51668')"
"('Q71U36', 'P62324')"
"('Q9NZD4', 'Q9Y2B5')"
"('P40429', 'P62249')"
"('P02743', 'Q14469')"
"('O75386', 'Q8N2I2')"
"('Q9P0P0', 'O15164')"
"('Q9Y6D9', 'P30260')"
"('P51692', 'P51681')"
"('P29803', 'P21912')"
"('O75344', 'Q9H6R7')"
"('Q969X6', 'P01100')"
"('Q9P0S2', 'P25445')"
"('P24941', 'Q99536')"
"('P35222', 'Q13619')"
"('P39748', 'P18858')"
"('P35626', 'Q8NH02')"
"('Q06055', 'P98175')"
"('P19525', 'Q12933')"
"('Q9Y243', 'Q13370')"
"('Q6A162', 'Q5TEC3')"
"('P62277', 'Q9H2C0')"
"('Q9UJU6', 'P57081')"
"('O75815', 'Q9UBP4')"
"('P30419', 'P49959')"
"('Q9NRD5', 'Q8NC51')"
"('P54725', 'Q01831')"
"('O75934', 'O76011')"
"('P43360', 'Q6NSI1')"
"('Q13285', 'P0DI82')"
"('Q13546', 'Q9Y6R0')"
"('Q9Y3Y4', 'O00512')"
"('Q8N6Y0', 'Q6AI39')"
"('Q9Y2T4', 'Q6NZY4')"
"('P20700', 'Q14781')"
"('Q13616', 'P46776')"
"('Q15014', 'O60506')"
"('P29558', 'O60861')"
"('P37173', 'P60953')"
"('P27658', 'Q6L8G9')"
"('P00746', 'O75360')"
"('P16104', 'Q9UL16')"
"('O75376', 'P51531')"
"('P63215', 'Q92569')"
"('Q53G59', 'P49407')"
"('P55157', 'O43493')"
"('Q13077', 'P36406')"
"('Q96BJ3', 'P61218')"
"('P35611', 'Q92922')"
"('Q9UPY3', 'P19525')"
"('Q15717', 'Q9H6K1')"
"('P20849', 'O75578')"
"('O60763', 'P98170')"
"('P35244', 'Q7Z739')"
"('Q6ZWI9', 'Q6ZRI6')"
"('Q9NRQ2', 'Q9H5F2')"
"('Q9NZT1', 'Q7Z6L0')"
"('P30260', 'P06400')"
"('Q99996', 'P51787')"
"('P31939', 'P23458')"
"('Q9HC21', 'Q8WWC4')"
"('P11216', 'P17858')"
"('O00299', 'O15116')"
"('O43683', 'Q5FBB7')"
"('P00387', 'Q15468')"
"('B5ME19', 'Q9UKG1')"
"('Q13547', 'Q9UHF7')"
"('P16403', 'P63104')"
"('P06737', 'O00233')"
"('P01106', 'Q9NXS2')"
"('O75716', 'Q8HWS3')"
"('Q86T82', 'P30260')"
"('P08238', 'Q8N5U6')"
"('Q13501', 'Q04323')"
"('Q9ULJ3', 'P61981')"
"('Q6NZ67', 'Q96SN8')"
"('Q9GZP0', 'P14616')"
"('Q99963', 'Q99700')"
"('P51531', 'O15160')"
"('Q9UKB1', 'Q9Y679')"
"('O76003', 'Q6UVY6')"
"('Q96LA8', 'P11940')"
"('Q92905', 'P62906')"
"('P30260', 'Q9UJX5')"
"('Q96QU8', 'P62826')"
"('P22626', 'Q9NRH1')"
"('Q16763', 'Q86UK7')"
"('Q6ZW49', 'P05067')"
"('Q15078', 'P24941')"
"('Q8IWX8', 'P62241')"
"('O60506', 'Q9Y490')"
"('P04141', 'P40189')"
"('Q9NVX0', 'Q9NPJ6')"
"('Q9HB75', 'Q9H6T3')"
"('Q13618', 'O76021')"
"('Q9H871', 'Q9BQB6')"
"('Q9UBC3', 'Q13185')"
"('Q9H9S0', 'Q9NRR4')"
"('Q03135', 'Q13501')"
"('Q99873', 'Q9UQL6')"
"('Q8IZL8', 'P50591')"
"('Q13948', 'P78396')"
"('Q9NSC5', 'P17676')"
"('P03923', 'O43678')"
"('Q9UBQ0', 'Q9P0T7')"
"('Q9HBH1', 'P63000')"
"('P62249', 'Q12905')"
"('P05412', 'P62873')"
"('Q86TV6', 'Q9BYI3')"
"('Q8IXI1', 'P20339')"
"('Q14974', 'Q01860')"
"('Q13526', 'P13612')"
"('Q14676', 'Q7RTP6')"
"('P29992', 'Q86XP0')"
"('Q9NRC8', 'Q9UHX1')"
"('P48431', 'Q3ZCM7')"
"('Q8WWH5', 'P05067')"
"('Q9HCN6', 'P07947')"
"('P78371', 'Q71U36')"
"('O95758', 'Q99536')"
"('Q53TN4', 'Q96H55')"
"('P15884', 'Q13569')"
"('P16520', 'P63211')"
"('P43034', 'Q8WVJ2')"
"('Q7Z401', 'Q9ULR3')"
"('P25789', 'P82933')"
"('Q16630', 'Q9NYG5')"
"('P62244', 'Q9Y3U8')"
"('Q99519', 'O15455')"
"('P07954', 'Q96KK5')"
"('P18847', 'P60709')"
"('P31513', 'Q96HU1')"
"('P60329', 'P54253')"
"('O95817', 'Q9UDY4')"
"('P18564', 'Q9UKX5')"
"('Q03405', 'Q9Y4K0')"
"('Q8IX90', 'P50395')"
"('O75436', 'Q6NYC1')"
"('Q15714', 'Q9Y678')"
"('Q08117', 'Q13137')"
"('Q9P2M7', 'Q08AD1')"
"('Q96CS3', 'Q08380')"
"('O94927', 'Q9NVX0')"
"('P04844', 'Q15910')"
"('P34931', 'Q5VZV1')"
"('P63279', 'P17844')"
"('P50897', 'P11177')"
"('Q8IYX7', 'P45984')"
"('P23284', 'Q01860')"
"('O15417', 'O75446')"
"('P33991', 'Q8NCN4')"
"('P35916', 'P35968')"
"('Q13618', 'O75367')"
"('P00338', 'P12004')"
"('P20339', 'P37840')"
"('Q13444', 'O94875')"
"('Q93008', 'Q6VAB6')"
"('P25208', 'Q09472')"
"('Q9H6U6', 'Q13547')"
"('O75069', 'Q06250')"
"('P30086', 'Q14914')"
"('Q13868', 'Q99547')"
"('P38646', 'P25788')"
"('Q6ZU80', 'Q9Y2A7')"
"('Q9UGY1', 'Q9Y2D8')"
"('Q86VP6', 'P18077')"
"('P30305', 'O43166')"
"('Q16637', 'Q3LI66')"
"('Q92905', 'Q92466')"
"('Q9BQE3', 'Q15293')"
"('P60953', 'P30622')"
"('P48431', 'O95816')"
"('Q14318', 'P62333')"
"('Q9BZR9', 'Q96BQ3')"
"('P13682', 'Q01850')"
"('Q8IZQ1', 'P51148')"
"('Q8N8S7', 'Q15942')"
"('Q9BXW4', 'P62736')"
"('O95968', 'Q6PIL6')"
"('Q6P5X5', 'A8MQ03')"
"('Q13155', 'P02675')"
"('O00629', 'P04637')"
"('Q14247', 'P61158')"
"('P15923', 'P13349')"
"('Q01082', 'P19838')"
"('O60832', 'P32121')"
"('P50151', 'Q9UBY5')"
"('Q9BSR8', 'O95070')"
"('P60033', 'O43143')"
"('Q6NUN9', 'P62841')"
"('P27797', 'P29401')"
"('P36873', 'P27482')"
"('Q9Y6M1', 'Q13148')"
"('Q9NYF0', 'Q8NEB9')"
"('Q9H2C0', 'P19474')"
"('Q5TCZ1', 'Q08AD1')"
"('Q9NRL3', 'Q9BUL8')"
"('Q04721', 'Q15828')"
"('Q96P48', 'P05067')"
"('P55265', 'P00533')"
"('P62993', 'P13671')"
"('Q9NRR6', 'Q9ULJ3')"
"('P22307', 'Q15637')"
"('O95295', 'P35609')"
"('P04629', 'Q8WX93')"
"('Q15637', 'O43290')"
"('P12755', 'Q09666')"
"('Q8NHH9', 'P25391')"
"('Q14008', 'Q03519')"
"('Q99689', 'O75122')"
"('Q16540', 'Q86TS9')"
"('P16220', 'O00358')"
"('P62829', 'Q5S007')"
"('P04637', 'P20042')"
"('Q13875', 'Q6A162')"
"('O14879', 'P06753')"
"('Q15691', 'P04222')"
"('P03372', 'Q15637')"
"('Q86VP6', 'P68371')"
"('Q92575', 'Q92551')"
"('P60328', 'Q9BYR3')"
"('Q92569', 'Q9Y5E4')"
"('Q8IY67', 'O14980')"
"('Q12899', 'Q6K0P9')"
"('Q9H0H5', 'Q9UIF9')"
"('Q9UN19', 'P63000')"
"('P20226', 'Q9UBI6')"
"('Q12873', 'Q9UII2')"
"('P35443', 'P31431')"
"('Q8TC07', 'P53367')"
"('Q8IUC1', 'Q9BYQ3')"
"('Q9UK32', 'P18848')"
"('P01571', 'Q01113')"
"('Q96IZ7', 'P18615')"
"('Q13635', 'P01892')"
"('Q12913', 'P62993')"
"('O75419', 'Q13416')"
"('O75716', 'Q2I0M5')"
"('P04843', 'P35998')"
"('P04440', 'P13747')"
"('P03989', 'P61769')"
"('Q8N4C8', 'P12830')"
"('P06858', 'P40763')"
"('Q53GS9', 'O95400')"
"('Q8WVZ9', 'Q92538')"
"('Q03111', 'P55198')"
"('Q6UB35', 'Q9NRC8')"
"('P49327', 'Q96CW1')"
"('Q92597', 'O43255')"
"('Q96CW5', 'P16298')"
"('O00459', 'P16885')"
"('P16234', 'Q12778')"
"('Q8NH79', 'Q9P2W3')"
"('P07900', 'P59046')"
"('Q29RF7', 'Q9NTI5')"
"('Q9BT92', 'O75934')"
"('Q8TF76', 'O75031')"
"('Q9BVK8', 'Q9H813')"
"('Q6UB99', 'Q13064')"
"('Q05086', 'Q86YV5')"
"('Q13255', 'P63092')"
"('Q6UXH8', 'O43255')"
"('Q9H1A4', 'Q16763')"
"('P32881', 'Q9UHI8')"
"('P23246', 'Q99459')"
"('P04899', 'Q8IVA1')"
"('Q9UBW8', 'Q13618')"
"('Q07889', 'P48736')"
"('P60520', 'P17066')"
"('Q7L5Y9', 'Q9NWT6')"
"('P39023', 'Q14999')"
"('Q9UQ35', 'Q8IZH2')"
"('Q9ULH0', 'P46109')"
"('P62266', 'P84098')"
"('P18848', 'Q9GZQ8')"
"('Q9UBU8', 'Q96C00')"
"('Q96ER3', 'Q86VU5')"
"('Q8N1K5', 'P62993')"
"('Q9BQS6', 'Q96F07')"
"('Q16082', 'P60709')"
"('P62318', 'Q9NQ29')"
"('Q16630', 'P04637')"
"('Q9BZH6', 'Q86UY6')"
"('Q9UHP6', 'Q8NEH6')"
"('Q63HR2', 'Q8TDR4')"
"('Q14683', 'Q96RR4')"
"('P51671', 'P13500')"
"('Q14565', 'P25788')"
"('Q9UHD2', 'O15455')"
"('P53708', 'Q9HBI1')"
"('P17844', 'Q86VP6')"
"('A8MVX0', 'O60826')"
"('O14965', 'Q16666')"
"('Q7KZ85', 'Q92731')"
"('Q5VTD9', 'P07942')"
"('O75791', 'P14136')"
"('Q13111', 'P31946')"
"('A5YKK6', 'O75381')"
"('P60371', 'Q8NC26')"
"('P06400', 'Q15744')"
"('Q5T753', 'Q9BYQ4')"
"('Q15323', 'Q15345')"
"('P26640', 'Q9P2D1')"
"('Q01844', 'Q9BQ67')"
"('P63279', 'Q08211')"
"('O75369', 'O43747')"
"('Q9BYZ2', 'P51148')"
"('Q8NH49', 'O60262')"
"('P60981', 'Q9Y6Y8')"
"('Q8NDC0', 'Q53EZ4')"
"('O43172', 'Q9ULW3')"
"('Q96NS5', 'P04406')"
"('Q8WUU5', 'P34897')"
"('P50150', 'O95622')"
"('Q9H0C8', 'Q96FW1')"
"('Q9NRD1', 'P07910')"
"('Q99816', 'Q9BV68')"
"('Q9GZM6', 'Q9P2W3')"
"('P63172', 'Q8WVS4')"
"('Q12955', 'O00203')"
"('O95817', 'P80404')"
"('Q13123', 'Q00839')"
"('Q14739', 'P31946')"
"('Q9UJZ1', 'P43243')"
"('O95758', 'P60660')"
"('P26641', 'O00193')"
"('P16104', 'Q8N257')"
"('O00410', 'P18124')"
"('Q9Y2V7', 'Q13064')"
"('Q15843', 'Q13610')"
"('O94822', 'Q9H0C8')"
"('Q12830', 'Q16695')"
"('P02511', 'Q99965')"
"('Q9BUZ4', 'Q9NXW9')"
"('O95487', 'P55735')"
"('Q13310', 'P49736')"
"('P34897', 'P15260')"
"('Q9P0K7', 'Q68CZ1')"
"('P50750', 'P24928')"
"('P15018', 'P14784')"
"('Q13573', 'Q06330')"
"('P10809', 'Q5T4S7')"
"('Q9C0B0', 'O60216')"
"('P50221', 'Q8TBK6')"
"('Q9UPT9', 'Q5T6C5')"
"('Q04206', 'Q03518')"
"('Q9NRC8', 'O75179')"
"('Q9Y2J2', 'P06241')"
"('P02787', 'P01861')"
"('Q8N4C6', 'Q8NBT2')"
"('Q86X27', 'Q6Y7W6')"
"('Q96KQ4', 'P62136')"
"('O00159', 'O94875')"
"('P36776', 'Q9H0A6')"
"('P01112', 'Q13129')"
"('O95257', 'Q8IZ69')"
"('A6NHL2', 'Q9NVN3')"
"('P46783', 'P35268')"
"('Q00532', 'Q6PIV2')"
"('Q14209', 'P10244')"
"('P19404', 'Q9NS23')"
"('Q9Y6E0', 'O14980')"
"('P78362', 'O14526')"
"('P63261', 'Q15653')"
"('P14625', 'Q9UQL6')"
"('P12814', 'P15336')"
"('Q9NW13', 'Q8IXZ2')"
"('P40424', 'P12830')"
"('P53779', 'Q8WXG6')"
"('P68431', 'Q8IWX8')"
"('P04629', 'Q9UQ80')"
"('Q9NWT6', 'Q9Y2K2')"
"('P17661', 'P20929')"
"('P15976', 'Q16659')"
"('P62987', 'P62837')"
"('P32121', 'P46779')"
"('Q9NRC8', 'Q06787')"
"('P68402', 'Q07352')"
"('Q6ZU65', 'P54198')"
"('P00533', 'Q8WXD5')"
"('P54252', 'P22314')"
"('Q9C0B0', 'P04818')"
"('Q9Y3Z3', 'Q13619')"
"('Q15796', 'P18847')"
"('P01106', 'Q13569')"
"('Q9UK80', 'Q9C026')"
"('Q92930', 'P19022')"
"('Q96E17', 'P26885')"
"('Q02040', 'Q15834')"
"('P35228', 'Q9NXS2')"
"('Q5UIP0', 'Q15047')"
"('P50213', 'P61088')"
"('P62854', 'P61254')"
"('Q6PD62', 'Q9GZS3')"
"('Q96I24', 'P61026')"
"('Q96CS3', 'Q15369')"
"('Q06609', 'P54132')"
"('P16871', 'P68363')"
"('P06576', 'P15880')"
"('Q9UNS2', 'Q9Y6K9')"
"('Q6PL24', 'Q8TBM7')"
"('P19388', 'Q13573')"
"('Q9UGI0', 'Q6DHY5')"
"('O14519', 'Q96JN2')"
"('Q96FV2', 'P25963')"
"('P56524', 'Q9H2S9')"
"('O43865', 'Q93008')"
"('Q9Y3M2', 'O43524')"
"('P49286', 'Q9H792')"
"('O95817', 'Q07912')"
"('Q8NGL6', 'Q9P2W3')"
"('P53618', 'Q04726')"
"('Q14999', 'Q07955')"
"('P24863', 'P78424')"
"('Q9Y3C7', 'Q9H6R7')"
"('Q00987', 'P55884')"
"('Q8NGL3', 'P62873')"
"('Q7Z4V0', 'Q6A162')"
"('Q8NH10', 'Q9P2W3')"
"('Q7Z6Z7', 'P62701')"
"('Q9Y3C5', 'P32780')"
"('Q9UBU9', 'Q96RL1')"
"('P51649', 'P04179')"
"('Q96MU7', 'O43504')"
"('Q01105', 'P68431')"
"('Q9Y6H1', 'Q8WW59')"
"('P40227', 'Q13547')"
"('O60934', 'Q99728')"
"('P07737', 'P02751')"
"('Q86XP1', 'Q9H6Y5')"
"('P31930', 'Q15149')"
"('Q6A162', 'O60341')"
"('Q02539', 'P05114')"
"('P11171', 'P24941')"
"('Q9BTE6', 'Q9GZT8')"
"('P86478', 'P86480')"
"('P16871', 'Q15084')"
"('Q15717', 'Q15648')"
"('Q99832', 'Q9UBU9')"
"('P62136', 'Q9Y2I6')"
"('Q9NXV2', 'P23528')"
"('P17040', 'P19971')"
"('Q15208', 'P08238')"
"('Q6NUK1', 'Q7KZN9')"
"('Q8IV08', 'P04629')"
"('P51665', 'Q9Y3C5')"
"('P37108', 'Q969P0')"
"('P45983', 'Q8TEQ6')"
"('P62136', 'Q6ZMQ8')"
"('Q96Q45', 'Q9P0I2')"
"('Q9Y4C2', 'Q8IVT5')"
"('Q9Y3Z3', 'P23588')"
"('P56817', 'Q9UBU9')"
"('Q96MF2', 'Q8TBK6')"
"('Q9BYD6', 'Q13084')"
"('O76071', 'Q14203')"
"('O60488', 'P63104')"
"('P51690', 'Q07912')"
"('Q00610', 'P24941')"
"('Q96CS2', 'Q6ZU80')"
"('O00444', 'Q9BY89')"
"('Q13017', 'P84095')"
"('Q05516', 'Q8TC92')"
"('P55081', 'Q6NT76')"
"('P07355', 'P35579')"
"('Q9NQZ6', 'Q96C55')"
"('P61218', 'Q8WVC0')"
"('O94973', 'Q9NZN4')"
"('Q9BVI4', 'Q9BUI4')"
"('Q9UKB1', 'P10070')"
"('P56524', 'Q13465')"
"('P11142', 'P35225')"
"('Q7L190', 'P08670')"
"('Q15717', 'Q2QL34')"
"('P21796', 'P27824')"
"('P04844', 'P11441')"
"('P46781', 'Q92901')"
"('Q9NPJ4', 'Q9HC38')"
"('O00541', 'Q9NVN8')"
"('P24941', 'P28340')"
"('Q969G5', 'O43852')"
"('Q9NYW8', 'Q9H4L7')"
"('Q92905', 'Q9NUP9')"
"('Q5H9R7', 'Q00987')"
"('Q3LI66', 'Q9BXY8')"
"('O14964', 'P35613')"
"('Q9BQ83', 'P0DP24')"
"('Q9BQA1', 'P11441')"
"('Q96TA1', 'P04629')"
"('P08670', 'Q96DF8')"
"('Q9BTM1', 'Q9UBN7')"
"('O60749', 'P15170')"
"('P62854', 'P47914')"
"('Q14573', 'P14625')"
"('Q13285', 'O60869')"
"('P55196', 'O75044')"
"('Q02750', 'Q13153')"
"('Q14152', 'Q9UBB9')"
"('Q14739', 'Q96SB4')"
"('A1L170', 'Q96CW1')"
"('Q2TAL8', 'Q16609')"
"('Q9NR33', 'Q9ULR0')"
"('Q96S59', 'P61006')"
"('Q99497', 'Q9UER7')"
"('Q92905', 'Q96HS1')"
"('Q9P0B6', 'Q96HJ5')"
"('P46527', 'Q8NHY2')"
"('P41743', 'P27448')"
"('P63098', 'Q92934')"
"('P21333', 'O43795')"
"('P05067', 'Q9Y587')"
"('Q14980', 'Q14999')"
"('Q9BYR8', 'Q9UBP5')"
"('P55318', 'P33991')"
"('P0C7T5', 'P04216')"
"('P35555', 'O15265')"
"('P55196', 'P63261')"
"('P07550', 'Q71U36')"
"('P60228', 'Q6PKG0')"
"('Q16610', 'Q9NX04')"
"('P35250', 'P60520')"
"('Q86YB7', 'Q9NVA1')"
"('P21912', 'Q96PK6')"
"('Q9H3G5', 'Q6P1Q0')"
"('Q13362', 'P05067')"
"('P61981', 'Q15942')"
"('P42025', 'Q9Y6U3')"
"('P11142', 'O95816')"
"('Q9NUQ3', 'Q9Y6I4')"
"('Q9Y5J9', 'O00159')"
"('Q16637', 'Q96PV6')"
"('P29401', 'P01241')"
"('P25705', 'P06576')"
"('Q9NPI1', 'P14859')"
"('Q9BYR3', 'Q96H86')"
"('Q6A162', 'Q53FD0')"
"('Q8TES7', 'Q9Y6M1')"
"('P61812', 'Q8NER5')"
"('P22314', 'P68036')"
"('Q00839', 'Q13601')"
"('P07305', 'Q99496')"
"('Q14247', 'Q15717')"
"('Q92520', 'Q8N0V5')"
"('Q92630', 'Q13541')"
"('Q9NQC1', 'Q86SX3')"
"('P78423', 'P13612')"
"('Q13610', 'Q9GZR7')"
"('Q13315', 'Q8NHG8')"
"('Q99689', 'Q9Y3D7')"
"('Q6P1N0', 'P12830')"
"('O15131', 'P62306')"
"('O60508', 'P09651')"
"('Q9BUT9', 'O95273')"
"('Q5TB80', 'O00159')"
"('P49901', 'O43609')"
"('Q9UKV3', 'Q9Y2J2')"
"('P33991', 'Q06945')"
"('Q9NQB0', 'Q15583')"
"('P04792', 'Q8N7H5')"
"('Q16851', 'Q66K64')"
"('P78332', 'P43243')"
"('P56134', 'P29590')"
"('P09651', 'Q6PKG0')"
"('P34932', 'O60934')"
"('Q9UNL4', 'P68431')"
"('Q9GZZ9', 'Q14697')"
"('Q9UHK0', 'Q9H115')"
"('P51654', 'Q12907')"
"('Q9H269', 'Q9H8T0')"
"('Q12768', 'O43264')"
"('Q9Y6E2', 'P62633')"
"('P20823', 'Q9Y6Q9')"
"('Q9Y2V2', 'Q92630')"
"('P48431', 'Q92922')"
"('Q96RR1', 'Q86SQ0')"
"('P05231', 'Q8IU57')"
"('Q9BTV5', 'P55209')"
"('P06748', 'O00567')"
"('Q00987', 'Q9H0E3')"
"('P13929', 'P04075')"
"('P62280', 'P23396')"
"('P49761', 'Q13310')"
"('P55036', 'P30480')"
"('Q8N1H7', 'P80297')"
"('Q9P086', 'Q96HR3')"
"('P17655', 'P63165')"
"('P05452', 'P00750')"
"('Q6IQ23', 'Q13347')"
"('O43815', 'Q16630')"
"('Q99459', 'Q13148')"
"('Q96M89', 'Q86Y82')"
"('Q9NNW5', 'Q6VAB6')"
"('Q96G74', 'O15145')"
"('P78371', 'P50990')"
"('P29692', 'Q5S007')"
"('P21333', 'Q12792')"
"('P09651', 'P19012')"
"('Q14980', 'O14641')"
"('Q13573', 'O95837')"
"('P56385', 'P56381')"
"('P62851', 'P05386')"
"('O14964', 'Q01850')"
"('P25098', 'Q8NGM8')"
"('O60502', 'Q01518')"
"('Q9BW04', 'Q86YM7')"
"('O76003', 'O76081')"
"('Q9NRD5', 'Q08426')"
"('Q92922', 'Q92785')"
"('Q96HT8', 'Q9C0F1')"
"('Q9H1Q7', 'P60410')"
"('Q8WWG9', 'Q9NZV8')"
"('Q9P275', 'O15355')"
"('Q9HCE1', 'Q9BWG4')"
"('P01106', 'Q8NF50')"
"('P22087', 'Q9Y468')"
"('P34130', 'P08138')"
"('Q9NRD1', 'Q92598')"
"('P46977', 'P04844')"
"('O00178', 'O60216')"
"('Q9BVP2', 'P04637')"
"('Q9UKE5', 'Q9Y3B4')"
"('O15264', 'Q9NQ31')"
"('P46934', 'P51787')"
"('O75031', 'Q9H992')"
"('P29992', 'P62873')"
"('O60341', 'O60344')"
"('P14866', 'P38919')"
"('Q9H0W9', 'Q99470')"
"('Q9Y2H9', 'P78346')"
"('P51116', 'Q7Z6G3')"
"('P00492', 'Q14999')"
"('Q92793', 'P53539')"
"('P04637', 'Q16401')"
"('Q13526', 'Q9NY61')"
"('O00425', 'P11137')"
"('Q86U70', 'P50458')"
"('P10599', 'P04629')"
"('P29084', 'Q15020')"
"('Q8N684', 'Q9BPU9')"
"('P05412', 'P15036')"
"('P56746', 'O14493')"
"('P17252', 'P10398')"
"('Q05516', 'P51159')"
"('Q9UPY3', 'P12236')"
"('Q03468', 'Q9BT78')"
"('P23527', 'P16104')"
"('P19012', 'Q7LC44')"
"('Q9ULW0', 'P05412')"
"('Q96S53', 'Q8N122')"
"('Q96BD8', 'Q00005')"
"('Q5SRE5', 'P35658')"
"('Q9BUB5', 'Q13177')"
"('Q9Y2P5', 'Q14103')"
"('Q96GM5', 'Q8NFZ5')"
"('P0DP25', 'P11233')"
"('O60674', 'P29353')"
"('Q13151', 'O43390')"
"('P35250', 'Q9Y2K6')"
"('Q9HCD5', 'Q9HCE1')"
"('Q16763', 'Q14258')"
"('Q9BRG2', 'P56945')"
"('O75152', 'P35226')"
"('P01111', 'Q01201')"
"('Q13444', 'Q15645')"
"('Q15596', 'Q07869')"
"('Q9Y512', 'P31040')"
"('O00139', 'Q9Y483')"
"('Q16348', 'Q9NRQ2')"
"('Q9NWU2', 'Q15287')"
"('Q96Q15', 'Q9Y4R8')"
"('Q9UMX0', 'P47869')"
"('Q13085', 'O60218')"
"('O95067', 'Q9BZB8')"
"('P02751', 'P35268')"
"('O95274', 'O14524')"
"('Q9H2D6', 'Q24JP5')"
"('O95831', 'P51617')"
"('Q9Y3C7', 'O60828')"
"('P39019', 'P05388')"
"('Q96S21', 'Q96NW4')"
"('O14977', 'Q07866')"
"('P08670', 'Q5TC82')"
"('P57078', 'Q9UN37')"
"('Q8IY26', 'Q8N6L0')"
"('Q92747', 'P61158')"
"('O43187', 'Q16543')"
"('P23769', 'Q8IUC2')"
"('P26447', 'P63167')"
"('P0CW18', 'Q6DD88')"
"('P48643', 'Q3KNV8')"
"('P21127', 'Q13153')"
"('P01569', 'P01571')"
"('Q8NB16', 'Q8N5Y8')"
"('P07942', 'P23229')"
"('Q9Y297', 'P40227')"
"('Q5T124', 'P02452')"
"('Q09472', 'P10253')"
"('Q9H583', 'Q9BZW8')"
"('P57678', 'Q8N715')"
"('Q9BYM8', 'P62253')"
"('Q9Y4H4', 'P22607')"
"('Q71UI9', 'Q15717')"
"('Q7L273', 'Q53HC5')"
