negatives
"('P43405', 'P42229')"
"('O15145', 'Q07889')"
"('O14775', 'P53778')"
"('P62987', 'P19438')"
"('P07225', 'P12259')"
"('P22612', 'O43306')"
"('P62993', 'O15144')"
"('P62993', 'Q6FI13')"
"('Q04206', 'P62714')"
"('Q9Y483', 'Q9BZL6')"
"('P80162', 'P25024')"
"('Q13158', 'P62834')"
"('Q15172', 'O00305')"
"('Q8WWF5', 'P51668')"
"('Q9Y6R4', 'Q96B97')"
"('Q15291', 'O60814')"
"('P19474', 'Q99459')"
"('P61073', 'P04233')"
"('P56559', 'Q9NRR5')"
"('Q15418', 'P31946')"
"('P16333', 'Q9UHD2')"
"('Q15063', 'Q9UL33')"
"('P13236', 'P51679')"
"('P60228', 'O60739')"
"('P16871', 'Q15942')"
"('Q09472', 'P13631')"
"('P60568', 'P13010')"
"('Q99612', 'Q9UIK4')"
"('Q15116', 'Q9UL18')"
"('O15144', 'O15145')"
"('Q9UBU8', 'Q9Y230')"
"('P13639', 'P15170')"
"('Q99459', 'Q9P013')"
"('P61224', 'Q99558')"
"('P78527', 'P45985')"
"('P23497', 'Q99856')"
"('P10767', 'P17948')"
"('Q15796', 'P30260')"
"('Q8WVJ9', 'P16070')"
"('P55075', 'P29317')"
"('P32969', 'P62910')"
"('Q66K89', 'Q8TBB1')"
"('P43250', 'P07550')"
"('Q96CW1', 'P63010')"
"('Q9BW27', 'Q9UKX7')"
"('Q96GE4', 'Q9BRX5')"
"('O14543', 'Q01344')"
"('Q13564', 'Q9NRR5')"
"('P28074', 'P25788')"
"('P30793', 'O60684')"
"('P11473', 'Q9HC29')"
"('Q8NI22', 'P49257')"
"('P67870', 'O60551')"
"('P06730', 'P62753')"
"('O95782', 'O00291')"
"('P10914', 'P61769')"
"('Q9H9D4', 'Q96BR9')"
"('P56524', 'P06899')"
"('P84022', 'P38398')"
"('P22695', 'P30480')"
"('P30480', 'O60232')"
"('P42224', 'Q01082')"
"('Q9NZL6', 'Q9UBF6')"
"('Q03060', 'Q8TEY5')"
"('Q12983', 'Q08722')"
"('Q16666', 'Q02363')"
"('Q96T58', 'P19174')"
"('Q13797', 'P19320')"
"('O60941', 'Q15834')"
"('P01225', 'P21728')"
"('P18146', 'Q04900')"
"('P19387', 'A0JLT2')"
"('P19474', 'Q92985')"
"('Q9BVA1', 'Q96AH8')"
"('P05109', 'Q9H0T7')"
"('O15105', 'O15198')"
"('P01106', 'P11387')"
"('Q9UBI6', 'O00329')"
"('Q13435', 'O60231')"
"('P32121', 'Q8WZ94')"
"('Q13151', 'Q92620')"
"('P01569', 'P42702')"
"('Q96GX9', 'Q12933')"
"('P63208', 'Q9UJT9')"
"('P22681', 'P0CG47')"
"('P28799', 'P98160')"
"('P27695', 'P12956')"
"('O14905', 'Q9H461')"
"('O00308', 'P26367')"
"('P25786', 'P60520')"
"('O15264', 'P29966')"
"('Q9H0H5', 'P53350')"
"('Q9H3S1', 'Q9ULL4')"
"('P06241', 'Q06418')"
"('P56747', 'O95500')"
"('O00755', 'Q13467')"
"('P62993', 'Q92963')"
"('O75293', 'P18146')"
"('P50570', 'O95433')"
"('P35226', 'Q5T3J3')"
"('O95167', 'O95168')"
"('P61160', 'P12830')"
"('Q04759', 'Q9UEW8')"
"('P62158', 'P42858')"
"('Q96RU7', 'Q92993')"
"('O00459', 'Q9HBH0')"
"('P40692', 'P21675')"
"('Q02535', 'Q9NQB0')"
"('Q13485', 'P12755')"
"('P29353', 'Q13588')"
"('P56199', 'P18564')"
"('P78395', 'Q15370')"
"('P60709', 'P04083')"
"('P16333', 'O60885')"
"('Q9H2X6', 'Q13363')"
"('Q16621', 'Q16236')"
"('O14493', 'Q9UDY2')"
"('Q9BWU1', 'O75586')"
"('Q05215', 'P01375')"
"('Q9Y5U5', 'Q13114')"
"('Q15388', 'P00374')"
"('P16070', 'P36897')"
"('Q9UGN5', 'P35222')"
"('Q16658', 'P78545')"
"('Q9NRI5', 'Q8TDR0')"
"('Q9UKV8', 'Q9UJS0')"
"('P27540', 'P05305')"
"('P01100', 'P19784')"
"('P28068', 'P04233')"
"('P63104', 'P52735')"
"('Q8TAB5', 'Q96L14')"
"('Q99750', 'P15173')"
"('P05305', 'Q9NRR5')"
"('Q86XI6', 'P15735')"
"('Q13064', 'P51965')"
"('P63173', 'P43146')"
"('P08238', 'P10275')"
"('Q9H0G5', 'Q8WYA6')"
"('O60232', 'Q9BVI4')"
"('Q01130', 'P51003')"
"('P35998', 'Q9BRP4')"
"('P02794', 'P51116')"
"('P62834', 'Q9UI14')"
"('P55212', 'Q13526')"
"('P09651', 'Q14103')"
"('P16220', 'Q8IVL1')"
"('O94832', 'Q9Y6K9')"
"('Q9NX58', 'P05455')"
"('Q96FJ2', 'O14490')"
"('Q96B36', 'Q9UBS0')"
"('P04899', 'O60262')"
"('P37108', 'P40337')"
"('Q96BK5', 'Q9BQ39')"
"('Q9NYB0', 'Q8IY92')"
"('Q9BTT4', 'Q9UHV7')"
"('O43741', 'O00253')"
"('P24071', 'P12314')"
"('P43686', '343477')"
"('Q99459', 'P62314')"
"('Q9UL18', 'Q12906')"
"('P16615', 'P19438')"
"('O75093', 'Q9HCK4')"
"('P18859', 'P56385')"
"('P18146', 'Q92547')"
"('Q06546', 'O60241')"
"('O60341', 'P02708')"
"('P63151', 'Q13522')"
"('O14757', 'Q9UKI8')"
"('Q13509', 'P04183')"
"('Q13418', 'P26373')"
"('P01106', 'Q96T52')"
"('Q5VVX9', 'Q9C019')"
"('P61978', 'Q15366')"
"('Q9UKP3', 'P10276')"
"('P20366', 'Q86VW0')"
"('P23560', 'P16870')"
"('O15230', 'Q9BSF8')"
"('Q96FW1', 'P38936')"
"('P49286', 'Q9UBI6')"
"('O60759', 'Q15438')"
"('P33240', 'Q6P1J9')"
"('Q5JQF8', 'Q96EP5')"
"('P38936', 'P04150')"
"('Q15796', 'O43524')"
"('Q9H0M0', 'P0CG48')"
"('Q13772', 'Q9UBS8')"
"('P51970', 'Q9Y6M9')"
"('Q9UIG0', 'P16104')"
"('P62316', 'Q16695')"
"('Q01094', 'P30281')"
"('Q9Y3D8', 'Q8WXF1')"
"('P23582', 'P05305')"
"('O15131', 'P34896')"
"('P62495', 'Q96Q15')"
"('Q9UBN6', 'P35606')"
"('O00303', 'O15371')"
"('P09471', 'P61421')"
"('Q15645', 'Q9NRY6')"
"('P46783', 'Q9Y6K9')"
"('P20929', 'Q8IZP0')"
"('Q9NS87', 'Q9P2H0')"
"('Q8NEM7', 'Q9Y4A5')"
"('Q15628', 'Q96B97')"
"('P23508', 'P07814')"
"('Q8N5S9', 'Q9UGI9')"
"('P40259', 'P43403')"
"('Q9BV40', 'P13569')"
"('Q13098', 'Q9Y4E8')"
"('Q9BTV5', 'Q96CV9')"
"('O14933', 'Q9Y675')"
"('P01137', 'P09486')"
"('Q04864', 'Q13451')"
"('P67870', 'Q9UBF6')"
"('P05089', 'O75955')"
"('Q96BA8', 'P53567')"
"('P11215', 'P15498')"
"('Q06323', 'P51665')"
"('Q9UN86', 'Q9Y6E0')"
"('P31689', 'Q99459')"
"('Q9P0U4', 'Q5QNW6')"
"('P01106', 'Q9UKB3')"
"('Q13490', 'P36941')"
"('P61289', 'P84101')"
"('P19838', 'P07437')"
"('O75970', 'P28335')"
"('Q16836', 'O75815')"
"('P04792', 'P43320')"
"('Q9UBN6', 'Q5VWQ8')"
"('P51668', 'O43567')"
"('O00214', 'P13612')"
"('P14866', 'Q07955')"
"('Q12962', 'Q92830')"
"('Q96L11', 'P10074')"
"('Q8NGK5', 'P38405')"
"('Q09028', 'O75530')"
"('Q04724', 'P09429')"
"('Q8WTU0', 'P0CG48')"
"('Q8NHL6', 'P13746')"
"('Q9UQ90', 'Q5UIP0')"
"('Q9GZZ9', 'Q8IY92')"
"('O95832', 'P56856')"
"('Q9UBF2', 'Q9HC98')"
"('Q13315', 'P10155')"
"('Q15303', 'P16885')"
"('P08047', 'Q9ULW8')"
"('P62993', 'Q15078')"
"('Q8TBE0', 'Q9BUH8')"
"('P36894', 'P27361')"
"('Q8WXI9', 'P01137')"
"('P25054', 'Q96GD4')"
"('407040', 'O00548')"
"('Q15427', 'Q9BWJ5')"
"('O43908', 'Q9BZM4')"
"('P52803', 'P09619')"
"('P55072', 'Q01113')"
"('P27348', 'P42345')"
"('Q92597', 'P27824')"
"('P35626', 'Q8NGS5')"
"('O14879', 'Q05D60')"
"('Q96HF1', 'O14904')"
"('Q71U36', 'O14576')"
"('P48431', 'P49716')"
"('Q13315', 'P42696')"
"('P40337', 'P20340')"
"('P14784', 'P51692')"
"('P05388', 'P61927')"
"('P23284', 'Q9HC24')"
"('Q92997', 'Q8TAA9')"
"('Q6DKI1', 'P49407')"
"('Q76I76', 'Q9Y281')"
"('P40937', 'Q99459')"
"('Q16778', 'P0C0S5')"
"('Q8NCG7', 'Q9UG56')"
"('P62424', 'P61353')"
"('Q00688', 'P25490')"
"('O96019', 'P01106')"
"('O43719', 'O75554')"
"('Q03014', 'P01266')"
"('P49411', 'P23508')"
"('Q07157', 'Q15149')"
"('P62993', 'O60888')"
"('O14802', 'Q9NVU0')"
"('Q9NYN1', 'Q15797')"
"('Q9BZL6', 'Q04917')"
"('O14593', 'Q9UBC1')"
"('P35626', 'Q8NGP8')"
"('P07900', 'P53041')"
"('P04637', 'Q96KB5')"
"('P38405', 'P20941')"
"('Q9BQD7', 'Q92993')"
"('Q15834', 'Q5T0L3')"
"('P18754', 'Q9BRK5')"
"('P67870', 'Q99698')"
"('Q9UJC3', 'Q99459')"
"('Q13526', 'O95741')"
"('P19320', 'P19838')"
"('P01135', 'P08069')"
"('O75581', 'P19022')"
"('Q8WUM4', 'O75365')"
"('Q13131', 'O75385')"
"('P02647', 'P17931')"
"('Q9BRT8', 'P48507')"
"('P62136', 'O95793')"
"('Q16891', 'O60341')"
"('Q9UBB9', 'Q9P0U4')"
"('Q9Y3Q8', 'Q9BSW7')"
"('Q15714', 'P82279')"
"('P21810', 'P01375')"
"('O75015', 'Q8NHJ6')"
"('Q8TBK6', 'O43395')"
"('O00712', '406991')"
"('P55072', 'Q9UNZ2')"
"('O43237', 'Q08495')"
"('P06748', 'Q9BT22')"
"('O14654', 'Q9UM73')"
"('Q02078', 'Q13164')"
"('P63000', 'Q7L576')"
"('P15531', 'Q9Y3F4')"
"('P30504', 'Q13263')"
"('P61769', 'P17693')"
"('P31152', 'Q15418')"
"('P21675', 'Q99879')"
"('Q8N163', 'P61244')"
"('Q9NY93', 'P61927')"
"('Q15759', 'Q04206')"
"('P25963', 'P0CG47')"
"('O14654', 'P48736')"
"('P52564', 'Q16512')"
"('Q12840', 'Q13526')"
"('Q99759', 'Q92734')"
"('Q99942', 'Q96LR5')"
"('P15248', 'Q01344')"
"('O14602', 'O15372')"
"('P11388', 'P13010')"
"('O95685', 'Q9NZT1')"
"('P61968', 'Q86U70')"
"('Q99689', 'Q9P2H0')"
"('Q9NWS9', 'P49910')"
"('Q9HCT0', 'P08138')"
"('O75533', 'Q99717')"
"('P30559', 'Q9UBN1')"
"('Q9UK08', 'Q13698')"
"('Q13315', 'P35580')"
"('P16885', 'Q08209')"
"('Q99880', 'Q96QV6')"
"('Q99575', 'Q969H6')"
"('Q9UQE7', 'Q96MT8')"
"('P56945', 'P20333')"
"('Q9UPX8', 'P27986')"
"('Q9UJF2', 'P61981')"
"('P61106', 'P40337')"
"('P17947', 'Q96RE9')"
"('Q9UKV8', 'P38646')"
"('Q9NZ08', 'P08887')"
"('Q13283', 'P41240')"
"('P17844', 'P31943')"
"('Q13432', 'P07948')"
"('Q13595', 'O43143')"
"('Q9HBE4', 'P42701')"
"('Q9BZ29', 'P17081')"
"('O60641', 'P01889')"
"('P48061', 'P51684')"
"('P10515', 'Q15120')"
"('P29275', 'O95467')"
"('Q92888', 'P61586')"
"('Q9Y4K3', 'Q9NQC3')"
"('Q9BQE3', 'Q07157')"
"('P31947', 'O00444')"
"('O95793', 'P46779')"
"('Q6P996', 'Q99623')"
"('P62263', 'P62280')"
"('Q16576', 'Q9HCU9')"
"('P08651', 'Q9P0L1')"
"('Q13616', 'Q8NI29')"
"('O95907', 'Q9UBS3')"
"('Q15415', 'P18146')"
"('P45984', 'O14654')"
"('P62879', 'P27986')"
"('Q96KP1', 'Q9UGK8')"
"('P31994', 'Q8NHL6')"
"('Q12933', 'P27708')"
"('Q9Y2Q3', 'Q9Y277')"
"('P10276', 'P78543')"
"('Q92997', 'Q7Z7J5')"
"('P14316', 'Q9Y5Z7')"
"('P56880', 'P56748')"
"('Q13315', 'Q13123')"
"('P46778', 'P62891')"
"('Q9NQC3', 'Q8WXF7')"
"('P0CG48', 'Q9UKV8')"
"('Q5JTH9', 'Q99558')"
"('Q16627', 'P25024')"
"('P11215', 'P13598')"
"('P01857', 'P31994')"
"('Q12778', 'P61981')"
"('Q96LR5', 'P98170')"
"('Q93034', 'Q03164')"
"('Q07890', 'O00471')"
"('P13942', 'P26012')"
"('Q99459', 'O75821')"
"('Q14527', 'P12004')"
"('P46776', 'P62424')"
"('O43181', 'Q16718')"
"('P67809', 'P26368')"
"('P40763', 'P07332')"
"('Q15717', 'Q9UL18')"
"('P62191', 'O00487')"
"('P17301', 'P27658')"
"('P12236', 'Q99759')"
"('Q07666', 'O43251')"
"('P23677', 'P62158')"
"('Q96RT1', 'Q14155')"
"('P16234', 'P22681')"
"('P43146', 'P62829')"
"('Q01974', 'Q9Y5V3')"
"('Q00987', 'Q7LG56')"
"('O95751', 'O14964')"
"('P01106', 'P25789')"
"('Q13237', 'O96001')"
"('Q06330', 'Q9UK32')"
"('P61981', 'Q08170')"
"('P25788', 'Q9UET6')"
"('P78524', 'P55157')"
"('Q8WZ74', 'Q9Y3A3')"
"('P29353', 'Q16832')"
"('Q14194', 'O15211')"
"('Q92547', '26765')"
"('Q96A65', 'Q9NX70')"
"('P01889', 'Q15363')"
"('Q16659', 'O75380')"
"('Q00005', 'Q00839')"
"('P62917', 'Q9UNX3')"
"('P35638', 'Q10586')"
"('Q15750', 'P45984')"
"('Q9H1Y0', 'O00264')"
"('P02458', 'P06756')"
"('P16473', 'P27824')"
"('Q16637', 'P60709')"
"('Q96RG2', 'Q6WKZ4')"
"('Q2TAY7', 'P55081')"
"('P46108', 'O60885')"
"('Q13315', 'Q86V81')"
"('Q16539', 'P27361')"
"('P62834', 'O14798')"
"('P62979', 'Q07812')"
"('P22681', 'P08887')"
"('P31751', 'P49137')"
"('O15198', 'Q96EY1')"
"('P11229', 'Q5JWF2')"
"('P27361', 'Q68CJ9')"
"('Q9BYW2', 'P24928')"
"('Q05397', 'P17655')"
"('Q9NRD5', 'P62993')"
"('P29466', 'P00533')"
"('P35626', 'Q9H207')"
"('P50150', 'Q92806')"
"('Q13077', 'Q13158')"
"('P55196', 'P68133')"
"('Q53TQ3', 'P25490')"
"('P13987', 'P00533')"
"('Q9NXV2', 'Q13418')"
"('Q92993', 'Q9H4M7')"
"('Q13153', 'P49023')"
"('P55036', 'P41134')"
"('P31995', 'Q96RQ1')"
"('P78417', 'P26641')"
"('P55036', 'P20618')"
"('P60981', 'P01241')"
"('Q9UBU3', 'P43115')"
"('Q92914', 'P21802')"
"('P60709', 'P18084')"
"('Q16891', 'Q9NRR5')"
"('P06241', 'Q92569')"
"('P41743', 'P36956')"
"('Q9Y4K3', 'P63261')"
"('P0C0S8', 'Q9UBN7')"
"('P67775', 'O60840')"
"('O00255', 'P31274')"
"('Q13191', 'P16234')"
"('Q9Y5J5', 'Q13232')"
"('P06241', 'P34820')"
"('Q99933', 'P50502')"
"('O15121', 'O15260')"
"('P05386', 'P50914')"
"('Q92945', '406889')"
"('P05771', 'P17612')"
"('Q13228', 'Q9Y2S7')"
"('Q9BV86', 'Q14164')"
"('P20073', 'P27694')"
"('P61077', 'Q96PM9')"
"('Q04771', 'Q13873')"
"('P01106', 'Q9NQG6')"
"('Q16513', 'P16333')"
"('P31947', 'Q96QZ7')"
"('Q8NF50', 'P84095')"
"('O43395', 'Q9Y675')"
"('Q99459', 'P35637')"
"('P35900', 'P08670')"
"('Q15834', 'Q96LL4')"
"('Q01094', 'Q14207')"
"('Q12933', 'Q15750')"
"('P04183', 'P19793')"
"('Q8TAD8', 'Q9UBW7')"
"('P16333', 'P11021')"
"('Q71DI3', 'Q96T88')"
"('O95182', 'P03901')"
"('Q9UNN5', 'Q6P1J9')"
"('Q9Y264', 'P17948')"
"('Q9NRW3', 'P62633')"
"('P27694', 'P67870')"
"('P07437', 'Q07157')"
"('P25116', 'P50150')"
"('Q9BX66', 'Q14254')"
"('P22392', 'P31948')"
"('Q13151', 'Q8IX12')"
"('P22607', 'P46109')"
"('Q99829', 'P60709')"
"('Q96SB4', 'Q13242')"
"('Q04206', 'P40933')"
"('Q9Y265', 'Q9NV56')"
"('Q9UHD9', 'P04843')"
"('P03928', 'P56385')"
"('Q32MK0', 'Q9BUA6')"
"('Q99828', 'P24385')"
"('Q6P1J9', 'P35222')"
"('P51668', 'P08708')"
"('Q15746', 'P62993')"
"('Q14204', 'Q3ZCM7')"
"('Q9UBP4', 'O75197')"
"('Q8NGX6', 'P38405')"
"('P13942', 'P26010')"
"('Q8IYD1', 'P62495')"
"('Q15109', 'P02766')"
"('P31749', 'Q00987')"
"('Q9H0H5', 'P61587')"
"('P25942', 'P11142')"
"('P48039', 'P57088')"
"('O95298', 'P03897')"
"('Q9NX18', 'Q16891')"
"('Q8NHJ6', 'P31994')"
"('Q9BVA1', 'Q9H7E9')"
"('Q96BD5', 'Q92769')"
"('Q92769', 'O60264')"
"('Q06547', 'Q14005')"
"('P54819', 'Q13177')"
"('P02753', 'P02766')"
"('Q8N3Z6', 'Q8TAD8')"
"('P48729', 'P52294')"
"('Q9UQP3', 'P26006')"
"('P69849', 'Q9NRR5')"
"('Q92831', 'Q8WXI9')"
"('O75293', 'Q8TAE8')"
"('O75317', 'Q9P0U4')"
"('P20336', 'Q96C24')"
"('P62993', 'Q13557')"
"('Q8NGI9', 'P38405')"
"('Q5VTD9', 'Q9ULT6')"
"('P62753', 'P62701')"
"('Q14526', 'P15884')"
"('P63000', 'O95835')"
"('Q13131', 'P11166')"
"('Q9UL18', 'Q15020')"
"('P85298', 'Q07890')"
"('Q15759', 'Q12778')"
"('O00628', 'P50542')"
"('Q99459', 'P07992')"
"('P06400', 'P10415')"
"('P61026', 'Q9UHD8')"
"('P24864', 'Q14186')"
"('Q9GZM8', 'Q70YC4')"
"('Q92793', 'Q15596')"
"('Q96GM8', 'O43570')"
"('P31946', 'Q6PKG0')"
"('O43513', 'Q9BSL1')"
"('Q15185', 'P30480')"
"('O43676', 'Q9P0J0')"
"('Q96PM5', 'P0CG47')"
"('Q9NVX0', 'Q9H6D7')"
"('Q86WN2', 'P42702')"
"('P36897', 'Q6P3X3')"
"('Q14164', 'Q2I0M4')"
"('P62993', 'P20936')"
"('Q12929', 'Q9GZQ8')"
"('Q6P3W7', 'Q13573')"
"('O60784', 'Q7Z3T8')"
"('O76027', 'O60437')"
"('Q02556', 'Q8IZI9')"
"('Q9Y6K9', 'Q9Y6Q9')"
"('Q9UK08', 'O43306')"
"('O14904', 'O60353')"
"('406907', 'Q9BYH8')"
"('P49221', 'P01876')"
"('P24941', 'P22087')"
"('O00267', 'Q99873')"
"('Q13636', 'Q16659')"
"('P16871', 'P13796')"
"('Q9NRD5', 'Q14831')"
"('P09661', 'Q7RTV0')"
"('O75530', 'O43809')"
"('P40337', 'Q96KM6')"
"('P62136', 'Q8IZS8')"
"('Q96GD0', 'Q9GZT6')"
"('P62258', 'Q00005')"
"('Q9H257', 'Q9HC29')"
"('O75604', 'Q96ED9')"
"('Q9Y3C7', 'Q15102')"
"('P68400', 'Q9UQE7')"
"('Q9UNL2', 'Q9BUV8')"
"('P40763', 'P11309')"
"('Q9Y4W6', 'P19438')"
"('P24593', 'P05019')"
"('P20929', 'Q8WZ42')"
"('Q13748', 'Q13546')"
"('Q14247', 'Q12873')"
"('P03905', 'O43678')"
"('P42766', 'Q9UNX3')"
"('P27540', 'P19367')"
"('P08588', 'Q13424')"
"('Q14103', 'Q07021')"
"('407050', 'Q01094')"
"('O60895', 'P84996')"
"('P16471', 'P06241')"
"('P84022', 'P26368')"
"('P19838', 'P10415')"
"('Q8IZJ0', 'Q9UHF4')"
"('Q96KM6', 'Q9Y283')"
"('P04439', 'P10966')"
"('P30273', 'P43405')"
"('Q15904', 'P05771')"
"('O00590', 'O00585')"
"('Q05513', 'P53004')"
"('P08581', 'Q00722')"
"('P62244', 'Q9Y6K9')"
"('P26006', 'P23229')"
"('P26012', 'P26006')"
"('P01889', 'P63220')"
"('O00221', 'Q9Y230')"
"('Q13573', 'O75131')"
"('Q9BVA1', 'Q15750')"
"('P62834', 'P55196')"
"('Q9UK08', 'P40145')"
"('P16104', 'Q15717')"
"('P30533', 'O15355')"
"('Q14203', 'O14576')"
"('P62495', 'Q9Y4K3')"
"('P04637', 'Q9BXH1')"
"('Q13573', 'P08651')"
"('Q99961', 'P63104')"
"('P62158', 'O14730')"
"('Q05586', 'Q12879')"
"('P27540', 'P00450')"
"('P38936', 'Q00535')"
"('Q9UBN6', 'O95347')"
"('P04179', 'P04745')"
"('Q13573', 'Q14839')"
"('Q9Y265', 'P30480')"
"('Q12933', 'Q13501')"
"('P28065', 'Q9Y244')"
"('Q93079', 'Q93077')"
"('Q9Y2J2', 'Q96ID5')"
"('P05129', 'Q9BX67')"
"('P61586', 'P10916')"
"('Q5SW24', 'Q05513')"
"('P01106', 'Q9H8H0')"
"('P01106', 'O14617')"
"('P18077', 'P05387')"
"('P63279', 'Q8WVZ7')"
"('Q9Y6F9', 'Q14332')"
"('P62140', 'Q9UKF6')"
"('Q9UPS6', 'Q9P0U4')"
"('Q4KWH8', 'Q9UQM7')"
"('Q9UN88', 'Q9H0R8')"
"('Q15046', 'P04406')"
"('O95696', 'Q8WYH8')"
"('Q99836', 'P11142')"
"('P61927', 'P42766')"
"('P63104', 'P68363')"
"('Q00987', 'P00533')"
"('Q9NY65', 'Q96NA2')"
"('P32121', 'O95013')"
"('Q9UH62', 'P56645')"
"('P51965', 'O94941')"
"('P07477', 'Q96RI0')"
"('P31948', 'Q96PU5')"
"('P04141', 'P38484')"
"('O95453', 'P33240')"
"('P67870', 'P34897')"
"('Q9H492', 'P55084')"
"('P48634', 'P55345')"
"('O60729', 'Q9UM11')"
"('P11274', 'P42229')"
"('P23025', 'P15407')"
"('P63000', 'P27986')"
"('P39687', 'Q66K89')"
"('P48736', 'P29322')"
"('P62993', 'P02749')"
"('P09471', 'P40145')"
"('P11308', 'Q6P1J9')"
"('Q13233', 'P62249')"
"('Q9Y232', 'O15131')"
"('P30872', 'P08754')"
"('O15162', 'Q9NZV1')"
"('P03950', 'P35609')"
"('Q14192', 'Q15796')"
"('P60880', 'Q86SS6')"
"('Q16690', 'Q15759')"
"('O75533', 'O15519')"
"('P63261', 'Q9Y281')"
"('O75390', 'P30480')"
"('P28074', 'O95163')"
"('Q13064', 'Q96LR5')"
"('P55210', 'O14920')"
"('Q68DC2', 'Q9UGN5')"
"('Q16891', 'P33240')"
"('Q00341', 'P43360')"
"('Q02878', 'P46778')"
"('P01574', 'Q04864')"
"('A8TX70', 'Q13797')"
"('Q07812', 'P31749')"
"('P10767', 'P10721')"
"('Q969G3', 'Q13547')"
"('P35609', 'P38432')"
"('Q00978', 'P42226')"
"('P35070', 'Q15303')"
"('P21675', 'P46527')"
"('Q9Y572', 'O00571')"
"('Q86U86', 'P62805')"
"('O14645', 'Q12929')"
"('P49796', 'P08754')"
"('Q13042', 'P51955')"
"('P17568', 'P03897')"
"('P62993', 'Q14451')"
"('O76061', 'Q12972')"
"('O75508', 'Q96B33')"
"('P30050', 'P46777')"
"('P04637', 'Q9Y6P5')"
"('O75365', 'O76031')"
"('P07199', 'P61296')"
"('P01833', 'O00141')"
"('P13378', 'P20073')"
"('P14635', 'Q92574')"
"('P45983', 'Q9UPT6')"
"('Q9Y4K3', 'P12931')"
"('P17275', 'Q8WYK2')"
"('P67870', 'Q9UQE7')"
"('Q15365', 'Q9BYX4')"
"('P25686', 'P0CG48')"
"('P04406', 'Q99558')"
"('P04637', 'O00231')"
"('Q9Y6J8', 'P39656')"
"('Q13573', 'Q15366')"
"('O96000', 'P03891')"
"('Q05519', 'Q14683')"
"('Q9NPD3', 'Q13868')"
"('P01106', 'Q9NR56')"
"('O43597', 'Q96B97')"
"('P19438', 'P23458')"
"('Q9H4G0', 'Q9UDY2')"
"('P47914', 'P62945')"
"('P83731', 'P62899')"
"('P30450', 'Q99706')"
"('Q9H1Y0', 'P24534')"
"('O15514', 'P62487')"
"('P23508', 'O75347')"
"('Q9UHD2', 'Q06787')"
"('Q9BRQ0', 'O75478')"
"('Q10586', 'Q12873')"
"('P56746', 'O95049')"
"('P63215', 'Q9UBY5')"
"('P33981', 'Q53HL2')"
"('P21281', 'P39656')"
"('Q13573', 'Q9UNS2')"
"('Q96P44', 'P17301')"
"('Q16637', 'O43390')"
"('Q13131', 'P46527')"
"('P19878', 'Q15759')"
"('O75400', 'P46379')"
"('Q9Y6Q5', 'O43493')"
"('Q16665', 'P09601')"
"('O14544', 'Q9HBE5')"
"('P25774', 'P23511')"
"('P40222', 'Q9H6S1')"
"('P30480', 'P55786')"
"('P18074', 'P32780')"
"('Q15796', 'Q9HAU4')"
"('P24941', 'P46527')"
"('P24522', 'P62879')"
"('Q9UBI6', 'P43657')"
"('Q8N122', 'Q8TB45')"
"('Q9Y572', 'P35580')"
"('Q96CW5', 'Q9BQE3')"
"('Q05655', 'P78527')"
"('Q01130', 'Q15366')"
"('Q969S8', 'Q13263')"
"('Q8NFH8', 'Q9UL33')"
"('P61764', 'Q13277')"
"('P61916', 'Q86SQ9')"
"('Q9HBY8', 'O43524')"
"('Q13432', 'Q9NXU5')"
"('O15162', 'O95336')"
"('O96000', 'P03886')"
"('P61981', 'Q5VTL8')"
"('O95870', 'Q9NQ84')"
"('Q86UA1', 'P13637')"
"('Q96IZ7', 'P61981')"
"('P99999', 'Q9UET6')"
"('Q9Y297', 'Q04206')"
"('O14908', 'P51571')"
"('Q9BT22', 'P06400')"
"('Q06265', 'Q13526')"
"('Q96IU2', 'P20823')"
"('P08123', 'P43235')"
"('Q9H1J7', 'O75197')"
"('P40763', 'Q14289')"
"('Q03135', 'O75581')"
"('P01023', 'Q92845')"
"('Q04206', 'P41217')"
"('P24522', 'Q12873')"
"('Q9UPN7', 'O00221')"
"('Q05209', 'O14662')"
"('P07942', 'P18084')"
"('Q8IZL8', 'O95819')"
"('Q14232', 'P52565')"
"('P26572', 'O15198')"
"('P67870', 'P05114')"
"('Q09472', 'O95352')"
"('P08754', 'Q9P2W3')"
"('P67775', 'Q08999')"
"('Q00653', 'P62158')"
"('O60739', 'P30084')"
"('Q08945', 'Q99877')"
"('P63208', 'Q969U6')"
"('P27824', 'P15813')"
"('P61224', 'P05107')"
"('Q8IX04', 'P78317')"
"('P62993', 'Q9BWW9')"
"('P46531', 'P48736')"
"('Q16619', 'P31785')"
"('Q14194', 'P15927')"
"('P63244', 'P06241')"
"('Q9NVI1', 'P01106')"
"('P19387', 'P19447')"
"('Q15287', 'Q8WUQ7')"
"('P42285', 'Q99624')"
"('Q9UBF2', 'O14579')"
"('P62993', 'O60244')"
"('Q6ZVL6', 'P52272')"
"('P29459', 'Q08334')"
"('Q6IAA8', 'Q5VZM2')"
"('Q9Y385', 'Q92560')"
"('Q9NX47', 'Q96B02')"
"('P46531', 'Q15797')"
"('P01106', 'P49711')"
"('P18206', 'P63244')"
"('P49840', 'Q12879')"
"('Q9Y3M8', 'O60241')"
"('Q9BW27', 'P23258')"
"('P78362', 'Q86U06')"
