negatives
"('P18089', 'Q14344')"
"('P08670', 'Q99961')"
"('P03901', 'O43674')"
"('O14561', 'P03891')"
"('O95182', 'O43676')"
"('Q15750', 'Q15759')"
"('P43358', 'Q8WW24')"
"('Q96QD9', 'P41732')"
"('P31947', 'O15151')"
"('O60506', 'Q9Y478')"
"('O43521', 'P31749')"
"('Q9H9S4', 'Q15831')"
"('P15880', 'P20073')"
"('P07204', 'P46695')"
"('Q08117', 'P56279')"
"('P10827', 'Q15648')"
"('Q9Y478', 'P35606')"
"('P20248', 'P04637')"
"('P54646', 'Q05469')"
"('Q9Y2T4', 'Q13188')"
"('O43242', 'Q9UET6')"
"('P01106', 'Q9UIL8')"
"('P35222', 'P08575')"
"('P21912', 'P23508')"
"('P83916', 'Q13111')"
"('P26006', 'P06756')"
"('Q9UJU5', 'O75751')"
"('P29558', 'O60861')"
"('Q6WCQ1', 'Q3ZCQ8')"
"('Q15311', 'P19438')"
"('Q15836', 'Q13277')"
"('P51805', 'Q13387')"
"('Q9H788', 'P43364')"
"('P22612', 'Q07869')"
"('Q6P1K2', 'Q9P2H0')"
"('O00571', 'Q9Y572')"
"('O15287', 'Q92889')"
"('Q5M9N0', 'Q86YR5')"
"('P04004', 'P18084')"
"('O43290', 'Q13573')"
"('Q15831', 'Q9Y376')"
"('P98164', 'O14908')"
"('Q96F46', 'Q96PD4')"
"('P12814', 'P08238')"
"('O15392', 'P11802')"
"('Q7L5N1', 'Q9Y4E8')"
"('O14920', 'P62158')"
"('Q9ULV1', 'O14640')"
"('Q9HAU5', 'P26651')"
"('Q9ULK6', 'P51965')"
"('Q6WCQ1', 'Q2TAY7')"
"('P35244', 'P46063')"
"('Q99460', 'Q13573')"
"('Q13547', 'Q5VTD9')"
"('P22314', 'P08238')"
"('O95251', 'Q9P2H0')"
"('P26368', 'Q00610')"
"('P37088', 'P46934')"
"('P18065', 'P35222')"
"('Q9H293', 'P56537')"
"('P60520', 'Q86V97')"
"('P62829', 'P62899')"
"('Q92878', 'Q92830')"
"('O60814', 'O15047')"
"('Q969T4', 'P78317')"
"('P20138', 'Q02817')"
"('Q9NQU5', 'Q15746')"
"('Q9UL03', 'Q99459')"
"('Q9H171', 'Q13363')"
"('P27986', 'P34903')"
"('P21583', 'P29317')"
"('P36897', 'Q99614')"
"('P10071', 'P10914')"
"('P16104', 'Q12888')"
"('Q01105', 'Q15078')"
"('P63165', 'P29590')"
"('Q93079', 'Q9C005')"
"('O14905', 'Q9UP38')"
"('Q8N6T7', 'P08670')"
"('P22626', 'Q14683')"
"('Q14164', 'P35579')"
"('Q8TE04', 'P63104')"
"('P17947', 'P15498')"
"('Q16543', 'P31749')"
"('O14775', 'P67870')"
"('Q9UKT7', 'P63208')"
"('P05387', 'P39023')"
"('P28070', 'P22392')"
"('Q6PEY2', 'Q96NA2')"
"('P17096', 'P32519')"
"('P17028', 'Q9NWS9')"
"('Q00005', 'Q07021')"
"('Q9NPF7', 'P15509')"
"('P62826', 'Q8IY92')"
"('Q66LE6', 'O60840')"
"('Q9P2G9', 'P25787')"
"('Q99466', 'Q9UBG7')"
"('P13987', 'Q15149')"
"('P24534', 'Q05639')"
"('Q86WJ1', 'P16104')"
"('P67870', 'P11388')"
"('P49281', 'P07602')"
"('P13569', 'P31689')"
"('Q96I34', 'Q96B86')"
"('P12980', 'Q9UBP8')"
"('P16104', 'Q15366')"
"('Q9UGC6', 'P18146')"
"('Q96ID5', 'O00231')"
"('Q8N302', 'Q8IWX8')"
"('O15069', 'Q12851')"
"('Q16659', 'Q9UQ90')"
"('Q9P2G9', 'P54253')"
"('P52630', 'P48551')"
"('O95832', 'O95471')"
"('P12107', 'P18084')"
"('O95251', 'Q9UNL4')"
"('P26006', 'P46108')"
"('Q96GF1', 'P62837')"
"('P63279', 'Q14164')"
"('P61088', 'Q12933')"
"('O43242', 'P43686')"
"('O14744', 'Q9NWB6')"
"('P42229', 'P24385')"
"('Q8TDB6', 'P51668')"
"('P31150', 'Q15669')"
"('P61968', 'O15198')"
"('P25963', 'Q9NSE2')"
"('4207', 'Q8IYF3')"
"('P04626', 'Q07889')"
"('Q9Y2U5', 'O14920')"
"('Q969V3', 'P62330')"
"('O75815', 'Q15631')"
"('P22694', 'Q92806')"
"('Q96RN5', 'Q9NX70')"
"('P51178', 'P21980')"
"('P56182', 'O43809')"
"('Q13547', 'P01137')"
"('Q9BUF5', 'A6NHL2')"
"('O43255', 'Q16633')"
"('P19838', 'P01567')"
"('O00264', 'Q71F23')"
"('P09496', 'Q9GZQ8')"
"('P20036', 'P04233')"
"('Q71UI9', 'Q93079')"
"('P63104', 'P47736')"
"('Q9Y4X0', 'P49841')"
"('Q7Z6L1', 'Q9H1Y0')"
"('P02775', 'Q9NW61')"
"('Q99459', 'O95619')"
"('Q71DI3', 'P02545')"
"('Q9Y265', 'P25440')"
"('O00762', 'P20248')"
"('P36406', 'Q13263')"
"('P50616', 'Q9UIV1')"
"('Q13087', 'P78545')"
"('Q13315', 'Q9H5H4')"
"('O75379', 'O15400')"
"('Q14CB8', 'P52198')"
"('P52434', 'P19387')"
"('P78357', 'Q12860')"
"('P39656', 'Q16659')"
"('P07900', 'P61247')"
"('P54920', 'O00161')"
"('P29590', 'P06400')"
"('Q9UHD0', 'Q14626')"
"('P49768', 'Q9NZ42')"
"('P06748', 'P05549')"
"('P10275', 'O60477')"
"('P53350', 'P30305')"
"('P00740', 'P00451')"
"('Q9UKE5', 'P24752')"
"('O43237', 'Q9BQE3')"
"('P16471', 'Q99490')"
"('P42684', 'P16333')"
"('P05067', 'Q05193')"
"('P03956', 'P18847')"
"('P43307', 'Q92611')"
"('Q04206', 'Q9H9Z2')"
"('P52630', 'Q9HBE4')"
"('Q9UM73', 'P55345')"
"('P58340', 'P43364')"
"('Q96PV6', 'Q9Y3Y4')"
"('P11161', 'P18146')"
"('Q12972', 'O15169')"
"('P35125', 'Q14CW9')"
"('O95819', 'P19634')"
"('O75832', 'P55036')"
"('O43251', 'Q9BTD8')"
"('Q13387', 'Q12824')"
"('Q15038', 'P29400')"
"('Q8TAE8', 'Q401N2')"
"('Q07666', 'Q13509')"
"('P98164', 'P21741')"
"('O14561', 'O00217')"
"('P11487', 'P08069')"
"('Q9NPF5', 'O43257')"
"('Q14765', 'Q9UL17')"
"('P23508', 'Q9Y3A3')"
"('Q16186', 'P01241')"
"('P38936', 'Q00534')"
"('Q8IZP0', 'Q07889')"
"('P21246', 'Q6IB77')"
"('P22612', 'P20941')"
"('Q6VMQ6', 'Q13219')"
"('P61224', 'O00522')"
"('P06858', 'Q9H832')"
"('O43768', 'P09104')"
"('Q9H1I8', 'Q16891')"
"('Q16625', 'P56856')"
"('Q00987', 'P27695')"
"('P41223', 'P49716')"
"('Q14197', 'O75127')"
"('P07196', 'Q92574')"
"('Q15029', 'P61981')"
"('P35268', 'P50914')"
"('P31751', 'Q9Y6K9')"
"('Q8TF46', 'P08107')"
"('Q9Y2T4', 'P31751')"
"('P04150', 'Q04206')"
"('Q9Y328', 'P42677')"
"('Q15406', 'O75376')"
"('Q9ULX9', 'P07602')"
"('Q8TF46', 'Q06265')"
"('Q5JVS0', 'Q14011')"
"('P10276', 'P17483')"
"('O75508', 'P57739')"
"('Q07092', 'P14136')"
"('Q9UKT9', 'P63279')"
"('P29353', 'P0CG47')"
"('P08631', 'Q9H6R7')"
"('P35225', 'Q14627')"
"('Q03164', 'Q92769')"
