negatives
"('Q13077', 'P42336')"
"('P63165', 'Q99856')"
"('Q9BUJ2', 'Q8IX12')"
"('Q9GZS1', 'Q96JH8')"
"('Q15428', 'P38159')"
"('P61981', 'P26641')"
"('Q13188', 'Q9H492')"
"('P49321', 'O15264')"
"('P62993', 'Q13087')"
"('Q15311', 'Q86VP1')"
"('Q01094', 'P40692')"
"('Q96FZ7', 'Q9H0T7')"
"('P53567', 'P05112')"
"('Q96I15', 'P15884')"
"('P02452', 'Q13797')"
"('P16220', 'P07864')"
"('O95819', 'P19634')"
"('Q9H169', 'Q16891')"
"('Q3V6T2', 'P56537')"
"('Q16236', 'P33527')"
"('P53990', 'P54253')"
"('P24941', 'P35222')"
"('O75400', 'Q9Y6D5')"
"('P51693', 'Q93074')"
"('P25963', 'Q9UN86')"
"('P20810', 'P00519')"
"('P49368', 'O60603')"
"('O43353', 'Q13077')"
"('P53779', 'P15407')"
"('P78545', 'Q8IUC1')"
"('P10721', 'P27986')"
"('P54257', 'P50336')"
"('P08621', 'O43809')"
"('Q9HCU9', 'Q5T3J3')"
"('P55036', 'P25788')"
"('P17301', 'Q9Y490')"
"('Q05397', 'P43146')"
"('P61244', 'P12524')"
"('Q9Y6Y8', 'Q9H553')"
"('Q8NFH3', 'Q96HA1')"
"('Q9UBY5', 'P18146')"
"('P11021', 'Q86UA6')"
"('P01111', 'Q04771')"
"('P32302', 'P04899')"
"('P16871', 'P07737')"
"('Q07960', 'P17081')"
"('P46776', 'Q9HCK5')"
"('O43502', 'O15315')"
"('O00267', 'O60942')"
"('Q9NZ08', 'P08887')"
"('P24043', 'P17301')"
"('Q6UWE0', 'Q9UPY3')"
"('P58107', 'Q9H0H5')"
"('Q13233', 'Q96B02')"
"('Q9Y265', 'P63104')"
"('P53708', 'Q9UKX5')"
"('P62979', 'Q8IVH8')"
"('P32121', 'Q8NGT2')"
"('Q9Y3C7', 'O60244')"
"('P63000', 'P48426')"
"('P42338', 'P49841')"
"('P29459', 'P16871')"
"('P17844', 'Q9NWQ8')"
"('Q13439', 'Q9NV70')"
"('Q9UKR5', 'Q9Y2M5')"
"('P83876', 'Q15029')"
"('O94826', 'Q7Z434')"
"('P63096', 'Q9UBI6')"
"('P49207', 'P62633')"
"('P68104', 'Q15843')"
"('P22607', 'Q9NR46')"
"('P29074', 'O43149')"
"('P13805', 'Q15834')"
"('P48634', 'Q10570')"
"('P40337', 'P50748')"
"('Q9H2W6', 'Q14197')"
"('Q00005', 'P62424')"
"('Q9NR46', 'Q9UQ80')"
"('Q8TC07', 'O75365')"
"('P16473', 'P63096')"
"('P22455', 'P35568')"
"('Q8NCM8', 'Q9BQE3')"
"('Q99952', 'O43586')"
"('P05771', 'P09471')"
"('P60568', 'P40189')"
"('P01857', 'P04264')"
"('O95999', 'Q04206')"
"('P03915', 'Q9P0J0')"
"('P23508', 'Q9HB71')"
"('P23284', 'Q9NRR5')"
"('P16220', 'P30281')"
"('Q13315', 'Q8TEU7')"
"('Q16204', 'P01111')"
"('Q7Z3J3', 'Q6EEV6')"
"('Q96GM5', 'Q8NFD5')"
"('O43734', 'P10914')"
"('Q92890', 'Q8TAT6')"
"('O75807', 'P08107')"
"('Q96KQ4', 'Q99459')"
"('P61952', 'P84996')"
"('Q92765', 'Q9Y6F9')"
"('P36542', 'P27986')"
"('Q9UBC3', 'Q96T88')"
"('Q7KZF4', 'P42226')"
"('442918', 'P43351')"
"('P01374', 'Q92956')"
"('Q6W2J9', 'P42568')"
"('Q5XPI4', 'Q96B02')"
"('P06241', 'Q13444')"
"('Q9P2M7', 'O95049')"
"('P56278', 'Q9Y243')"
"('Q9UNN5', 'P38936')"
"('Q969V6', 'P16220')"
"('P05388', 'Q9UNX3')"
"('Q9UIS9', 'Q99717')"
"('P24043', 'P56199')"
"('Q9H2G2', 'Q14185')"
"('O00459', 'O43561')"
"('P63261', 'P20333')"
"('P43364', 'O14832')"
"('P48643', 'P16104')"
"('P45984', 'P18847')"
"('Q16514', 'Q92831')"
"('P63000', 'P05814')"
"('O75822', 'P41567')"
"('Q8IWF7', 'Q8N1F8')"
"('P06753', 'P01111')"
"('Q13191', 'Q07889')"
"('P18124', 'Q92901')"
"('Q9UJX2', 'Q13315')"
"('Q13505', 'O75431')"
"('P62807', 'P56524')"
"('P50613', 'P24928')"
"('O75689', 'P24522')"
"('P11362', 'Q92529')"
"('P43360', 'P62714')"
"('Q13573', 'P25490')"
"('O43809', 'O95400')"
"('O75376', 'P04150')"
"('P20702', 'P46109')"
"('P84022', 'Q14974')"
"('O43734', 'Q13114')"
"('P49407', 'P68400')"
"('P15498', 'Q07666')"
"('P10275', 'Q99497')"
"('P31371', 'P22607')"
"('P32121', 'Q8NGR1')"
"('Q86VH2', 'Q13573')"
"('Q99816', 'P38936')"
"('Q96GM5', 'O96019')"
"('Q00722', 'Q9UM73')"
"('O43255', 'Q9H6Z9')"
"('Q96BA8', 'Q16621')"
"('Q7Z570', 'P54253')"
"('Q13233', 'O14920')"
"('P25788', 'Q6ZVL6')"
"('Q9NWU2', 'Q15287')"
"('P68431', 'Q9Y468')"
"('Q01780', 'Q9UPM9')"
"('Q9Y4K3', 'Q9BVA1')"
"('P04637', 'Q96FW1')"
"('Q5VVX9', 'Q92794')"
"('P11831', 'P01100')"
