negatives
"('Q02978', 'P21796')"
"('O14746', 'Q9Y230')"
"('Q5TAP6', 'Q9BRK4')"
"('Q92913', 'P05067')"
"('Q99853', 'Q9NXE4')"
"('Q5JUW0', 'Q9HAV4')"
"('P48039', 'O14610')"
"('P38646', 'Q9NRD1')"
"('Q15022', 'Q9GZV8')"
"('P40337', 'Q9UGP4')"
"('Q13616', 'Q9UF56')"
"('O00560', 'P39086')"
"('Q1MSJ5', 'Q15154')"
"('Q9Y315', 'Q9H6Y5')"
"('Q8N7W2', 'Q9GZT8')"
"('Q9NQX6', 'Q9H7E9')"
"('P20336', 'Q9UPA5')"
"('Q5VYV7', 'Q9BRP1')"
"('O15234', 'Q14790')"
"('P25490', 'Q9C086')"
"('Q9Y265', 'P63092')"
"('Q9Y5S9', 'Q96PK6')"
"('Q92985', 'P13501')"
"('P14210', 'P06213')"
"('Q5T3J3', 'P03372')"
"('P24928', 'Q6ZU80')"
"('Q7Z4I7', 'Q7Z3S9')"
"('Q9H0U9', 'Q96EB6')"
"('P30260', 'Q4G163')"
"('Q9H0W5', 'P14923')"
"('P21281', 'P50990')"
"('Q9UQR1', 'Q15717')"
"('Q96RP7', 'Q92731')"
"('P21579', 'Q12846')"
"('Q9NVT9', 'P0DP23')"
"('Q15018', 'O00231')"
"('Q86SQ0', 'Q9UK80')"
"('O15264', 'P60842')"
"('Q9UL03', 'O00422')"
"('P22223', 'P18146')"
"('Q86X27', 'Q08AD1')"
"('P25208', 'Q15544')"
"('Q5T3J3', 'P51948')"
"('Q13177', 'P04049')"
"('Q13619', 'Q9NR30')"
"('Q15813', 'P06737')"
"('O75787', 'P14923')"
"('P62273', 'P62854')"
"('P11802', 'Q8N720')"
"('Q9Y3C4', 'P59998')"
"('P06400', 'O00257')"
"('Q9BXS5', 'P14672')"
"('P06702', 'Q9Y2W1')"
"('P21675', 'Q86T82')"
"('Q9Y281', 'P80404')"
"('Q15365', 'P06748')"
"('P09471', 'P45984')"
"('Q92569', 'Q9H0I2')"
"('P35626', 'Q8NH85')"
"('O60504', 'P56282')"
"('Q8WUA2', 'O14980')"
"('Q99895', 'O76011')"
