negatives
"('Q8N490', 'Q15021')"
"('Q9NZ81', 'Q08AM6')"
"('P52907', 'Q68CZ1')"
"('Q9UIS9', 'P05067')"
"('P62899', 'P62753')"
"('Q8NAV1', 'P49760')"
"('Q99547', 'P51532')"
"('B7ZAQ6', 'Q96J42')"
"('Q9UPT6', 'P46734')"
"('P35222', 'Q92597')"
"('P61956', 'Q9NXF1')"
"('Q03135', 'P04629')"
"('Q6NT76', 'Q02548')"
"('Q12983', 'Q9HD36')"
"('Q9HC38', 'Q8WUM4')"
"('P78537', 'Q92769')"
"('A6NHG4', 'P67775')"
"('Q71U36', 'P54252')"
"('Q9NYB0', 'O75131')"
"('Q13153', 'Q9Y6Q9')"
"('Q13526', 'P81877')"
"('Q99750', 'P04899')"
"('P63279', 'O15265')"
"('Q3SXY8', 'Q9NQC8')"
"('P25815', 'Q96CN5')"
"('Q96QT6', 'Q3L8U1')"
"('Q14160', 'Q9GZV5')"
"('Q13635', 'P14635')"
"('Q6ZMI0', 'P39748')"
"('Q9UM47', 'Q8NI51')"
"('P50993', 'Q96NL6')"
"('Q92990', 'Q9NXB0')"
"('P06576', 'P21912')"
"('P63104', 'O00571')"
"('Q92993', 'Q9UBB9')"
"('Q9UHA3', 'Q8IZU0')"
"('Q99547', 'Q13868')"
"('Q9H6D7', 'O15078')"
"('Q99832', 'P53779')"
"('Q6P996', 'Q9UI12')"
"('P63165', 'Q05193')"
"('Q969Q1', 'Q9BYV2')"
"('Q15486', 'O43711')"
"('P20809', 'Q13651')"
"('P62714', 'P78563')"
"('P01100', 'Q13765')"
"('P40337', 'P50991')"
"('Q8WXK1', 'O00410')"
"('Q9BSC4', 'P62241')"
"('Q16633', 'P23769')"
"('P21246', 'P07237')"
"('O75607', 'O43747')"
"('P05388', 'P31689')"
"('Q06787', 'Q6S8J3')"
"('Q93009', 'Q9Y3C5')"
"('P63279', 'P36956')"
"('Q9HB71', 'P00540')"
"('Q9Y2K6', 'Q8TD30')"
"('Q9NXV6', 'Q96C10')"
"('P51991', 'P15927')"
"('Q13596', 'P15170')"
"('Q7L8S5', 'Q9ULV8')"
"('Q96N67', 'P38936')"
"('Q8NI60', 'Q13011')"
"('P35268', 'P62241')"
"('Q9NZC7', 'Q9Y6Y8')"
"('O94776', 'P19387')"
"('Q96RN5', 'Q9H944')"
"('Q9NZQ3', 'O43639')"
"('Q9UBB9', 'Q86VQ0')"
"('O14543', 'P23458')"
"('Q9UK80', 'O43166')"
"('Q15843', 'P46937')"
"('Q14686', 'P01100')"
"('Q9Y3E0', 'P49821')"
"('Q0VG73', 'Q0D2K3')"
"('Q9UBB9', 'Q6W0C5')"
"('P45880', 'P02751')"
