negatives
"('O95429', 'Q6PL18')"
"('O43167', 'Q9BYR9')"
"('Q14258', 'P42224')"
"('P0C7P0', 'O75489')"
"('Q6YHK3', 'Q15691')"
"('Q02218', 'Q9UBN7')"
"('P06493', 'Q16667')"
"('P16298', 'Q08499')"
"('P62875', 'O96017')"
"('Q8TAG9', 'P10632')"
"('Q86X19', 'Q7Z3D4')"
"('Q9BWG4', 'Q9BWW4')"
"('P28331', 'Q9Y375')"
"('O43143', 'Q9BQ95')"
"('Q15843', 'Q92499')"
"('Q01082', 'P35221')"
"('P14373', 'Q16512')"
"('P12236', 'Q9UKV8')"
"('O14979', 'P84103')"
"('O75955', 'Q92665')"
"('P03372', 'P08047')"
"('Q13557', 'Q99941')"
"('Q9H0W5', 'O75396')"
"('Q96SB8', 'P04629')"
"('Q9UBX2', 'P62826')"
"('P51674', 'Q8N6M3')"
"('Q6PEX3', 'Q15654')"
"('Q9UKU7', 'O43295')"
"('O75473', 'Q9ULT6')"
"('Q8TCJ0', 'O75937')"
"('P09471', 'O14640')"
"('Q92731', 'Q14966')"
"('O00443', 'P31946')"
"('Q5JVL4', 'Q96PV0')"
"('Q70SY1', 'P15336')"
"('A8MQ03', 'Q92922')"
"('Q9NW64', 'Q15022')"
"('Q5S007', 'Q96TA2')"
"('Q02952', 'P60484')"
"('P08240', 'Q96SY0')"
"('Q96CV9', 'Q14BN4')"
"('Q8N257', 'P33992')"
"('P68400', 'Q9NYF8')"
"('Q8NEY4', 'O00445')"
"('P40225', 'Q14627')"
"('P30153', 'Q9UBN1')"
"('Q8ND90', 'P33993')"
"('Q13895', 'P51116')"
"('Q15554', 'Q03001')"
"('P54136', 'Q9NRD1')"
"('P12931', 'P31273')"
"('Q16526', 'P68104')"
"('P0C0S8', 'Q9UBN7')"
"('P00966', 'P04406')"
"('Q14677', 'P63167')"
"('Q13501', 'Q5JTW2')"
"('O43464', 'O15392')"
"('Q9UJV9', 'P31943')"
"('P63208', 'Q96ME1')"
"('Q15628', 'Q96B97')"
"('Q9UBH0', 'Q9BWW4')"
"('P22234', 'P63092')"
"('O96017', 'Q10567')"
"('Q92989', 'Q9Y4X0')"
"('O15264', 'Q9Y266')"
"('Q96Q11', 'P45974')"
"('Q9UJF2', 'Q96QZ7')"
"('P62987', 'Q712K3')"
"('Q96LM6', 'Q15038')"
"('Q14141', 'P04183')"
"('Q9UHR6', 'O95400')"
"('O95817', 'Q9NZL9')"
"('Q9BTL3', 'Q13617')"
"('P32243', 'P05067')"
"('Q93009', 'Q5U5Q3')"
"('P69905', 'P20933')"
"('Q12888', 'Q5T5X7')"
"('Q8TEU7', 'O14980')"
"('Q9BW61', 'P28838')"
"('Q8NG77', 'Q9P2W3')"
"('Q9Y4K3', 'P60983')"
"('P01112', 'Q01201')"
"('Q6W0C5', 'P63167')"
"('P62854', 'Q8WUY3')"
"('P60880', 'Q16854')"
"('Q9UGM1', 'Q8NC67')"
"('Q9NPA3', 'Q96MA6')"
"('Q9BRK4', 'Q96NE9')"
"('P43220', 'P07478')"
"('P21333', 'Q14573')"
"('Q9Y3C4', 'Q14657')"
"('Q9H788', 'Q5T124')"
"('P67775', 'O15344')"
"('Q92997', 'P46531')"
"('P60484', 'Q13813')"
"('P29972', 'Q6PI77')"
"('P04156', 'Q9HBG4')"
"('Q9C0H9', 'P12931')"
"('P51812', 'O95294')"
"('P37198', 'P12035')"
"('Q9UJX3', 'Q14676')"
"('Q93034', 'P62316')"
"('Q14694', 'O15084')"
"('Q9UBR2', 'Q9BYR9')"
"('P01574', 'O60674')"
"('P42166', 'Q5SSJ5')"
"('P05771', 'P16401')"
"('P03372', 'P31483')"
"('Q93074', 'Q99698')"
"('P60329', 'Q5TA81')"
"('O75449', 'Q9GZM8')"
"('P12830', 'Q14677')"
"('Q08379', 'Q9UJW0')"
"('Q9Y6H8', 'P17302')"
"('P09234', 'P62304')"
"('O75603', 'Q16610')"
"('P33527', 'Q9Y277')"
"('Q13347', 'O75821')"
"('P27986', 'P42338')"
"('P63279', 'Q9NS56')"
"('Q969Q1', 'Q13501')"
"('Q5S007', 'Q03113')"
"('P27824', 'Q9H0R8')"
"('P52701', 'P09429')"
"('Q9NVM9', 'Q96HW7')"
"('Q13901', 'Q9NQT4')"
"('A4D0S4', 'P08514')"
"('P81877', 'Q01844')"
"('P50549', 'Q96MF7')"
"('Q9BWF2', 'Q99816')"
"('Q92527', 'P27448')"
"('Q16186', 'P49720')"
"('P14867', 'Q15111')"
"('P61978', 'Q9NQX5')"
"('P46108', 'Q8WUD1')"
"('P07237', 'O60664')"
"('P13612', 'P27708')"
"('O75420', 'P31946')"
"('Q99683', 'Q9HC16')"
"('Q9P202', 'Q9HBM0')"
"('P14324', 'P49903')"
"('O43143', 'O60524')"
"('P99999', 'P04792')"
"('P22695', 'P62330')"
"('Q9H7D7', 'P62854')"
"('P27348', 'Q9H0K1')"
"('Q86VU5', 'Q53EL6')"
"('P06870', 'P05154')"
"('Q8NBN3', 'Q8WXA8')"
"('Q04917', 'Q8WVM0')"
"('Q2Y0W8', 'O14745')"
"('Q9HCE1', 'O14730')"
"('A6NLX3', 'Q9Y3C6')"
"('P37108', 'Q9UNZ2')"
"('P04637', 'Q9NVC6')"
"('O75578', 'P26010')"
"('P06239', 'Q13291')"
"('Q92765', 'O14904')"
"('Q5UIP0', 'Q8N5N7')"
"('Q8IUC6', 'P43405')"
"('O75533', 'P48681')"
"('Q99728', 'P56182')"
"('P04844', 'P55072')"
"('Q93034', 'Q86VN1')"
"('Q9Y6K9', 'P23258')"
"('Q96L14', 'Q9H425')"
"('P05412', 'P42696')"
"('Q13616', 'Q9ULX6')"
"('Q16531', 'Q8NFW8')"
"('O14595', 'P51957')"
"('P04629', 'P62906')"
"('Q9Y4H2', 'Q13322')"
"('P54277', 'P52292')"
"('P12931', 'Q8IXK2')"
"('Q13616', 'Q8N3Y1')"
"('P25963', 'P12235')"
"('Q8WYP3', 'P42771')"
"('Q8N3D4', 'Q8TF05')"
"('Q9H492', 'Q92598')"
"('Q8N5M1', 'Q8IX06')"
"('Q93009', 'P37231')"
"('Q8TD46', 'P02452')"
"('P02545', 'O14593')"
"('Q00535', 'P14635')"
"('Q08945', 'Q92905')"
"('Q6PJG9', 'P30153')"
"('O75791', 'P54646')"
"('P98095', 'Q9H2F3')"
"('Q5JY77', 'O43504')"
"('Q02218', 'P20674')"
"('O15530', 'Q15121')"
"('Q9Y4L1', 'Q92731')"
"('Q96AZ1', 'P54652')"
"('P05198', 'P43146')"
"('P12931', 'P49916')"
"('Q8IYX8', 'P37198')"
"('Q8TB52', 'P63208')"
"('P53803', 'Q8WVC0')"
"('Q15464', 'P10721')"
"('Q12857', 'P16410')"
"('Q8NBN3', 'Q92633')"
"('P05067', 'O95394')"
"('Q8TAE8', 'P43364')"
"('Q96NW7', 'Q8IX15')"
"('Q86U42', 'Q92620')"
"('Q92900', 'Q09161')"
"('P11021', 'Q15750')"
"('P05106', 'P56945')"
"('Q86T65', 'Q15415')"
"('O60547', 'Q96HA8')"
"('P62917', 'P83731')"
"('Q9BYR3', 'O14633')"
"('Q96AX1', 'P09497')"
"('O14980', 'Q9H0J9')"
"('Q9H2H9', 'Q9UKG4')"
"('Q9C0C2', 'Q9NRC8')"
"('Q5T011', 'O43186')"
"('Q9HB71', 'Q96BK5')"
"('P25445', 'Q9NU22')"
"('Q92614', 'Q6PJ61')"
"('Q8WU79', 'O15198')"
"('P62945', 'P84098')"
"('Q9Y2I6', 'Q8NHV4')"
"('Q9UQ35', 'P29692')"
"('Q14197', 'P00367')"
"('P01106', 'Q52LR7')"
"('P62993', 'Q96D71')"
"('Q6PIW4', 'Q9NSG2')"
"('Q6IBW4', 'O15165')"
"('Q96T76', 'Q68DK7')"
"('Q86TM6', 'P49720')"
"('Q13620', 'P26373')"
"('P04792', 'Q15714')"
"('Q8N726', 'P46940')"
"('Q6P1J9', 'Q99459')"
"('P01024', 'Q92496')"
"('Q9GZT8', 'P62714')"
"('P13569', 'Q9P035')"
"('Q12905', 'O00425')"
"('Q96BP2', 'Q9Y3M2')"
"('Q92754', 'P02795')"
"('P16581', 'P49023')"
"('Q13043', 'Q9P0L0')"
"('Q99986', 'Q71DI3')"
"('P25205', 'P52597')"
"('Q9C0B0', 'P10586')"
"('Q7Z2X4', 'Q99750')"
"('Q9UQ35', 'P22626')"
"('Q8WW24', 'O43822')"
"('P06493', 'Q9UQR0')"
"('P42025', 'P78371')"
"('P07550', 'P29692')"
"('Q05655', 'O14640')"
"('P62263', 'Q00005')"
"('P35869', 'P03372')"
"('P78347', 'Q01664')"
"('Q9BPW8', 'P0C7P0')"
"('Q86YD3', 'Q13608')"
"('P05090', 'Q13617')"
"('Q13200', 'Q12933')"
"('A8MV65', 'Q9UGL1')"
"('Q5TC82', 'P35637')"
"('Q9H190', 'Q8NAV1')"
"('P51148', 'Q8WY36')"
"('P40763', 'P18848')"
"('Q9ULL1', 'Q5TB80')"
"('P61513', 'P61927')"
"('O00567', 'Q9NY93')"
"('Q92621', 'P57740')"
"('Q9NYW3', 'P50148')"
"('P27694', 'P49916')"
"('O60547', 'Q96A37')"
"('Q8N8A2', 'O75170')"
"('Q9NY27', 'Q9BWJ5')"
"('Q9Y6A5', 'Q9UBB5')"
"('P25116', 'P30679')"
"('Q86VP6', 'P49207')"
"('Q6NUQ4', 'Q86Y78')"
"('P06400', 'Q9UM11')"
"('Q96HW7', 'Q9NVR2')"
"('Q9Y2X0', 'Q92830')"
"('P51531', 'Q6STE5')"
"('Q09472', 'P67809')"
"('O75533', 'Q14157')"
"('Q13416', 'O60477')"
"('P22612', 'Q8NGS1')"
"('Q5BJF6', 'O43166')"
"('Q96I15', 'Q5T013')"
"('Q99942', 'O00767')"
"('P29474', 'Q16891')"
"('P60369', 'P60370')"
"('P31483', 'Q01085')"
"('P12236', 'P02545')"
"('Q9UM13', 'Q9BRT8')"
"('P54259', 'P61204')"
"('Q86SE9', 'Q8WXX7')"
"('Q6NSJ2', 'P0C1Z6')"
"('P12814', 'Q16595')"
"('Q8N6U2', 'O43482')"
"('Q8IYB3', 'P46782')"
"('Q96N21', 'P27635')"
"('P67775', 'Q8IV20')"
"('Q12933', 'Q8NBP7')"
"('O14543', 'P19235')"
"('Q92664', 'Q9NZZ3')"
"('Q53QZ3', 'O00212')"
"('O00425', 'Q13618')"
"('Q92583', 'P32248')"
"('Q14209', 'Q14566')"
"('Q14203', 'P46734')"
"('Q9H0W5', 'Q03001')"
"('Q12923', 'Q9P2M7')"
"('P23381', 'Q12792')"
"('P17568', 'O95299')"
"('P17948', 'P29353')"
"('Q92583', 'P42226')"
"('P12236', 'O75208')"
"('Q01844', 'Q13765')"
"('O75928', 'P27540')"
"('Q9NRI5', 'O95988')"
"('P01241', 'P29401')"
"('P23258', 'Q13162')"
"('Q7L2E3', 'Q13620')"
"('Q8WTQ7', 'P46934')"
"('P45877', 'Q8N9N5')"
"('Q99689', 'Q00987')"
"('P52306', 'O95661')"
"('Q3SY00', 'O43586')"
"('Q9UPW0', 'P02768')"
"('Q8IWL3', 'Q9BXC9')"
"('Q9UKV8', 'P04637')"
"('Q71SY5', 'A0JLT2')"
"('O75530', 'Q8N201')"
"('Q9P283', 'O43597')"
"('Q92522', 'P05412')"
"('Q9H6S0', 'P78417')"
"('P63104', 'P06748')"
"('Q96EU7', 'Q11206')"
"('Q02833', 'O75901')"
"('Q16594', 'Q9BRQ0')"
"('A1L190', 'Q16512')"
"('P12931', 'P19367')"
"('P62847', 'Q99496')"
"('Q92769', 'Q13547')"
"('O75783', 'Q969W0')"
"('Q9NUU7', 'P04629')"
"('O95376', 'Q9NRI5')"
"('Q99615', 'Q86UK5')"
"('Q86VX9', 'Q9H270')"
"('P62873', 'P18545')"
"('P53621', 'Q14999')"
"('Q14674', 'Q9BYV6')"
"('Q93050', 'P43121')"
"('P19013', 'Q8TF42')"
"('P10914', 'P04839')"
"('Q8NI27', 'Q9BTL3')"
"('Q16828', 'Q01995')"
"('Q6UWE0', 'Q9H270')"
"('Q9HCE1', 'Q92974')"
"('Q9NY97', 'Q92520')"
"('P57076', 'Q13188')"
"('Q9UNX3', 'P32969')"
"('P46776', 'P22694')"
"('Q6W2J9', 'P63208')"
"('P05023', 'Q9Y277')"
"('P46783', 'P84098')"
"('P35579', 'Q15746')"
"('P49327', 'A0MZ66')"
"('Q9H9A5', 'A5YKK6')"
"('Q9BRS2', 'Q9NPJ6')"
"('P78406', 'Q96LJ8')"
"('P10301', 'P68104')"
"('Q9BRK4', 'P78337')"
"('Q6GQQ9', 'Q9BXB1')"
"('Q53EZ4', 'Q53EV4')"
"('P35228', 'O95816')"
"('P22362', 'P32248')"
"('O43921', 'P06213')"
"('P43246', 'Q9NZJ0')"
"('P42126', 'Q6NVY1')"
"('P54136', 'Q9H0W5')"
"('P21452', 'P50148')"
"('Q9UK73', 'Q92905')"
"('Q8WXX7', 'Q99496')"
"('Q16527', 'P14373')"
"('Q96K58', 'P43243')"
"('Q8N264', 'P60763')"
"('Q9Y297', 'P62258')"
"('Q9Y223', 'P04629')"
"('P68871', 'O75364')"
"('P11142', 'P19878')"
"('Q9UBN7', 'P12694')"
"('P04275', 'P05106')"
"('Q15329', 'O14686')"
"('P00966', 'O43175')"
"('P52948', 'Q8NFH3')"
"('P11940', 'Q99700')"
"('Q13885', 'P61601')"
"('Q12846', 'P02751')"
"('Q9NVU0', 'P19388')"
"('Q9UBB4', 'Q92956')"
"('Q99471', 'Q7Z3K3')"
"('Q6ZWI9', 'A5PL33')"
"('P60981', 'O95486')"
"('Q9NRM7', 'A7MCY6')"
"('Q9Y2I6', 'Q9P126')"
"('Q13501', 'P28715')"
"('P01106', 'O95479')"
"('Q8TBB1', 'Q15654')"
"('Q9UNX4', 'Q9P275')"
"('P42677', 'P62249')"
"('Q9BYN7', 'Q9HBZ2')"
"('Q8N8R7', 'Q12965')"
"('P55290', 'O75330')"
"('Q7L9L4', 'Q5H9R7')"
"('P36873', 'P78371')"
"('Q96PM5', 'Q6ZMB5')"
"('Q6NUQ1', 'Q9BQ89')"
"('Q96QE5', 'Q8WVZ9')"
"('P19429', 'P0DP25')"
"('Q15599', 'Q8WXW3')"
"('Q15013', 'P19012')"
"('P84085', 'O75154')"
"('Q02363', 'Q15466')"
"('Q96IK5', 'Q8NEA9')"
"('P12236', 'Q8WYQ3')"
"('P33241', 'Q92748')"
"('Q15717', 'P05161')"
"('Q9Y2Q3', 'P62993')"
"('P00533', 'P41240')"
"('Q92934', 'P62136')"
"('P05107', 'P27986')"
"('Q96CV9', 'Q9UNH7')"
"('Q14457', 'Q9Y371')"
"('O95872', 'Q9NQ84')"
"('Q05682', 'P54274')"
"('Q15004', 'Q86W56')"
"('P60410', 'Q9NZ81')"
"('O96000', 'O43674')"
"('Q7Z3S9', 'P18075')"
"('P26368', 'Q15084')"
"('Q53TQ3', 'Q8NBZ0')"
"('Q13620', 'O95678')"
"('P34932', 'O94966')"
"('Q9NP62', 'Q9UQL6')"
"('O43734', 'Q99714')"
"('Q9BZR9', 'P61077')"
"('Q9UHB6', 'O60239')"
"('Q13596', 'P05412')"
"('Q8TF50', 'Q13277')"
"('P14923', 'O95619')"
"('Q8WYQ5', 'Q9Y4G6')"
"('Q16513', 'P26641')"
"('Q9H425', 'Q15717')"
"('Q86X19', 'Q9BQA1')"
"('P06733', 'P0DI81')"
"('P12830', 'Q8NDI1')"
"('P12277', 'Q9NRC8')"
"('O14757', 'Q96RL1')"
"('O75449', 'P49759')"
"('P10646', 'P08709')"
"('Q13315', 'Q9UKY1')"
"('O94806', 'P11234')"
"('Q9UK97', 'Q9NXC2')"
"('Q8IZQ1', 'O00418')"
"('O76003', 'Q96IK5')"
"('P61421', 'P42167')"
"('Q5VZ89', 'Q9UPQ3')"
"('Q9UI09', 'Q9Y3E0')"
"('P68431', 'P46776')"
"('Q96B97', 'P26651')"
"('P0C2W1', 'P35249')"
"('Q9UN81', 'Q9BR76')"
"('P60896', 'Q9NU22')"
"('Q9UM54', 'Q9UHP3')"
"('O76071', 'Q4L180')"
"('P56385', 'Q9H2H9')"
"('P09496', 'P00533')"
"('P08476', 'Q96S42')"
"('P49368', 'Q9UBN7')"
"('Q9Y5Y6', 'P42773')"
"('P42568', 'Q9UHB7')"
"('P63208', 'P48426')"
"('Q969F0', 'O14669')"
"('P30044', 'P04040')"
"('Q6IQ23', 'Q9BV38')"
"('Q9BVQ7', 'Q8WYA0')"
"('Q03135', 'P20936')"
"('Q9GZS3', 'P63104')"
"('Q8NDP4', 'Q9H8W4')"
"('P08913', 'Q14344')"
"('Q7L775', 'O95678')"
"('Q9NR46', 'Q9NWX6')"
"('Q86X19', 'P78310')"
"('P56703', 'O75581')"
"('Q6ZU80', 'O14965')"
"('O14786', 'Q9NV96')"
"('P09651', 'Q86V81')"
"('P63218', 'Q92633')"
"('P42701', 'P29597')"
"('Q5VYK3', 'O75955')"
"('P27352', 'P20648')"
"('P42167', 'P32121')"
"('Q9UPN7', 'Q8NB46')"
"('P55265', 'O75530')"
"('Q9NXR1', 'Q70YC4')"
"('O60674', 'O14492')"
"('Q7L622', 'P62841')"
"('Q6NSJ5', 'O75382')"
"('P09525', 'O60551')"
"('P38646', 'P62380')"
"('Q9Y572', 'P40939')"
"('Q13547', 'O14503')"
"('Q9NRM7', 'Q9UPN4')"
"('Q92794', 'Q09472')"
"('O00231', 'P25789')"
"('P57078', 'P51970')"
"('Q8N4C8', 'O43639')"
"('P12931', 'P52789')"
"('Q04724', 'P15923')"
"('Q15672', 'P67809')"
"('Q9NVX0', 'P19474')"
"('P04439', 'P43355')"
"('P04792', 'A6NEK1')"
"('Q12948', 'Q7Z6I8')"
"('Q00613', 'Q9UBC2')"
"('Q00978', 'Q96AZ6')"
"('Q05655', 'Q13508')"
"('Q9UBF8', 'P61981')"
"('P35555', 'P13611')"
"('P60484', 'P13639')"
"('Q8NDC4', 'Q9HD26')"
"('O43561', 'P07766')"
"('O14862', 'P24534')"
"('Q96JB5', 'P11142')"
"('P04350', 'Q13573')"
"('Q8IU60', 'O14556')"
"('P26010', 'P50552')"
"('P24941', 'Q6Y7W6')"
"('Q92597', 'Q15022')"
"('Q5T754', 'Q9BYQ3')"
"('P20936', 'P35968')"
"('Q7Z6G3', 'Q63ZY3')"
"('Q9NX20', 'P09651')"
"('P22694', 'Q9H343')"
"('P38159', 'Q12926')"
"('P22413', 'P20618')"
"('P61962', 'Q8IY57')"
"('Q03164', 'Q13547')"
"('O75147', 'Q14966')"
"('P15289', 'Q16512')"
"('Q9ULV8', 'Q99962')"
"('P01106', 'P25440')"
"('Q13618', 'O14682')"
"('P0CAP2', 'Q9HCN4')"
"('O43318', 'Q9BWF2')"
"('Q13137', 'Q15051')"
"('Q9H9H4', 'P25685')"
"('Q6ZWJ1', 'Q8WVE6')"
"('P15822', 'P0DMV8')"
"('P09972', 'Q9Y680')"
"('Q8IUC6', 'Q9UHD2')"
"('O76036', 'P27918')"
"('P31323', 'Q9BR77')"
"('O75439', 'Q8N4C6')"
"('Q504Q3', 'Q92614')"
"('P26447', 'P24941')"
"('Q9NRL2', 'P16104')"
"('Q96JM3', 'Q9NPD3')"
"('P62805', 'Q15573')"
"('Q96IX5', 'Q9NUQ6')"
"('P62979', 'P62424')"
"('Q96IL0', 'O95817')"
"('Q9HB71', 'Q99714')"
"('P04114', 'P14625')"
"('O95299', 'Q9BTZ2')"
"('O14530', 'O75312')"
"('Q9BYE7', 'Q13185')"
"('Q96QT6', 'P04792')"
"('Q9BYK8', 'P41182')"
"('O95433', 'P17844')"
"('P13569', 'P38646')"
"('P34932', 'Q9C0B0')"
"('Q14494', 'Q9Y4E8')"
"('Q15528', 'O60244')"
"('P61266', 'Q9NVR5')"
"('O75182', 'Q969G3')"
"('O75419', 'O76071')"
"('O95166', 'Q14324')"
"('Q5T0J3', 'Q8WYN0')"
"('O75716', 'Q9UKT9')"
"('P29992', 'Q86XP0')"
"('P04626', 'Q07890')"
"('Q9Y2Z0', 'Q9NX02')"
"('P46379', 'P62495')"
"('Q00597', 'O43683')"
"('P14618', 'P49736')"
"('Q6NUS6', 'Q86Y07')"
"('Q9H4B6', 'Q4VCS5')"
"('Q92734', 'P36578')"
"('Q01130', 'Q14103')"
"('Q9H307', 'Q86SE5')"
"('Q8TCT1', 'P43487')"
"('P16220', 'Q5FWF4')"
"('O60636', 'O43889')"
"('P10071', 'Q96QV1')"
"('Q13111', 'Q01831')"
"('Q13098', 'P04406')"
"('P46940', 'Q9Y2T4')"
"('Q96JC9', 'Q86T90')"
"('Q13573', 'P43355')"
"('Q86XF7', 'Q9NRD5')"
"('Q15459', 'Q86VM9')"
"('P68431', 'O95503')"
"('Q08043', 'Q9P2A4')"
"('P84022', 'P51587')"
"('Q15819', 'Q9Y4K3')"
"('Q9UKV0', 'Q96KK5')"
"('Q96MT8', 'Q5VT06')"
"('Q9P258', 'Q9Y478')"
"('Q86VP6', 'P08779')"
"('Q14974', 'O00505')"
"('Q8N9I9', 'Q96E35')"
"('P01106', 'Q9Y2I8')"
"('P62258', 'Q9H0W5')"
"('Q15149', 'P13612')"
"('Q99733', 'P19338')"
"('Q6P087', 'P49759')"
"('P35548', 'P56178')"
"('Q9HCM9', 'Q7L8S5')"
"('Q12789', 'Q13243')"
"('Q6IQ23', 'P42704')"
"('P17535', 'P48431')"
"('O95817', 'O95154')"
"('Q9UM54', 'Q9NRD1')"
"('P56282', 'Q04864')"
"('Q9GZQ8', 'Q9ULV4')"
"('P57105', 'P05067')"
"('P54727', 'Q9NQW7')"
"('Q9BWH6', 'P11142')"
"('P62993', 'Q9Y5K6')"
"('Q8IWL3', 'Q9NZT2')"
"('O00712', 'Q9C0B0')"
"('Q04323', 'Q9H040')"
"('P62837', 'P78317')"
"('Q9UL18', 'P62750')"
"('Q9Y478', 'P37108')"
"('Q9UBU8', 'Q8IZU0')"
"('P00519', 'P32239')"
"('Q9ULJ6', 'P42772')"
"('Q13233', 'Q969H6')"
"('P01116', 'Q7Z569')"
"('Q8N668', 'Q99728')"
"('Q5SW24', 'P40337')"
"('Q9NRA8', 'Q00534')"
"('P50454', 'Q96EP5')"
"('Q07666', 'P62140')"
"('P43115', 'P17480')"
"('Q9H944', 'Q9BRS2')"
"('P15822', 'P62820')"
"('P10515', 'Q15004')"
"('O94888', 'Q8IWV7')"
"('Q2NL68', 'Q9Y2I6')"
"('Q8IXQ9', 'Q14157')"
"('Q9HAU5', 'Q8IZD4')"
"('P61769', 'Q29963')"
"('P63104', 'Q00536')"
"('Q86V48', 'Q96ST8')"
"('Q9H5V9', 'Q8N4E4')"
"('O15015', 'Q12933')"
"('Q86VP3', 'P63104')"
"('O00308', 'Q93009')"
"('Q04837', 'P49459')"
"('P0DP24', 'Q92614')"
"('Q9BPW8', 'Q15149')"
"('O75147', 'Q8IX01')"
"('P35555', 'P98095')"
"('Q969R5', 'O00716')"
"('P05412', 'P22087')"
"('Q92750', 'O14867')"
"('P23771', 'Q03014')"
"('P08865', 'P45880')"
"('Q6ZPD8', 'Q9H5X1')"
"('Q9Y2K1', 'P62280')"
"('Q6Y7W6', 'Q8TF46')"
"('P12956', 'Q92466')"
"('Q13616', 'Q9BT73')"
"('Q05655', 'P61513')"
"('Q9NYZ3', 'Q8TEH3')"
"('Q99497', 'O75608')"
"('Q9ULK4', 'Q96T37')"
"('Q8IYT8', 'Q13131')"
"('O60293', 'Q8NF50')"
"('O60739', 'Q01469')"
"('A1L4K1', 'Q96SQ5')"
"('Q14164', 'P20618')"
"('Q7Z333', 'P02768')"
"('P22612', 'Q8NGL3')"
"('Q9NZ52', 'P62979')"
"('P01375', 'O15027')"
"('Q16543', 'P58304')"
"('Q6PD62', 'Q969X5')"
"('O00311', 'O94972')"
"('Q9BWT7', 'P14373')"
"('Q8IWL1', 'Q9UHD9')"
"('Q6R6M4', 'O95760')"
"('Q14119', 'Q8TAP6')"
"('P23508', 'Q9UHV9')"
"('O60830', 'Q9Y3D7')"
"('O60506', 'P50750')"
"('P49023', 'P22681')"
"('O14980', 'Q9NUP9')"
"('Q15637', 'Q9H0W5')"
"('P32249', 'Q14232')"
"('P01106', 'P09429')"
"('P60520', 'Q9H4B7')"
"('Q9NYZ3', 'Q96H55')"
"('Q9NPB6', 'P60484')"
"('Q9BQE3', 'Q3KQU3')"
"('P10809', 'P01023')"
"('Q9UKZ1', 'A5YKK6')"
"('Q9UGI8', 'P24941')"
"('Q9Y265', 'Q96AZ1')"
"('Q06587', 'O95071')"
"('Q0JRZ9', 'P98082')"
"('Q9UJX2', 'O43463')"
"('Q9UQB8', 'Q12929')"
"('Q9Y2D1', 'Q9UBS5')"
"('P00441', 'P32119')"
"('Q01844', 'Q15910')"
"('Q6GYQ0', 'P01106')"
"('O75319', 'Q13242')"
"('P49736', 'P61009')"
"('Q8NEF3', 'Q9Y2I6')"
"('O14530', 'Q9BQE3')"
"('Q9H4L4', 'O75534')"
"('O94806', 'Q02930')"
"('P57775', 'Q9BT78')"
"('P49327', 'Q12888')"
"('O14654', 'P13674')"
"('Q08117', 'Q9Y333')"
"('P09234', 'Q3LI66')"
"('Q14141', 'P52306')"
"('Q5S007', 'Q8NA70')"
"('P31946', 'P10636')"
"('P61221', 'Q14683')"
"('P61019', 'O75027')"
"('P38159', 'Q16629')"
"('Q9NTG7', 'P14625')"
"('Q6PF06', 'Q9BYN8')"
"('O43918', 'P11021')"
"('P28062', 'P25786')"
"('Q9UBR4', 'P01222')"
"('Q08379', 'Q9BZW7')"
"('Q9H6R4', 'P35226')"
"('O60832', 'P22087')"
"('P61081', 'O60826')"
"('Q9P0T4', 'Q9UFD9')"
"('Q8IVT5', 'P82933')"
"('Q14152', 'P78344')"
"('P62136', 'Q7Z699')"
"('O76075', 'P35226')"
"('Q14164', 'Q04206')"
"('P61964', 'Q9UJX6')"
"('P27348', 'P62304')"
"('P22694', 'Q8NG97')"
"('Q9UKX7', 'O15131')"
"('P01591', 'Q13043')"
"('Q9H0A8', 'Q9NPD3')"
"('Q01658', 'P10914')"
"('Q5XPI4', 'Q8NE79')"
"('Q9Y572', 'O15519')"
"('P62873', 'P40145')"
"('P07948', 'P51530')"
"('Q969G5', 'Q9P0L0')"
"('Q13077', 'Q96EP0')"
"('Q7L775', 'Q15415')"
"('P08047', 'P07900')"
"('P68431', 'Q02241')"
"('Q13620', 'Q6B0I6')"
"('Q13838', 'Q13310')"
"('Q8IY81', 'P04629')"
"('P14866', 'P35244')"
"('O14617', 'Q96JC1')"
"('Q9BPX5', 'P61160')"
"('Q8NHG8', 'P61088')"
"('P61254', 'P62917')"
"('P09001', 'Q9BZE1')"
"('P32242', 'Q5T754')"
"('Q15910', 'O14503')"
"('Q7Z7E8', 'Q13573')"
"('Q9UN42', 'Q86UD1')"
"('P67809', 'Q9UKV8')"
"('Q96DZ1', 'P11021')"
"('Q96CS3', 'Q9UI12')"
"('P19784', 'P55084')"
"('P17987', 'Q9GZQ8')"
"('P49023', 'P63261')"
"('P11177', 'Q7Z6Z7')"
"('P54252', 'Q9H040')"
"('P0C0S5', 'P01106')"
"('Q16600', 'P60371')"
"('P12956', 'O95997')"
"('P01100', 'P20749')"
"('O43852', 'P51617')"
"('P54274', 'Q99962')"
"('Q9HAW0', 'Q96T76')"
"('O00267', 'Q9GZS3')"
"('P48200', 'O76071')"
"('Q96FW1', 'Q14164')"
"('Q9Y478', 'Q14019')"
"('Q16659', 'P17987')"
"('P33991', 'P19320')"
"('Q99549', 'Q8WWL2')"
"('O15524', 'P42226')"
"('Q00537', 'P27348')"
"('O95672', 'P29016')"
"('Q04695', 'P13987')"
"('Q8N4V1', 'Q16891')"
"('Q13315', 'P02787')"
"('P68366', 'P00558')"
