negatives
"('P51693', 'Q99547')"
"('P13639', 'Q15843')"
"('Q8IXK0', 'P35226')"
"('P11308', 'Q15910')"
"('Q9UQN3', 'P36542')"
"('P54646', 'P54619')"
"('P32119', 'P16871')"
"('Q7Z5R6', 'Q9Y490')"
"('O00459', 'Q92730')"
"('Q13535', 'Q9UJA5')"
"('P11413', 'P04792')"
"('Q00005', 'P49756')"
"('Q9UL18', 'Q7L2E3')"
"('Q9P0U4', 'Q6DN03')"
"('P53355', 'P0CG48')"
"('Q9Y4K3', 'P15121')"
"('Q9UI36', 'Q96ST3')"
"('P84022', 'Q86UD4')"
"('P30455', 'P30457')"
"('406905', 'Q9UL51')"
"('P09529', 'P08476')"
"('Q9UBP5', 'O75376')"
"('P15153', 'P46734')"
"('P31350', 'P12830')"
"('P19532', 'P49321')"
"('Q9BQE3', 'Q99459')"
"('Q13557', 'Q06432')"
"('P62875', 'Q15560')"
"('Q9Y5B9', 'Q9P0M6')"
"('P18146', 'Q9NQU5')"
"('Q8IUD2', 'Q9NRW1')"
"('Q13315', 'P46100')"
"('P63104', 'Q86YZ3')"
"('Q86WB0', 'O14788')"
"('O95819', 'P16989')"
"('Q06124', 'Q13094')"
"('Q6NUP7', 'Q9UGN5')"
"('P35250', 'Q9Y5J5')"
"('Q13596', 'P25116')"
"('O15198', 'Q99613')"
"('Q06710', 'P19793')"
"('P49841', 'P35637')"
"('Q96BZ8', 'Q9NPF4')"
"('Q9Y265', 'P25440')"
"('P25788', 'P55036')"
"('Q15910', 'P38398')"
"('A0JLT2', 'Q9UM73')"
"('P55210', 'P16144')"
"('Q8NGM1', 'P38405')"
"('O75159', 'Q15370')"
"('Q13573', 'Q7L5N1')"
"('Q14571', 'Q8NDB2')"
"('O15031', 'P30519')"
"('O75569', 'O75925')"
"('Q9BUV8', 'O95831')"
"('O15198', 'Q7LFL8')"
"('Q86UW7', 'P61077')"
"('P08670', 'P02766')"
"('P62807', 'O75367')"
"('P49810', 'Q9NZ42')"
"('O75916', 'P04899')"
"('P82663', 'Q9NY93')"
"('Q7L2E3', 'Q9BQG0')"
"('P12004', 'Q9NR33')"
"('Q92945', 'P09914')"
"('P10147', 'P41597')"
"('O00410', '28938')"
"('P04085', 'P22455')"
"('P35609', 'Q15788')"
"('P33076', 'O14593')"
"('P62993', 'P50570')"
"('P27482', 'Q32MK0')"
"('O00459', 'Q92835')"
"('P18146', 'Q14761')"
"('P19174', 'P15498')"
"('P01111', 'Q9NZL6')"
"('O95169', 'Q16795')"
"('P54652', 'Q12933')"
"('Q9BY77', 'P49005')"
"('P22392', 'P62807')"
"('P58400', 'O15018')"
"('Q9Y2G2', 'Q04206')"
"('P15153', 'Q7L576')"
"('Q9Y6R0', 'Q04721')"
"('O14579', 'Q9NTJ5')"
"('P53803', 'Q9NVU0')"
"('Q07889', 'P00403')"
"('O95201', 'Q99750')"
"('P11021', 'Q92597')"
"('P15882', 'Q15078')"
"('Q16665', 'Q9Y259')"
"('P07237', 'Q9H3N1')"
"('Q9Y4X0', 'O15169')"
"('Q13573', 'P84098')"
"('P05014', 'Q9HBE5')"
"('P16234', 'P46108')"
"('P30154', 'O60359')"
"('Q8IXJ6', 'P15172')"
"('Q9UKV8', 'P47914')"
"('P56915', 'Q15797')"
"('P05026', 'P52943')"
"('P34931', 'P45984')"
"('P52597', 'Q9NWB1')"
"('O00505', 'P09429')"
"('P27635', 'P12931')"
"('O75508', 'O95484')"
"('P55769', 'Q15029')"
"('Q96RG2', 'Q6WKZ4')"
"('Q00005', 'P42285')"
"('Q13315', 'Q9NVI1')"
"('P43405', 'O14745')"
"('Q9H788', 'P43364')"
"('O14640', 'Q13153')"
"('P07437', 'Q15012')"
"('O00264', 'P39656')"
"('Q15797', 'O15021')"
"('Q9BPX5', 'Q92747')"
"('Q15276', 'O43747')"
"('Q9UHX1', 'Q9NP81')"
"('406982', 'Q14814')"
"('Q96GF1', 'Q96LR5')"
"('P60709', 'P60673')"
"('O75365', 'Q13257')"
"('Q8NCM8', 'Q9H4B7')"
"('Q99459', 'Q8NF50')"
"('P0CG48', 'Q9UBN7')"
"('P05067', 'P62937')"
"('Q13151', 'P51991')"
"('P68431', 'O95503')"
"('P13501', 'P49682')"
"('Q13885', 'P63104')"
"('Q9P0U4', 'Q6UXN9')"
"('Q8WVN8', 'Q8N5U6')"
"('Q09028', 'O43463')"
"('A0JLT2', 'Q96C00')"
"('Q14209', 'Q01094')"
"('P67809', '440264')"
"('P67870', 'Q15545')"
"('P02768', 'P13647')"
"('P01562', 'P48357')"
"('Q96ED9', 'Q9UBZ4')"
"('Q9HAV0', 'O60840')"
"('Q52LW3', 'Q7L0Q8')"
"('Q9UQ35', 'O15479')"
"('P62995', 'P51884')"
"('Q9UQM7', 'Q13554')"
"('Q96CV9', 'Q9Y3C5')"
"('O00267', 'Q13526')"
"('P63208', 'Q86WB0')"
"('Q08170', 'Q13247')"
"('O60333', 'Q15047')"
"('O00303', 'P04222')"
"('Q14584', 'O43597')"
"('Q8N335', 'P49716')"
"('Q13554', 'Q13936')"
"('P01106', 'Q8IYH5')"
"('Q8IV63', 'P67870')"
"('P07437', 'Q68CR1')"
"('P19438', 'Q06124')"
"('Q14209', 'Q7L590')"
"('Q7Z2G1', 'Q96DB2')"
"('P24298', 'P07384')"
"('P10636', 'P19174')"
"('P07437', 'P27348')"
"('P67775', 'P42229')"
"('Q9HC62', 'Q96SN8')"
"('406988', 'Q02156')"
"('Q14686', 'Q92731')"
"('P68104', 'Q99459')"
"('P60520', 'P29401')"
"('P60953', 'Q9GZM8')"
"('Q8WVD5', 'Q9HCE7')"
"('P10586', 'P29353')"
"('Q96FE5', 'P08138')"
"('P27361', 'Q12772')"
"('P52272', 'Q15365')"
"('Q9UBW7', 'P12757')"
"('P43364', 'Q8N720')"
"('Q8WUI4', 'Q16777')"
"('Q9BV86', 'Q9Y2L1')"
"('Q92831', 'Q96JK9')"
"('Q71SY5', 'P10276')"
"('Q8WXR4', 'P62993')"
"('Q92615', 'P78396')"
"('P01106', 'Q9C040')"
"('P07196', 'P05067')"
"('P01106', 'P36954')"
"('Q9UJX4', 'Q16659')"
"('Q9UKV8', 'P18124')"
"('P05231', 'P48551')"
"('Q8TDX7', 'Q9HC98')"
"('Q9UNP9', 'Q9HCS7')"
"('Q96HA1', 'Q8NFH3')"
"('P54253', 'Q96N03')"
"('P02768', 'O75419')"
"('P63104', 'Q04912')"
"('P19634', 'P49407')"
"('Q9NSC5', 'Q86XI6')"
"('P04350', 'O14576')"
"('P46940', 'Q2TAY7')"
"('Q9UHX1', 'Q9H171')"
"('Q15173', 'O60840')"
"('Q9UI10', 'Q9UL18')"
"('P10275', 'P11387')"
"('P63104', 'P25205')"
"('P00533', 'Q13393')"
"('P48551', 'P23458')"
"('Q13287', 'O75971')"
"('Q9Y4K3', 'P49321')"
"('Q9BZX2', 'Q15714')"
"('Q96EY1', 'P11142')"
"('O60880', 'Q9NQ25')"
"('Q969H4', 'P04156')"
"('P20073', 'P32456')"
"('O43374', 'P01116')"
"('P02649', 'P02768')"
"('Q8NGL6', 'P38405')"
"('Q9P1U1', 'P57088')"
"('P15498', 'P61978')"
"('Q8WUI4', 'O15379')"
"('Q15464', 'P46108')"
"('P25963', 'P62195')"
"('P10071', 'O75586')"
"('P04049', 'P67870')"
"('P04085', 'P35968')"
"('P06239', 'P25445')"
"('A0JLT2', 'Q96G25')"
"('O43791', 'O75367')"
"('P05386', 'P61313')"
"('Q96E14', 'O95985')"
"('Q14623', 'Q13635')"
"('Q00534', 'P54253')"
"('P18146', 'P33151')"
"('P47898', 'Q5JWF2')"
"('Q9UKX7', 'P12270')"
"('P17028', 'Q05516')"
"('Q13362', 'Q8IZS8')"
"('P05771', 'Q16659')"
"('Q8NGR8', 'P38405')"
"('Q9UQ16', 'Q96RU3')"
"('P05121', 'P04004')"
"('O15264', 'P00558')"
"('P01100', 'P29460')"
"('Q7L590', 'Q99459')"
"('Q6UXN9', 'Q9UBL3')"
"('Q8NG27', 'Q01082')"
"('Q9H469', 'Q96J02')"
"('P25942', 'P22087')"
"('O43791', 'Q13077')"
"('P35606', 'O00442')"
"('P41271', 'P46379')"
"('P61225', 'Q59EK9')"
"('Q92543', 'P28749')"
"('O15520', 'P09619')"
"('Q13546', 'Q3ZCQ8')"
"('P34969', 'P50151')"
"('Q96ST3', 'O00255')"
"('P11229', 'P38405')"
"('P27986', 'Q9NRJ4')"
"('Q13352', 'Q06323')"
"('P06241', 'Q9Y3P8')"
"('Q5SW24', 'P48730')"
"('Q9HD26', 'P08588')"
"('Q96BH1', 'P61077')"
"('P51817', 'Q9H0K1')"
"('Q92793', 'P01570')"
"('P40933', 'Q99062')"
"('Q14457', 'Q9Y4W6')"
"('Q9UET6', 'P07237')"
"('P07900', 'P19838')"
"('Q7Z5H3', 'Q07890')"
"('O60341', 'Q99250')"
"('P47872', 'P62158')"
"('Q99594', 'Q16635')"
"('Q13522', 'Q9Y243')"
"('Q02156', 'Q9GZQ8')"
"('P17252', 'O14807')"
"('P51790', 'Q9HD26')"
"('P49840', 'P61981')"
"('Q93009', 'Q53GL0')"
"('Q13233', 'P40939')"
"('P61421', 'P40616')"
"('P32121', 'Q96R67')"
"('P56704', 'O96014')"
"('P30154', 'Q5FBB7')"
"('Q9Y490', 'P17858')"
"('O75800', 'Q9H992')"
"('P13797', 'Q14164')"
"('Q13114', 'Q96F46')"
"('P51668', 'O75592')"
"('P09104', 'P16871')"
"('Q08117', 'Q04726')"
"('P57678', 'Q15714')"
"('P22415', 'P15407')"
"('P01138', 'P11362')"
"('Q13485', 'Q92985')"
"('P31751', 'P62136')"
"('P05556', 'P05162')"
"('P62854', 'P15880')"
"('P33076', 'O00287')"
"('Q9HCS7', 'Q5VU97')"
"('Q9HB71', 'P11171')"
"('P50454', 'P21926')"
"('P56282', 'Q9NRF9')"
"('Q8IX12', 'P98175')"
"('O95251', 'O14576')"
"('Q9H013', 'Q9H501')"
"('P25942', 'Q9Y4K3')"
"('Q8TBB1', 'Q53H80')"
"('P15880', 'P62701')"
"('Q9H875', 'P43364')"
"('Q13315', 'Q6PD62')"
"('P32121', 'Q8NGD1')"
"('P30260', 'P84022')"
"('P50591', 'P49716')"
"('P01857', 'P04264')"
"('Q13526', 'Q9NRR5')"
"('P01106', 'Q9BZR9')"
"('P11142', 'O14920')"
"('O14641', 'P49910')"
"('Q16663', 'P51684')"
"('Q92731', 'O43513')"
"('P10600', 'Q9BZS1')"
"('P43657', 'P16520')"
"('Q8NEZ4', 'Q9UBL3')"
"('Q13315', 'O14497')"
"('P15408', 'P35228')"
"('P62249', 'P62841')"
"('Q9NVC6', 'Q71F56')"
"('P00519', 'Q9UKY7')"
"('Q9Y2D5', 'P12931')"
"('O15455', 'P12931')"
"('P41235', 'P08709')"
"('P25942', 'P40937')"
"('Q9H361', 'P62324')"
"('P13807', 'P18146')"
"('Q149N8', 'Q9NS91')"
"('P32121', 'Q8NGK0')"
"('P19838', 'P98170')"
"('P05386', 'Q9Y3U8')"
"('Q9Y618', 'P0C7T5')"
"('P41182', 'P01111')"
"('P57739', 'O75508')"
"('P62633', 'Q09161')"
"('Q14289', 'P00533')"
"('P78362', 'Q8WYA6')"
"('Q9NYJ8', 'Q9UDY8')"
"('Q16659', 'Q9BQQ3')"
"('Q9Y478', 'Q9Y3U8')"
"('Q16690', 'O15264')"
"('Q14061', 'Q7L5N1')"
"('Q8IWW6', 'Q9HBH0')"
"('Q9HB75', 'O95967')"
"('P18564', 'P13612')"
"('P27816', 'Q96L34')"
"('O95793', 'P50914')"
"('O60508', 'Q15796')"
"('Q8WYQ5', '406955')"
"('Q96PY5', 'P60953')"
"('P13725', 'P15260')"
"('Q05397', 'P26012')"
"('Q13310', 'Q9UFF9')"
"('Q13191', 'P62736')"
"('P10415', 'O14727')"
"('Q99459', 'Q96DI7')"
"('P15153', 'Q8TEW0')"
"('Q9UM73', 'P20700')"
"('O96000', 'P03905')"
"('Q9UNN5', 'Q14790')"
"('O60925', 'Q9Y3C7')"
"('P30480', 'P63173')"
"('Q04771', 'Q969T4')"
"('P63000', 'P13498')"
"('Q92851', 'Q14790')"
"('P54257', 'O95295')"
"('Q05655', 'P04049')"
"('P62324', 'P10828')"
"('P02686', 'P20916')"
"('P16104', 'P31946')"
"('Q16537', 'Q8IZS8')"
"('P01106', 'Q15678')"
"('P19404', 'Q92993')"
"('P27348', 'Q02241')"
"('Q96EY7', 'Q14197')"
"('Q6DN90', 'O43187')"
"('Q9C040', 'Q96LR5')"
"('O14964', 'Q9BUH8')"
"('P62330', 'Q9BXR0')"
"('Q92540', 'Q96Q15')"
"('P67775', 'Q15645')"
"('P12004', 'P23508')"
"('Q9H6I2', 'P36402')"
"('P62873', 'P08754')"
"('Q96GM5', 'Q13137')"
"('Q9BZH6', 'Q9H0R8')"
"('P11234', 'Q96D71')"
"('Q15796', 'Q15329')"
"('O00501', 'C9JDP6')"
"('Q9UI09', 'O75438')"
"('P08708', 'P62857')"
"('P53675', 'P53680')"
"('Q9GZQ8', 'Q16513')"
"('P07998', 'P13489')"
"('Q13217', 'P11142')"
"('Q86UE4', 'Q9NX58')"
"('Q9Y478', 'O75385')"
"('P28482', 'Q14192')"
"('Q01094', 'P55345')"
"('Q15025', 'Q9Y6K9')"
"('Q9H4D5', 'P78406')"
"('P62304', 'Q969L4')"
"('P30480', 'Q9H0U4')"
"('P49720', 'Q9Y4K3')"
"('P61224', 'P20701')"
"('Q13233', 'Q9UPT6')"
"('Q9NRD5', 'Q16595')"
"('P61586', 'P30480')"
"('P35579', 'Q9H1I8')"
"('Q15750', 'P27361')"
"('P08670', 'O00151')"
"('P48736', 'O14939')"
"('Q15019', 'P40337')"
"('Q8TDN6', 'P49841')"
"('Q14197', 'Q9Y4W6')"
"('P00519', 'P14317')"
"('P53621', 'P49286')"
"('Q01130', 'Q13151')"
"('Q9UM11', 'Q99618')"
"('Q969F0', 'Q96D59')"
"('P24941', 'P26038')"
"('P55197', 'Q9GZM8')"
"('Q13547', 'Q86X95')"
"('P63220', 'P01889')"
"('P21796', 'Q14197')"
"('Q9NRJ3', 'P51685')"
"('P27348', 'Q12905')"
"('O43741', 'O00253')"
"('P29474', 'P20020')"
"('Q14164', 'P15311')"
"('Q96SN8', 'P07196')"
"('Q9Y3C5', 'O75800')"
"('P19634', 'P15311')"
"('Q13535', 'O14639')"
"('Q13315', 'P17600')"
"('Q9NY59', 'Q14194')"
"('P11172', 'P49662')"
"('O00341', 'Q13424')"
"('P01562', 'Q9UHF4')"
"('P49841', 'Q7L266')"
"('P04003', 'P20851')"
"('P18621', 'Q92901')"
"('P63208', 'P02511')"
"('O00267', 'Q58WW2')"
"('Q9H2X0', 'Q8IUH5')"
"('Q04206', 'P01589')"
"('Q13616', 'Q969U6')"
"('P50281', 'Q9H8Y8')"
"('P63167', 'P78352')"
"('P78527', 'O95409')"
"('Q9Y5M8', 'Q9HAW0')"
"('Q9UQE7', 'P01106')"
"('P15311', 'O00141')"
"('P78549', 'Q9Y623')"
"('P24385', 'Q5XUX0')"
"('Q9Y6K9', 'Q16531')"
"('P05067', 'Q13813')"
"('Q8IVD9', 'Q6PID8')"
"('P08575', 'Q92854')"
"('P16401', 'Q13185')"
"('P14416', 'Q00005')"
"('Q15365', 'P16050')"
"('P63104', 'P31749')"
"('P78406', 'Q9NRG9')"
"('O15455', 'Q99519')"
"('Q05397', 'P48736')"
"('P63000', 'P40763')"
"('P84022', 'P04150')"
"('407040', 'P04628')"
"('P98160', 'P55001')"
"('P25398', 'P62851')"
"('O00311', 'P42771')"
"('P05783', 'P04049')"
"('Q12906', 'Q15427')"
"('O14757', 'Q9HB96')"
"('Q9H1Y0', 'Q15843')"
"('P62837', 'Q12986')"
"('P50281', 'P16070')"
"('Q5VVJ2', 'Q92831')"
"('Q15041', 'P51116')"
"('Q9BUQ8', 'Q6P2Q9')"
"('Q9Y3C7', 'Q99832')"
"('Q9NPH0', 'P48059')"
"('Q04759', 'P60709')"
"('P20333', 'P04406')"
"('Q15306', 'P01584')"
"('Q9NPF7', 'Q01344')"
"('Q92997', 'P42338')"
"('P84022', 'Q92963')"
"('Q9UBI6', 'Q01970')"
"('P22392', 'P04844')"
"('P16220', '407047')"
"('O60315', 'Q13461')"
"('Q9H0B3', 'P27482')"
"('P28472', 'P60520')"
"('P06241', 'P09619')"
"('P84098', 'P62917')"
"('P61106', 'Q9H1K0')"
"('Q15047', 'O60333')"
"('Q9BVJ6', 'Q13625')"
"('Q9NR80', 'Q14397')"
"('Q13315', 'P57740')"
"('Q13485', 'Q8WUD1')"
"('Q9UNN5', 'P04083')"
"('Q9Y2S7', 'O15530')"
"('P29466', 'Q16666')"
"('P62136', 'Q13454')"
"('P62847', 'P39019')"
"('Q70YC4', 'Q9NRI5')"
"('P05015', 'P31785')"
"('Q9UJ04', 'Q9NYQ7')"
"('Q15788', 'Q9ULH1')"
"('Q9Y266', 'P62330')"
"('P08047', 'Q8NCS7')"
"('P60484', 'P03950')"
"('Q96A08', 'Q6UXN9')"
"('O15503', 'P04035')"
"('Q9BY43', 'Q9UN37')"
"('O75015', 'P59901')"
"('P07585', 'P14555')"
"('P60900', 'P35609')"
"('Q9NR97', 'Q9NYK1')"
"('Q9NVI1', 'P0CG47')"
"('Q99459', 'Q9P2I0')"
"('Q9BQ67', 'Q9H7D7')"
"('P49888', 'Q7L5N1')"
"('Q9NPI6', 'Q13485')"
"('P49841', 'P63104')"
"('Q13416', 'P78527')"
"('O75376', 'O14646')"
"('Q6WKZ4', 'Q9H4M9')"
"('P01889', '343477')"
"('P62829', 'P50914')"
"('Q00987', 'P04637')"
"('Q8TDV5', 'Q5JWF2')"
"('Q96HA1', 'Q9UKX7')"
"('Q9BX63', 'Q15078')"
"('Q9C040', 'Q5UE93')"
"('P38398', 'P53803')"
"('Q9UNM6', 'Q13573')"
"('Q6ZYL4', 'Q13889')"
"('Q15366', 'Q13151')"
"('Q6WCQ1', 'Q9GZR1')"
"('O75015', 'P20963')"
"('P08648', 'P18146')"
"('O95405', 'P08100')"
"('P20749', 'P20226')"
"('Q9HC62', 'Q9NQB0')"
"('O43182', 'P61586')"
"('Q01955', 'P17301')"
"('Q9Y3B7', 'Q14197')"
"('P27448', 'P0CG48')"
"('P28328', 'Q9UKR5')"
"('Q8NFX7', 'Q12846')"
"('P61981', 'Q9UKV3')"
"('P18074', 'Q13216')"
"('Q8WXG1', 'O75626')"
"('Q99700', 'Q5VTD9')"
"('O95793', 'P05388')"
"('Q15910', 'Q14181')"
"('Q9UKT5', 'P12980')"
"('Q14790', 'Q9H3D4')"
"('Q15024', 'Q9Y2L1')"
"('P00451', 'P00734')"
"('O60814', 'P16104')"
"('Q9UL68', 'Q9NRI5')"
"('Q00535', 'P11234')"
"('Q9Y5J5', 'Q9H223')"
"('P12273', 'P01730')"
"('Q8IZH2', 'O75886')"
"('Q13243', 'Q08170')"
"('Q14197', 'Q9BYN8')"
"('P18206', 'P60709')"
"('Q8IV63', 'Q02413')"
"('P01106', 'P25205')"
"('O60216', 'Q9NRI5')"
"('P23246', 'P43243')"
"('Q6IEY1', 'P38405')"
"('O43815', 'P30153')"
"('Q8TEW0', 'Q15796')"
"('O95167', 'P03905')"
"('Q13535', 'Q96R06')"
"('P05067', 'Q02410')"
"('Q9NS73', 'Q96ES7')"
"('Q96EP1', 'Q9Y2X8')"
"('P04628', 'Q6UXX9')"
"('P55884', 'P35609')"
"('P63104', 'Q13310')"
"('P12236', 'P20333')"
"('407019', 'P37231')"
"('Q96AE4', 'Q04724')"
"('Q9NR50', 'Q9UI10')"
"('P40337', 'P43487')"
"('Q9BWH2', 'P56537')"
"('P05129', 'P63261')"
"('Q9H9S4', 'O43741')"
"('P40189', 'P42702')"
"('P62993', 'P26196')"
"('Q5VSL9', 'Q8IWZ3')"
"('O95967', 'O60381')"
"('P51610', 'O60814')"
"('Q9Y5W3', 'P18146')"
"('Q9Y3M8', 'O00212')"
"('Q00610', 'Q9Y572')"
"('P62993', 'P14784')"
"('Q9H0E3', 'Q9Y4A5')"
"('P60510', 'P78371')"
"('P04632', 'P20810')"
"('Q08999', 'Q15329')"
"('Q5VTD9', 'Q12805')"
"('Q14201', 'Q96DU9')"
"('O75716', 'P02686')"
"('Q8WVC0', 'P04406')"
"('Q14164', 'Q9NTJ3')"
"('P46459', 'O75396')"
"('Q70SY1', 'Q9UDV6')"
"('P11177', 'Q9HAW0')"
"('P10644', 'Q9H6R7')"
"('Q8WXF1', 'O75554')"
"('O96014', 'Q9H461')"
"('Q13200', 'Q9UMX0')"
"('P02768', 'Q92736')"
"('P78559', 'O00305')"
"('P48730', 'Q9NYF0')"
"('Q9UBI6', 'P25116')"
"('O15533', 'Q03519')"
"('P31483', 'P24522')"
"('Q05209', 'Q9Y4C8')"
"('P21580', 'Q9Y3C5')"
"('Q96HA1', 'Q15654')"
"('O95433', 'P56537')"
"('Q5UIP0', 'Q9NZL4')"
"('Q8IY92', 'P67870')"
"('O75508', 'P57739')"
"('Q58WW2', 'O00267')"
"('P63104', 'Q09666')"
"('Q92841', 'P26651')"
"('P23528', 'Q13393')"
"('Q96QV6', 'P62875')"
"('P78509', 'P16144')"
"('P78381', 'O15162')"
"('Q92925', 'Q86U86')"
"('P63316', 'P45379')"
"('Q16665', 'Q13330')"
"('Q9UHD9', 'Q9Y3C5')"
"('Q9Y6K9', 'P25445')"
"('Q96EY1', 'Q15653')"
"('P60880', 'Q86SS6')"
"('Q05086', 'Q9Y242')"
"('Q9Y2A0', 'P04637')"
"('P01106', 'P37108')"
"('P13987', 'P52735')"
"('O95486', 'Q9NQW1')"
"('Q01780', 'Q96AT9')"
"('Q93074', 'Q71F56')"
"('Q5RL73', 'O15525')"
"('O43482', 'P04049')"
"('O14949', '145781')"
"('Q8IZL8', 'P26368')"
"('P29692', 'Q9Y478')"
"('P29350', 'P19022')"
"('O75369', 'P19174')"
"('P11802', 'P16989')"
"('P18564', 'P28482')"
"('P14598', 'Q9NWZ3')"
"('Q9UL18', 'P35232')"
"('Q14164', 'Q99598')"
"('O43663', 'Q15834')"
"('P46777', 'P62987')"
"('P22612', 'P18846')"
"('Q9NYJ8', 'P58753')"
"('Q01196', 'Q13951')"
"('Q9UH73', 'P41182')"
"('Q5UIP0', 'Q16637')"
"('Q9UQF2', 'P04626')"
"('Q14201', 'Q01094')"
"('Q15365', 'Q15714')"
"('P22612', 'O00168')"
"('Q9UJX2', 'P35251')"
"('Q14240', 'Q9UBQ5')"
"('Q92785', 'Q01201')"
"('P21246', 'O00193')"
"('Q9UJX6', 'Q9H1A4')"
"('O75909', 'O60858')"
"('P22392', 'P31948')"
"('P62701', 'O95819')"
"('Q9GZP0', 'P08069')"
"('Q13485', 'O75995')"
"('P02743', 'Q14469')"
"('Q9UKR5', 'Q9BX70')"
"('P08172', 'P62879')"
"('Q04206', 'Q8IV45')"
"('P84090', 'O60739')"
"('P56715', 'P25791')"
"('Q16659', 'Q9NQX6')"
"('Q15233', 'Q13573')"
"('O75830', 'O60381')"
"('P05109', 'Q5UIP0')"
"('P18054', 'P14555')"
"('P26641', 'O43261')"
"('Q92796', 'Q13617')"
"('P29350', 'Q13547')"
"('Q96EP0', 'Q13077')"
"('O75367', 'Q13547')"
"('O75444', 'P22301')"
"('Q13636', 'Q01968')"
"('P05230', 'P08581')"
"('O00459', 'P01111')"
"('Q96QV6', 'Q13547')"
"('P43628', 'P30480')"
"('P42771', 'P45983')"
"('P10124', 'P16070')"
"('Q9Y3B4', 'Q13573')"
"('Q15291', 'O14686')"
"('Q9C0J8', 'Q9UKY1')"
"('P51668', 'Q9H0F5')"
"('P47804', 'Q96EK5')"
"('O76064', 'Q14676')"
"('O60671', 'Q9H492')"
"('Q9NPB6', 'P36897')"
"('P55854', 'P23497')"
"('P08237', 'P17858')"
"('Q14061', 'P02775')"
"('406991', 'P60484')"
"('P35573', 'P18146')"
"('Q9UMN6', 'P46108')"
"('Q13616', 'P62877')"
"('O95819', 'O43318')"
"('Q14289', 'P02749')"
"('Q9H0B6', 'P38432')"
"('P04183', 'Q9Y605')"
"('Q14457', 'O60861')"
"('P18510', 'P04150')"
"('Q15796', 'Q13464')"
"('Q96LA8', 'O75925')"
"('Q8NBJ4', 'Q9Y6H6')"
"('Q8N8D1', 'P54257')"
"('P60709', 'P35268')"
"('Q9NWB1', 'Q9BRK4')"
"('P19235', 'Q12913')"
"('Q13007', 'P26992')"
"('P49841', 'P41236')"
"('Q9Y6A5', 'P49454')"
"('Q14653', 'P01569')"
"('Q9HAZ1', 'P18146')"
"('Q00987', 'P04150')"
"('P62070', 'Q12967')"
"('O75444', 'P16220')"
"('P19387', 'Q6P2C8')"
"('P12004', 'Q9UNA4')"
"('P01857', 'P01700')"
"('P61158', 'P61160')"
"('P13639', 'P04637')"
"('O14576', 'P47736')"
"('Q8NHQ1', 'P50454')"
"('P36578', 'P61927')"
"('P06400', 'P45973')"
"('P46734', 'Q16512')"
"('Q92905', 'P50406')"
"('P22681', 'P63104')"
"('Q00975', 'Q02410')"
"('P62987', 'Q13155')"
"('P30050', 'P62987')"
"('Q03014', 'Q02763')"
"('P42771', 'P61956')"
"('Q9H7E9', 'Q16891')"
"('O00182', 'P20701')"
"('P58876', 'O15265')"
"('P20333', 'P51571')"
"('P16520', 'Q8TCU6')"
"('Q9UPR0', 'P62136')"
"('P07737', 'Q9UKR5')"
"('P13232', 'P52333')"
"('P01106', 'P07858')"
"('P02776', 'P51685')"
"('P16144', 'P17931')"
"('P98164', 'Q9UQF2')"
"('Q14344', 'P37288')"
"('Q15843', 'P61981')"
"('O14512', 'P15260')"
"('Q9NY61', 'P08047')"
"('P35609', 'Q5TCQ9')"
"('Q14653', 'Q8NEV9')"
"('P0CG48', 'O00308')"
"('Q07817', 'P45983')"
"('P02768', 'Q13009')"
"('P42568', 'P21246')"
"('Q9Y4K3', 'P10242')"
"('P40933', 'Q9HC73')"
"('Q12873', 'P49841')"
"('P62258', 'A6NER0')"
"('P21579', 'Q9BT78')"
"('Q9Y6K9', 'P21580')"
"('Q15758', 'P49716')"
"('O75899', 'P63096')"
"('P04637', 'P62987')"
"('Q15366', 'Q00839')"
"('P51532', 'Q86U86')"
"('Q86WB0', 'P63208')"
"('Q16643', 'O43809')"
"('P48740', 'P0C0L5')"
"('P35626', 'Q8NGD1')"
"('O14641', 'Q96BN8')"
"('Q9NSE2', 'P04626')"
"('Q15654', 'P12931')"
"('Q13232', 'P22392')"
"('P31947', 'O15056')"
"('Q9HCK4', 'O43295')"
"('P12004', 'P43246')"
"('P62136', 'P54840')"
"('P10721', 'Q14451')"
"('P13569', 'P78527')"
"('P14867', 'Q9H0R8')"
"('Q9NVV9', 'Q86SE5')"
"('Q9ULG1', 'Q6PI98')"
"('O95714', 'O76064')"
"('Q14106', 'Q4VXU2')"
"('Q9H254', 'Q9UK32')"
"('Q99731', 'P52630')"
"('P84103', 'Q9UBU9')"
"('Q7Z6L1', 'Q9Y2L5')"
"('P08172', 'O14775')"
"('Q9Y6K9', 'P33176')"
"('Q9NWV8', 'Q6UWZ7')"
"('P30304', 'Q00535')"
"('P29992', 'Q01970')"
"('P62750', 'P18621')"
"('Q8IVM0', 'P62979')"
"('Q9P0W0', 'Q5VWK5')"
"('O60814', 'P0C5Z0')"
"('Q8N5S9', 'Q16566')"
"('P12931', 'Q05513')"
"('Q9Y605', 'Q92831')"
"('O75717', 'P35222')"
"('Q8IWZ8', 'Q16629')"
"('P35228', 'O75376')"
"('Q9H8Y8', 'P37198')"
"('O43405', 'P02458')"
"('Q96BY7', 'Q2TAZ0')"
"('P98164', 'P11684')"
"('P62993', 'P48357')"
"('P61201', 'P10276')"
"('P08195', 'Q99623')"
