negatives
"('Q6WCQ1', 'Q01082')"
"('P61981', 'P48730')"
"('O60583', 'P06400')"
"('Q9H3P2', 'Q8IXH7')"
"('P62979', 'P62851')"
"('P04731', 'P04637')"
"('Q9HBL7', 'P21673')"
"('P62487', 'P36954')"
"('P06753', 'Q9Y2R2')"
"('Q9UQC9', 'P16144')"
"('P16220', 'Q9Y4K1')"
"('Q13315', 'Q5H9F3')"
"('P63104', 'O75533')"
"('P46527', 'P38936')"
"('P46934', 'P16234')"
"('Q99759', 'P46940')"
"('406949', 'O95980')"
"('Q9UL45', 'Q8IYI6')"
"('P08172', 'P48736')"
"('P58012', 'O00482')"
"('Q04771', 'Q13485')"
"('Q8IY92', 'Q9GZZ9')"
"('P22612', 'Q08828')"
"('P49841', 'Q96G01')"
"('Q01094', 'P99999')"
"('P49407', 'P46734')"
"('Q9UL45', 'Q96BD8')"
"('Q96KG7', 'Q8TCU4')"
"('P29317', 'P00519')"
"('O60602', 'O00206')"
"('Q05655', 'O14641')"
"('Q9BPY3', 'Q9P2H0')"
"('P59768', 'P35498')"
"('Q92831', 'O15516')"
"('P07910', 'P31943')"
"('Q15102', 'Q9C0C9')"
"('Q9Y6K1', 'O75530')"
"('Q9Y478', 'Q04941')"
"('P45983', 'Q02962')"
"('P31943', 'Q9BUJ2')"
"('P15498', 'Q13191')"
"('P62913', 'Q96LD8')"
"('Q9UKV8', 'P53621')"
"('P0C0S8', 'P63104')"
"('P03372', 'P11142')"
"('P26196', 'O94817')"
"('Q9UBW7', 'Q8TAD8')"
"('O75379', 'P61266')"
"('P62993', 'O00401')"
"('Q01449', 'P60660')"
"('P00519', 'P27986')"
"('P62487', 'P62875')"
"('Q96BI3', 'P49810')"
"('P61158', 'O60739')"
"('P54725', 'P55036')"
"('Q9Y250', 'Q9Y535')"
"('P25963', 'P63261')"
"('P08572', 'Q13797')"
"('P27694', 'P20073')"
"('Q5T3J3', 'Q8IX03')"
"('P13807', 'O15488')"
"('P04637', 'O94907')"
"('P20226', 'P52655')"
"('P62913', 'P61254')"
"('P84022', 'P35222')"
"('Q13418', 'P20618')"
"('P20827', 'P29322')"
"('O14974', 'Q14005')"
"('P01106', 'Q92947')"
"('Q9NR96', 'P09429')"
"('Q9UQC2', 'O75791')"
"('P49336', 'P18146')"
"('P57678', 'P09382')"
"('P03897', 'Q9NX14')"
"('P61978', 'P41240')"
"('P47813', 'O60739')"
"('Q9H2X0', 'P43026')"
"('P36888', 'O94804')"
"('P62993', 'P22626')"
"('Q00610', 'O43318')"
"('Q13547', 'P37231')"
"('Q9UNX3', 'P61927')"
"('Q15047', 'Q9NRN5')"
"('Q5HYK7', 'P60953')"
"('Q9GZQ8', 'Q14185')"
"('O75365', 'Q6P996')"
"('Q9BRX2', 'Q99459')"
"('Q96BK5', 'Q15185')"
"('P22392', 'Q12972')"
"('Q13554', 'P10828')"
"('Q9P0L0', 'Q96TC7')"
"('Q9UKT9', 'P01112')"
"('Q13616', 'Q9UKT8')"
"('Q14416', 'Q9UBI6')"
"('O43541', 'O75582')"
