negatives
"('P04114', 'P98164')"
"('Q8NHB7', 'P38405')"
"('Q8NHQ1', 'Q9H9J2')"
"('P17535', 'O00255')"
"('Q9NZL4', 'Q5T3J3')"
"('Q96P48', 'O15145')"
"('Q86VP1', 'Q96J02')"
"('O15379', 'P16104')"
"('O00487', 'Q92905')"
"('Q16637', 'Q6P4I2')"
"('P53778', 'P15408')"
"('P01106', 'Q8N6R0')"
"('Q5T3J3', 'Q9NZL4')"
"('P55795', 'P98175')"
"('Q12824', 'Q01831')"
"('Q9NSB4', 'P78545')"
"('P40855', 'O75192')"
"('P62081', 'P62241')"
"('Q8WWL7', 'P06493')"
"('P16144', 'P84022')"
"('P35080', 'P11171')"
"('O95049', 'C9JDP6')"
"('P07332', 'O75051')"
"('O94993', 'O95989')"
"('P35268', 'Q96BK5')"
"('O95218', 'Q02040')"
"('P00533', 'O95630')"
"('O15525', 'Q16665')"
"('Q01804', 'Q96JB5')"
"('P35244', 'Q9Y6F1')"
"('O95602', '100008589')"
"('P10275', 'P12956')"
"('Q99459', 'P62191')"
"('P40763', 'P51617')"
"('Q14164', 'P16152')"
"('P35998', 'P0CAP1')"
"('Q92620', 'Q13242')"
"('P52756', 'O95777')"
"('P00533', 'O00443')"
"('P00533', 'Q9NP31')"
"('Q99928', 'Q9H0R8')"
"('P14373', 'Q05516')"
"('P67870', 'P26367')"
"('Q16619', 'Q14627')"
"('P43146', 'P62847')"
"('Q9HBW0', 'P50150')"
"('O60343', 'Q6N021')"
"('Q13233', 'Q9Y230')"
"('Q96C23', 'Q8IX04')"
"('Q9NR12', 'P05771')"
"('Q9BZL6', 'O76003')"
"('P21246', 'P23467')"
"('P68036', 'Q8N9I9')"
"('O60880', 'Q15052')"
"('Q9BWF3', 'P78396')"
"('Q96S38', 'P30048')"
"('Q9HAU4', 'P30084')"
"('Q05655', 'P40763')"
"('P51149', 'P23508')"
"('O43301', 'Q99459')"
"('P00519', 'O75751')"
"('Q6UY14', 'O43597')"
"('Q9NQ66', 'Q02156')"
"('Q9NWB7', 'Q9Y2Q3')"
"('Q9BXI2', 'O43913')"
"('Q13885', 'Q9Y6G9')"
"('Q92843', 'Q9BXH1')"
"('P67870', 'P01106')"
"('P20809', 'P16871')"
"('Q9Y4K3', 'P45985')"
"('Q96BK5', 'P10599')"
"('P35221', 'P19022')"
"('Q9UBS5', 'O75899')"
"('Q7Z7C8', 'Q9H204')"
"('Q9H9G7', 'P49368')"
"('P62917', 'P35268')"
"('Q96FW1', 'Q9P2G9')"
"('P58012', 'P11511')"
"('P12236', 'P05060')"
"('O14777', 'Q8N6Y0')"
"('P47755', 'Q6IBS0')"
"('P42771', 'P53779')"
"('Q6QNY0', 'Q8TDH9')"
"('Q8NBJ4', 'P63244')"
"('Q9NRR5', 'Q09013')"
"('Q03014', 'P23771')"
"('P50148', 'P01112')"
"('P19338', 'Q86UQ8')"
"('Q15109', 'P04271')"
"('O75554', 'Q14444')"
"('P24723', 'P24941')"
"('P62266', 'P60866')"
"('P08670', 'Q15714')"
"('P61981', 'Q96GE4')"
"('406906', 'P56856')"
"('Q96BI3', 'Q04721')"
"('Q15796', 'Q9NRA8')"
"('P00519', 'P29353')"
"('P12980', 'O15013')"
"('Q13557', 'Q15796')"
"('Q92997', 'Q96L94')"
"('O43242', 'P48556')"
"('P01106', 'Q9UQ80')"
"('O60216', 'O43918')"
"('O60880', 'P21860')"
"('Q10586', 'Q15393')"
"('P01574', 'Q99665')"
"('P19338', 'P60709')"
"('Q15233', 'P35222')"
"('P27635', 'P61254')"
"('O43353', 'Q9H257')"
"('P46108', 'O15085')"
"('Q9HC96', 'Q9H1Y0')"
"('P05387', 'P61513')"
"('Q99616', 'P31942')"
"('Q9NP95', 'Q07890')"
"('P30480', 'P23921')"
"('Q15942', 'P50552')"
"('P36873', 'P49841')"
"('O43257', 'O96019')"
"('O75578', 'P35609')"
"('P40429', 'P05386')"
"('O75084', 'Q92997')"
"('Q9BZE1', 'P04183')"
"('Q8NHZ7', 'Q9UBB5')"
"('Q15286', 'Q9UM73')"
"('P0CL85', 'P12980')"
"('Q96T58', 'Q9Y618')"
"('P35250', 'P35249')"
"('Q6FHJ7', 'Q9ULV1')"
"('Q13501', 'Q15796')"
"('Q9BVJ6', 'P08670')"
"('P0C0S5', 'P06899')"
"('P25940', 'Q9UKX5')"
"('P61964', 'Q96ES7')"
"('Q9Y3P9', 'Q9NRI5')"
"('P53778', 'O43524')"
"('Q9Y675', 'Q9P2D0')"
"('Q9Y4K3', 'Q15303')"
"('O15169', 'P49674')"
"('O75461', 'P99999')"
"('Q92574', 'P07196')"
"('Q02535', 'P23409')"
"('Q9UHD2', 'P01375')"
"('P49591', 'Q8IXJ6')"
"('O76054', 'Q08211')"
"('Q9BVA1', 'O14920')"
"('P43487', 'P11171')"
"('Q05639', 'Q9Y6K9')"
"('O14836', 'O00463')"
"('P10644', 'Q14432')"
"('Q13363', 'A7XYQ1')"
"('Q96A26', 'Q14164')"
"('Q9BU61', 'Q14197')"
"('P63215', 'P48051')"
"('P24941', 'P30281')"
"('Q00653', 'P19838')"
"('O15371', 'Q15788')"
"('O75367', 'P33778')"
"('P60510', 'P78318')"
"('P43487', 'P01889')"
"('Q05516', 'P13686')"
"('Q00653', 'O00221')"
"('Q9H8S9', 'P29372')"
"('O60641', 'P12980')"
"('O95257', 'Q8TAE8')"
"('Q7L804', 'P62491')"
"('Q13418', 'Q8NAF0')"
"('P03886', 'P03901')"
"('P00533', 'P38646')"
"('Q96DG6', 'Q9NRG4')"
"('Q9Y572', 'P29692')"
"('O75376', 'O60907')"
"('P25788', 'O43175')"
"('Q92793', 'P42226')"
