negatives
"('P50150', 'Q96PN6')"
"('P46821', 'P04637')"
"('P52272', 'Q15714')"
"('O60733', 'P36956')"
"('Q9Y3C5', 'Q7Z3T8')"
"('Q9NTJ3', 'Q99459')"
"('Q15052', 'O60880')"
"('O95067', 'P28340')"
"('Q9Y6K5', 'Q9BVP2')"
"('O75398', 'P38936')"
"('Q6PI73', 'P43405')"
"('P19320', 'P19878')"
"('P10644', 'Q9Y6D5')"
"('P47712', 'P08670')"
"('Q16659', 'P18847')"
"('P11362', 'P62993')"
"('P05787', 'Q07889')"
"('Q9UBI6', 'P43657')"
"('Q99750', 'Q9P2K9')"
"('Q06190', 'P67775')"
"('P63104', 'P35749')"
"('P62166', 'Q9UBF8')"
"('Q13277', 'P60880')"
"('Q9Y2T4', 'P51617')"
"('Q16625', 'O75508')"
"('P32121', 'Q8NGQ3')"
"('P67870', 'O75676')"
"('P27986', 'P08134')"
"('O75815', 'P23526')"
"('P40855', 'O00623')"
"('P55072', 'P01889')"
"('Q9H993', 'Q14164')"
"('P26368', 'Q92841')"
"('P01112', 'Q7Z569')"
"('O95139', 'O43677')"
"('O15530', 'Q13485')"
"('P01106', 'Q13155')"
"('Q99743', 'O15534')"
"('Q6IA17', 'O00206')"
"('Q99731', 'P32248')"
"('P54259', 'P98175')"
"('Q9UQF2', 'O43318')"
"('P62136', 'P46020')"
"('Q8TF46', 'Q96B26')"
"('Q9BRX2', 'Q9NVI1')"
"('Q9P0J0', 'P51970')"
"('P29590', 'Q15583')"
"('P61927', 'P26373')"
"('Q9H8T0', 'Q96A84')"
"('Q9UNM6', 'O43242')"
"('O75352', 'O95714')"
"('P31040', 'P30480')"
"('O15479', 'Q9UJX6')"
"('O76095', 'Q16763')"
"('Q9UM19', 'Q05086')"
"('O75530', 'Q92769')"
"('P18206', 'P04406')"
"('Q96Q15', 'P38919')"
"('P62979', 'P11142')"
"('P84022', 'P61244')"
"('P16619', 'P32248')"
"('Q14232', 'Q13144')"
"('Q5VU43', 'P01116')"
"('O94782', 'Q8TAF3')"
"('Q9Y244', 'P62993')"
"('P00403', 'P30480')"
"('P20073', 'P02675')"
"('P07900', 'P61247')"
"('P83881', 'P62987')"
"('Q13813', 'O15287')"
"('P11362', 'P21860')"
"('P02775', 'P02768')"
"('P83876', 'Q15029')"
"('Q13315', 'Q96JM2')"
"('P32239', 'P50148')"
"('P31152', 'P01225')"
"('P68133', 'Q9Y265')"
"('Q15691', 'P23508')"
"('Q13045', 'Q5VZ03')"
"('Q9NSU2', 'P43246')"
"('Q9Y478', 'P15170')"
"('P62805', 'Q6NXT2')"
"('P31947', 'Q6R327')"
"('P40222', 'Q9Y6K9')"
"('Q8IYB3', 'Q13247')"
"('P62906', 'P43146')"
"('P31371', 'P22607')"
"('Q8TE04', 'P63104')"
"('Q96BA8', 'O43889')"
"('P62979', 'Q86WV6')"
"('Q9UKE5', 'Q9Y266')"
"('P25205', 'Q14566')"
"('P32248', 'P32121')"
"('P08670', 'Q9P0W2')"
"('Q9NWZ3', 'O00206')"
"('P18146', 'Q00987')"
"('P51617', 'Q9HAT8')"
"('P52735', 'O14513')"
"('Q13573', 'Q8NB90')"
"('O95997', 'P13010')"
"('Q8IWV7', 'P36405')"
"('Q9ULR0', 'Q14562')"
"('P10301', 'P00540')"
"('P49768', 'O75369')"
"('P40429', 'P62829')"
"('P62070', 'P04049')"
"('Q9HAC8', 'Q9HCM9')"
"('Q13952', 'Q6AI39')"
"('P0CG48', 'Q92547')"
"('P08621', 'Q96EY1')"
"('Q96Q15', 'Q9H1J1')"
"('O43504', 'P47224')"
"('P10275', 'P20815')"
"('Q00987', 'P55000')"
"('Q13315', 'O75116')"
"('P36897', 'Q9BXA7')"
"('Q9NPQ8', 'Q9NRR5')"
"('P12830', 'O60315')"
"('Q14790', 'Q86UA6')"
"('Q969Q6', 'Q02641')"
"('C9JDP6', 'O15551')"
"('P51532', 'Q16666')"
"('O75925', 'Q15843')"
"('P15924', 'Q9Y6E0')"
"('P28482', 'P15923')"
"('P04234', 'P42338')"
"('Q00839', 'Q13151')"
"('P38936', 'P04406')"
"('P04179', 'Q7L5D6')"
"('O94979', 'Q9Y6B6')"
"('P20333', 'Q9NRQ2')"
"('O15198', 'Q5T5Y3')"
"('P25445', 'P51813')"
"('P19525', 'P63000')"
"('P49715', 'P11473')"
"('P05814', 'P60953')"
"('P03901', 'O95182')"
"('P01100', 'P05231')"
"('Q9UJT2', 'P00519')"
"('Q8TC92', 'Q13352')"
"('Q7Z5J4', 'Q13387')"
"('P19086', 'Q68DD2')"
"('Q6VMQ6', 'Q9H4L4')"
"('407046', 'P56817')"
"('100302187', 'P42684')"
"('Q9P0M6', 'Q9BY41')"
"('Q02779', 'P28482')"
"('Q05084', 'Q14525')"
"('P48729', 'P09429')"
"('Q14999', 'P55157')"
"('Q9ULV8', 'Q13651')"
"('Q13616', 'Q86WB0')"
"('Q8N5Z5', 'Q6NW29')"
"('P50395', 'P61019')"
"('P43686', 'Q9Y478')"
"('Q13639', 'P38405')"
"('Q96S82', 'P0CG48')"
"('O75365', 'P49356')"
"('Q9HBE4', 'P17535')"
"('Q96EZ8', 'Q9NPJ6')"
"('Q9Y6B2', 'P14373')"
"('Q8NCR3', 'P63165')"
"('Q92831', 'P10828')"
"('P22681', 'P62316')"
"('Q9H492', 'P17252')"
"('P29372', 'P25787')"
"('P56705', 'Q13467')"
"('O95639', 'P06748')"
"('O95166', 'O75385')"
"('Q9NYG5', 'Q9UJX3')"
"('P10912', 'P46108')"
"('P15622', 'P36406')"
"('O00626', 'P27487')"
"('P35579', 'Q9Y6K9')"
"('Q9BVC4', 'Q6MZQ0')"
"('Q6IE81', 'P33991')"
"('Q8HWS3', 'O75909')"
"('Q9Y2U8', 'Q15797')"
"('P04222', 'P09960')"
"('Q8IX12', 'P26368')"
"('Q8N5W9', 'Q96I34')"
"('Q99677', 'Q9P2W3')"
"('P84022', 'Q99466')"
"('Q9Y5J5', 'Q6P996')"
"('P01889', 'Q9BXJ9')"
"('P04156', 'P10415')"
"('P08238', 'P17987')"
"('P19793', 'Q15650')"
"('P62829', 'P63173')"
"('P48039', 'Q9UK08')"
"('P05106', 'Q9Y490')"
"('Q13418', 'Q13573')"
"('P21579', 'Q8WXE9')"
"('Q04724', 'Q96AE4')"
"('Q96DH6', 'Q96DU9')"
"('Q7KZI7', 'P61981')"
"('P20936', 'Q07666')"
"('Q13972', 'P10301')"
"('Q13976', 'P13637')"
"('P26038', 'P30480')"
"('Q8TAI7', 'Q04771')"
"('P10914', 'Q9NYQ7')"
"('P07550', 'P13473')"
"('Q9UNS1', 'P33993')"
"('P19793', 'P20226')"
"('Q12824', 'P24522')"
"('Q9P0L1', 'P57086')"
"('O95208', 'P04629')"
"('Q08117', 'Q04726')"
"('Q03164', 'Q9UBL3')"
"('Q969F2', 'P01135')"
"('Q16799', 'Q07817')"
"('Q9GZT3', 'P11171')"
"('P08908', 'P62879')"
"('406930', 'P08134')"
"('O95136', 'P50148')"
"('P27824', 'P11166')"
"('P16473', 'P27797')"
"('Q16254', 'Q14457')"
"('P63104', 'P07737')"
"('P21802', 'Q99963')"
"('Q13177', 'Q13087')"
"('P05019', 'P07333')"
"('P21980', 'Q96KM6')"
"('P52756', 'Q5UIP0')"
"('P12757', 'P78344')"
"('Q9BX63', 'P16220')"
"('P11142', 'P10275')"
"('Q14451', 'P07949')"
"('P61956', 'O00327')"
"('P04183', 'P00488')"
"('Q9Y4K3', 'Q96F46')"
"('P32121', 'Q8NGX8')"
"('O95168', 'O43677')"
"('Q96J02', 'Q96RF0')"
"('Q13315', 'Q70CQ2')"
"('O15126', 'O95674')"
"('Q9Y2K7', 'P63208')"
"('P62258', 'Q13489')"
"('Q9Y5J5', 'P63173')"
"('Q9UMS0', 'Q9P0V3')"
"('P40429', 'P47914')"
"('O95271', 'Q9NWT6')"
"('P16234', 'O95219')"
"('Q02363', 'Q02548')"
"('O75390', 'Q9NYJ8')"
"('O15379', 'P29590')"
"('P62269', 'P08708')"
"('P61586', 'O60610')"
"('P30443', 'P26717')"
"('P17181', 'Q12933')"
"('P51970', 'O95169')"
"('P50914', 'P62888')"
"('Q9NXD2', 'O15198')"
"('Q9UKV8', '574411')"
"('P19256', 'P06729')"
"('Q13523', 'A0JLT2')"
"('P03905', 'Q86Y39')"
"('Q96EK5', 'Q9Y2Q3')"
"('P60520', 'Q86SG6')"
"('Q9Y580', 'Q07666')"
"('P24941', 'O14519')"
"('P46379', 'P52757')"
"('P63146', 'Q9NS91')"
"('O14544', 'Q13651')"
"('P62330', 'P33176')"
"('A8K0R7', 'P62258')"
"('O95166', 'Q9UN88')"
"('P62244', 'Q99558')"
"('O43747', 'Q15276')"
"('Q14161', 'Q7Z628')"
"('Q96N67', 'Q92574')"
"('P37840', 'Q9Y6H5')"
"('P04632', 'P54274')"
"('O00222', 'Q9UBI6')"
"('P20774', 'P10914')"
"('Q92830', 'P43246')"
"('Q8NI35', 'Q8N7P3')"
"('P17980', 'P48556')"
"('P17844', 'Q9NWQ8')"
"('P28072', 'P25788')"
"('P78330', 'P40123')"
"('O43819', 'Q99759')"
"('P22681', 'P68036')"
"('Q9Y3B2', 'Q9HAU5')"
"('P05783', 'Q8IWZ6')"
"('P62241', 'P35544')"
"('O15162', 'Q9UBP5')"
"('O60895', 'Q5JWF2')"
"('O43741', 'P04035')"
"('Q9NS64', 'P11802')"
"('Q969K3', 'Q9Y6K9')"
"('O14561', 'P03891')"
"('P11474', 'P62195')"
"('P63098', 'P48454')"
"('P18146', 'P84022')"
"('P02538', 'P19012')"
"('Q8WZ42', 'Q9HAU4')"
"('Q12830', 'Q13501')"
"('Q13485', 'Q14956')"
"('P01242', 'P01589')"
"('Q9UJ70', 'Q96BZ8')"
"('O95685', 'Q96SB3')"
"('P42224', 'Q14676')"
"('Q13487', 'O75971')"
"('P67870', 'Q02543')"
"('P15498', 'P22681')"
"('Q8IZL8', 'Q92731')"
"('P15927', 'Q96E14')"
"('A6NIT4', 'P26951')"
"('Q9UHL9', 'P55157')"
"('Q9UBK9', 'Q9HAU4')"
"('Q09028', 'Q92793')"
"('Q96B02', 'Q5XPI4')"
"('P57739', 'Q9UDY2')"
"('P04899', 'P21730')"
"('O43143', 'Q9UKV8')"
"('Q9Y6K9', 'Q9UHD2')"
"('P52756', 'P38159')"
"('Q9UK08', 'Q9UBY5')"
"('P62995', 'P61981')"
"('Q8IVF5', 'Q99962')"
"('Q9H4L7', 'Q99459')"
"('P04637', 'Q99973')"
"('P21333', 'P16144')"
"('P54652', 'O95831')"
"('P30281', 'P06400')"
"('O15198', 'Q4LDE5')"
"('Q96DE5', 'Q9BS18')"
"('P19838', 'P08107')"
"('P21802', 'P63104')"
"('P68366', 'Q9BUF5')"
"('P54826', 'O43323')"
"('Q92608', 'P62745')"
"('P63208', 'Q86XK2')"
"('P06213', 'O00329')"
"('Q00610', 'P53680')"
"('P60953', 'O95793')"
"('P12814', 'P25054')"
"('Q70EL1', 'P54259')"
"('P43026', 'Q16671')"
"('P11473', 'P19793')"
"('P15153', 'Q9UPY6')"
"('Q6FHJ7', 'Q13467')"
"('P24941', 'Q9BS18')"
"('Q14191', 'P63279')"
"('P41279', 'Q12933')"
"('Q13952', 'P35625')"
"('O75582', 'P18848')"
"('Q96BK5', 'P61513')"
"('P22694', 'O60262')"
"('O95178', 'Q9Y6M9')"
"('P05783', 'P62316')"
"('Q5VVX9', 'Q96LD4')"
"('Q9Y277', 'Q14164')"
"('P62195', 'Q92753')"
"('Q13526', 'Q15796')"
"('Q13683', 'P08648')"
"('Q9NY93', 'P62899')"
"('P04626', 'O75791')"
"('Q16236', 'Q13501')"
"('Q92558', 'O15144')"
"('Q13323', 'Q07820')"
"('Q9H1Q7', 'O15162')"
"('Q9NVP2', 'Q96HA7')"
"('P04085', 'P06213')"
"('Q10570', 'Q6P1J9')"
"('Q8IVL1', 'P25054')"
"('P25391', 'P17301')"
"('Q9BUV8', 'O76031')"
"('Q14134', 'P49773')"
"('Q99963', 'Q9H3E2')"
"('P04275', 'P07359')"
"('O95405', 'P46379')"
"('P35626', 'Q8NGL0')"
"('Q8TF05', 'Q9NRI5')"
"('Q15019', 'P62330')"
"('Q13315', 'Q92575')"
"('P30504', 'P00505')"
"('Q6NUN9', 'P07332')"
"('P01570', 'O60674')"
"('406883', 'P01112')"
"('P18754', 'O14980')"
"('P63151', 'Q9GZV5')"
"('O95865', 'Q16637')"
"('Q9P2M7', 'A7E2Y1')"
"('P63211', 'P27361')"
"('P39656', 'O14593')"
"('P80404', 'O95433')"
"('Q9BTM9', 'Q7Z7A3')"
"('Q5VVX9', 'Q9NZS9')"
"('P09038', 'P62195')"
"('Q9BRR6', 'O75528')"
"('P51817', 'P15735')"
"('P62136', 'Q6UXN9')"
"('Q99459', 'P61011')"
"('P62993', 'P20963')"
"('P07585', 'P01137')"
"('P42331', 'P60953')"
"('Q08209', 'Q8TD86')"
"('Q12962', 'O75528')"
"('Q9NZQ7', 'Q15116')"
"('Q96A08', 'Q7L7L0')"
"('P51787', 'P17612')"
"('Q15750', 'P04350')"
"('P16885', 'Q02156')"
"('P18146', 'Q13547')"
"('O95886', 'P46108')"
"('Q8NHQ1', 'Q05516')"
"('Q969X0', 'Q13153')"
"('Q13099', 'P48634')"
"('Q9UGN5', 'P10412')"
"('P46781', 'Q15714')"
"('Q9NX14', 'P03901')"
"('P51668', 'Q9Y4K3')"
"('P05771', 'O60503')"
"('P12931', 'Q8NER1')"
"('O75381', 'Q9UKY1')"
"('Q15819', 'Q96EH3')"
"('Q13315', 'Q8N137')"
"('P21980', 'P02751')"
"('Q9BVA1', 'O43318')"
"('Q05397', 'Q9UKX5')"
"('O94929', 'P62993')"
"('P25067', 'P02768')"
"('Q8NEY8', 'O60437')"
"('P63215', 'O43306')"
"('Q13228', 'Q9Y2S7')"
"('P12757', 'Q07954')"
"('P12757', 'P14543')"
"('O75529', 'Q8NEM7')"
"('P06454', 'Q92769')"
"('Q14831', 'P50151')"
"('P13236', 'P41597')"
"('P18507', 'Q15111')"
"('P03372', 'Q15788')"
"('P09769', 'P42338')"
"('P04637', 'P63162')"
"('O15111', 'O95819')"
"('Q9NQC3', 'Q8IXJ6')"
"('Q9H0J9', 'P63165')"
"('P17676', 'P61978')"
"('Q13151', 'Q15287')"
"('Q9NYL2', 'Q8N184')"
"('P62314', 'P35222')"
"('O15525', 'Q9Y3C7')"
"('Q9UBU9', 'P37198')"
"('Q96B02', 'Q9BZY9')"
"('O75688', 'P43360')"
"('Q08050', 'P11168')"
"('Q01844', 'Q9Y2I6')"
"('Q9BVA1', 'P55957')"
"('Q9NX76', 'P02775')"
"('P68366', 'Q13573')"
"('P54792', 'P25054')"
"('Q04206', 'Q9Y297')"
"('Q08211', 'Q8IWZ8')"
"('P51617', 'Q5VVH5')"
"('Q12904', 'P30480')"
"('P23769', 'Q92793')"
"('Q13315', 'O95628')"
"('P08238', 'P78527')"
"('P00746', 'P00751')"
"('P01106', 'Q00722')"
"('P52597', 'Q9BUJ2')"
"('P25705', 'P63104')"
"('O43524', 'P08603')"
"('Q06546', 'P08047')"
"('Q9Y6K9', 'P08238')"
"('Q9NVW2', 'O14933')"
"('P62899', 'P27635')"
"('P63167', 'Q8TDI0')"
"('Q9Y5K5', 'P60900')"
"('P67870', 'Q8NCA9')"
"('O75909', 'Q53H96')"
"('P23508', 'P21912')"
"('Q9UH65', 'Q9NYQ7')"
"('P35626', 'Q8NH74')"
"('P41182', 'P42224')"
"('Q8WV41', 'P48023')"
"('P28562', 'Q9NVI1')"
"('P0DJD0', 'P63165')"
"('Q9Y371', 'P22455')"
"('Q99616', 'P61073')"
"('P21810', 'P01375')"
"('Q9NWZ3', 'P08138')"
"('P48443', 'Q15596')"
"('O60508', 'O95400')"
"('Q14974', 'P17706')"
"('P49023', 'P35222')"
"('Q99717', 'Q92736')"
"('Q02790', 'Q9UBE0')"
"('P29350', 'Q92734')"
"('P46781', 'Q8WZA2')"
"('Q8N7H5', 'Q6PD62')"
"('P48357', 'O43741')"
"('Q6ZU52', 'Q04724')"
"('Q06587', 'P0CG48')"
"('P60022', 'Q12851')"
"('Q13200', 'P54727')"
"('P0C5Y9', 'P58876')"
"('Q96BK5', 'O60739')"
"('P29460', 'P15260')"
"('P06401', 'P07900')"
"('P07737', 'Q8TDM6')"
"('Q9P219', 'P45983')"
"('P62244', 'P62269')"
"('P13010', 'P49715')"
"('Q92752', 'P16144')"
"('P22090', 'P62857')"
"('P32881', 'P40189')"
"('P04626', 'Q92625')"
"('P17931', 'P12318')"
"('P16333', 'Q8TEW0')"
"('Q14204', 'Q99459')"
"('Q14164', 'Q01469')"
"('Q9Y572', 'P80723')"
"('P01730', 'P06340')"
"('P48552', 'Q13363')"
"('P25398', 'P08865')"
"('P16333', 'O14490')"
"('P06213', 'P23470')"
"('P07942', 'P26010')"
"('O00401', 'P06239')"
"('P00492', 'Q14164')"
"('P25098', 'P51681')"
"('O15055', 'P18146')"
"('Q15370', 'Q92830')"
"('O96013', 'Q9H1R3')"
"('Q9HCM9', 'Q96B02')"
"('A6NHT5', 'P61956')"
"('P61586', 'P60763')"
"('Q9UDR5', 'P01106')"
"('P55287', 'P46108')"
"('P67809', 'Q15287')"
"('Q15750', 'P07900')"
"('P04049', 'Q9C004')"
"('P05556', 'P18031')"
"('Q7Z5K2', 'Q13573')"
"('Q9UK08', 'P35498')"
"('P36575', 'Q96IT1')"
"('O95405', 'Q7Z6E9')"
"('P63220', 'P62841')"
"('P04083', 'O75688')"
"('Q9H2G2', 'P21333')"
"('P81605', 'Q9NWA0')"
"('Q9NPH3', 'Q9Y3B3')"
"('Q96KM6', 'Q8N2W9')"
"('P47914', 'P61313')"
"('O60716', 'P63000')"
"('Q16539', 'Q14934')"
"('O00233', 'Q9UL46')"
"('P61927', 'P62750')"
"('Q00994', 'Q16288')"
"('P24723', 'Q12802')"
"('Q14683', 'Q8IYB3')"
"('P20226', 'Q01658')"
"('Q13363', 'Q9H334')"
"('P01282', 'P27487')"
"('P17301', 'Q9UKX5')"
"('P08670', 'P37840')"
"('Q15796', 'O60664')"
"('P01106', 'Q16612')"
"('O00159', 'P22087')"
"('Q13404', 'O94941')"
"('Q86XP3', 'Q15459')"
"('P08246', 'P37287')"
"('O00264', 'Q9Y3D7')"
"('Q9UKN5', 'P08138')"
"('Q14164', 'P14550')"
"('Q9GZM8', 'Q9H7U1')"
"('Q16478', 'O43292')"
"('P62879', 'P51828')"
"('Q76L83', 'O75940')"
"('P42772', 'Q13485')"
"('Q9UQM7', 'Q8NER1')"
"('P46783', 'P62841')"
"('P49454', 'Q9UM73')"
"('Q92793', 'Q9H2X6')"
"('Q9BXW9', 'P54132')"
"('P36896', 'P84022')"
"('Q9UET6', 'P52788')"
"('407054', 'O75896')"
"('Q9UN88', 'O95166')"
"('O75525', 'Q8N5R6')"
"('P17509', 'P55347')"
"('Q7Z6G8', 'P04626')"
"('Q9NTK5', 'O00141')"
"('Q96MT8', 'Q63HM2')"
"('Q6UWE0', 'Q8IX04')"
"('Q92574', 'P35240')"
"('Q9Y2H0', 'P16333')"
"('P07437', 'Q6R327')"
"('P32780', 'P51946')"
"('P18754', 'Q04724')"
"('A6ZKI3', 'P00519')"
"('P35568', 'Q13882')"
"('Q9Y6K9', 'O43524')"
"('Q9UL18', 'Q5T9A4')"
"('P10451', 'P42574')"
"('A8TX70', 'P08514')"
"('406991', 'Q13873')"
"('Q16777', 'Q5VVJ2')"
"('P62851', 'P22090')"
"('P13010', 'Q8N2W9')"
"('P01106', 'P52701')"
"('Q9HCE7', 'P62942')"
"('P78560', 'Q9HB75')"
"('Q9H4K1', 'P08670')"
"('P48740', 'Q92890')"
"('Q86XP3', 'P26368')"
"('Q9GZQ8', 'P09496')"
"('Q9UDY2', 'P31947')"
"('Q9Y4H2', 'P62993')"
"('Q969S8', 'Q8IUE6')"
"('Q9UL18', 'P62269')"
"('P00533', 'O60641')"
"('Q13326', 'Q14315')"
"('Q14289', 'P62993')"
"('P27361', 'P17302')"
"('Q93062', 'Q96HA1')"
"('Q9GZR1', 'Q99759')"
"('Q8WXH5', 'P16471')"
"('P26010', 'O75626')"
"('P10828', 'Q92769')"
"('Q9NYF0', 'Q15139')"
"('Q99816', 'P62979')"
"('O43914', 'Q14952')"
"('Q9UDY2', 'P56747')"
"('P04637', 'P49459')"
"('Q9NWT1', 'Q9HCE7')"
"('Q9NY93', 'P61927')"
"('Q9UBN7', 'P06899')"
"('P51991', 'P55795')"
"('Q8NFH3', 'Q5SRE5')"
"('Q9Y2T4', 'Q99832')"
"('Q5VTD9', 'P61978')"
"('Q9ULZ3', 'P51878')"
"('Q9UJX4', 'P14635')"
"('O75369', 'P63000')"
"('Q86YC2', 'P16104')"
"('Q92859', 'Q8IZJ1')"
"('P30480', 'O15067')"
"('406958', 'O43306')"
"('P04629', 'Q13501')"
"('P35813', 'P52564')"
"('Q9UJX2', 'Q13111')"
"('P56747', 'Q07157')"
"('P23508', 'Q14165')"
"('P09486', 'Q14790')"
"('Q9HAU4', 'O14544')"
"('P05013', 'P78552')"
"('P31930', 'P99999')"
"('P01344', 'P08069')"
"('406916', 'O00716')"
"('P17028', 'Q9Y5X1')"
"('Q8N8N0', 'P51965')"
"('O00757', 'P61106')"
"('P46736', 'P06899')"
"('O94832', 'Q9Y6K9')"
"('Q13007', 'Q13261')"
"('O43914', 'Q8N109')"
"('Q4KWH8', 'Q04759')"
"('P07948', 'P40189')"
"('P60568', 'P01100')"
"('P63279', 'Q14CS0')"
"('Q9NQT4', 'Q9NQT5')"
"('P49662', 'Q15008')"
"('O00329', 'Q9Y259')"
"('P19838', 'P32881')"
"('P56693', 'P60201')"
"('Q13885', 'O43261')"
"('P12644', 'P18146')"
"('Q16363', 'P16070')"
"('P63279', 'Q8N448')"
"('P82663', 'Q9NY93')"
"('Q9P0J0', 'P03891')"
"('Q8WVK2', 'P78362')"
"('Q00839', 'P26599')"
"('P36873', 'Q92736')"
"('Q99558', 'O95793')"
"('Q12846', 'P20339')"
"('Q13573', 'P61964')"
"('P33076', 'Q15306')"
"('Q7L7L0', 'Q969S8')"
"('Q99759', 'P08238')"
"('P63261', 'Q15628')"
"('P01243', 'P30084')"
"('P30793', 'P53779')"
"('Q9H4M9', 'O95721')"
"('Q13573', 'O00471')"
"('O00273', 'Q7Z6G3')"
"('P00533', 'P05141')"
"('Q12933', 'Q9NP84')"
"('O95819', 'Q3ZCQ8')"
"('P12931', 'O00459')"
"('Q9HD26', 'Q8N2Q7')"
"('P35914', 'Q9GZW8')"
"('P22612', 'Q9UGI9')"
"('P23258', 'Q13573')"
"('Q13424', 'P78508')"
"('Q92769', 'P0C0S5')"
"('P19174', 'Q9UM73')"
"('Q96QB1', 'P01889')"
"('Q9H0E2', 'P05814')"
"('P08246', 'P01009')"
"('O75506', 'Q9Y3C0')"
"('P31943', 'P51991')"
"('P61964', 'Q93079')"
"('Q14694', 'Q99459')"
"('Q8N423', 'P13746')"
"('P27348', 'P16144')"
"('Q96P20', 'P29466')"
"('Q9NVC6', 'Q9NWA0')"
"('Q9Y230', 'P49642')"
"('P39023', 'P61513')"
"('O60934', 'Q9BXW9')"
"('O75815', 'P29692')"
"('P01243', 'Q9Y4K0')"
"('P17948', 'Q00722')"
"('Q9Y2X7', 'Q71F23')"
"('406886', 'P01116')"
"('P36578', 'O95084')"
"('Q96ID5', 'Q15819')"
"('Q04206', 'Q9NWQ8')"
"('Q99612', 'Q12789')"
"('P07333', 'P06241')"
"('O43913', 'Q9BXI2')"
"('O75822', 'P41567')"
"('Q562F6', 'Q99661')"
"('O43147', 'P00533')"
"('P52292', 'Q01201')"
"('P22455', 'O95208')"
"('Q9UFC0', 'Q99459')"
"('Q16543', 'P42345')"
"('P11831', 'Q8IZQ8')"
"('P57678', 'Q9UHI6')"
"('407024', 'P25490')"
"('Q9GZQ8', 'Q9BT49')"
"('Q9UNX3', 'P84098')"
"('P78539', 'Q9UBC1')"
"('P62316', 'Q2TAY7')"
"('O75116', 'P53667')"
"('O15123', 'P21802')"
"('P07359', 'P14770')"
"('Q13233', 'P51965')"
"('P19338', 'P37198')"
"('Q8N6Y0', 'Q8IYI6')"
"('Q99616', 'P46092')"
"('P24385', 'Q13547')"
"('407026', 'P09486')"
"('Q13952', 'Q13126')"
"('P22612', 'Q07699')"
"('P55316', 'O75593')"
"('Q7LG56', 'Q8WXE1')"
"('P36897', 'Q9UJX4')"
"('Q01718', 'P84996')"
"('O00483', 'P56556')"
"('Q07889', 'P01116')"
"('P67812', 'P30480')"
"('P18146', 'Q8ND90')"
"('P01111', 'Q92569')"
"('Q9Y253', 'P0CG48')"
"('Q9NQT5', 'Q96B26')"
"('Q9BZ23', 'Q9H0J4')"
"('P10827', 'Q13503')"
"('O15162', 'Q15637')"
"('P15407', 'P05412')"
"('Q93077', 'Q13547')"
"('Q9NQY0', 'Q6XZF7')"
"('P03915', 'O95139')"
"('Q96B02', 'O94874')"
"('P08047', 'P13501')"
"('P40424', 'P00749')"
"('Q99490', 'P16471')"
"('P26373', 'O95819')"
"('P01857', 'Q2KHR2')"
"('P46379', 'P01270')"
"('Q12929', 'P05107')"
"('Q9H6Z4', 'P50053')"
"('P25098', 'P51685')"
"('P09874', 'P16403')"
"('O43353', 'Q4G148')"
"('Q9NRR5', 'Q9BTA9')"
"('P62714', 'Q6P5X5')"
"('Q99755', 'Q9Y6U3')"
"('P56750', 'Q16625')"
"('P57729', 'Q15796')"
"('Q8WW38', 'P43694')"
"('P26368', 'Q8IWZ8')"
"('Q15744', 'P20292')"
"('Q13057', 'P23443')"
"('Q9UHV2', 'P42771')"
"('Q9Y5S2', 'Q9NR30')"
"('P18124', 'P05388')"
"('P16333', 'P30260')"
"('P78527', 'Q00653')"
"('Q15038', 'Q9H0M0')"
"('Q09028', 'P67870')"
"('P63104', 'P28290')"
"('P17483', 'P18146')"
"('P47872', 'Q13424')"
"('P30559', 'P54289')"
"('Q9BQY4', 'Q93062')"
"('Q86V24', 'Q9UGJ0')"
"('O14980', 'O00221')"
"('P42263', 'Q12840')"
"('Q14011', 'Q15428')"
"('Q92664', 'P00519')"
"('P61077', 'Q9C040')"
"('P62979', 'P31749')"
"('P42224', 'Q9NR97')"
"('P06241', 'O60716')"
"('P42858', 'Q02779')"
"('Q14896', 'P13533')"
"('P61952', 'P40145')"
"('P29692', 'P06493')"
"('O15455', 'Q99519')"
"('P01568', 'P52333')"
"('Q15139', 'Q9H0R8')"
"('Q15172', 'O60840')"
"('Q9NRG4', 'Q16543')"
"('Q96HR3', 'A0JLT2')"
"('Q9NPH0', 'Q15404')"
"('Q92956', 'P67812')"
"('Q9H201', 'P08069')"
"('O60884', 'Q15796')"
"('P21246', 'Q9NZM3')"
"('O43676', 'Q9Y6M9')"
"('Q92633', 'O60262')"
"('O43156', 'Q9Y4R8')"
"('P29353', 'Q9H5I1')"
"('Q9BXM7', 'Q14457')"
"('Q92934', 'O60238')"
"('P51572', 'P63104')"
"('Q6GPH4', 'Q96CA5')"
"('O75886', 'Q969R5')"
"('Q9H7D0', 'Q99832')"
"('Q92922', 'Q10586')"
"('Q9UHI6', 'Q16637')"
"('O43927', 'P51685')"
"('P16333', 'Q8WV28')"
"('Q9UQC2', 'P62993')"
"('Q16659', 'P21741')"
"('P24941', 'P49918')"
"('P43243', 'Q9UNY4')"
"('Q9Y5R8', 'O43617')"
"('Q93079', 'O15047')"
"('O43707', 'Q15942')"
"('P11171', 'Q5ST30')"
"('Q8NGK3', 'P38405')"
"('P05129', 'P16144')"
"('P01889', 'P61086')"
"('P05106', 'P05129')"
"('P01876', 'Q8IY92')"
"('P41091', 'O15372')"
"('Q13976', 'Q00722')"
