negatives
"('Q9Y2X8', 'Q8N5U6')"
"('Q9BU76', 'Q8NHQ1')"
"('Q6ZN16', 'P07900')"
"('P31947', 'Q7KZI7')"
"('O14967', 'P61619')"
"('P60410', 'P05187')"
"('P06753', 'P12277')"
"('P35580', 'Q96L34')"
"('P04626', 'Q9Y490')"
"('Q8IX90', 'Q96GD4')"
"('Q8N960', 'Q7Z4H7')"
"('O60828', 'P20265')"
"('P27797', 'P14314')"
"('P67870', 'P17677')"
"('Q9BZ95', 'O15297')"
"('P39687', 'P10828')"
"('Q08211', 'Q14999')"
"('Q9GZZ9', 'P30048')"
"('Q00005', 'O60359')"
"('Q9UKV5', 'P10809')"
"('P62495', 'P05198')"
"('P06753', 'P24941')"
"('Q16891', 'Q9Y3E0')"
"('P82675', 'P21912')"
"('Q6NUQ1', 'O75791')"
"('P63104', 'P60174')"
"('Q9UHB6', 'Q9HCE1')"
"('P41161', 'Q9UBU9')"
"('Q9BQ70', 'P46783')"
"('P61018', 'Q8NC96')"
"('P26641', 'O75956')"
"('P09001', 'Q9Y6G3')"
"('P49841', 'O00429')"
"('Q8N205', 'O95347')"
"('O43837', 'O75874')"
"('P78527', 'Q32MZ4')"
"('P04899', 'Q7L2E3')"
"('Q15046', 'Q00987')"
"('Q96N67', 'Q92730')"
"('Q5S007', 'P62491')"
"('P16473', 'Q13576')"
"('Q15742', 'O76011')"
"('Q13418', 'Q8N1F7')"
"('Q9UBF9', 'O15169')"
"('P82912', 'Q02878')"
"('Q8WV44', 'Q6V9R5')"
"('P25092', 'Q5T2W1')"
"('Q9BZ23', 'Q8IVT5')"
"('P23588', 'Q99816')"
"('P54727', 'Q9UHD9')"
"('O75161', 'P51957')"
"('P49759', 'P78527')"
"('P05787', 'Q7Z3Y7')"
"('P50395', 'P33316')"
"('O43676', 'P56556')"
"('Q16695', 'Q9H9B1')"
"('Q96NL6', 'Q9Y6K9')"
"('Q9Y3Y2', 'O15259')"
"('O96000', 'Q9NX14')"
"('P05067', 'Q9NYN1')"
"('Q9H2X0', 'P60411')"
"('P55210', 'O00273')"
"('P18077', 'Q07020')"
"('Q5T3J3', 'Q9UN74')"
"('P31274', 'O95503')"
"('Q13588', 'Q07666')"
"('Q9BUJ2', 'O75937')"
"('Q8IWL3', 'Q99798')"
"('Q9H3K2', 'Q8N0V5')"
"('Q8WXA9', 'Q15424')"
"('Q12905', 'P62913')"
"('Q6P5W5', 'Q9BYC5')"
"('Q8NHY2', 'P54652')"
"('Q01082', 'Q9UMX5')"
"('Q14999', 'Q15149')"
"('P50221', 'P52756')"
"('Q15438', 'P49407')"
"('Q5VST9', 'Q9UBU9')"
"('Q92997', 'Q9H3F6')"
"('O15353', 'Q01826')"
"('Q6ZRV2', 'P07900')"
"('P31749', 'P05556')"
"('P17480', 'Q9UEU0')"
"('P05067', 'O15530')"
"('P09874', 'Q15021')"
"('Q9NRD1', 'Q6P3W7')"
"('Q00839', 'O95900')"
"('P11586', 'Q9H2C0')"
"('P01375', 'Q96MM7')"
"('P62851', 'Q9BRP8')"
"('P27348', 'Q8IV61')"
"('Q9BXV9', 'Q14657')"
"('Q9P265', 'Q13501')"
"('Q15691', 'Q6YHK3')"
"('Q15006', 'Q99729')"
"('O94763', 'O14980')"
"('Q9NR12', 'Q9BPX5')"
"('Q9H078', 'Q96D53')"
"('P46776', 'Q9UNX3')"
"('Q8TDX7', 'Q9P2L0')"
"('Q16531', 'P54727')"
"('O15231', 'Q9HC52')"
"('Q401N2', 'Q8WY22')"
"('Q92620', 'Q07955')"
"('P08648', 'P50552')"
"('Q7Z4V5', 'Q8WTR2')"
"('Q15013', 'P04637')"
"('O75582', 'Q96BA8')"
"('P19793', 'Q2M1K9')"
"('O15169', 'Q92997')"
"('Q86VS8', 'Q9NWB7')"
"('Q12774', 'Q08379')"
"('O43395', 'Q969Y2')"
"('P53621', 'Q9BW61')"
"('Q9UNE7', 'P17066')"
"('Q9NUL3', 'P15880')"
"('Q9UGP8', 'P04629')"
"('A6NI73', 'P08637')"
"('Q8TB36', 'P54315')"
"('Q13415', 'O00311')"
"('Q9UL46', 'Q9UQP3')"
"('Q9NYW8', 'Q8TBB1')"
"('O43524', 'Q00534')"
"('Q99873', 'P62266')"
"('Q9BYR5', 'Q9BYR3')"
"('Q14247', 'P05455')"
"('Q13322', 'P00533')"
"('Q9Y3D7', 'O60830')"
"('P42771', 'Q07817')"
"('Q9BYG5', 'Q9BYG4')"
"('P00533', 'P42566')"
"('Q8TDS5', 'Q6NXG1')"
"('Q96J77', 'Q96DZ9')"
"('P01106', 'Q14055')"
"('Q5T7P3', 'Q99750')"
"('P52907', 'Q9HCE7')"
"('O00206', 'Q9UHV2')"
"('P01889', 'Q14954')"
"('P54578', 'Q6XQN6')"
"('O95292', 'Q969R2')"
"('P14618', 'P23528')"
"('Q9HC77', 'Q04917')"
"('Q08379', 'Q6BCY4')"
"('P08514', 'P47712')"
"('Q9BZE9', 'Q9Y315')"
"('Q92597', 'Q9BV86')"
"('Q8IXK0', 'Q92769')"
"('P48061', 'P49238')"
"('O95295', 'P54257')"
"('Q9NZL4', 'Q5UIP0')"
"('P17612', 'P63167')"
"('P42229', 'Q9NRG1')"
"('Q9HAN9', 'P09874')"
"('Q9BRT8', 'P01848')"
"('O14980', 'O14545')"
"('Q9BZF3', 'O95292')"
"('P35226', 'Q9BYK8')"
"('Q9UPN4', 'Q02224')"
"('P78537', 'O75478')"
"('Q14781', 'Q9P0L1')"
"('Q99623', 'P08151')"
"('Q99496', 'P23921')"
"('Q86SR1', 'Q9HCE1')"
"('P54274', 'Q9BR76')"
"('Q9Y3V2', 'Q9UBU9')"
"('Q9BZR9', 'P54725')"
"('Q8TDN6', 'O95478')"
"('Q9Y2W2', 'Q07666')"
"('Q9UKM9', 'O43379')"
"('P19338', 'Q9Y4B6')"
"('O15145', 'A2RTX5')"
"('P08648', 'P23229')"
"('P12004', 'O76064')"
"('Q4G0J3', 'Q9Y5K6')"
"('Q13469', 'P57071')"
"('O00763', 'Q01860')"
"('A7MD48', 'Q02040')"
"('O75251', 'Q9C002')"
"('Q9NVI1', 'O43741')"
"('P17252', 'P25098')"
"('Q96KP6', 'Q6A162')"
"('Q99459', 'Q9H0E9')"
"('P49327', 'P35558')"
"('P09564', 'Q8WVN6')"
"('P53621', 'Q01860')"
"('Q5JTV8', 'Q2MV58')"
"('Q9UJX6', 'Q9UKT4')"
"('Q96KR1', 'P04216')"
"('P41229', 'P12004')"
"('Q9Y519', 'Q9Y282')"
"('P17612', 'Q9Y4A9')"
"('Q9P2R6', 'P61964')"
"('Q03164', 'O75807')"
"('P61326', 'Q70IA6')"
"('O60671', 'Q8NHY5')"
"('P60006', 'Q9BST9')"
"('Q9Y3B7', 'P39210')"
"('P60660', 'Q70EL2')"
"('Q13315', 'Q9Y6D5')"
"('Q8IZU0', 'O75821')"
"('P11387', 'P68431')"
"('P49674', 'Q9P209')"
"('Q6DKJ4', 'Q96FZ7')"
"('Q8IYE1', 'O95613')"
"('P10242', 'P42229')"
"('P52272', 'O60307')"
"('P25054', 'O43684')"
"('Q99700', 'O15027')"
"('Q9H6U6', 'Q9BSU1')"
"('P0C7T5', 'Q9Y618')"
"('Q14584', 'A8MQ03')"
"('Q96NL6', 'Q02952')"
"('Q8TD86', 'P16298')"
"('Q9UIA9', 'Q9Y3Z3')"
"('O95347', 'Q8N6T7')"
"('O00746', 'Q13232')"
"('Q9Y6X8', 'Q13177')"
"('Q13617', 'Q02809')"
"('Q16644', 'P35226')"
"('P45984', 'P63104')"
"('O00159', 'Q8N302')"
"('P35244', 'Q92797')"
"('P39019', 'Q12986')"
"('P07910', 'Q9Y6G3')"
"('Q9ULX9', 'Q8TD19')"
"('Q99816', 'P07550')"
"('Q5VU43', 'P41227')"
"('Q5SW79', 'P33981')"
"('P04629', 'P61978')"
"('Q9Y2T2', 'P51809')"
"('Q9P015', 'Q9HD33')"
"('A2A288', 'Q5D1E8')"
"('P27348', 'Q00610')"
"('P12830', 'Q96HF1')"
"('Q7Z460', 'O43264')"
"('Q9HCE1', 'Q68DY9')"
"('Q9P1U1', 'Q92747')"
"('Q6YN16', 'Q7Z7A1')"
"('Q9ULD6', 'Q92845')"
"('A7MD48', 'Q32M78')"
"('O95817', 'P25787')"
"('P23396', 'P46781')"
"('P30153', 'Q9UM13')"
"('Q13418', 'P52597')"
"('P20962', 'P10242')"
"('P13010', 'O15355')"
"('Q9BYT3', 'O95816')"
"('P17252', 'Q07021')"
"('P63208', 'P35228')"
"('P60228', 'P63272')"
"('Q13111', 'Q04864')"
"('Q15555', 'Q9NVR5')"
"('P05067', 'O43448')"
"('P46940', 'O14920')"
"('P78406', 'Q07157')"
"('P52209', 'P49419')"
"('Q06265', 'Q9Y3B2')"
"('P18146', 'Q92945')"
"('Q96HA8', 'O43679')"
"('Q6YHK3', 'Q5GAN3')"
"('P19484', 'O75030')"
"('P20333', 'P34931')"
"('Q5XKE5', 'P37198')"
"('P61326', 'Q15631')"
"('P21860', 'P04439')"
"('P04004', 'Q15393')"
"('Q969H0', 'Q96LZ3')"
"('P22681', 'P49023')"
"('P01563', 'P19235')"
"('Q8TBB1', 'P37198')"
"('Q9ULJ1', 'Q9P2H0')"
"('P05412', 'P32969')"
"('P61201', 'P62191')"
"('Q7Z7A1', 'Q9BRR8')"
"('O00629', 'P31689')"
"('P15927', 'Q96QR8')"
"('Q09028', 'Q13422')"
"('Q9UHF1', 'P46531')"
"('Q13617', 'P63104')"
"('Q99728', 'P54257')"
"('A6NEM1', 'O95678')"
"('O95619', 'Q66LE6')"
"('Q9BXK1', 'Q96ST3')"
"('P25490', 'Q6L8G9')"
"('P55036', 'P28066')"
"('Q9Y6Y8', 'Q16719')"
"('Q96P44', 'P05556')"
"('P60903', 'Q96CS3')"
"('Q86X55', 'O43809')"
"('Q8N7C0', 'P78362')"
"('Q9UJZ1', 'P35232')"
"('P04629', 'Q96SB8')"
"('Q9BU20', 'Q9P0S9')"
"('P37840', 'P62837')"
"('P21796', 'P05023')"
"('Q8TBZ3', 'Q6IN84')"
"('Q9Y2R4', 'Q9H501')"
"('Q9P2S5', 'P46379')"
"('P11169', 'Q15717')"
"('P31749', 'Q53EL6')"
"('Q99497', 'Q9UER7')"
"('Q9BXJ9', 'O75436')"
"('Q06187', 'Q9HCN6')"
"('Q9UIL8', 'O15120')"
"('O14744', 'Q8TBB1')"
"('P31689', 'P35998')"
"('O95466', 'P49411')"
"('Q9Y375', 'P68363')"
"('P41214', 'Q9GZX7')"
"('O00159', 'O14730')"
"('Q16254', 'Q16877')"
"('P24043', 'P08514')"
"('Q9H204', 'Q969H0')"
"('P04271', 'Q9HB71')"
"('O14656', 'Q15717')"
"('Q15428', 'Q14011')"
"('Q9HBG4', 'O95704')"
"('Q9NP72', 'Q9Y5M8')"
"('Q9BWF2', 'O43318')"
"('Q5VU43', 'P38936')"
"('Q13233', 'P98171')"
"('Q504Y3', 'O75031')"
"('Q12873', 'P48431')"
"('Q15291', 'Q6P1J9')"
"('Q9BYG5', 'Q86V97')"
"('Q6PIW4', 'P04629')"
"('P15880', 'Q9Y3U8')"
"('Q02224', 'O95425')"
"('Q96B02', 'Q9C035')"
"('Q68EM7', 'P05067')"
"('Q96MX6', 'O75665')"
"('Q9BSJ2', 'Q8IZT6')"
"('Q8IZU0', 'Q8N2N9')"
"('Q09472', 'P10826')"
"('Q8N4A0', 'Q15717')"
"('P30988', 'P62158')"
"('Q01844', 'P35637')"
"('Q8N1G4', 'Q9NWV8')"
"('Q99590', 'Q9Y6B2')"
"('Q9H0R8', 'P62316')"
"('Q4AC94', 'Q8N0Z3')"
"('P41743', 'Q16543')"
"('Q9NWF9', 'Q14149')"
"('P05120', 'Q08999')"
"('O14757', 'O95707')"
"('P53350', 'O95684')"
"('P59991', 'Q5TA78')"
"('P02751', 'Q16610')"
"('O75530', 'Q14966')"
"('P49756', 'Q9HCE1')"
"('P60568', 'Q99650')"
"('Q96FW1', 'O15355')"
"('P04792', 'O15111')"
"('Q8IY31', 'Q7Z3B4')"
"('P16298', 'Q9UD71')"
"('Q96T60', 'Q96C86')"
"('O43291', 'Q66K14')"
"('Q15365', 'P57721')"
"('P38570', 'Q96EP1')"
"('P04085', 'P09619')"
"('P68400', 'Q9BXY0')"
"('P29353', 'Q00610')"
"('Q9H0M0', 'P84022')"
"('Q969G2', 'Q2TAL8')"
"('P46781', 'Q7L2J0')"
"('Q9Y297', 'Q9HCE1')"
"('Q15884', 'Q8WVC6')"
"('Q04206', 'P52815')"
"('Q9GZQ8', 'Q9H7U1')"
"('Q96BY7', 'Q96ST8')"
"('A1E959', 'Q8IWB4')"
"('P49454', 'P06748')"
"('P09629', 'Q92793')"
"('Q9NV92', 'P00533')"
"('Q9Y6K9', 'P28074')"
"('O14744', 'Q8IXH7')"
"('O60573', 'O15075')"
"('Q9H3L0', 'Q9Y4U1')"
"('Q01844', 'O95433')"
"('Q8N3K9', 'Q9NTG7')"
"('Q96RG2', 'Q9NZB2')"
"('Q9UHB6', 'P08865')"
"('P62136', 'Q9P2K8')"
"('Q96C24', 'Q13277')"
"('Q8NHV4', 'Q6P582')"
"('P07550', 'Q9NVN8')"
"('P29966', 'Q15717')"
"('Q9P227', 'Q96L33')"
"('Q14257', 'P20333')"
"('Q969T4', 'Q969V5')"
"('Q96IG2', 'P62979')"
"('Q8IUC1', 'P49736')"
"('Q96ES7', 'B7ZAP0')"
"('O94915', 'Q9Y6A5')"
"('Q5T3F8', 'Q969M3')"
"('P27448', 'Q8TDM6')"
"('P62993', 'O75832')"
"('Q86UP8', 'Q9BYV2')"
"('P43307', 'O95718')"
"('P40692', 'Q96GN5')"
"('P61254', 'Q14134')"
"('P62807', 'Q14164')"
"('P08238', 'Q7L5Y6')"
"('Q9UBU9', 'Q9BT78')"
"('P05067', 'Q86YD7')"
"('P61956', 'Q8N3Z6')"
"('P39019', 'Q9H0R8')"
"('P05412', 'Q9NYK5')"
"('O15524', 'P22607')"
"('P24863', 'Q96T58')"
"('Q06520', 'Q14994')"
"('Q13255', 'P63096')"
"('Q969G5', 'Q5T3F8')"
"('Q9Y4K0', 'Q03405')"
"('O75147', 'Q12769')"
"('Q9Y2C9', 'P16671')"
"('P78406', 'Q9BW27')"
"('P25025', 'Q9BVK8')"
"('Q9H9A6', 'O14498')"
"('Q8IX21', 'Q8WV22')"
"('Q9P2K1', 'Q9BRX9')"
"('P61077', 'Q9BYM8')"
"('Q05086', 'P04629')"
"('Q8NFC6', 'Q5T7N2')"
"('P39023', 'Q13148')"
"('P48431', 'Q93008')"
"('Q92922', 'Q96AE4')"
"('Q86XR7', 'P50222')"
"('Q8WUY9', 'Q6ZW31')"
"('Q8NA72', 'O15397')"
"('Q9BV68', 'Q92530')"
"('Q6SZW1', 'Q9BXM7')"
"('Q99627', 'Q9BW61')"
"('P46736', 'P04637')"
"('A8MQ03', 'Q8N446')"
"('Q99878', 'Q92769')"
"('Q52LW3', 'P63000')"
"('P48230', 'Q6ZS10')"
"('Q9BVG8', 'P33993')"
"('P40429', 'P05091')"
"('Q9H7D7', 'P52739')"
"('P47992', 'P60369')"
"('P40692', 'O75152')"
"('Q9H9S0', 'Q9UQE7')"
"('Q08379', 'Q08495')"
"('P10644', 'Q9H6R7')"
"('Q9NVW2', 'P51965')"
"('O15078', 'Q8IYE1')"
"('Q9NPJ6', 'Q2M1P5')"
"('Q9UNM6', 'P25786')"
"('Q8WXE1', 'Q00536')"
"('P08238', 'P36956')"
"('Q9UBK9', 'Q969Q1')"
"('Q96EP5', 'Q9H0R8')"
"('Q8IVT5', 'P61158')"
"('P58546', 'O15078')"
"('Q96D53', 'O75947')"
"('O15111', 'Q86WI3')"
"('Q9BYV1', 'P05181')"
"('Q8N6R1', 'Q9NS71')"
"('Q7Z3S9', 'Q92835')"
"('P30153', 'P05771')"
"('Q71SY5', 'P00519')"
"('P01909', 'Q13432')"
"('Q9BUL8', 'Q9BRV8')"
"('O43913', 'Q13573')"
"('Q86VR2', 'Q99442')"
"('Q9H0R8', 'P31942')"
"('Q13618', 'P01893')"
"('Q04837', 'Q16659')"
"('P68133', 'P49407')"
"('Q13033', 'P63167')"
"('P15153', 'Q6P589')"
"('P49406', 'P05412')"
"('Q9Y230', 'P48431')"
"('Q13349', 'P32942')"
"('P12931', 'P13987')"
"('P12830', 'Q8WWI1')"
"('P60410', 'Q96N58')"
"('P10606', 'Q9HCE1')"
"('Q92905', 'Q00325')"
"('O95166', 'P60520')"
"('Q9BYR5', 'Q9BYR6')"
"('P34897', 'O75106')"
"('Q7Z5Q5', 'O15360')"
"('Q99759', 'Q71UM5')"
"('P21589', 'O15121')"
"('P27348', 'O95793')"
"('Q3KPI0', 'Q58EX2')"
"('Q07954', 'P12757')"
"('P18031', 'P12830')"
"('P10176', 'Q16520')"
"('Q12800', 'Q9BW85')"
"('P55268', 'P26006')"
"('Q9UBR4', 'P30968')"
"('Q9UJZ1', 'Q9NQ50')"
"('Q9BX93', 'Q9ULG6')"
"('P49917', 'Q9BQI3')"
"('P98177', 'P03372')"
"('Q01658', 'O75528')"
"('Q5TF21', 'P04629')"
"('P78527', 'P49450')"
"('P61978', 'P50616')"
"('Q6SPF0', 'Q7L190')"
"('Q9UHD8', 'Q3ZAQ7')"
"('P49759', 'Q96S44')"
"('P11802', 'Q96T76')"
"('Q9NQ86', 'Q96NC0')"
"('Q9Y399', 'Q92506')"
"('P06702', 'P29353')"
"('P22612', 'Q8NGL4')"
"('P25098', 'Q9P270')"
"('Q96B02', 'O15344')"
"('Q9UQ80', 'Q9H0W5')"
"('Q14943', 'P43627')"
"('Q6W2J9', 'O15397')"
"('P59991', 'O43609')"
"('P26373', 'P78362')"
"('Q8N122', 'Q12770')"
"('O60341', 'Q9BPU9')"
"('P05388', 'Q9Y3A4')"
"('O14757', 'O95997')"
"('O75800', 'Q9Y3C5')"
"('O94955', 'O60664')"
"('Q9GZZ1', 'Q9BSM1')"
"('Q15323', 'Q86XR8')"
"('O14593', 'O00287')"
"('Q9Y371', 'Q8NEB9')"
"('Q7Z7K2', 'Q7L190')"
"('P61026', 'A4D1S5')"
"('Q16763', 'Q14694')"
"('Q15653', 'O95816')"
"('Q9NUQ6', 'Q13948')"
"('Q16665', 'O94955')"
"('P33151', 'Q8TEW0')"
"('P62873', 'Q9Y572')"
"('Q69YN4', 'P49450')"
"('Q9P244', 'Q86SQ0')"
"('Q14999', 'P06753')"
"('Q8IWW6', 'O00212')"
"('Q03001', 'Q9UMD9')"
"('Q9UKL0', 'Q96NL6')"
"('P23258', 'Q9Y2R9')"
"('P31947', 'P61981')"
"('Q9NU53', 'P30511')"
"('Q8NHX4', 'Q9BQ66')"
"('Q6P1J9', 'P38646')"
"('P40855', 'Q8N6M8')"
"('Q58FF6', 'Q9Y6K9')"
"('P48643', 'O00743')"
"('Q6P5W5', 'Q8IY95')"
"('P11137', 'P62750')"
"('O94761', 'Q16539')"
"('O60341', 'Q8N0Z3')"
"('Q93074', 'Q15029')"
"('Q9NRD5', 'Q5XKK7')"
"('Q9HCD6', 'O75420')"
"('Q8N1B4', 'Q9Y4K3')"
"('Q9BPY3', 'Q9P283')"
"('Q9ULU4', 'Q8N201')"
"('Q8IVS2', 'Q9BYD3')"
"('Q00839', 'O60264')"
"('Q14527', 'P35244')"
"('Q66K64', 'Q9UPN9')"
"('Q8WXI9', 'Q13547')"
"('Q6P5W5', 'O95159')"
"('P46531', 'Q04206')"
"('Q8IVT5', 'P08670')"
"('O95602', 'Q9Y2S0')"
"('O95817', 'P02511')"
"('Q13309', 'Q00526')"
"('Q06830', 'P30154')"
"('Q96B18', 'Q9NRD5')"
"('P57721', 'P09622')"
"('O95231', 'Q15038')"
"('Q96EV8', 'Q9C026')"
"('P61086', 'Q9H000')"
"('Q9Y3U8', 'P47914')"
"('P17661', 'Q58FG0')"
"('Q9BYW2', 'P48431')"
"('Q96GX1', 'Q96JJ7')"
"('Q9BWU1', 'P50613')"
"('P60709', 'P15153')"
"('P49458', 'P13612')"
"('P35609', 'Q9Y561')"
"('O75208', 'Q8N183')"
"('P08238', 'Q58FG0')"
"('Q9H492', 'Q8NDN9')"
"('Q9HCE1', 'Q9BU64')"
"('P34947', 'P78527')"
"('Q8IYF3', 'Q9P2K5')"
"('Q8IYA8', 'Q14764')"
"('Q9UBU9', 'Q8WVQ1')"
"('Q9Y483', 'P52333')"
"('P62244', 'P62910')"
"('Q96MT4', 'Q8TDS5')"
"('Q5VWM4', 'Q13618')"
"('O60749', 'P16234')"
"('Q06136', 'P18146')"
"('Q99418', 'P50148')"
"('Q9NYB9', 'Q14525')"
"('P04637', 'Q14186')"
"('Q06830', 'P04406')"
"('Q9H814', 'O75063')"
"('Q9BZD6', 'Q6ZWJ1')"
"('Q702N8', 'P20929')"
"('O43521', 'Q13617')"
"('P13232', 'Q99650')"
"('P52429', 'P49407')"
"('P50402', 'Q14566')"
"('O15182', 'O14874')"
"('Q15773', 'Q01860')"
"('Q8IWL3', 'O00116')"
"('Q8N5U6', 'Q8WVN8')"
"('O96014', 'O60353')"
"('P10768', 'P16885')"
"('Q14956', 'Q13882')"
"('P30443', 'O43908')"
"('P02538', 'Q8TF42')"
"('P21145', 'Q16322')"
"('P00533', 'P09661')"
"('Q15796', 'P02452')"
"('P49447', 'Q13323')"
"('Q9UHD2', 'O75143')"
"('Q15714', 'Q4G0J3')"
"('P27448', 'Q15560')"
"('O95905', 'Q9NWS0')"
"('Q9BRX9', 'P50990')"
"('Q86WV1', 'O75161')"
"('Q969H0', 'P60484')"
"('Q99590', 'Q9P2E3')"
"('O60729', 'Q9NYG5')"
"('P19338', 'P62917')"
"('P21281', 'Q16864')"
"('Q5VYK3', 'Q96RL1')"
"('P53708', 'P46108')"
"('P49411', 'P19838')"
"('Q8N6C8', 'P08637')"
"('Q16617', 'Q96HJ5')"
"('O75319', 'Q13242')"
"('O43464', 'Q12933')"
"('Q15843', 'P62263')"
"('O43463', 'Q6UXH1')"
"('Q9Y265', 'Q13618')"
"('Q5D1E8', 'O43187')"
"('Q13616', 'Q6P3S6')"
"('P25963', 'Q13616')"
"('Q9UBC2', 'Q9H201')"
"('Q9BRK4', 'Q9NP86')"
"('Q96EG3', 'P60328')"
"('P35527', 'P01876')"
"('Q9Y275', 'Q9NWS6')"
"('Q9P2X7', 'P30153')"
"('P12931', 'Q96J92')"
"('P61978', 'O95793')"
"('Q5RKV6', 'Q8IZD4')"
"('O76076', 'Q2VPK5')"
"('Q9P2Y5', 'Q66LE6')"
"('Q9Y2Z0', 'O60232')"
"('Q15599', 'Q6ZVD8')"
"('Q92890', 'Q9H2P9')"
"('P06748', 'P62753')"
"('Q9HCE7', 'P42166')"
"('P43363', 'Q9P270')"
"('Q13263', 'Q9UPN9')"
"('P01563', 'Q14626')"
"('O43889', 'Q92989')"
"('Q16649', 'P16220')"
"('P11940', 'Q9ULR5')"
"('Q9BQE3', 'P13612')"
"('P56537', 'Q13616')"
"('P25685', 'Q02833')"
"('P19838', 'P42704')"
"('O95816', 'Q16659')"
"('Q9H0M0', 'O15165')"
"('Q13153', 'O75369')"
"('A6NEM1', 'Q96PV4')"
"('Q9UQL6', 'P60842')"
"('O95817', 'Q9BU89')"
"('Q15040', 'Q07627')"
"('P48788', 'Q969Q1')"
"('P62258', 'Q9NRD1')"
"('P11233', 'P04792')"
"('Q13571', 'Q96PU5')"
"('Q99856', 'Q969T4')"
"('P60369', 'Q7Z3I7')"
"('Q7Z5L2', 'Q96LK0')"
"('P49407', 'Q8NH40')"
"('P20036', 'Q14118')"
"('P07900', 'Q6ZMZ0')"
"('Q9NRD1', 'O00303')"
"('Q8NC51', 'Q9NZI8')"
"('Q15029', 'Q9BRS2')"
"('P09466', 'O75531')"
"('O95644', 'Q01826')"
"('P30556', 'Q13956')"
"('P46934', 'Q96BX8')"
"('P17275', 'P15407')"
"('P54274', 'Q15102')"
"('Q9Y3A4', 'Q96FV0')"
"('Q9H668', 'Q8IUH5')"
"('O95248', 'Q9UKB1')"
"('Q96RL1', 'P16104')"
"('P13473', 'Q9UMS4')"
"('Q8N264', 'P84095')"
"('P27448', 'Q9UQL6')"
"('Q9H6Z9', 'Q9BZD4')"
"('P07910', 'B2RXH8')"
"('Q15029', 'Q969S3')"
"('Q9GZQ8', 'P68366')"
"('Q13123', 'P26368')"
"('Q14457', 'Q9H4G4')"
"('O14980', 'Q5D1E8')"
"('P25098', 'Q8NGF9')"
"('Q15717', 'Q8NBQ5')"
"('O60641', 'Q9UKV3')"
"('P20674', 'P42858')"
"('P04637', 'P36873')"
"('Q13547', 'Q9H8N7')"
"('Q12874', 'Q99575')"
"('P47755', 'Q9NZQ3')"
"('Q96H96', 'Q9NWT8')"
"('P15018', 'P26992')"
"('O60706', 'P00338')"
"('Q9Y3A5', 'Q15637')"
"('O15379', 'Q9HCU9')"
"('O14983', 'Q8N0V5')"
"('Q00839', 'P30050')"
"('O60216', 'O00303')"
"('O75147', 'P09874')"
"('P19338', 'O00267')"
"('Q86X29', 'P13631')"
"('Q96MU5', 'Q96A09')"
"('Q9H1D9', 'Q92994')"
"('O60216', 'Q14C86')"
"('P47813', 'P04792')"
"('Q9NZI8', 'P19838')"
"('P12755', 'P48047')"
"('P67809', 'Q9HCE7')"
"('P30988', 'P0DP24')"
"('Q9P0L0', 'Q03518')"
"('Q9BYR6', 'Q9NQL9')"
"('P61601', 'Q8N1Y9')"
"('Q6UWP7', 'Q15717')"
"('Q9Y5L4', 'P01213')"
"('P05067', 'Q96A73')"
"('A6NHL2', 'Q99496')"
"('P06748', 'P67870')"
"('Q9BXY4', 'Q15075')"
"('Q96B02', 'Q99942')"
"('O14920', 'Q86UT6')"
"('Q8N684', 'P04629')"
"('Q9Y2V7', 'O95863')"
"('Q8N423', 'P18465')"
"('P68366', 'Q13043')"
"('Q9Y224', 'Q52LJ0')"
"('Q9UJT2', 'P05067')"
"('Q99873', 'Q9NYF8')"
"('P05067', 'Q9BTD8')"
"('P28065', 'Q15788')"
"('Q8WYA6', 'Q9NS37')"
"('Q13148', 'Q01780')"
"('O00267', 'Q7Z713')"
"('P40425', 'O60663')"
"('Q92804', 'Q15544')"
"('Q9BZE1', 'O00116')"
"('P10155', 'Q06210')"
"('Q96EY1', 'P20333')"
"('Q71U36', 'Q12959')"
"('P27695', 'Q16531')"
"('P21266', 'P62258')"
"('Q00005', 'Q9Y580')"
"('P36542', 'Q86XR8')"
"('P60174', 'Q9H0W5')"
"('Q8TES7', 'O75886')"
"('Q66LE6', 'Q9Y580')"
"('Q04206', 'Q8N2W9')"
"('P01375', 'Q9NYJ8')"
"('P49789', 'Q96D03')"
"('Q08379', 'Q8NHQ8')"
"('P35568', 'P42338')"
"('O14530', 'P50991')"
"('Q9HB71', 'P43155')"
"('Q8NFZ5', 'Q8WUM4')"
"('Q9P2S5', 'Q9UDY4')"
"('Q9GZQ8', 'Q9HAU5')"
"('Q09472', 'P10253')"
"('P13631', 'Q9H609')"
"('Q6UXU6', 'O95476')"
"('P03372', 'P68032')"
"('Q8IUQ4', 'Q9HA38')"
"('P48039', 'P30519')"
"('Q6NUN9', 'Q03701')"
"('Q96ST3', 'Q13620')"
"('Q96S97', 'Q6UXL0')"
"('P32121', 'P35626')"
"('O94955', 'Q13618')"
"('Q9H3D4', 'P35637')"
"('P20226', 'Q8ND76')"
"('P16591', 'P10721')"
"('P30480', 'P29401')"
"('Q96S44', 'Q9BYS8')"
"('P16615', 'Q9P0L0')"
"('Q9UFD9', 'Q02930')"
"('Q6UVK1', 'P61077')"
"('O00483', 'O75438')"
"('Q9P0T4', 'P60331')"
"('O96008', 'Q96AE4')"
"('Q15672', 'P01100')"
"('O95758', 'Q8WUZ0')"
