negatives
"('Q9NVX0', 'Q2KHM9')"
"('O14654', 'Q9BTE6')"
"('P49721', 'P62195')"
"('Q6W2J9', 'Q9BSB4')"
"('O14641', 'P05412')"
"('Q15018', 'Q9HAU4')"
"('Q8WWQ0', 'O94888')"
"('Q14686', 'P11473')"
"('Q9UKV5', 'Q99436')"
"('Q13887', 'P19793')"
"('Q86U06', 'Q96HN2')"
"('Q9H160', 'Q71DI3')"
"('Q13616', 'P55795')"
"('Q9Y5K8', 'Q15785')"
"('Q9BRT2', 'P04792')"
"('P62829', 'P62701')"
"('Q8N5C8', 'Q8N0U6')"
"('P63208', 'Q9H4M3')"
"('Q8IYY4', 'Q8WUT4')"
"('Q969Q1', 'O75604')"
"('Q14050', 'P06756')"
"('Q6L8G8', 'Q9BYQ4')"
"('P30450', 'Q96T76')"
"('Q504Q3', 'P47756')"
"('Q9BRR8', 'Q86VQ0')"
"('P57678', 'P61011')"
"('Q6ZVT0', 'Q15654')"
"('Q9UKI2', 'Q38SD2')"
"('O43493', 'Q9NU22')"
"('P07900', 'P01911')"
"('P13569', 'Q9NQH7')"
"('P15918', 'P55895')"
"('P22455', 'P50750')"
"('Q14055', 'Q05397')"
"('Q9Y6I7', 'P13569')"
"('P37231', 'O60869')"
"('Q12933', 'Q86SE9')"
"('P51148', 'Q15907')"
"('O14965', 'Q99728')"
"('P08247', 'O00165')"
"('Q12888', 'P12956')"
"('Q15020', 'Q9Y4Z0')"
"('P22694', 'Q8NH10')"
"('Q13573', 'O14497')"
"('Q16659', 'O14543')"
"('P40926', 'Q9ULV4')"
"('P62993', 'P01019')"
"('Q12933', 'P57682')"
"('P57078', 'P53396')"
"('Q9Y5J7', 'Q9Y266')"
"('P01374', 'Q13546')"
"('Q14152', 'Q9BV68')"
"('Q92624', 'P23511')"
"('P10275', 'P04792')"
"('P13612', 'P47756')"
"('O95166', 'Q15334')"
"('P09017', 'P13010')"
"('Q99816', 'Q9NZ52')"
"('Q13586', 'Q86X19')"
"('Q5T1M5', 'Q9Y4E1')"
"('O75533', 'Q8WWY3')"
"('Q14197', 'P49406')"
"('P05787', 'O75190')"
"('Q9UNE7', 'O15519')"
"('Q9NX24', 'Q13428')"
"('P04629', 'O75419')"
"('P05362', 'P42766')"
"('Q92567', 'Q9HCE1')"
"('Q8WXI9', 'Q13469')"
"('Q96KP4', 'Q08623')"
"('Q86WV6', 'O15260')"
"('Q9UN19', 'Q9H2F3')"
"('O75385', 'Q9Y4P1')"
"('P62136', 'O94763')"
"('Q13127', 'Q9Y232')"
"('P27348', 'Q71DI3')"
"('Q13233', 'Q6UUV9')"
"('Q5UCC4', 'Q9NPA0')"
"('Q13946', 'P49746')"
"('Q8IX03', 'O43491')"
"('Q14129', 'Q05D60')"
"('O14773', 'Q3V6T2')"
"('Q9H492', 'P55795')"
"('Q9HCD6', 'Q9NQT8')"
"('P24864', 'P30260')"
"('Q15649', 'Q9NR56')"
"('Q9NR09', 'P52735')"
"('Q9UMN6', 'Q9BQA1')"
"('O00213', 'Q15428')"
"('Q07890', 'P42336')"
"('Q9BXW9', 'Q92878')"
"('Q5T5S1', 'Q9NZN5')"
"('Q5TFE4', 'P15374')"
"('Q92974', 'P63000')"
"('Q05D32', 'Q5VTU8')"
"('O95983', 'Q14526')"
"('P49427', 'P50750')"
"('Q99750', 'Q9BS34')"
"('O94826', 'Q9C0B0')"
"('P46779', 'P18621')"
"('P67936', 'Q9H0C8')"
"('Q8TAU3', 'P49910')"
"('Q01844', 'Q8TF01')"
"('Q9Y230', 'O76081')"
"('Q13485', 'Q6FHJ7')"
"('Q9H0R8', 'Q08211')"
"('P01100', 'P52736')"
"('Q15773', 'O15357')"
"('P62753', 'Q9UBX2')"
"('Q70CQ1', 'P07900')"
"('Q13315', 'Q9UIM3')"
"('P32121', 'Q8NGH7')"
"('Q9BZE4', 'Q14999')"
"('P50454', 'P55795')"
"('Q9Y2K6', 'Q96C24')"
"('P12004', 'P12956')"
"('Q16635', 'O75493')"
"('Q6P1M3', 'O00429')"
"('P34897', 'Q8TBP0')"
"('O15360', 'P51532')"
"('O95571', 'Q04206')"
"('Q96A09', 'Q96NS8')"
"('Q9ULL4', 'Q04912')"
"('P31151', 'Q14943')"
"('P55060', 'P23193')"
"('O15318', 'Q9BT43')"
"('P45984', 'Q04206')"
"('P01106', 'Q86VI3')"
"('Q9NYA3', 'Q9BSW7')"
"('Q66LE6', 'Q3SYB3')"
"('P37231', 'P50454')"
"('P83916', 'O60934')"
"('P01106', 'Q9GZN8')"
"('Q00587', 'P60953')"
"('Q96H12', 'Q13485')"
"('Q96D03', 'Q63HM1')"
"('P04629', 'P08559')"
"('Q96AP0', 'P78352')"
"('O14965', 'P24522')"
"('Q15699', 'Q9HD15')"
"('Q9NVX0', 'Q9NPJ6')"
"('P29965', 'Q13077')"
"('Q7Z401', 'Q96QZ7')"
"('Q9NS85', 'O75717')"
"('Q9BXS5', 'Q6IQ23')"
"('Q8NEB9', 'Q92622')"
"('O75159', 'P00533')"
"('O75530', 'P11142')"
"('Q9BYP8', 'P32242')"
"('Q6XUX3', 'Q00610')"
"('O95714', 'Q13509')"
"('P17661', 'Q496Y0')"
"('Q9NNX1', 'Q92993')"
"('Q92794', 'P49736')"
"('P63244', 'Q96EQ0')"
"('O15234', 'O14980')"
"('P05412', 'O15042')"
"('A0AVT1', 'Q15717')"
"('P08754', 'Q6IQ23')"
"('Q13509', 'Q01860')"
"('O14745', 'Q9C0B1')"
"('O95433', 'O00571')"
"('Q01970', 'Q9HBW0')"
"('Q9UHV7', 'Q9BTT4')"
"('Q8TB36', 'P07602')"
"('Q9NYZ3', 'O14980')"
"('Q9UII2', 'Q96FW1')"
"('Q7Z4V5', 'Q71DI3')"
"('Q9H0U3', 'Q9HCE1')"
"('P67809', 'P38398')"
"('Q16513', 'Q9C0F1')"
"('Q13573', 'Q13148')"
"('P22626', 'P00558')"
"('Q9NR09', 'Q9Y240')"
"('Q96CP6', 'Q04771')"
"('Q86VN1', 'Q9UKK6')"
"('P51692', 'Q5VZB9')"
"('Q9Y6I3', 'Q8N5S1')"
"('Q5JR59', 'Q9UHB7')"
"('O15269', 'O76081')"
"('P00533', 'P36507')"
"('Q9Y3F4', 'P83731')"
"('Q96BK5', 'P57105')"
"('Q9NR30', 'P26368')"
"('P25963', 'P34931')"
"('O75554', 'P11940')"
"('Q9P267', 'P61586')"
"('P25786', 'P36406')"
"('Q9H9Q4', 'P78318')"
"('Q15102', 'Q13885')"
"('Q9Y3D3', 'Q96C01')"
