negatives
"('Q9Y3C0', 'Q96CS2')"
"('Q6NUS6', 'Q16795')"
"('P01566', 'Q01344')"
"('Q8WXI3', 'P50222')"
"('Q96JH7', 'Q9HCE1')"
"('Q9H4L4', 'Q9UBF2')"
"('Q02539', 'P12544')"
"('Q8NHV4', 'P39023')"
"('Q9NWY4', 'P17096')"
"('Q13630', 'Q14376')"
"('Q8TAV4', 'O00526')"
"('Q6WBX8', 'Q8NHY5')"
"('Q5XKE5', 'Q8TF42')"
"('P11387', 'Q9UQL6')"
"('O15160', 'O60264')"
"('P11137', 'Q9UBQ5')"
"('F7VJQ1', 'Q08E93')"
"('Q14318', 'Q07817')"
"('P32119', 'Q13616')"
"('P28070', 'P48556')"
"('Q96JM2', 'Q9UBS4')"
"('P05386', 'P21673')"
"('Q5SW79', 'O43482')"
"('P68104', 'Q96SL4')"
"('P51841', 'P60520')"
"('Q9BUL8', 'Q5SXH7')"
"('O00213', 'Q15427')"
"('Q5JY77', 'P30518')"
"('P15735', 'Q9NVI7')"
"('Q9UKV5', 'P60468')"
"('Q92993', 'O95619')"
"('Q9H2F3', 'P60369')"
"('P67809', 'Q15366')"
"('Q96JN8', 'P24928')"
"('Q01813', 'P63104')"
"('Q13315', 'P56545')"
"('Q9Y678', 'Q9NTJ5')"
"('O14757', 'Q9UQ35')"
"('Q15397', 'Q8NI36')"
"('P50148', 'Q9NPQ8')"
"('Q08188', 'P33992')"
"('Q8WUM4', 'P00966')"
"('O75578', 'Q05397')"
"('P29474', 'P02649')"
"('P16220', 'Q96T25')"
"('Q9BZ29', 'Q13642')"
"('O14562', 'Q96AC1')"
"('Q99250', 'Q13368')"
"('P42224', 'O43175')"
"('O76024', 'Q9HCE7')"
"('P27986', 'P02766')"
"('Q12846', 'Q9UBX3')"
"('Q9Y5L4', 'Q16643')"
"('P25942', 'P52294')"
"('Q96T58', 'P63172')"
"('O14548', 'P26368')"
"('Q6MZP7', 'P01375')"
"('Q9BQ83', 'P25788')"
"('Q16643', 'Q13561')"
"('Q13315', 'O43504')"
"('O60885', 'Q03111')"
"('Q8TAE8', 'P09651')"
"('P49327', 'Q92597')"
"('P16870', 'Q9Y2S7')"
"('P05231', 'Q99665')"
"('Q6P5Z2', 'P61244')"
"('Q5MJ09', 'Q9Y297')"
"('Q09472', 'O15162')"
"('P55211', 'P55072')"
"('Q96S59', 'Q9H7D7')"
"('O60763', 'O96019')"
"('P18621', 'O95149')"
"('P06213', 'P23467')"
"('Q15366', 'P52756')"
"('Q9H1J7', 'Q9ULW2')"
"('P13645', 'Q8TF42')"
"('Q9H6T3', 'Q8NBT0')"
"('P53992', 'Q04721')"
"('Q9BYR2', 'Q5TA78')"
"('P02008', 'P02042')"
"('P62829', 'P62753')"
"('Q6UWL6', 'Q96S52')"
"('P61088', 'Q9NPJ3')"
"('Q16850', 'Q86UK5')"
"('P20618', 'Q15051')"
"('Q8N2W9', 'Q9NQB0')"
"('Q9BVG8', 'Q96BZ8')"
"('Q13557', 'O60359')"
"('Q8NBR6', 'Q14654')"
"('O75208', 'Q9BUP3')"
"('Q07890', 'Q92730')"
"('P55196', 'Q15223')"
"('Q9ULV0', 'Q9Y2I9')"
"('P30556', 'Q16720')"
"('Q9NSD9', 'A2RTX5')"
"('Q8WUI4', 'Q9BST9')"
"('Q6PFW1', 'Q14653')"
"('P13010', 'Q15022')"
"('P28799', 'P46109')"
"('Q14114', 'Q9UQF2')"
"('Q7L5Y9', 'O43464')"
"('Q8WYH8', 'P33991')"
"('P22736', 'Q6ZNA4')"
"('P01242', 'Q99665')"
"('O00161', 'Q9Y2K9')"
"('Q9BS26', 'P18206')"
"('O95400', 'Q05519')"
"('Q96NC0', 'P62310')"
"('O43255', 'P42330')"
"('Q15051', 'P25789')"
"('Q9NQA5', 'P05114')"
"('Q9P0L0', 'Q9NZN5')"
"('Q8IWV7', 'P55060')"
"('P08670', 'Q9H0A0')"
"('Q12959', 'P78559')"
"('Q9BYG3', 'Q659C4')"
"('P28066', 'O00299')"
"('P04259', 'P22681')"
"('P26010', 'O14924')"
"('Q9UL33', 'Q9BZR8')"
"('Q14562', 'P84022')"
"('Q9UBB9', 'Q13064')"
"('P29966', 'Q14134')"
"('Q14683', 'Q14457')"
"('Q9BYV9', 'Q3KQV3')"
"('P56537', 'P62633')"
"('P22307', 'Q15645')"
"('P01100', 'P11473')"
"('Q7Z2X4', 'Q7Z3S9')"
"('Q96JA1', 'P00533')"
"('P78524', 'P62140')"
"('Q9P0M6', 'Q7Z2G1')"
"('Q9Y5U4', 'P62333')"
"('P49736', 'Q15084')"
"('Q9Y239', 'Q676U5')"
"('Q9UHA4', 'P47897')"
"('Q9NX01', 'P23396')"
"('Q96CS2', 'O14879')"
"('P62750', 'P40337')"
"('Q04917', 'Q8NHQ8')"
"('P48039', 'Q96NT1')"
"('P11413', 'P32320')"
"('Q6K0P9', 'Q99615')"
"('Q13608', 'O43933')"
"('Q13263', 'Q96S55')"
"('P56537', 'Q02880')"
"('Q05209', 'Q05397')"
"('Q9Y282', 'O15258')"
"('Q9BWH6', 'Q9P227')"
"('Q13643', 'Q6ZVT0')"
"('P49407', 'P58173')"
"('O75147', 'P00338')"
"('Q13185', 'P78527')"
"('P29692', 'Q5TC82')"
"('P62945', 'P35268')"
"('Q05516', 'Q14451')"
"('P15880', 'O15042')"
"('Q92905', 'P23396')"
"('Q01484', 'Q9NVR5')"
"('O00499', 'Q9UKG1')"
"('O76011', 'P05787')"
"('Q9UKT9', 'Q9UI95')"
"('O43765', 'O14810')"
"('Q2KHM9', 'Q8WWK9')"
"('P05787', 'P22607')"
"('Q5QGZ9', 'Q96AJ9')"
"('Q6ZSJ9', 'Q9BYR6')"
"('P04629', 'P06748')"
"('O95831', 'Q9GZQ8')"
"('Q5BKY9', 'Q9NY27')"
"('Q9Y3Z3', 'Q15436')"
"('Q15836', 'O14662')"
"('Q14966', 'Q8WUY9')"
"('P34932', 'O75506')"
"('O15270', 'Q969W0')"
"('P08670', 'Q9P0W2')"
"('P53420', 'P26006')"
"('P85037', 'Q96K76')"
"('P06241', 'Q6PIZ9')"
"('Q93079', 'Q9H040')"
"('Q8WUD4', 'Q9BQB6')"
"('P84090', 'P05067')"
"('P51148', 'P31943')"
"('O75530', 'Q9BXP5')"
"('Q9NPJ6', 'Q9Y490')"
"('P06756', 'P08253')"
"('Q53F19', 'O00148')"
"('Q8NA72', 'P39656')"
"('Q9HA77', 'Q16740')"
"('P14678', 'P62166')"
"('P21333', 'Q16643')"
"('Q96LK0', 'Q9UPY3')"
"('P20700', 'Q14680')"
"('Q99608', 'Q92973')"
"('O76024', 'Q16659')"
"('Q13835', 'P05787')"
"('P60328', 'O43609')"
"('Q04206', 'Q8NE01')"
"('O60291', 'Q8N2K1')"
"('Q9BT43', 'P25800')"
"('P60484', 'O60437')"
"('P27658', 'Q9UHD9')"
"('P15056', 'P46940')"
"('Q96LK0', 'Q70SY1')"
"('P62987', 'P35228')"
"('Q9ULD2', 'Q96T76')"
"('P13645', 'P38919')"
"('Q92731', 'P62753')"
"('O60291', 'Q01718')"
"('O95718', 'P68363')"
"('O75683', 'Q9HCE1')"
"('O75386', 'Q13118')"
"('Q93052', 'P61960')"
"('P06733', 'P30626')"
"('Q16543', 'P12931')"
"('P62879', 'P63096')"
"('Q6K0P9', 'P11047')"
"('Q9H2G2', 'Q9UIF9')"
"('Q9UHD9', 'Q8TD06')"
"('P01876', 'Q96NZ9')"
"('Q6ZN44', 'P43146')"
