negatives
"('O00339', 'P53420')"
"('Q9ULC4', 'Q9BSL1')"
"('O75569', 'Q7L5N1')"
"('P07355', 'Q9Y375')"
"('Q96RK4', 'Q15154')"
"('P09471', 'P53779')"
"('P63104', 'P48730')"
"('Q86W47', 'Q13698')"
"('Q969G5', 'P56539')"
"('P17066', 'P45984')"
"('P60709', 'O43353')"
"('P42771', 'P40337')"
"('O60290', 'P54259')"
"('Q13315', 'Q8N680')"
"('Q9Y2I6', 'Q7L590')"
"('P17931', 'P16144')"
"('P08069', 'O14508')"
"('P80075', 'P25024')"
"('P01106', 'P20807')"
"('O95376', 'Q9Y2X8')"
"('P26358', 'O75530')"
"('P60953', 'Q13576')"
"('P39748', 'P54132')"
"('P01303', 'P25929')"
"('P63167', 'Q9NRX3')"
"('Q13315', 'Q9NQ88')"
"('Q96DU7', 'Q8TD86')"
"('P21802', 'Q9H201')"
"('2310', 'P06493')"
"('Q13619', 'P61964')"
"('Q9Y4D1', 'O43318')"
"('P06239', 'P48736')"
"('P15056', 'P61981')"
"('P52797', 'P17948')"
"('Q9UMW8', 'P05161')"
"('P00533', 'Q13596')"
"('Q9NRI5', 'Q8TF05')"
"('O43920', 'Q16718')"
"('Q99684', 'Q15365')"
"('Q14247', 'P62993')"
"('P16220', 'Q9BXJ7')"
"('Q7Z6B7', 'P52198')"
"('P26012', 'Q13797')"
"('Q9NRL2', 'Q99459')"
"('Q00839', 'Q86V81')"
"('P29317', 'P98077')"
"('Q9P2H0', 'Q8IZ13')"
"('P30480', 'P25786')"
"('O00329', 'P42338')"
"('O14556', 'P78549')"
"('Q14164', 'P52434')"
"('Q8IXH7', 'P35606')"
"('Q9BTP7', 'Q9BXW9')"
"('O75865', 'Q9Y296')"
"('Q14209', 'P30281')"
"('Q8IW41', 'Q16659')"
"('P51681', 'Q13625')"
"('P34969', 'P61952')"
"('Q8WVM8', 'Q9P2Y5')"
"('P03950', 'Q15904')"
"('P51825', 'Q03164')"
"('Q8N264', 'Q92730')"
"('Q8IYH5', 'O43318')"
"('Q00005', 'P26196')"
"('P49662', 'O95347')"
"('Q7L7L0', 'Q16778')"
"('Q9UJS0', 'Q9HCK5')"
"('P38432', 'P52292')"
"('Q9Y371', 'Q9P2Y5')"
"('Q8N2W9', 'P38398')"
"('P54257', 'P42858')"
"('O14964', 'Q15796')"
"('Q9Y478', 'Q16877')"
"('Q13191', 'Q8N6P7')"
"('P13987', 'P63010')"
"('Q9GZM5', 'O15162')"
"('P01019', 'P42224')"
"('P48047', 'P40337')"
"('Q9UGI9', 'P13569')"
"('P33992', 'Q92794')"
"('P42229', 'P20963')"
"('Q14444', 'P30480')"
"('P60520', 'P47870')"
"('Q9Y5J3', 'Q13571')"
"('P78364', 'Q8IXK0')"
"('P27797', 'P78545')"
"('O15360', 'P38398')"
"('O75821', 'O15371')"
"('Q8N6T7', 'Q9UKW6')"
"('P40337', 'Q15286')"
"('Q9UHD2', 'P0CG48')"
"('Q12904', 'P45983')"
"('P26639', 'Q9Y478')"
"('P30304', 'P62258')"
"('P54252', 'Q01844')"
"('Q9BRP4', '343477')"
"('O95477', 'Q96RT1')"
"('P67870', 'Q03014')"
"('O15371', 'P05198')"
"('O43318', 'Q9UDY8')"
"('Q68EM7', 'P60763')"
"('P0CG48', 'O60566')"
"('Q96RN5', 'Q15796')"
"('P62314', 'P26641')"
"('Q15942', 'Q9UKW4')"
"('P10301', 'P12931')"
"('P62258', 'P08238')"
"('O95239', 'O43663')"
"('Q14197', 'Q9Y277')"
"('P52756', 'Q07955')"
"('Q99759', 'Q14160')"
"('P62906', 'P62424')"
"('P55774', 'P51685')"
"('Q96AH8', 'P29372')"
"('Q13485', 'Q8N6K7')"
"('Q9H2V7', 'P10415')"
"('P27361', 'P04054')"
"('O95400', 'Q13247')"
"('P42574', 'O95760')"
"('Q8WYR1', 'P15153')"
"('Q92963', 'Q9HCE7')"
"('Q9UNM6', 'P55036')"
"('O14733', 'Q13573')"
"('Q9Y5J5', 'Q9Y5L0')"
"('Q9H3G5', 'Q9NSA3')"
"('Q9UKL4', 'P17302')"
"('O14776', 'Q99728')"
"('O95163', 'O43318')"
"('P55345', 'Q96MA1')"
"('Q07157', 'P26232')"
"('Q9UHR4', 'P48023')"
"('Q96BQ3', 'P62837')"
"('Q13554', 'Q9NZT1')"
"('P49790', 'Q9UBU9')"
"('P41586', 'O14775')"
"('Q96JB5', 'Q7RTX8')"
"('Q13243', 'Q14103')"
"('O14717', 'Q16623')"
"('P18146', 'Q14978')"
"('P10301', 'O00329')"
"('Q9P286', 'Q9Y241')"
"('P20226', 'Q01658')"
"('Q9Y265', 'P35398')"
"('O95208', 'P07949')"
"('P29466', 'Q9NZH6')"
"('Q96N67', 'P15153')"
"('P24941', 'P12830')"
"('P62136', 'P42263')"
"('P01241', 'Q9UHF4')"
"('Q16539', 'Q6IN85')"
"('Q63HR2', 'P05556')"
"('Q9Y4K3', 'P37802')"
"('P60709', 'Q96A23')"
"('P46783', 'O95785')"
"('P63261', 'Q8TDR0')"
"('Q15365', 'P52756')"
"('P49674', 'Q7L7X3')"
"('P63167', 'P30480')"
"('A4D0S4', 'P18564')"
"('P60709', 'P63261')"
"('P46781', 'P62263')"
"('Q13557', 'Q14524')"
"('Q9Y3P9', 'P60520')"
"('P01566', 'P26992')"
"('P51636', 'P35222')"
"('Q15047', 'P02766')"
"('Q9UBF8', 'Q9H3P7')"
"('Q92900', 'Q6P2E9')"
"('Q93062', 'Q9UJX2')"
"('Q9UKE5', 'Q15008')"
"('Q9NS91', 'Q99638')"
"('P27658', 'Q9NRR5')"
"('Q12933', 'O94972')"
"('P45379', 'P68032')"
"('P35626', 'Q8NGA1')"
"('P33993', 'O75419')"
"('P62633', 'P61626')"
"('Q9UET6', 'P62491')"
"('P07910', 'Q15366')"
"('P82663', 'Q14197')"
"('P52945', 'Q9UM73')"
"('Q07666', 'P22681')"
"('P49674', 'Q16625')"
"('Q14008', 'P12931')"
"('P45984', 'P19838')"
"('Q92731', 'Q9BT22')"
"('P01106', 'P06493')"
"('Q68CP9', 'Q13952')"
"('O75578', 'P50552')"
"('Q8N5V2', 'Q9BPY3')"
"('A6NL08', 'P38405')"
"('Q14653', 'P05015')"
"('P62158', 'P25963')"
"('P09874', 'Q01094')"
"('P17301', 'P56199')"
"('P01566', 'Q99062')"
"('P01892', 'P61769')"
"('Q9BVW5', 'Q7L590')"
"('Q08945', 'P25205')"
"('Q9Y3B3', 'O43187')"
"('P17081', 'Q13153')"
"('Q00887', 'P51681')"
"('Q13049', 'P98170')"
"('P35637', 'P56537')"
"('P41235', 'Q6Q788')"
