negatives
"('P30085', 'P56537')"
"('Q15172', 'Q9UPR3')"
"('P28221', 'P50150')"
"('P02647', 'P05067')"
"('P19532', 'P35244')"
"('Q9Y6N6', 'Q14118')"
"('Q15393', 'O15121')"
"('Q9GZV9', 'P29317')"
"('P49841', 'P42261')"
"('Q16666', 'P51532')"
"('P07332', 'P20936')"
"('O14788', 'P61968')"
"('P04792', 'P43360')"
"('Q03135', 'P06241')"
"('O75771', 'O43502')"
"('Q12873', 'Q14839')"
"('Q9Y4K3', 'P12270')"
"('P07766', 'Q14790')"
"('Q99719', 'Q16659')"
"('Q99814', 'Q8NFJ9')"
"('P04899', 'P49795')"
"('P62158', 'P63104')"
"('P21246', 'P78537')"
"('Q99708', 'P38398')"
"('407018', 'Q01196')"
"('Q15562', 'Q9HCS4')"
"('P07359', 'P48736')"
"('P16104', 'Q9BXW9')"
"('Q01081', 'Q05519')"
"('Q8IUQ4', 'O75800')"
"('P35626', 'Q8NGH7')"
"('P00519', 'Q9ULH1')"
"('O43677', 'O95167')"
"('P32969', 'P05387')"
"('Q9UKK6', 'Q9UBU9')"
"('Q96A00', 'P48729')"
"('O15198', 'Q96S59')"
"('Q15796', 'P53355')"
"('Q6P2Q9', 'Q7KZF4')"
"('Q13315', 'Q6ZWJ1')"
"('Q92830', 'Q96JK9')"
"('Q9P2S5', 'Q9UQE7')"
"('P31947', 'Q71H61')"
"('Q9NYJ8', 'Q9UQL6')"
"('O00291', 'Q9NWB7')"
"('Q03164', 'Q9UBL3')"
"('P30101', 'Q86YB8')"
"('P18146', 'Q06136')"
"('P17676', 'P40763')"
"('P61247', 'Q9Y6K9')"
"('Q9HCM9', 'P51668')"
"('P29317', 'P00519')"
"('Q9UGN5', 'P35222')"
"('P18621', 'P83881')"
"('Q9Y572', 'O15519')"
"('P16333', 'Q8IZD9')"
"('O43809', 'P29372')"
"('Q01094', 'O75461')"
"('Q8IUQ4', 'P61086')"
"('P14174', 'Q92956')"
"('Q9GZT9', 'Q99814')"
"('P49023', 'P02751')"
"('Q99558', 'P08238')"
"('O15031', 'P63000')"
"('Q12789', 'Q9Y5Q9')"
"('O43474', 'P04637')"
"('P49903', 'Q9UBN6')"
"('Q8IW19', 'P78527')"
"('Q9Y4K3', 'P43487')"
"('Q01955', 'Q13797')"
"('P28482', 'Q8N122')"
"('O95257', 'P21246')"
"('P08034', 'Q16625')"
"('P62857', 'P26641')"
"('Q7Z3K3', 'P52735')"
"('P06400', 'Q15022')"
"('P60709', 'Q16637')"
"('P08246', 'Q96KQ7')"
"('Q07912', 'P10911')"
"('P20226', 'Q9HC52')"
"('P61073', 'P25490')"
"('P62993', 'Q09472')"
"('P50991', 'P67775')"
"('P27797', 'P02745')"
"('P61803', 'P11171')"
"('P09467', 'Q9UBU9')"
"('Q13155', 'Q8IZ69')"
"('Q13112', 'P51679')"
"('Q13315', 'O60232')"
"('P62917', 'Q9NXU5')"
"('P36873', 'Q96SB3')"
"('P03897', 'O75438')"
"('P0C1Z6', 'P55199')"
"('Q9NWA0', 'Q9UHW5')"
"('Q13237', 'Q9UHL9')"
"('P17948', 'Q00722')"
"('P49336', 'O60244')"
"('Q06732', 'P54257')"
"('P19838', 'P25963')"
"('P78317', 'P62837')"
"('O75925', 'Q15744')"
"('Q99759', 'P54652')"
"('Q8WXH5', 'P42224')"
"('P84996', 'P12931')"
"('Q8IY92', 'P78539')"
"('Q99956', 'P53778')"
"('P62993', 'P04040')"
"('P32121', 'Q8N127')"
"('P60709', 'P26232')"
"('Q07960', 'P52198')"
"('O75558', 'P25788')"
"('P60228', 'P56537')"
"('Q9NRR5', 'O15259')"
"('O95817', 'O43187')"
"('Q14332', 'P78352')"
"('P49796', 'P29992')"
"('O43752', 'P46459')"
"('Q03519', 'P04222')"
"('Q9UM73', 'Q9P0L2')"
"('P52732', 'Q13573')"
"('Q9UJZ1', 'P62258')"
"('O75663', 'Q8IY92')"
"('Q8IWV7', 'Q07817')"
"('P10144', 'P52565')"
"('P16333', 'O00750')"
"('Q8IVL0', 'P25054')"
"('P48736', 'Q13393')"
"('P49840', 'Q9Y2T1')"
"('O95163', 'P01106')"
"('O14640', 'Q7KZI7')"
"('Q15717', 'P18847')"
"('Q9NRL3', 'Q9BT17')"
"('P21860', 'Q99963')"
"('P51668', 'P38936')"
"('Q9BY77', 'Q09161')"
"('Q9H0K1', 'P30154')"
"('P17066', 'O60603')"
"('O14503', 'Q9H0E2')"
"('P27695', 'P56537')"
"('P49642', 'P49643')"
"('Q68CP9', 'Q92922')"
"('P08754', 'Q8WYR1')"
"('Q9BQ66', 'Q14781')"
"('O14543', 'O14654')"
"('P21815', 'P56199')"
"('P13010', 'Q10586')"
"('P35555', 'P31151')"
"('Q14164', 'P58876')"
"('Q9BVA1', 'Q96NA2')"
"('Q9Y6Q9', 'Q6PL18')"
"('O75365', 'Q86Y56')"
"('Q96BR9', 'P15622')"
"('Q9UI36', 'P63279')"
"('P98177', 'Q00987')"
"('Q13573', 'P35249')"
"('Q15669', 'Q12809')"
"('407025', 'Q01453')"
"('P27797', 'Q9UBN6')"
"('P07996', 'P05106')"
"('P05771', 'P47712')"
"('Q05516', 'Q14192')"
"('P28066', 'P55036')"
"('P27540', 'P04075')"
"('P35354', 'Q13616')"
"('Q9P2H0', 'O75569')"
"('Q92527', 'P18146')"
"('P25054', 'Q8NF91')"
"('P12980', 'P47928')"
"('O14641', 'Q155Q3')"
"('Q08881', 'P52735')"
"('Q14738', 'Q8IZS8')"
"('Q99873', 'P02778')"
"('Q96GD4', 'Q13573')"
"('P41182', 'Q9NRA8')"
"('Q8NGN1', 'P38405')"
"('P21580', 'Q13571')"
"('Q9NWA0', 'Q9BTT4')"
"('P15336', 'P15408')"
"('P08670', 'Q92956')"
"('Q9Y5Q3', 'O14867')"
"('Q9UHC6', 'Q02246')"
"('Q15019', 'Q96RY5')"
"('Q05086', 'Q9H6J7')"
"('Q86SQ0', 'Q7Z460')"
"('Q13976', 'Q12791')"
"('O15360', 'Q6STE5')"
"('P25942', 'Q13077')"
"('Q6VAB6', 'Q02750')"
"('Q14203', 'P55210')"
"('P01024', 'P17927')"
"('O75400', 'Q15238')"
"('P58876', 'Q9P0M6')"
"('Q16658', 'P21796')"
"('P19174', 'Q86YH6')"
"('P05121', 'P00750')"
"('O43374', 'P01111')"
"('P35658', 'P84022')"
"('O95819', 'P11940')"
"('O15541', 'Q12906')"
"('P62847', 'P62081')"
"('O75970', 'P56856')"
"('Q9UKS6', 'P30086')"
"('P34931', 'P13569')"
"('Q06124', 'P08729')"
"('Q9ULK4', 'Q8TB72')"
"('Q9NPJ8', 'Q9GZY0')"
"('Q13111', 'P68400')"
"('P06756', 'P01111')"
"('Q08211', 'P62993')"
"('P19387', 'P61218')"
"('P12931', 'Q92569')"
"('Q8NHJ6', 'O75015')"
"('P60953', 'Q15286')"
"('O15160', 'Q9H9Y6')"
"('Q92914', 'P22455')"
"('P22314', 'P63104')"
"('P56880', 'O95832')"
"('P68431', 'O00257')"
"('Q12929', 'Q07890')"
"('A0JLT2', 'Q9UHV7')"
"('P61586', 'Q07889')"
"('O00418', 'Q9UBS0')"
"('O43175', 'Q99759')"
"('Q14164', 'P30520')"
"('P20702', 'P56945')"
"('P62879', 'Q99677')"
"('P17693', 'Q99706')"
"('P26373', 'P36578')"
"('O15551', 'P56750')"
"('P08620', 'P17948')"
"('Q15303', 'P35222')"
"('Q07869', 'Q96F24')"
"('Q01968', 'P20339')"
"('P50150', 'P63096')"
"('Q13043', 'Q9H492')"
"('O15460', 'P16104')"
"('Q14192', 'Q13642')"
"('P17947', 'P62380')"
"('Q02779', 'P35232')"
"('Q16520', 'Q10587')"
"('O95400', 'O75937')"
"('Q9Y383', 'P49321')"
"('P52198', 'O96013')"
"('Q10586', 'P49736')"
"('P35626', 'O95918')"
"('P18859', 'P24539')"
"('P43146', 'O95185')"
"('Q9UBU2', 'O75581')"
"('Q9HB71', 'P62330')"
"('Q9BST9', 'P63000')"
"('Q9UKI2', 'P60953')"
"('Q9NQ25', 'Q9H2G2')"
"('P39019', 'P08865')"
"('Q9NPI1', 'O00231')"
"('Q9BUZ4', 'Q9Y4K3')"
"('P36578', 'Q07020')"
"('P19878', 'Q02556')"
"('P52948', 'Q96EE3')"
"('P62491', 'P50395')"
"('Q13522', 'P31749')"
"('P34932', 'O15379')"
"('O00231', 'P48556')"
"('P43243', 'Q99459')"
"('Q92569', 'P30530')"
"('P08107', 'P63104')"
"('Q9NZN5', 'P84095')"
"('Q13151', 'P26368')"
"('Q9H9V4', 'O14933')"
"('P38936', 'P07858')"
"('Q9H9G7', 'Q9UPQ9')"
"('P26447', 'P16871')"
"('Q92844', 'Q9Y4K4')"
"('Q96CF2', 'Q9H444')"
"('P25205', 'Q13415')"
"('Q13574', 'Q9UM73')"
"('P20618', 'Q15714')"
"('O14920', 'Q13501')"
"('O43678', 'O95169')"
"('Q9HCU9', 'Q5UIP0')"
"('P29466', 'Q9ULZ3')"
"('P15923', 'P12980')"
"('P62847', 'P39019')"
"('P12004', 'P18887')"
"('P61981', 'Q86TI0')"
"('P14416', 'P63215')"
"('Q9Y6F9', 'O75084')"
"('P01106', 'O96019')"
"('Q96CW9', 'Q01844')"
"('Q15287', 'Q9BTD8')"
"('P20671', 'Q96DB2')"
"('Q9UIA9', 'O75365')"
"('P42772', 'O15145')"
"('Q08209', 'Q9NPC6')"
"('Q8N6Y0', 'Q9P2K6')"
"('P57077', 'Q13227')"
"('Q15038', 'Q96HB5')"
"('P31749', 'P00533')"
"('Q96G25', 'Q9NX70')"
"('O15399', 'O43497')"
"('P12034', 'Q07889')"
"('P11142', 'Q9UKG9')"
"('Q92765', 'Q8TAM1')"
"('P31749', 'Q9H7J1')"
"('O43815', 'Q9Y3A3')"
"('P21796', 'P81605')"
"('Q96T21', 'Q14CW9')"
"('P29508', 'P07711')"
"('P55075', 'P09619')"
"('Q13557', 'P15336')"
"('Q9BQ90', 'Q86TM6')"
"('O14964', 'Q9UMX0')"
"('P05783', 'P61981')"
"('Q8IYW5', 'Q9Y3C5')"
"('P62979', 'P04626')"
"('Q9BUE0', 'Q9NWA0')"
"('O75400', 'Q86Z02')"
"('O75832', 'P62195')"
"('Q9Y5K6', 'P08631')"
"('P53007', 'Q9HCK5')"
"('Q9H469', 'P46934')"
"('Q9HBF4', 'Q07817')"
"('P25963', 'P61201')"
"('Q6DRA6', 'Q9UBL3')"
"('P13501', 'P51677')"
"('O00231', 'P55036')"
"('Q9H1C4', 'Q96N66')"
"('P54259', 'Q9Y4B4')"
"('Q8WUM4', 'Q14289')"
"('P62979', 'P15880')"
"('P49368', 'Q9NX70')"
"('Q92835', 'Q13588')"
"('Q8IY92', 'Q969S9')"
"('P20273', 'Q96CW1')"
"('P60520', 'P54577')"
"('P17535', 'P20702')"
"('P36873', 'Q06432')"
"('P21246', 'O00193')"
"('Q9UQM7', 'P49593')"
"('Q99759', 'P27708')"
"('P05387', 'P62888')"
"('O14640', 'Q76N89')"
"('Q3ZCM7', 'P51149')"
"('Q9UBC1', 'Q7Z794')"
"('P42858', 'Q02779')"
"('P21127', 'Q13153')"
"('Q16659', 'Q9UQ90')"
"('Q08043', 'P06756')"
"('P40337', 'Q9UBQ5')"
"('P59768', 'Q00975')"
"('Q05209', 'P06239')"
"('Q9UNE7', 'P11142')"
"('P67870', 'Q13111')"
"('P62993', 'P28340')"
"('Q9HAU4', 'P19429')"
"('P48436', 'P10275')"
"('O43684', 'Q13257')"
"('O94805', 'P51532')"
"('P15924', 'Q02156')"
"('Q99459', 'Q9HAU5')"
"('P18031', 'O14939')"
"('Q9Y3A3', 'Q14BN4')"
"('P10600', 'Q8NER5')"
"('P42768', 'P68032')"
"('P62995', 'P84103')"
"('O15198', 'Q8IZL8')"
"('Q86YM7', 'Q14571')"
"('O95897', 'Q13243')"
"('Q71U36', 'Q96NA2')"
"('P19438', 'Q8WXG6')"
"('Q07157', 'Q15149')"
"('P01106', 'Q16549')"
"('Q96BD5', 'O60341')"
"('P83436', 'Q9H9E3')"
"('Q9UJU2', 'Q92793')"
"('Q92692', 'Q16659')"
"('Q8TAQ2', 'Q10586')"
"('P16473', 'O60674')"
"('Q99942', 'P0CG48')"
"('Q8WW38', 'P43694')"
"('Q9P0V3', 'P11021')"
"('P39748', 'P61421')"
"('P49459', 'Q92541')"
"('Q86Y56', 'O00264')"
"('P49767', 'P35916')"
"('P52735', 'P62993')"
"('Q12809', 'P31689')"
"('P28908', 'Q13114')"
"('Q155Q3', 'O14641')"
"('P68032', 'P45379')"
"('P62857', 'P46782')"
"('O60828', 'P55795')"
"('Q5VTD9', 'Q59EK9')"
"('Q92901', 'P18077')"
"('Q08AD1', 'P61981')"
"('P04626', 'Q9UQC2')"
"('P61978', 'P27986')"
"('P03372', 'P23771')"
"('O14980', 'O15504')"
"('Q13077', 'P01857')"
"('Q15717', 'P07333')"
"('P18827', 'P21926')"
"('P08572', 'P16144')"
"('Q9NX70', 'P61218')"
"('P33076', 'P08047')"
"('P61224', 'P61586')"
"('P12980', 'O95391')"
"('P18146', 'Q9NZN8')"
"('Q15366', 'Q13151')"
"('P01127', 'P08069')"
"('Q13409', 'Q6PEY2')"
"('Q13573', 'Q5RKV6')"
"('P63104', 'Q96CV9')"
"('P18146', 'Q06609')"
"('O15255', 'P00519')"
"('Q13322', 'Q96KG7')"
"('P30480', 'P67812')"
"('Q9Y248', 'Q9BVW5')"
"('Q9UGJ0', 'P54840')"
"('Q13573', 'Q99986')"
"('O14641', 'Q04206')"
"('Q14938', 'O00712')"
"('Q15796', 'O15198')"
"('Q9HAU5', 'Q92900')"
"('Q8NEV8', 'P25054')"
"('P30084', 'Q969Q1')"
"('P01106', 'P62995')"
"('Q06187', 'Q9NR96')"
"('Q92585', 'Q9UM47')"
"('Q9Y230', 'Q9Y572')"
"('P52948', 'Q9GZY0')"
"('P20073', 'O60551')"
"('O14745', 'P51790')"
"('Q9Y5W5', 'Q9GZT5')"
"('P08651', 'Q9H0I9')"
"('Q9BVI0', 'P62805')"
"('P43686', 'Q9UL46')"
"('P08571', 'O00206')"
"('O43493', 'Q7Z3C6')"
"('Q9Y6E0', 'P62714')"
"('P26010', 'Q9HBI0')"
"('P30450', 'Q9NYU2')"
"('Q9H4W6', 'P13521')"
"('P55957', 'P99999')"
"('O00255', 'P19838')"
"('P60568', 'Q8IU57')"
"('Q96FV9', 'Q13573')"
"('P12956', 'P15498')"
"('Q13895', 'Q99558')"
"('P27361', 'Q13485')"
"('P46779', 'Q07020')"
"('P68363', 'Q8NCM8')"
"('O95229', 'O14777')"
"('P10809', 'P12830')"
"('P43405', 'Q13191')"
"('Q7KZI7', 'Q99759')"
"('Q16665', 'Q9NWT6')"
"('P07195', 'P16871')"
"('Q9NTI5', 'O43521')"
"('P61289', 'Q00987')"
"('P12931', 'Q14194')"
"('Q8IZ40', 'P36575')"
"('P61160', 'Q9P1U1')"
"('P04792', 'P13569')"
"('Q13509', 'Q14155')"
"('P13501', 'P51685')"
"('O15264', 'P30041')"
"('Q13485', 'P31269')"
"('Q13485', 'P35222')"
"('Q9GZM8', 'P49023')"
"('P49407', 'P45985')"
"('Q13797', 'P05106')"
"('O76071', 'Q16082')"
"('Q9H2X6', 'P63165')"
"('Q9BSJ2', 'P49642')"
"('Q07021', 'P19438')"
"('P61981', 'P27986')"
"('P12643', 'Q14689')"
"('P11142', 'Q8TDR0')"
"('P42771', 'P63279')"
"('Q9BT40', 'P04183')"
"('P30876', 'Q08211')"
"('P50914', 'P84098')"
"('P58107', 'O14717')"
"('O00571', 'O75554')"
"('Q09028', 'P49450')"
"('P01106', 'Q9H825')"
"('P61247', 'P62753')"
"('Q07817', 'Q9HC38')"
"('O75398', 'P04183')"
"('Q9P0W0', 'P17181')"
"('Q86UA6', 'P07437')"
"('Q9Y2Q3', 'Q9BYJ9')"
"('P41159', 'P48357')"
"('P01137', 'P05067')"
"('P43405', 'P21860')"
"('P67775', 'P42229')"
"('P15882', 'P61586')"
"('Q92793', 'Q00403')"
"('P05106', 'P01111')"
"('P30793', 'Q99962')"
"('Q5VWK5', 'P42701')"
"('P63162', 'Q6Y7W6')"
"('Q04637', 'Q13177')"
"('P38159', 'P31943')"
"('Q9Y2D8', 'P55196')"
"('Q9Y4A5', 'O94864')"
"('Q16665', 'P35790')"
"('Q9ULV8', 'P48357')"
"('P62837', 'Q96GF1')"
"('Q13315', 'O00562')"
"('P33076', 'P15923')"
"('Q6DKJ4', 'Q96FZ7')"
"('Q9NS56', 'P51668')"
"('Q12933', 'O14836')"
"('P55084', 'Q59H18')"
"('P07585', 'P01137')"
"('P52735', 'Q8WZ42')"
"('P11802', 'O75182')"
"('Q9UBN6', 'P99999')"
"('P28340', 'P37173')"
"('P40763', 'P01579')"
"('Q13247', 'Q14683')"
"('P53708', 'P08648')"
"('Q13573', 'P07437')"
"('Q00613', 'P11142')"
"('Q9H0H5', 'P61586')"
"('Q9NYJ8', 'Q9Y6R0')"
"('P12429', 'Q92979')"
"('O00233', 'Q15008')"
"('Q9HAU4', 'P48788')"
"('O43379', 'O14733')"
"('P98171', 'Q92730')"
"('Q13145', 'Q9ULW2')"
"('P01106', 'Q14839')"
"('P06733', 'P62993')"
"('Q96IP4', 'Q92743')"
"('P04217', 'Q16637')"
"('P20929', 'Q8WZ42')"
"('P06493', 'Q8NE35')"
"('Q15366', 'Q99459')"
"('P05091', 'Q8N357')"
"('Q8N5R6', 'Q96KQ7')"
"('P08865', 'P62857')"
"('P15498', 'P19235')"
"('P10070', 'P18146')"
"('P00519', 'P62993')"
"('P05412', 'Q00005')"
"('Q9UFF9', 'P15311')"
"('P46939', 'Q08209')"
"('P01106', 'Q9UJ70')"
"('P35625', 'Q9UNA0')"
"('Q15834', 'Q9BWG6')"
"('Q96A49', 'Q16891')"
"('Q9Y6N7', 'O75044')"
"('O15145', 'P25025')"
"('O75530', 'Q8IZ13')"
"('O95760', 'P62807')"
"('Q96F46', 'Q9Y4K3')"
"('Q9H2G2', 'P56945')"
"('Q14596', 'Q9GZQ8')"
"('O15360', 'P46108')"
"('P32121', 'P58170')"
"('O00168', 'P50993')"
"('O14512', 'Q5VWK5')"
"('O43586', 'P46779')"
"('Q9NYY3', 'Q99570')"
"('P01834', 'Q96JB5')"
"('Q96DB2', 'P0C1H6')"
"('P55060', 'Q9Y6K9')"
"('Q13952', 'P35625')"
"('P32121', 'O76001')"
"('Q5VTD9', 'Q9P2E2')"
"('P60709', 'Q07666')"
"('Q14626', 'P23458')"
"('Q13156', 'P27694')"
"('Q14831', 'P63211')"
"('P63092', 'P51828')"
"('P04141', 'P05412')"
"('P05155', 'P02746')"
"('Q05084', 'P26441')"
"('P27986', 'P30530')"
"('P49716', 'Q9UBT7')"
"('Q5T3J3', 'O14737')"
"('Q9Y2P4', 'P08670')"
"('O43318', 'P12757')"
"('O75116', 'O14986')"
"('Q00653', 'P42081')"
"('Q96NT0', 'Q05513')"
"('Q13424', 'Q96G25')"
"('P04183', 'O60383')"
"('P83881', 'P50914')"
"('P22694', 'Q92806')"
"('Q99880', 'Q9UQL6')"
"('P01242', 'P78552')"
"('Q15843', 'Q15393')"
"('P54253', 'Q96T58')"
"('O95990', 'Q15834')"
"('Q9Y4K3', 'Q9BXL7')"
"('P27986', 'Q9BWW9')"
"('P61952', 'Q96PN6')"
"('O75626', 'P23497')"
"('P51948', 'P33993')"
"('P43003', 'P20333')"
"('O00238', 'Q9H5K3')"
"('P23634', 'P20273')"
"('Q8NGV6', 'P38405')"
"('Q14192', 'Q8WUM4')"
"('P30153', 'P62955')"
"('P08311', 'P55210')"
"('P05549', 'P06748')"
"('Q13748', 'Q13233')"
"('P10914', 'P62987')"
"('Q99459', 'O60716')"
"('O15479', 'P61247')"
"('P27824', 'O15264')"
"('P61981', 'Q13111')"
"('P39656', 'Q9UKV8')"
"('P00533', 'Q12929')"
"('P05386', 'P46777')"
"('O43909', 'P06241')"
"('Q16665', 'Q14764')"
"('Q09161', 'Q9Y2Q3')"
"('Q8N109', 'O43914')"
"('Q9UK53', 'Q9HCU9')"
"('O96000', 'O95298')"
"('O15479', 'P62807')"
"('P62736', 'P35221')"
"('P62826', 'O15264')"
"('P09471', 'Q15147')"
"('P62945', 'P18077')"
"('Q16659', 'Q8NAF0')"
"('O15357', 'Q13588')"
"('O95071', 'O95402')"
"('Q14164', 'O75533')"
"('Q5SRE5', 'O75365')"
"('P00533', 'P52294')"
"('Q02543', 'P83731')"
"('P20783', 'Q16620')"
"('Q9BRV8', 'P50402')"
"('P05556', 'Q9HBI0')"
"('P22694', 'Q05469')"
"('P21860', 'P08631')"
"('P32121', 'P32298')"
"('P62745', 'P35555')"
"('Q86YH6', 'P06241')"
"('O75533', 'Q9Y3B4')"
"('O75815', 'P12268')"
"('O60684', 'Q96B97')"
"('P07437', 'O95793')"
"('Q9NX09', 'P34932')"
"('Q8WUM4', 'Q9UNY4')"
"('P54253', 'Q6ZVL6')"
"('P33778', 'Q96DB2')"
"('Q16619', 'P31314')"
"('P16220', 'Q6ZV73')"
"('P78369', 'O95471')"
"('Q00341', 'P43360')"
"('P35968', 'Q9NQ66')"
"('P42768', 'P12931')"
"('Q13330', 'P04628')"
"('P98175', 'Q92620')"
"('Q13485', 'O60231')"
"('Q9Y613', 'P25054')"
"('O00602', 'P26022')"
"('Q96HY6', 'Q96JB5')"
"('P05107', 'Q03405')"
"('Q13485', '114614')"
"('P63173', 'P40429')"
"('P42702', 'P40189')"
"('Q92905', 'Q86SZ2')"
"('Q92692', 'Q15223')"
"('P08670', 'Q9BZW7')"
"('Q9H1D9', 'Q9NVU0')"
"('P49023', 'Q08043')"
"('P17676', 'P17947')"
"('P16452', 'Q99684')"
"('P12643', 'O00238')"
"('O95714', 'P60953')"
"('Q6ZTQ3', 'Q13188')"
"('Q8NAV1', 'Q8TBK6')"
"('P61586', 'Q9NNX6')"
"('Q07889', 'P53708')"
"('P17252', 'P10301')"
"('Q13573', 'Q86UV5')"
"('P61201', 'O95863')"
"('P24385', 'Q14188')"
"('Q9Y262', 'P50570')"
"('Q9UBU3', 'P28221')"
"('O43896', 'P62258')"
"('Q13573', 'O60841')"
"('Q15291', 'Q9UHD2')"
"('Q8IXK0', 'P78364')"
"('Q13501', 'Q969Q1')"
"('P39023', 'P62987')"
"('O60938', 'Q08209')"
"('Q13573', 'Q14527')"
"('P13612', 'P06756')"
"('Q13761', 'P15884')"
"('P25208', 'Q15011')"
"('Q9HC98', 'Q7Z6G3')"
"('O95433', 'O43918')"
"('Q8NG81', 'P38405')"
"('P10827', 'Q92831')"
"('Q14197', 'Q8N0V3')"
"('P62273', 'O94817')"
"('Q13546', 'P07437')"
"('Q16663', 'P08246')"
"('Q96B02', 'P42330')"
"('P46379', 'Q969H8')"
"('O43294', 'P84022')"
"('Q8N2S1', 'Q5VTD9')"
"('P62140', 'O60237')"
"('Q9BRP8', 'P62829')"
"('Q14790', 'Q9BXL7')"
"('P26368', 'P26196')"
"('P18621', 'P61927')"
"('Q96RU7', 'Q04206')"
"('P21675', 'Q5VTD9')"
"('P04637', 'Q8NA92')"
"('Q14103', 'P16104')"
"('Q9Y4K3', 'Q9UM73')"
"('Q92831', 'P27986')"
"('Q9H307', 'Q15287')"
"('P21675', 'P24385')"
"('Q16659', 'P60002')"
"('O00193', 'Q14703')"
"('Q9ULV8', 'P00533')"
"('Q8NF50', 'Q96L33')"
"('Q15717', 'P61026')"
"('Q99460', 'P19532')"
"('Q01196', 'P84022')"
"('Q9UQ80', 'Q14164')"
"('P60709', 'Q14240')"
"('Q99459', 'Q6P1J9')"
"('Q92620', 'P52756')"
"('P06493', 'Q9UIV1')"
"('P51668', 'Q96PM9')"
"('P22455', 'P19174')"
"('Q14209', 'P49736')"
"('Q16659', 'P55060')"
"('P55347', 'P40425')"
"('B1A4H9', 'Q01344')"
"('P39656', 'Q86WV6')"
"('P45983', 'P10276')"
"('Q9NR96', 'Q8IUD2')"
"('P30480', 'Q7KZF4')"
"('O15111', 'Q13489')"
"('Q92574', 'Q8NI35')"
"('Q9BQ67', 'Q99558')"
"('O75367', 'P33778')"
"('Q16363', 'Q13432')"
"('Q92597', 'P12236')"
"('P23229', 'O15230')"
"('P61158', 'O15143')"
"('P35244', 'Q15714')"
"('P98175', 'P84077')"
"('Q14164', 'P19105')"
"('Q13077', 'Q9H857')"
"('Q53F19', 'P31942')"
"('P62158', 'P54750')"
"('Q9NVC6', 'Q71F56')"
"('Q96ID5', 'P84090')"
"('P21673', 'Q12873')"
"('Q15596', 'P35398')"
"('O95747', 'O00238')"
"('Q9HBE5', 'P10914')"
"('O75618', 'Q8WXF8')"
"('P37802', 'P16871')"
"('O60573', 'Q9NRA8')"
"('O95400', 'Q9P2D0')"
"('Q9UJX2', 'Q96GM5')"
"('Q9H3U1', 'Q13418')"
"('P60709', 'P68032')"
"('P18146', 'P40313')"
"('O60264', 'Q92769')"
"('Q13200', 'Q9UNM6')"
"('Q9NYF8', 'Q15287')"
"('P17612', 'Q9H1R3')"
"('Q9HC24', 'P30086')"
"('Q9Y2K6', 'Q9P0L0')"
"('406947', 'Q14164')"
"('Q12933', 'Q92844')"
"('P10071', 'P49336')"
"('Q14164', 'Q6XUX3')"
"('Q96CW1', 'Q7Z7J5')"
"('Q16514', 'P06899')"
"('P41597', 'P32121')"
"('O14818', 'P17861')"
"('Q9BTK6', 'Q15788')"
"('P02814', 'Q8TAX7')"
"('P41240', 'P23470')"
"('P49336', 'Q96RN5')"
"('Q13535', 'Q9UNP9')"
"('P21709', 'P20936')"
"('O75815', 'P29692')"
"('O14974', 'Q99759')"
"('O43676', 'O95167')"
"('P17081', 'Q9UPT5')"
"('Q9UPY6', 'Q9BPX5')"
"('P05388', 'P18077')"
"('Q99594', 'P46937')"
"('P10415', 'P21796')"
"('P06756', 'P46108')"
"('P12314', 'B5ME96')"
"('Q9Y5V3', 'P46379')"
"('O95816', 'Q15008')"
"('Q13418', 'P49841')"
"('Q96RI1', 'P04406')"
"('Q14194', 'P14555')"
"('P34896', 'O95084')"
"('O75175', 'Q9NZN8')"
"('Q99570', 'Q9Y243')"
"('Q9BPX7', 'Q8NHQ1')"
"('P12004', 'P36873')"
"('Q96GD4', 'P68431')"
"('P54725', 'P08107')"
"('Q13404', 'P61088')"
"('Q9HCK5', 'P18085')"
"('Q96EB6', 'P16403')"
"('P60568', 'P42701')"
"('Q02556', 'Q06124')"
"('Q71U36', 'Q13509')"
"('Q5T0N5', 'Q92995')"
"('P04156', 'P32004')"
"('P07737', 'Q5UIP0')"
"('Q03518', 'P63165')"
"('Q9H1A4', 'O95067')"
"('P52735', 'P00533')"
"('O15479', 'P62249')"
"('Q92993', 'Q6AZZ1')"
"('P18084', 'P30101')"
"('P29401', 'Q9H1Y0')"
"('Q9C0J8', 'P26641')"
"('Q8TEW0', 'O15105')"
"('Q9NS91', 'P12004')"
"('P84098', 'P62913')"
"('Q99459', 'Q00839')"
"('P05771', 'Q13233')"
"('O96018', 'Q92844')"
"('Q9Y6M9', 'P17568')"
"('Q6P2Q9', 'Q15287')"
"('P36954', 'O95402')"
"('Q12988', 'Q9BX40')"
"('P63098', 'P62158')"
"('Q9UI36', 'O75376')"
"('P12268', 'O75815')"
"('Q9NQ25', 'Q9Y383')"
"('Q9NYB9', 'Q8TDR0')"
"('P78527', 'Q86WJ1')"
"('O43353', 'P04179')"
"('P40225', 'P42702')"
"('P10721', 'P07332')"
"('O14653', 'P54920')"
"('P02458', 'P51888')"
"('Q8TAI7', 'P42345')"
"('Q9P2H0', 'Q9BTE0')"
"('P02746', 'P00736')"
"('P52272', 'Q01081')"
"('P12931', 'O43281')"
"('P61353', 'P47914')"
"('Q99878', 'Q99877')"
