negatives
"('Q9Y6G9', 'P04350')"
"('P05387', 'P35268')"
"('O15264', 'P17275')"
"('Q99728', 'Q96RL1')"
"('Q04864', 'P01589')"
"('Q14055', 'Q99689')"
"('P55072', 'Q92890')"
"('P32969', 'P49207')"
"('O15357', 'Q9BX66')"
"('P20340', 'P40337')"
"('P30480', 'P38606')"
"('P51787', 'P51817')"
"('Q9BWG6', 'Q15834')"
"('P42575', 'O60936')"
"('P17482', 'Q9BQ66')"
"('Q9UL18', 'Q96EB6')"
"('P14780', 'Q14031')"
"('Q9H1I8', 'Q9NTM9')"
"('Q9ULJ1', 'O95084')"
"('Q15027', 'Q15836')"
"('P29353', 'P52566')"
"('P60763', 'Q9BYG4')"
"('P67775', 'P30153')"
"('P61981', 'Q13247')"
"('P18031', 'O75925')"
"('O60739', 'Q12888')"
"('407010', 'Q12837')"
"('Q9BYQ4', 'Q12834')"
"('P16220', 'P05231')"
"('Q8N2W9', 'Q5T3J3')"
"('Q9Y5P0', 'P38405')"
"('Q9UHR5', 'Q96I25')"
"('Q13976', 'Q13936')"
"('Q8IUQ4', 'Q13748')"
"('Q15843', 'P15880')"
"('P32881', 'Q99665')"
"('Q13131', 'Q96B36')"
"('Q9NZL6', 'Q92963')"
"('P62993', 'O43900')"
"('P45983', 'O14654')"
"('P07900', 'P16104')"
"('Q13315', 'P55011')"
"('P51114', 'Q9UKV8')"
"('Q09472', 'P42224')"
"('Q15418', 'Q9Y2V2')"
"('P46100', 'Q14240')"
"('P01106', 'Q14444')"
"('Q6P4I2', 'Q16637')"
"('Q08499', 'Q5VU43')"
"('P00533', 'P51813')"
"('P42356', 'Q9H7E9')"
"('P08174', 'P06241')"
"('P42574', 'P29466')"
"('P60568', 'P40238')"
"('P12004', 'P49005')"
"('Q99418', 'Q16659')"
"('Q9UHD2', 'Q14164')"
"('O00217', 'O95168')"
"('Q71U36', 'Q3ZCM7')"
"('P18146', 'Q9UHW5')"
"('Q13432', 'Q01344')"
"('P49841', 'P01106')"
"('P07947', 'PI3KR2')"
"('P62136', 'P01106')"
"('P60709', 'A8MVU1')"
"('Q9H160', 'P20671')"
"('Q9UBI6', 'O95622')"
"('O75385', 'Q13283')"
"('P11387', 'Q9NR30')"
"('P16333', 'P01178')"
"('Q9P2W9', 'Q9NZ43')"
"('Q9H6R7', 'P10644')"
"('P84098', 'P50914')"
"('Q9Y2X7', 'Q71F23')"
"('P33176', 'Q14164')"
"('Q13315', 'Q9H816')"
"('P48594', 'P08311')"
"('Q9NQ55', 'Q9NX58')"
"('Q9UMX1', 'Q9NRP7')"
"('P31947', 'Q9UQC2')"
"('P51636', 'P35222')"
"('P32121', 'Q8NGR4')"
"('P01889', 'P55209')"
"('P29400', 'Q05397')"
"('Q13191', 'P17948')"
"('Q92835', 'P07948')"
"('P51116', 'P41227')"
"('Q99570', 'P25963')"
"('P05455', 'P19525')"
"('O15198', 'Q14134')"
"('P27986', 'P34903')"
"('Q13018', 'P10600')"
"('Q5UIP0', 'P04183')"
"('P47914', 'P05387')"
"('O15121', 'Q9H8S9')"
"('P42766', 'P62906')"
"('O14929', 'Q6NXT2')"
"('P22681', 'P29353')"
"('P33778', 'Q9UKV0')"
"('Q8N474', 'Q9H461')"
