negatives
"('P14174', 'P11171')"
"('Q9UPY6', 'O15511')"
"('P41134', 'Q99856')"
"('P40763', 'Q15788')"
"('Q08380', 'P05556')"
"('P01106', 'Q99933')"
"('Q92945', 'P62330')"
"('P61966', 'O43747')"
"('Q8NHR9', 'P68133')"
"('Q15796', 'Q9NZJ7')"
"('Q9H237', 'P04628')"
"('Q92902', 'Q9NQG7')"
"('Q8TF65', 'Q15047')"
"('Q9H6Y7', 'Q9Y2X8')"
"('A0JLT2', 'O75448')"
"('Q13838', 'Q9Y3Y2')"
"('P25116', 'P84996')"
"('Q9NPJ8', 'P52948')"
"('Q9HCE7', 'P37173')"
"('P29353', 'Q9HBG4')"
"('O43524', 'Q16665')"
"('Q04917', 'O60565')"
"('O95433', 'Q14185')"
"('Q8IWY9', 'P12004')"
"('P02768', 'P01857')"
"('P17612', 'P62873')"
"('P30480', 'P63173')"
"('406991', 'O14727')"
"('O75943', 'O60671')"
"('P45983', 'P19838')"
"('Q9H5H4', 'Q9Y328')"
"('P02766', 'P55854')"
"('P20671', 'Q5QNW6')"
"('P49238', 'P04899')"
"('Q7Z434', 'P29466')"
"('P02786', 'Q9P0V3')"
"('Q8N163', 'P61244')"
"('P07437', 'Q01201')"
"('P08107', 'P78527')"
"('Q9BZS1', 'Q15797')"
"('Q8NDZ4', 'Q9Y478')"
"('Q14008', 'Q9Y6A5')"
"('Q9Y4K3', 'P24539')"
"('O43318', 'Q16659')"
"('Q92753', 'Q9NPJ4')"
"('O94806', 'Q9H492')"
"('O95863', 'P04637')"
"('P67870', 'P27694')"
"('P31947', 'P22681')"
"('Q14134', 'Q96CN9')"
"('P24864', 'O43463')"
"('O75937', 'Q13151')"
"('P33316', 'O60684')"
"('P09651', 'Q8IX12')"
"('Q96QZ7', 'P54259')"
"('P49716', 'P55061')"
"('Q05513', 'P02545')"
"('P43246', 'P54278')"
"('Q9BZM3', 'P00519')"
"('Q15370', 'Q9H257')"
"('Q96FI4', 'P27694')"
"('Q9BUJ2', 'P09651')"
"('Q12778', 'Q9Y618')"
"('P08708', 'P51668')"
"('Q5SRE5', 'Q8IY92')"
"('P23396', 'Q96HC4')"
"('Q9H4K1', 'O94972')"
"('P21675', 'Q5VTD9')"
"('Q12962', 'Q92830')"
"('P29353', 'P05783')"
"('P42773', 'Q9NXS2')"
"('P60866', 'P46781')"
"('P49023', 'P06733')"
"('Q14966', 'Q96EK5')"
"('O00222', 'O14775')"
"('P62312', 'O95777')"
"('Q14103', 'P31947')"
"('O75340', 'P63104')"
"('P09104', 'O75251')"
"('P42574', 'P10275')"
"('Q96EV8', 'Q9Y4J8')"
"('Q9UBF6', 'Q13617')"
"('Q9BYM8', 'Q9GZS1')"
"('O14576', 'Q9BUF5')"
"('Q9UJW3', 'Q13547')"
"('P48443', 'Q9UHV7')"
"('Q8TAX7', 'P15516')"
"('Q15428', 'O60828')"
"('P51817', 'Q14571')"
"('P31946', 'O15151')"
"('P61218', 'Q8WVC0')"
"('P54253', 'Q8TAQ2')"
"('P25054', 'P52272')"
"('O00161', 'P32856')"
"('P61244', 'P50539')"
"('P10276', 'P30041')"
"('Q14197', 'Q9UBX3')"
"('Q8WZ42', 'P20807')"
"('P08670', 'Q14203')"
"('P56279', 'P31751')"
"('O75694', 'Q8NFH5')"
"('P01106', 'Q9NSP4')"
"('Q92574', 'Q969U6')"
"('P21246', 'Q13332')"
"('Q96B70', 'Q99459')"
"('O00522', 'P35222')"
"('P31749', 'Q96IZ0')"
"('Q9H7D0', 'P15924')"
"('Q6X4W1', 'Q5VTD9')"
"('Q9NVI7', 'Q15008')"
"('P20333', 'O43521')"
"('P62993', 'Q05193')"
"('P20226', 'Q04864')"
"('P28074', 'Q96BK5')"
"('Q15750', 'P45985')"
"('Q9H4M9', 'Q99459')"
"('P40189', 'O00459')"
"('P04350', 'P25963')"
"('P41273', 'Q07011')"
"('P12931', 'Q8IWT3')"
"('P57740', 'Q96EE3')"
"('O60884', 'Q9GZX7')"
"('Q9Y6K9', 'Q71UM5')"
"('P41221', 'O00144')"
"('O75197', 'Q14332')"
"('Q14469', 'Q9NW38')"
"('P04004', 'Q96RG2')"
"('Q9NUW8', 'P09874')"
"('P08238', 'P00338')"
"('Q7KZI7', 'Q04917')"
"('Q562F6', 'Q13257')"
"('P35221', 'P18206')"
"('Q9BRX9', 'O60306')"
"('Q14498', 'Q04206')"
"('Q92552', 'Q00005')"
"('C9JDP6', 'Q07157')"
"('P17612', 'P10070')"
"('Q7L576', 'P61981')"
"('Q5JWF2', 'Q96PN6')"
"('P20290', 'P22466')"
"('Q96A00', 'Q9BZL4')"
"('Q16659', 'O43175')"
"('P06493', 'P51587')"
"('Q9Y5X4', 'Q7L2E3')"
"('P60520', 'O75385')"
"('P55157', 'Q14315')"
"('Q9Y383', 'O75665')"
"('P22392', 'Q01105')"
"('Q99717', 'P46934')"
"('P05013', 'Q14626')"
"('O75379', 'O00161')"
"('Q8WY64', 'Q13126')"
"('Q9BQQ3', 'Q9BZL6')"
"('P04264', 'Q00005')"
"('P08243', 'O15116')"
"('Q6PI73', 'P31994')"
"('Q14344', 'P21918')"
"('P56945', 'P20333')"
"('P04406', 'P04183')"
"('Q5UIP0', 'P04792')"
"('O43586', 'O15553')"
"('406933', 'P61812')"
"('O00217', 'O43674')"
"('Q15942', 'P35609')"
"('P01112', 'Q02750')"
"('Q9Y3C0', 'Q9NYB9')"
"('Q9UHD2', 'O60641')"
"('Q14738', 'P30153')"
"('Q12789', 'Q9Y5Q8')"
"('Q13765', 'P51693')"
"('Q02539', 'Q86U86')"
"('O75694', 'Q99459')"
"('P54136', 'Q14164')"
"('Q9BQ95', 'Q15047')"
"('Q9UHD2', 'Q6DT37')"
"('Q9UBS3', 'O95907')"
"('Q3MHD2', 'Q6XUX3')"
"('Q9GZQ8', 'Q8NC44')"
"('Q9HAW0', 'Q9BVK8')"
"('P49407', 'P13945')"
"('P10275', 'P12956')"
"('Q8NBJ4', 'P40429')"
"('Q8IZ07', 'Q9H0E2')"
"('P62714', 'Q02750')"
"('P68104', 'Q16891')"
"('Q15596', 'Q13136')"
"('O96019', 'Q52LR7')"
"('Q14232', 'P49703')"
"('Q9Y230', 'Q96JC9')"
"('Q03181', 'O95257')"
"('P05129', 'Q9NYF0')"
"('P07948', 'Q9Y603')"
"('Q06323', 'Q16637')"
"('Q96T76', 'Q15714')"
"('Q06187', 'Q6ZUJ8')"
"('Q9NZT1', 'Q8NFM4')"
"('Q99459', 'Q13148')"
"('P60763', 'O14639')"
"('P08865', 'P62857')"
"('P45984', 'Q16621')"
"('Q9H6Y7', 'P51965')"
"('O00501', 'Q07157')"
"('P34903', 'P46459')"
"('P42766', 'P32969')"
"('P04183', 'Q8NAA4')"
"('P19525', 'P10914')"
"('P62333', 'Q8TAB5')"
"('P17483', 'P18146')"
"('Q92831', 'O75528')"
"('P12931', 'O15162')"
"('Q8TCJ2', 'Q86WV6')"
"('Q8IZL8', 'P12931')"
"('Q71U36', 'P16871')"
"('Q8TAA9', 'P24723')"
"('P31314', 'P07199')"
"('P05412', 'P49407')"
"('Q13315', 'P10073')"
"('Q96AH8', 'P60520')"
"('P63104', 'Q13153')"
"('Q02153', 'Q14938')"
"('O75581', 'P49841')"
"('P42858', 'P54750')"
"('Q96EZ8', 'Q6P4R8')"
"('Q96CW1', 'Q7Z7J5')"
"('P07949', 'O60496')"
"('P18146', 'Q96G03')"
"('P62805', 'P62993')"
"('Q92624', 'A4QPH2')"
"('O00206', 'P28482')"
"('Q8WYR1', 'O43561')"
"('Q13952', 'Q09472')"
"('P00736', 'P09871')"
"('P05106', 'Q05397')"
"('O15550', 'P06400')"
"('P61160', 'P59998')"
"('Q14393', 'P30530')"
"('P54619', 'Q9Y478')"
"('Q8WUM4', 'Q14289')"
"('Q07912', 'Q12913')"
"('P41236', 'Q96SB3')"
"('Q9NXF1', 'Q9BV38')"
"('P35475', 'Q13368')"
"('Q9UL45', 'Q96EV8')"
"('Q01974', 'Q13467')"
"('Q15714', 'Q7Z699')"
"('P0CG48', 'P63000')"
"('Q12851', 'P29622')"
"('O95400', 'P26368')"
"('Q15121', 'P28482')"
"('P36873', 'Q9Y572')"
"('P18146', 'Q13015')"
"('P53708', 'P18084')"
"('P61619', 'O75365')"
"('P20151', 'P30411')"
"('Q99459', 'O43301')"
"('P40937', 'Q9Y3C7')"
"('P42224', 'Q02556')"
"('P62826', 'Q9P2H0')"
"('Q86VP6', 'Q13617')"
"('Q9UM73', 'Q9BTT4')"
"('P06732', 'Q9P2G9')"
"('O14775', 'P53778')"
"('Q00403', 'Q09472')"
"('O15162', 'Q9H1Q7')"
"('Q96RG2', 'Q96JQ0')"
"('Q9Y2X7', 'O75334')"
"('Q8N2I9', 'Q7L5N1')"
"('P09529', 'Q8NER5')"
"('Q8N752', 'P35222')"
"('P45984', 'P15408')"
"('Q14103', 'P16104')"
"('Q8NI35', 'P56880')"
"('P61981', 'A0MZ66')"
"('P05109', 'P63000')"
"('Q9UJX2', 'P25205')"
"('P17858', 'Q12933')"
"('Q12809', 'Q14318')"
"('Q9NP95', 'P08138')"
"('P41235', 'P20226')"
"('Q9NSE2', 'P19235')"
"('P04626', 'Q8TEW6')"
"('Q9Y3I1', 'P62877')"
"('P35398', 'P15172')"
"('Q9NRL3', 'P08243')"
"('P38398', 'P56545')"
"('P61247', 'Q9H8Y8')"
"('P61244', 'P12524')"
"('P05412', 'P53779')"
"('Q01970', 'P05771')"
"('P32121', 'Q8NGB6')"
"('Q92956', 'P63167')"
"('Q8TAD8', 'O75400')"
"('Q14164', 'P07910')"
"('P62993', 'O43175')"
"('P62241', 'P62273')"
"('P62993', 'P07305')"
"('P14625', 'Q12904')"
"('P42566', 'O95782')"
"('O14497', 'Q92925')"
"('P49841', 'O95163')"
"('P18146', 'Q99661')"
"('P11142', 'Q07021')"
"('Q15262', 'P27361')"
"('P78545', 'Q9Y266')"
"('Q15645', 'Q8WXK3')"
"('Q9NYY1', 'P16871')"
"('Q9UBS4', 'Q9NRR5')"
"('O94875', 'Q13153')"
"('P55107', 'P01876')"
"('Q16531', 'Q12962')"
"('P36894', 'O15264')"
"('O43837', 'Q16659')"
"('P35900', 'Q53FD0')"
"('Q9H1R2', 'P46108')"
"('P28288', 'Q9BUV8')"
"('Q8TBX8', 'P06396')"
"('P04156', 'Q02750')"
"('Q7LDG7', 'Q68DD2')"
"('P48740', 'O43639')"
"('P61088', 'P40337')"
"('O15264', 'P05387')"
"('Q13485', 'P08047')"
"('Q86VZ2', 'Q9BQ67')"
"('P02458', 'P05106')"
"('Q13557', 'Q7Z3S7')"
"('P54725', 'P22392')"
"('Q9Y3R0', 'P28065')"
"('Q9NR09', 'Q96A65')"
"('Q13315', 'P13797')"
"('P01137', 'Q8N2S1')"
"('P62330', 'O75390')"
"('P08575', 'P08631')"
"('P62873', 'O00329')"
"('Q9Y3D9', 'Q9UL18')"
"('O75830', 'Q9UMX0')"
"('P04083', 'P31949')"
"('Q3ZAQ7', 'P30480')"
"('P57740', 'Q99459')"
"('P05412', 'Q9UPN3')"
"('O60783', 'Q9NR30')"
"('Q9C086', 'O96019')"
"('Q92922', 'Q01196')"
"('P42766', 'P40337')"
"('Q9BVA1', 'Q9NY65')"
"('Q9HAV4', 'P78396')"
"('P49746', 'P01137')"
"('P10767', 'P08138')"
"('P35542', 'P01857')"
"('Q9UJX2', 'O94805')"
"('P51114', 'O95084')"
"('Q99570', 'Q99624')"
"('Q8IYI6', 'O14964')"
"('Q13976', 'Q01814')"
"('Q9ULH7', 'P11831')"
"('P17612', 'P19429')"
"('O43683', 'O95376')"
"('O95816', 'Q9UNE7')"
"('Q15796', 'Q92831')"
"('P62854', 'P08708')"
"('Q15287', 'P07910')"
"('P01106', 'P53582')"
"('P06213', 'Q9ULV8')"
"('Q16659', 'P49815')"
"('Q15170', 'Q9UNL2')"
"('Q99832', 'Q66LE6')"
"('P22681', 'P16471')"
"('P05386', 'P62917')"
"('Q9NYU2', 'P25942')"
"('Q16795', 'P17568')"
"('Q13573', 'Q9H267')"
"('O96019', 'Q96L91')"
"('P48023', 'O00305')"
"('P12270', 'P01112')"
"('Q04759', 'Q9NRA0')"
"('O14686', 'P61964')"
"('Q6ZVL6', 'Q9BT22')"
"('P18583', 'P31946')"
"('Q13573', 'Q14966')"
"('Q13547', 'O94776')"
"('P13984', 'Q00403')"
"('P25685', 'Q13217')"
"('P55196', 'P25791')"
"('P62136', 'P27482')"
"('Q8WZ55', 'P36405')"
"('Q8WW14', 'Q8IYF3')"
"('Q9HCK5', 'P67809')"
"('Q7Z434', 'Q92844')"
"('P63165', 'P29590')"
"('Q9NYQ7', 'O43147')"
"('Q13315', 'Q14191')"
"('Q9UKV8', 'P18077')"
"('P61073', 'P10914')"
"('Q13573', 'Q969G3')"
"('O75937', 'Q14683')"
"('P54619', 'Q16822')"
"('Q14558', 'P78330')"
"('Q7Z434', 'Q15628')"
"('P08047', 'Q01094')"
"('Q8TDB6', 'P62805')"
"('Q9UI26', 'Q9Y5J5')"
"('Q9NZT1', 'Q96LZ3')"
"('Q06609', 'P18146')"
"('Q13535', 'Q6PJT7')"
"('P10721', 'Q9NR46')"
"('Q13315', 'P06702')"
"('O15520', 'Q14512')"
"('Q8NH05', 'P38405')"
"('P20810', 'P16333')"
"('P06400', 'P29374')"
"('P43364', 'Q9Y6M9')"
"('P37173', 'P05106')"
"('Q93009', 'Q12933')"
"('Q04637', 'Q9UGR2')"
"('Q9UBK5', 'P19174')"
"('Q9BXL7', 'P48729')"
"('O15264', 'P40227')"
"('O94806', 'Q9H0R8')"
"('Q9Y375', 'P03886')"
"('Q09472', 'Q70SY1')"
"('P25490', 'P17544')"
"('P62807', 'P22392')"
"('406915', 'O00716')"
"('P01112', 'Q13009')"
"('P41091', 'O15371')"
"('Q13573', 'Q6P2Q9')"
"('Q9BTY7', 'Q9Y3C7')"
"('Q9H0R8', 'Q8WVZ9')"
"('P13073', 'P10809')"
"('P40337', 'P35244')"
"('O15020', 'P25054')"
"('Q96L73', 'P10275')"
"('P82921', 'Q8IY92')"
"('P01106', 'P41227')"
"('O60341', 'P56134')"
"('P46783', 'Q99558')"
"('Q14191', 'P39748')"
"('P41279', 'Q05639')"
"('P21281', 'P20160')"
"('Q9ULV8', 'P15260')"
"('P62987', 'Q04771')"
"('Q92837', 'O14640')"
"('P01106', 'Q96G23')"
"('O60814', 'Q08945')"
"('Q8WXE1', 'O75943')"
"('Q8N1F7', 'P49792')"
"('P51149', 'Q13885')"
"('P49720', 'Q9UET6')"
"('Q02556', 'P10914')"
"('O43150', 'P62330')"
"('P02746', 'P02745')"
"('Q99729', 'P16104')"
"('Q9Y5Q9', 'Q9Y2Q3')"
"('Q16539', 'P09211')"
"('P16152', 'Q9Y478')"
"('Q15436', 'P55735')"
"('Q9H9F9', 'Q9ULG1')"
"('P18146', 'P29350')"
"('Q9H9D4', 'Q13868')"
"('P36404', 'Q13432')"
"('P12270', 'Q99567')"
"('O15530', 'Q04759')"
"('O95163', 'P48643')"
"('Q9Y580', 'P38159')"
"('P33076', 'O75626')"
"('Q15572', 'P04183')"
"('P68104', 'P17028')"
"('O15264', 'P14625')"
"('P38432', 'P12814')"
"('P60900', 'P11171')"
"('P83731', 'P62891')"
"('P09429', 'Q14194')"
"('P35080', 'P68032')"
"('P31947', 'P78524')"
"('P38159', 'O60504')"
"('Q14765', 'Q15306')"
"('P43115', 'P50148')"
"('Q99759', 'Q6WCQ1')"
"('Q8IZJ0', 'Q99062')"
"('P32121', 'Q8NG97')"
"('P21815', 'P23229')"
"('P54646', 'Q49AN0')"
"('Q93009', 'Q9HAW4')"
"('Q9UBU8', 'Q96L91')"
"('Q53FD0', 'P35900')"
"('Q9UKV8', 'Q9UBM7')"
"('P01889', 'Q96AG4')"
"('A2RTX5', 'Q9Y478')"
"('Q9UQ80', 'P05388')"
"('P30304', 'Q14004')"
"('P06239', 'P01732')"
"('Q9Y5P4', 'Q13352')"
"('P52564', 'P24522')"
"('O95863', 'Q9Y297')"
"('Q96F86', 'Q9NPI6')"
"('P10145', 'P51677')"
"('Q15750', 'P28838')"
"('P04637', 'Q9UHC7')"
"('Q99828', 'Q99570')"
"('Q15287', 'Q8WXA9')"
"('P24821', 'Q9UKX5')"
"('P02766', 'Q15109')"
"('P05412', 'Q9NR55')"
"('P05106', 'O14924')"
"('P83731', 'Q9UNX3')"
"('Q07817', 'Q9H1Y0')"
"('P49674', 'O60716')"
"('P61224', 'P46734')"
"('Q6VMQ6', 'Q16557')"
"('Q05516', 'Q16637')"
"('Q99623', 'P23508')"
"('O75448', 'P28702')"
"('P62841', 'P62249')"
"('Q8ND90', 'Q8N163')"
"('P37840', 'Q96N67')"
"('P11498', 'Q00005')"
"('P61457', 'P35680')"
"('Q86X55', 'Q15306')"
"('Q96LR5', 'Q96BH1')"
"('Q9NPF4', 'Q6UXN9')"
"('O75533', 'Q96I25')"
"('Q15008', 'Q9UL46')"
"('P19876', 'P51679')"
"('P27361', 'Q92729')"
"('Q16543', 'Q99759')"
"('O43683', 'Q9UI95')"
"('O15121', 'Q9UL03')"
"('Q9P0W0', 'Q9UHF4')"
"('P10244', 'P28749')"
"('O95471', 'O00501')"
"('P06753', 'Q08AD1')"
"('P24385', 'Q16695')"
"('Q07955', 'Q99590')"
"('P31483', 'Q5JVS0')"
"('P37837', 'P62330')"
"('P27348', 'Q9Y6J0')"
"('P29459', 'Q92985')"
"('O75190', 'Q9HCU9')"
"('P23528', 'P63261')"
"('P48736', 'Q13733')"
"('Q9BXA6', 'P11142')"
"('P61006', 'O60828')"
"('Q12834', 'Q9UJX2')"
"('P10636', 'Q9NY61')"
"('Q9UBN6', 'P13797')"
"('P48454', 'Q12968')"
"('O43707', 'P29274')"
"('O43586', 'Q9UKX3')"
"('O75351', 'Q7LBR1')"
"('P55036', 'Q9BRX2')"
"('Q9Y2D1', 'Q9NRI5')"
"('Q00005', 'Q9NTJ3')"
"('O75530', 'Q15714')"
"('O75159', 'Q14765')"
"('Q9NPJ8', 'Q9UBU9')"
"('Q99700', 'Q5VTD9')"
"('Q15834', 'P49910')"
"('P48059', 'Q13418')"
"('P19532', 'Q08211')"
"('P32456', 'Q9Y333')"
"('O60721', 'P62993')"
"('Q9UHF4', 'P29597')"
"('P04745', 'Q96BK5')"
"('P30622', 'Q14203')"
"('Q15714', 'P40937')"
"('Q6PD74', 'Q13432')"
"('Q9NYJ8', 'Q8TDR0')"
"('Q96RQ1', 'P27361')"
"('Q15650', 'P10276')"
"('Q9NWN3', 'Q13485')"
"('P53567', 'P18848')"
"('Q9Y490', 'P61978')"
"('P51617', 'Q15750')"
"('Q13435', 'O43395')"
"('P63208', 'Q9UK22')"
"('Q9NS73', 'Q9ULM3')"
"('Q9UKB1', 'Q12933')"
"('P28482', 'P24864')"
"('P42345', 'Q8TAI7')"
"('O00303', 'P30480')"
"('P14373', 'P62256')"
"('Q5T3J3', 'Q9NX09')"
"('Q9UM73', 'Q99683')"
"('Q9UER7', 'Q96EZ8')"
"('Q13233', 'P63279')"
"('P15923', 'Q9Y230')"
"('Q14315', 'O75578')"
"('P00505', 'P02743')"
"('Q05195', 'P17676')"
"('Q9UQM7', 'Q9NZZ3')"
"('P27361', 'Q03135')"
"('Q8NHW5', 'Q9Y6K9')"
"('P23396', 'P46783')"
"('O60496', 'O75832')"
"('P62258', 'Q6PEY2')"
"('P54284', 'P48023')"
"('O75367', 'Q8N257')"
"('Q13485', 'P42772')"
"('P57723', 'Q8WVD3')"
"('O60563', 'Q03111')"
"('P61769', 'P30491')"
"('P24941', 'Q9UM13')"
"('O60331', 'P42768')"
"('Q96MT3', 'Q9ULK5')"
"('O75351', 'Q9NP79')"
"('Q13554', 'P42224')"
"('Q9NX58', 'O60832')"
"('Q8IUQ4', 'O75553')"
"('Q9P107', 'P52198')"
"('P41134', 'Q16666')"
"('O95816', 'Q9Y4K3')"
"('Q86UP2', 'P61073')"
"('O43708', 'P62993')"
"('Q14315', 'P08648')"
"('P26441', 'P19235')"
"('P40197', 'P27986')"
"('P43250', 'P51679')"
"('Q5RL73', 'P15927')"
"('P22694', 'Q15746')"
"('Q14161', 'A5YM69')"
"('P48023', 'P14598')"
"('Q9H553', 'P53355')"
"('Q99616', 'P32302')"
"('P01241', 'P50395')"
"('P54253', 'P28676')"
"('O75716', 'P40337')"
"('P15121', 'P23508')"
"('P50613', 'Q9HB71')"
"('O60504', 'Q13177')"
"('Q15797', 'Q92831')"
"('P04637', 'Q06609')"
"('P25942', 'P34932')"
"('P51817', 'Q13370')"
"('Q9UPP1', 'P28749')"
"('O95433', 'O43150')"
"('P31947', 'Q92625')"
"('Q92688', 'P12830')"
"('Q00653', 'Q13748')"
"('Q00653', 'P01566')"
"('Q14031', 'P13725')"
"('Q05513', 'O60551')"
"('Q13438', 'Q9H6Z9')"
"('P24278', 'P45984')"
"('O14745', 'P35240')"
"('Q13007', 'P26951')"
"('P10147', 'P51684')"
"('P62993', 'Q96RL7')"
"('O00463', 'Q13489')"
"('Q8TAA9', 'Q92997')"
"('Q99933', 'P34932')"
"('Q04206', 'P04637')"
"('Q9NVJ2', 'P36897')"
"('O75626', 'P42336')"
"('Q12851', 'Q16584')"
"('Q86XK2', 'Q15843')"
"('P61313', 'P05388')"
"('O43677', 'O14561')"
"('P12268', 'O75815')"
"('Q71U36', 'P45973')"
"('P45452', 'Q15596')"
"('Q9NVK5', 'Q9Y3A3')"
"('P49427', 'Q13616')"
"('P08123', 'P43235')"
"('Q9UKC9', 'Q02388')"
"('Q96GT9', 'Q96KQ7')"
"('Q13888', 'Q6ZYL4')"
"('Q99704', 'Q92835')"
"('O00459', 'P07332')"
"('Q92993', 'P29074')"
"('Q9H4B7', 'Q13409')"
"('P18146', 'O75449')"
"('Q15047', 'Q4VC44')"
"('Q13573', 'P50570')"
"('P35626', 'Q8NH54')"
"('P63165', 'Q96RL1')"
"('O60356', 'Q15653')"
"('O75937', 'Q13243')"
"('P21980', 'P42574')"
"('Q9H340', 'P38405')"
"('Q9Y272', 'P61952')"
"('P51610', 'Q01094')"
"('Q9Y4K3', 'A2RTX5')"
"('Q9P2L0', 'P41182')"
"('P01889', 'Q9ULC4')"
"('P67870', 'O15379')"
"('Q15796', 'P21980')"
"('Q99816', 'O75674')"
"('Q05655', 'Q9NRA0')"
"('O14640', 'O14986')"
"('Q6ZUJ8', 'Q04864')"
"('Q13185', 'P46100')"
"('Q07021', 'Q14197')"
"('O95376', 'P68104')"
"('P67870', 'Q9UJU2')"
"('P50151', 'Q92806')"
"('P23025', 'P15927')"
"('P28347', 'P20226')"
"('Q9UN74', 'P04406')"
"('P59768', 'Q16539')"
"('P27986', 'P84095')"
"('O43237', 'P04350')"
"('Q15758', 'P30480')"
"('Q9H0R8', 'Q9H2M9')"
"('P30626', 'P49810')"
"('Q15653', 'P19793')"
"('P13473', 'P07550')"
"('Q93033', 'Q99963')"
"('Q8NI35', 'C9JDP6')"
"('P98082', 'O75581')"
"('Q9NRM2', 'O43542')"
"('P21802', 'Q9Y371')"
"('P49005', 'Q9Y2S7')"
"('Q14103', 'Q13151')"
"('406950', 'O15111')"
"('Q00005', 'P60520')"
"('Q96FW1', 'P38936')"
"('P49910', 'Q8IYF1')"
"('Q92835', 'P19235')"
"('P49759', 'Q13427')"
"('P11388', 'P67870')"
"('P54652', 'P45983')"
"('Q13867', 'O75962')"
"('P34931', 'P19838')"
"('P01730', 'P20036')"
"('P30622', 'P42345')"
"('P01106', 'O15315')"
"('Q9BY27', 'Q9NWS9')"
"('Q15369', 'Q04206')"
"('Q05513', 'O60603')"
"('P51610', 'A0JLT2')"
"('P29459', 'Q15306')"
"('P04637', 'P35232')"
"('P04003', 'P0C0L5')"
"('O95298', 'P03915')"
"('Q9Y3A3', 'Q5VSL9')"
"('P63104', 'Q9UKM9')"
"('O94762', 'P01033')"
"('P48454', 'Q9UM13')"
"('Q8WXH5', 'P42224')"
"('O00206', 'P07585')"
"('P49841', 'Q96HA7')"
"('P30480', 'O00303')"
"('Q15262', 'Q9Y2Q3')"
"('P19235', 'Q12913')"
"('Q9Y4K3', 'P62158')"
"('Q96HL8', 'P14317')"
"('P27701', 'P01730')"
"('Q13951', 'O43439')"
"('P25942', 'O43734')"
"('P61956', 'Q9UHY7')"
"('Q9NZI8', 'P78330')"
"('P60953', 'O96013')"
"('Q09472', 'Q07108')"
"('P60953', 'Q9P286')"
"('P23588', 'P60842')"
"('Q8NGG5', 'P38405')"
"('Q13137', 'Q53FD0')"
"('P32121', 'Q8NGZ3')"
"('Q86T03', 'Q8N806')"
"('O95257', 'Q504T8')"
"('P01889', 'O15533')"
"('P05106', 'P50552')"
"('Q969Q1', 'Q96RP9')"
"('P29353', 'P27986')"
"('P21246', 'P21673')"
"('P17612', 'Q01118')"
"('P49761', 'P49760')"
"('P05112', 'Q5VWK5')"
"('P17858', 'Q14164')"
"('P54253', 'Q9HAU0')"
"('P18206', 'P68133')"
"('Q9UBK2', 'Q12778')"
"('P61586', 'Q15669')"
"('O00168', 'Q9UN42')"
"('Q92876', 'Q9HBG4')"
"('Q6W2J9', 'Q99496')"
"('P18146', 'O95749')"
"('P55854', 'Q8NFD5')"
"('P61247', 'P63220')"
"('P08670', 'Q8IYB7')"
"('P01909', 'P04233')"
"('Q9BYR7', 'Q15645')"
"('P16581', 'P19838')"
"('Q14240', 'P05186')"
"('O15444', 'P46092')"
"('Q9UBS0', 'P62753')"
"('O15144', 'Q07889')"
"('P22612', 'P14415')"
"('Q06587', 'Q8IXK0')"
"('P02768', 'O75791')"
"('P03372', 'Q13485')"
"('Q09472', 'Q14186')"
"('Q96D21', 'Q04771')"
"('Q9P2E9', 'O15198')"
"('Q13464', 'Q12955')"
"('O95299', 'O00217')"
"('P01588', 'Q969J5')"
"('O15444', 'P32246')"
"('P26572', 'O15198')"
"('Q04206', 'P62829')"
"('O95298', 'Q9NX14')"
"('Q9H0R8', 'Q14257')"
"('Q9Y4K3', 'Q15303')"
"('P49711', 'Q9BQS6')"
"('Q13535', 'P51532')"
"('O75477', 'P18146')"
"('O75928', 'P63165')"
"('P01308', 'P08069')"
"('Q13309', 'P63208')"
"('P12931', 'P40189')"
"('Q9HBW0', 'O14610')"
"('Q13416', 'Q9H211')"
"('Q09472', 'P56279')"
"('Q13547', 'P38398')"
"('P18077', 'Q9UKV8')"
"('Q96N67', 'Q9H4E5')"
"('Q9Y2A0', 'Q9P035')"
"('P13164', 'P42224')"
"('P08514', 'P12814')"
"('Q12929', 'P18084')"
"('P07384', 'Q6IAA8')"
"('Q16401', 'O00231')"
"('Q96LR5', 'Q96EQ8')"
"('Q6R327', 'Q8N122')"
"('Q16778', 'Q9UPS6')"
"('P30153', 'P60510')"
"('Q86YB8', 'Q8NBS9')"
"('P08651', 'Q01130')"
"('P48551', 'P05013')"
"('Q15906', 'O43257')"
"('Q8IU54', 'Q9UHF4')"
"('Q16576', 'Q12788')"
"('Q96LZ3', 'Q13255')"
"('P61296', 'P07199')"
"('P52756', 'Q13247')"
"('407033', 'P04899')"
"('O75365', 'P49354')"
"('O60711', 'Q9BUY5')"
"('P63104', 'P35579')"
"('O60244', 'Q9BTT4')"
"('Q9HC29', 'Q676U5')"
"('Q9NQT5', 'Q9Y3B2')"
"('Q14511', 'P46109')"
"('Q13535', 'Q92841')"
"('P04222', 'P12268')"
"('P62987', 'P61077')"
"('P62140', 'Q13557')"
"('Q00005', 'P61978')"
"('O43524', 'Q9NTG7')"
"('P15880', 'P60520')"
"('Q96CA5', 'Q6GPH4')"
"('Q13568', 'P62993')"
"('P19438', 'P55957')"
"('P84022', 'P17275')"
"('P56945', 'O43281')"
"('P45983', 'P31947')"
