negatives
"('Q9Y6J9', 'Q96RG2')"
"('P11310', 'Q6NVY1')"
"('Q16548', 'Q13323')"
"('Q13526', 'Q8IYB3')"
"('Q8WVJ2', 'P07900')"
"('Q9UKE5', 'P23921')"
"('Q13425', 'Q8IV03')"
"('Q15466', 'P10275')"
"('Q15022', 'Q93009')"
"('Q96L92', 'Q15075')"
"('P61024', 'Q00526')"
"('Q9NP73', 'P0C7T5')"
"('Q92793', 'P07992')"
"('Q16526', 'P30153')"
"('Q9H2C0', 'Q8NF91')"
"('Q9NSK0', 'P61981')"
"('P52747', 'Q01860')"
"('P12236', 'Q15796')"
"('O60907', 'Q13227')"
"('Q6P2Q9', 'Q16181')"
"('P53680', 'O00291')"
"('Q8N5Z5', 'P29972')"
"('Q9BYC8', 'Q9H9J2')"
"('Q15717', 'P15311')"
"('Q9Y5Z7', 'Q9UKI9')"
"('P10321', 'Q9NUQ7')"
"('P60370', 'Q9BYR7')"
"('Q5UIP0', 'P17540')"
"('P21860', 'P55795')"
"('Q8IVT5', 'P08238')"
"('Q16576', 'Q96K83')"
"('P32927', 'P10721')"
"('Q9NUW8', 'Q8IW19')"
"('Q15022', 'Q99873')"
"('Q9Y2J2', 'Q14678')"
"('P14324', 'P61221')"
"('P09001', 'Q9NRX2')"
"('P61981', 'Q5HYW2')"
"('Q9BZW7', 'Q8TD31')"
"('Q9Y250', 'P45984')"
"('Q9UK11', 'Q9UQ07')"
"('Q9UGL1', 'O94776')"
"('P12830', 'Q8TF74')"
"('O75787', 'Q86WC4')"
"('P83731', 'P68104')"
"('O96020', 'Q00526')"
"('Q9H2H9', 'Q15043')"
"('Q96H55', 'Q9BPX5')"
"('P68431', 'Q9Y3U8')"
"('Q9Y572', 'Q9BQI0')"
"('Q9NU22', 'Q8N5Y8')"
"('Q13315', 'Q9H0B3')"
"('Q9H9H4', 'Q53EZ4')"
"('P01024', 'P21980')"
"('P30041', 'Q8TCT1')"
"('P62854', 'Q92731')"
"('Q9Y297', 'Q9NX09')"
"('A6NIH7', 'P19087')"
"('P25490', 'Q92831')"
"('P21333', 'P02545')"
"('O14939', 'Q9GZT9')"
"('Q9UHY1', 'Q96AT9')"
"('Q01860', 'Q86TG7')"
"('P52907', 'Q9NRD1')"
"('Q06609', 'P42574')"
"('Q15021', 'Q12952')"
"('P49959', 'P27695')"
"('Q9H944', 'Q9UII2')"
"('Q14204', 'O43815')"
"('Q13237', 'P32418')"
"('O75489', 'O75251')"
"('P08581', 'P52735')"
"('Q9ULV4', 'P24941')"
"('P25787', 'P08670')"
"('Q9NRD1', 'Q9HDC9')"
"('Q96CS2', 'Q0VD86')"
"('O75616', 'O43542')"
"('Q96C55', 'Q9NRD5')"
"('Q9H190', 'Q96CG3')"
"('Q96EZ8', 'Q9Y2T1')"
"('Q9P0K7', 'P46940')"
"('Q9UHD2', 'O75143')"
"('Q01664', 'O15516')"
"('Q13425', 'Q96EV8')"
"('P14618', 'P04406')"
"('P40938', 'P35249')"
"('Q15717', 'O75909')"
"('Q08AM6', 'Q53EP0')"
"('P19387', 'P52435')"
"('Q92499', 'Q13315')"
"('Q96RL7', 'O95292')"
"('Q96HJ9', 'P48047')"
"('P49917', 'P60842')"
"('O00483', 'Q9NVA1')"
"('P35453', 'P55318')"
"('P62979', 'O43541')"
"('Q4VC31', 'Q15717')"
"('O43741', 'P54646')"
"('Q86X55', 'Q8TAQ2')"
"('O15525', 'Q9Y4A8')"
"('P52735', 'O95155')"
"('P08311', 'Q7Z3S9')"
"('O00534', 'P05067')"
"('Q15051', 'O00159')"
"('O60684', 'Q14872')"
"('Q16543', 'O75031')"
"('Q5D0E6', 'P61978')"
"('Q13526', 'P67870')"
"('P14635', 'P01106')"
"('Q8IZH2', 'Q9UQ35')"
"('Q15643', 'P13533')"
"('Q08426', 'Q8WV44')"
"('P51659', 'Q14999')"
"('O75157', 'Q6ZP82')"
"('Q53EL6', 'P62979')"
"('P01275', 'P43220')"
"('P38159', 'Q9HCD5')"
"('Q6P1J9', 'P48431')"
"('P35250', 'Q9Y5J5')"
"('P48059', 'Q9HCG1')"
"('Q8WUM4', 'Q96B97')"
"('P62917', 'P47914')"
"('O75665', 'Q9P2J5')"
"('P26440', 'P38117')"
"('Q16635', 'Q9H497')"
"('P54829', 'P24539')"
"('P19544', 'P34932')"
"('P63000', 'P52564')"
"('Q12951', 'O15164')"
"('P78524', 'P35579')"
"('Q9Y4E8', 'O95990')"
"('P26038', 'P43034')"
"('P12931', 'O00329')"
"('O14763', 'P41182')"
"('O43823', 'Q8IWL3')"
"('Q7L5N1', 'P63173')"
"('Q13427', 'Q13643')"
"('P09622', 'P57721')"
"('Q06124', 'O00182')"
"('Q9H2P0', 'Q01167')"
"('Q8N4G2', 'P60604')"
"('P35236', 'Q16539')"
"('P08670', 'Q5JVS0')"
"('Q9H936', 'Q99496')"
"('P62807', 'Q9NY93')"
"('Q96P47', 'Q96HC4')"
"('O60271', 'Q06945')"
"('P53384', 'P52789')"
"('Q13283', 'Q00839')"
"('Q9BTV4', 'P36543')"
"('Q15717', 'Q13595')"
"('P19623', 'O15370')"
"('Q16891', 'P35226')"
"('Q8N6I1', 'Q15796')"
"('P17301', 'P30101')"
"('Q01167', 'P78362')"
"('Q9Y2H1', 'Q96QF0')"
"('Q9NRH3', 'Q9H853')"
"('Q6NUK1', 'Q8WVE6')"
"('O94923', 'P21802')"
"('P17096', 'O14979')"
"('Q16763', 'Q9C0B7')"
"('P15311', 'O15145')"
"('Q5VTR2', 'Q9Y5K5')"
"('P78371', 'O94868')"
"('Q9NTI7', 'Q5VT25')"
"('Q01968', 'Q9UBU9')"
"('P06213', 'P07585')"
"('P55075', 'Q02763')"
"('P17028', 'Q8WWY3')"
"('Q12933', 'O95147')"
"('Q9UJX3', 'Q9H4L7')"
"('P05412', 'P53396')"
"('Q96AQ7', 'B2RXF5')"
"('Q8IYX8', 'Q8IYI6')"
"('P35613', 'Q86TM6')"
"('Q9Y5J5', 'O00159')"
"('Q5BKU9', 'Q5T0J3')"
"('Q0ZGT2', 'Q92832')"
"('Q15717', 'Q8IZ21')"
"('O75369', 'O43242')"
"('Q15012', 'P04350')"
