negatives
"('Q8NA56', 'Q7KZ85')"
"('P55072', 'Q92600')"
"('A8MXV4', 'Q96I51')"
"('P49736', 'Q14532')"
"('Q15078', 'Q8IUQ4')"
"('O43379', 'P53779')"
"('P14373', 'Q9Y2J4')"
"('Q14197', 'Q9BRJ2')"
"('P00533', 'P31689')"
"('P68400', 'Q9Y383')"
"('Q15717', 'Q9Y3D2')"
"('Q9ULK4', 'Q09472')"
"('P01106', 'Q8NDL9')"
"('Q96F85', 'Q9NXV2')"
"('P78527', 'P25490')"
"('Q14164', 'P61106')"
"('P13489', 'Q9ULL5')"
"('P04181', 'Q9Y478')"
"('Q9Y3E0', 'Q9UBH6')"
"('Q8WVC0', 'Q03164')"
"('Q99959', 'P33993')"
"('P11234', 'Q8WYB5')"
"('O95433', 'Q13451')"
"('Q8N9R8', 'P09651')"
"('P46060', 'O15143')"
"('Q9H6Y7', 'Q9UNA3')"
"('P78563', 'Q9H8S9')"
"('P42331', 'Q9BUK6')"
"('P01574', 'P19235')"
"('O15354', 'P17987')"
"('Q9UL17', 'P51681')"
"('O75031', 'Q15735')"
"('Q5K651', 'Q01813')"
"('Q9UMN6', 'P84022')"
"('Q8TDM5', 'P11021')"
"('P68431', 'Q9H0G5')"
"('P54259', 'Q15654')"
"('P30260', 'Q13042')"
"('O43181', 'O75251')"
"('Q9NWV8', 'Q9UBU9')"
"('Q8NDV7', 'Q15645')"
"('Q9H853', 'Q9Y6K9')"
"('Q5TA77', 'Q07627')"
"('Q02539', 'Q8TEK3')"
"('Q9NPJ6', 'Q99871')"
"('Q6IEY1', 'P38405')"
"('P46940', 'Q13555')"
"('P31942', 'Q16659')"
"('P17482', 'P59022')"
"('Q16777', 'P39687')"
"('P22694', 'Q96SN8')"
"('P35573', 'P35557')"
"('Q5SRE5', 'Q9UBU9')"
"('O43172', 'Q9BV73')"
"('Q96RT1', 'Q14155')"
"('P30041', 'Q9NYB0')"
"('Q92859', 'P53355')"
"('Q9NXW9', 'Q99613')"
"('P18583', 'Q15233')"
"('Q15811', 'O75334')"
"('Q9BS34', 'Q9BWT7')"
"('P01106', 'P30203')"
"('P25054', 'Q9Y4R8')"
"('Q9H210', 'Q9P2W3')"
"('O75365', 'O95433')"
"('P15336', 'Q6P1M3')"
"('Q9BUN5', 'Q8WXE1')"
"('Q9BPX5', 'P35579')"
"('O95433', 'P61604')"
"('Q09472', 'P06729')"
"('Q8IWV7', 'Q8N228')"
"('Q93074', 'Q9BRK4')"
"('P53701', 'P61019')"
"('Q9UIV8', 'P18146')"
"('P22694', 'O43869')"
"('O94822', 'P01889')"
"('O76031', 'Q5BKU9')"
"('P24928', 'O00255')"
"('Q13813', 'Q12879')"
"('O75147', 'P25205')"
"('Q12906', 'Q99750')"
"('P35659', 'Q9Y2W1')"
"('Q8N2M8', 'Q12929')"
"('P01889', 'O60641')"
"('P35226', 'Q99741')"
"('Q13573', 'Q96QD5')"
"('P62979', 'Q969U6')"
"('Q8IYF3', 'Q5JVL4')"
"('Q6ZVL6', 'P54259')"
"('P05129', 'Q8TEY5')"
"('P22694', 'Q6IEY1')"
"('P09038', 'Q07889')"
"('P33778', 'P56524')"
"('Q9BXB1', 'O95602')"
"('Q9ULG6', 'Q9BX93')"
"('P36507', 'P31946')"
"('Q8IY92', 'Q9NRN7')"
"('P07437', 'P43403')"
"('P06454', 'Q01105')"
"('P31930', 'Q14197')"
"('Q15758', 'Q96J02')"
"('Q9Y3F4', 'P21399')"
"('O60674', 'Q92569')"
"('Q15554', 'Q8IY67')"
"('Q00341', 'Q9NRC8')"
"('Q9UBN7', 'P04792')"
"('Q86UX6', 'P33992')"
"('P62081', 'P62979')"
"('Q96DE5', 'Q9UJX6')"
"('Q86VP6', 'P51991')"
"('P16234', 'Q99962')"
"('Q9P0W2', 'Q8IZ40')"
"('Q9Y2J4', 'Q3SY00')"
"('Q5FBB7', 'O75923')"
"('Q8N1K5', 'Q06124')"
"('Q15397', 'Q12788')"
"('P18075', 'P26371')"
"('Q68CZ1', 'O43837')"
"('O60749', 'Q5JVF3')"
"('Q15560', 'Q8WWB5')"
"('Q9NXR8', 'Q15717')"
"('Q12772', 'Q92888')"
"('Q8IXE1', 'P62873')"
"('P56556', 'Q16082')"
"('P21980', 'P00738')"
"('O60264', 'P27694')"
"('Q13492', 'Q9BRF8')"
"('Q5JR59', 'Q9BT49')"
"('P51991', 'Q16629')"
"('P27824', 'P21731')"
"('P05067', 'O43439')"
"('P53370', 'Q8WVY7')"
"('Q13547', 'P35249')"
"('Q7Z6L0', 'Q9NZT1')"
"('Q9UBN7', 'P16104')"
"('Q9H2G9', 'Q96NE9')"
"('O60216', 'P22314')"
"('Q9UHI6', 'Q01860')"
"('Q99558', 'P27635')"
"('Q9Y2K7', 'P06400')"
"('Q9Y3D7', 'O60830')"
"('Q8IZP0', 'P63000')"
"('O00548', 'Q9Y6I3')"
"('Q15170', 'P04637')"
"('O95377', 'P35227')"
"('Q13007', 'Q8N6P7')"
"('Q15428', 'Q9BQ61')"
"('P60371', 'P09067')"
"('O95865', 'P68106')"
"('Q92754', 'Q96G75')"
"('P55072', 'Q92956')"
"('Q9NPF5', 'O60885')"
"('P30153', 'Q9NS69')"
"('Q96LD1', 'Q02447')"
"('Q16082', 'P61769')"
"('P34897', 'P54886')"
"('Q9NS86', 'P50750')"
"('P04629', 'P54727')"
"('P18206', 'P20618')"
"('Q9Y230', 'P53671')"
"('P20794', 'O60303')"
"('O43543', 'O15315')"
"('Q13618', 'P34897')"
"('O95817', 'Q01844')"
"('Q9HBV1', 'Q16666')"
"('Q92569', 'O75920')"
"('P48431', 'Q9NYK5')"
"('Q86X19', 'Q04917')"
"('O60493', 'Q86X19')"
"('O43435', 'P54274')"
"('Q13451', 'Q7L5Y6')"
"('Q9BRR8', 'O60308')"
"('Q6NUN7', 'Q8TCJ0')"
"('Q9UKX7', 'Q8IXQ5')"
"('Q9Y397', 'P01112')"
"('O14862', 'O75531')"
"('Q03933', 'P54652')"
