negatives
"('P13639', 'P62244')"
"('O43865', 'P31948')"
"('P19525', 'Q9UJU6')"
"('P26371', 'Q13609')"
"('Q8WYQ9', 'O95817')"
"('P25445', 'O75340')"
"('Q9HAU4', 'Q15018')"
"('Q8N5I2', 'Q14681')"
"('Q8N3V7', 'O60237')"
"('P12931', 'O43918')"
"('Q9Y2K5', 'P54253')"
"('Q9Y4A5', 'O75147')"
"('O15371', 'P19320')"
"('P40429', 'P05181')"
"('Q15365', 'Q8IVH8')"
"('Q14257', 'P20963')"
"('P51956', 'Q9UBN7')"
"('Q92585', 'Q9UPP1')"
"('Q14152', 'Q9BV68')"
"('Q6PKC3', 'Q5VX71')"
"('Q96RU2', 'P54578')"
"('Q13573', 'O43175')"
"('O95983', 'Q8WWY6')"
"('O75360', 'P31273')"
"('Q09161', 'P31943')"
"('P51965', 'P46934')"
"('Q8IW35', 'Q9BT25')"
"('O95782', 'P35244')"
"('P49427', 'P23381')"
"('Q9BY89', 'Q2M3V2')"
"('P01106', 'P17096')"
"('Q9UI30', 'P40337')"
"('Q8N5H3', 'Q9HCE1')"
"('Q13469', 'Q9UJU2')"
"('Q92797', 'Q9Y2Q3')"
"('Q13145', 'O94993')"
"('P50990', 'Q5TGI0')"
"('P49674', 'O15516')"
"('Q86VS8', 'P49356')"
"('P48730', 'Q13895')"
"('Q8IWV7', 'P49841')"
"('Q9NP98', 'Q58EX7')"
"('Q8NGY6', 'O60262')"
"('Q8WVK7', 'Q8N0Z3')"
"('P05129', 'Q9NPD8')"
"('Q5RL73', 'Q9UN74')"
"('Q13547', 'Q03060')"
"('Q9BWF3', 'P52597')"
"('Q9NUG6', 'Q9NQP4')"
"('Q9Y333', 'Q9Y4Z0')"
"('P31943', 'P78347')"
"('P05412', 'Q9BVC6')"
"('Q9HAU0', 'P55268')"
"('Q92922', 'P62993')"
"('P29350', 'Q96P31')"
"('P50552', 'P21283')"
"('P21127', 'O14617')"
"('Q13263', 'O43918')"
"('P10301', 'Q96MG2')"
"('P35125', 'Q9H082')"
"('Q5T8P6', 'Q8TCT0')"
"('Q96CW1', 'P49327')"
"('Q16539', 'P15407')"
"('Q53GL0', 'Q9Y4K3')"
"('Q5SW79', 'Q5BJF6')"
"('Q9H8V3', 'Q9H0H5')"
"('P27694', 'Q2NL82')"
"('Q13748', 'P07437')"
"('P82673', 'P82675')"
"('P84090', 'P61326')"
"('P62318', 'Q96SW2')"
"('P62993', 'O76009')"
"('P62826', 'Q96NS5')"
"('Q13315', 'Q8TED0')"
"('Q9UL63', 'P13727')"
"('Q9C0C7', 'Q15008')"
"('Q7L273', 'Q9GZT8')"
"('Q9BVJ6', 'Q15834')"
"('O75891', 'Q8IWL3')"
"('Q12873', 'P49736')"
"('P63220', 'Q02543')"
"('P68431', 'Q07666')"
"('P03372', 'Q9Y399')"
"('Q8N531', 'Q99549')"
"('P04629', 'P49756')"
"('O15164', 'Q92731')"
"('Q5T653', 'Q9BQE3')"
"('P21580', 'P62987')"
"('Q92905', 'P19338')"
"('Q70CQ1', 'Q9UPY3')"
"('P28340', 'Q13616')"
"('P10909', 'P80303')"
"('P63244', 'P42677')"
"('Q99471', 'A4D161')"
"('P17612', 'Q8IZS8')"
"('Q15831', 'P0DP25')"
"('Q52LR7', 'Q9HBJ0')"
"('P61266', 'O95292')"
"('Q9Y241', 'P14678')"
"('Q96HP0', 'Q96L33')"
"('Q7Z3S9', 'Q14773')"
"('Q9BXY4', 'Q15075')"
"('P62380', 'Q15554')"
"('Q86SE8', 'Q9H8W4')"
"('Q96ER9', 'P01857')"
"('Q13885', 'Q13332')"
"('Q9HCE1', 'P53041')"
"('P62807', 'Q6ZRS2')"
"('P21675', 'P63279')"
"('Q9BQ66', 'P17858')"
"('Q96BY2', 'Q16531')"
"('P62316', 'Q9HCE7')"
"('Q2NKQ1', 'P41208')"
"('Q99439', 'Q96Q05')"
"('Q02297', 'Q86X29')"
"('P12757', 'O00257')"
"('O60506', 'Q07955')"
"('Q8WUW1', 'Q8IZP0')"
"('Q14192', 'P49810')"
"('O95684', 'Q86YT6')"
"('P03886', 'Q9NPL8')"
"('O43324', 'Q9Y3U8')"
"('Q9H1Y0', 'Q9Y3B8')"
"('Q6ZVM7', 'O14980')"
"('O95817', 'Q8NGC4')"
"('P26374', 'Q15907')"
"('Q16539', 'Q06330')"
"('Q96N67', 'P48431')"
"('Q9UMD9', 'Q03001')"
"('Q9BUW7', 'Q96EV8')"
"('P61224', 'P82673')"
"('Q71U36', 'Q9H2C0')"
"('P23258', 'P39023')"
"('O00217', 'O14949')"
"('Q14978', 'Q9UER7')"
"('P35221', 'Q9H0H5')"
"('P68133', 'Q01968')"
"('P61077', 'Q86UW9')"
"('P11171', 'P58546')"
"('Q9HC77', 'Q8IZD4')"
"('P36957', 'O43255')"
"('Q96MN2', 'Q9UHD2')"
"('Q16531', 'Q9H9S0')"
"('Q13895', 'Q9UGI0')"
"('Q9BRG1', 'Q9H190')"
"('P05067', 'Q92901')"
"('P55198', 'Q8TEK3')"
"('Q13619', 'Q99729')"
"('Q01831', 'Q13315')"
"('Q01780', 'Q99558')"
"('Q05086', 'P53804')"
"('Q96NS8', 'Q7L273')"
"('Q5HYC2', 'Q9HAC8')"
"('Q8IX12', 'Q13643')"
"('Q8IUM7', 'O00327')"
"('Q9UPP5', 'Q5T8P6')"
"('Q96GY3', 'P34932')"
"('Q08AD1', 'Q8IVT5')"
"('Q15058', 'Q9NSK0')"
"('P46939', 'Q9Y5S9')"
"('P55157', 'P20774')"
"('Q9ULT6', 'O75473')"
"('P12236', 'P16455')"
"('Q9UJW3', 'P18848')"
"('Q16576', 'Q9HB07')"
"('P49458', 'O00418')"
"('Q96GM5', 'Q969G3')"
"('P62304', 'P63104')"
"('P30154', 'Q8N201')"
"('P30086', 'Q8TAX9')"
"('O75530', 'P61106')"
"('Q9Y2H8', 'P24385')"
"('Q9NZN9', 'Q9NXC5')"
"('P37198', 'P04259')"
"('P17535', 'P32519')"
"('P54646', 'Q96SD1')"
"('O60884', 'P11021')"
"('Q9NPH9', 'Q9UHF4')"
"('P16298', 'O95180')"
"('O60543', 'Q05516')"
"('O76015', 'Q9P0W2')"
"('Q14CS0', 'Q8TCT6')"
"('Q99638', 'O75943')"
"('P09497', 'Q9UQE7')"
"('Q969V6', 'P60709')"
"('P13612', 'Q9Y490')"
"('P04637', 'Q66GS9')"
"('O15067', 'P18206')"
"('Q7Z7G1', 'Q86UA6')"
"('Q05639', 'P49407')"
"('P35568', 'P17252')"
"('Q2YD98', 'O15047')"
"('Q7L1Q6', 'Q99714')"
"('Q4KMQ1', 'Q16643')"
"('Q6UWV6', 'Q9UKT9')"
"('P29992', 'P51003')"
"('Q07654', 'P61457')"
"('Q5VVQ6', 'Q86TM6')"
"('P14854', 'O75436')"
"('P28300', 'Q96B97')"
"('Q13315', 'Q9C0C9')"
"('P60411', 'Q5T7P2')"
"('P26368', 'O00299')"
"('Q8IXB1', 'Q9HAU4')"
"('Q9H7R5', 'P16220')"
"('Q9UQ07', 'Q9UK11')"
"('Q9P013', 'Q9BWJ5')"
"('P56537', 'P16152')"
"('Q93008', 'Q9NRM7')"
"('O14920', 'Q13490')"
"('Q9Y277', 'P49675')"
"('Q7L5N1', 'O00231')"
"('Q7L7L0', 'Q86WJ1')"
"('Q9HBV2', 'Q7Z4L5')"
"('Q9UJX2', 'Q96T88')"
"('O60701', 'P17612')"
"('Q09161', 'Q9H4L4')"
"('P09382', 'Q15366')"
"('Q9NXH9', 'Q86WV1')"
"('O95931', 'Q14139')"
"('P46063', 'P52292')"
"('Q9BYR9', 'Q8WZ59')"
"('P21246', 'Q8TF65')"
"('Q2NL82', 'P63104')"
"('Q15742', 'Q8NFW5')"
"('Q9P0U4', 'Q9BQA1')"
"('Q93008', 'Q8WXK1')"
"('P19387', 'P38398')"
"('Q14181', 'P78406')"
"('Q15459', 'Q6IN85')"
"('Q13546', 'O00635')"
"('Q9Y3C4', 'Q8NFH3')"
"('Q6NUS6', 'Q9Y6A9')"
"('O60313', 'P08473')"
"('P04629', 'Q08752')"
"('P06493', 'P05771')"
"('P62258', 'P51991')"
"('P02545', 'O00560')"
"('P05067', 'Q9NSD7')"
"('O00444', 'Q6UVJ0')"
"('P06396', 'Q6NYC8')"
"('Q9Y3E0', 'P53990')"
"('Q99698', 'Q9NP79')"
"('Q14738', 'P19429')"
"('P42126', 'P37802')"
"('O95628', 'P51668')"
"('Q9BQE5', 'P27361')"
"('Q9Y5B9', 'O94906')"
"('Q9H3K2', 'Q9H6D8')"
"('O75365', 'P49354')"
"('Q09472', 'P17535')"
"('Q9UET6', 'P55209')"
"('Q66LE6', 'Q15172')"
"('P31944', 'Q9H0W5')"
"('Q04206', 'Q9H2C0')"
"('Q9BXW6', 'P50222')"
"('Q12933', 'Q9BXY8')"
"('Q14318', 'P43686')"
"('Q9UKX5', 'P26010')"
"('Q12905', 'P05388')"
"('Q8NI27', 'Q9Y3Y2')"
"('Q08170', 'P23246')"
"('O95470', 'P00533')"
"('P17844', 'O43318')"
"('Q6IQ21', 'Q9BYG3')"
"('Q8IV38', 'Q9NUX5')"
"('P21953', 'Q8IWL3')"
"('Q15696', 'Q12874')"
"('Q9BRZ2', 'P62633')"
"('Q9P0N9', 'Q9H492')"
"('P55036', 'O43396')"
"('P30153', 'Q13765')"
"('Q16659', 'P05204')"
"('P17980', 'Q9BRP4')"
"('O43379', 'O60336')"
"('Q9Y4A5', 'Q9UPT9')"
"('O95298', 'O95178')"
"('Q9Y282', 'Q6ZTN6')"
"('P62241', 'P61326')"
"('Q5SRE5', 'Q15051')"
"('P49662', 'Q14683')"
"('Q13480', 'P16333')"
"('P04083', 'P62937')"
"('P61952', 'P04899')"
"('P01106', 'P27987')"
"('O75477', 'P04629')"
"('P23229', 'P13612')"
"('P07550', 'P16615')"
"('Q8IUD2', 'Q7Z7A1')"
"('Q53G59', 'Q96T60')"
"('Q86Y38', 'P01106')"
"('P68366', 'P15927')"
"('Q15717', 'P41091')"
"('P07306', 'Q9NPE6')"
"('Q9GZT8', 'P15531')"
"('Q86T82', 'P27694')"
"('Q9NYL2', 'Q15006')"
"('Q9H1K1', 'P47985')"
"('Q9BXS6', 'P09210')"
"('P08575', 'P08581')"
"('P35241', 'Q5TBB1')"
"('O95210', 'P46976')"
"('Q9Y283', 'Q9BPU9')"
"('Q9NPE2', 'Q9UGI9')"
"('Q92731', 'O00231')"
"('P14672', 'Q32P28')"
"('Q9NYY1', 'Q6UWB1')"
"('P01889', 'Q9H773')"
"('P23396', 'Q13620')"
"('Q15291', 'Q92620')"
"('Q8NDT2', 'Q9H492')"
"('P19320', 'Q14011')"
"('Q9UBC3', 'Q13185')"
"('P41218', 'Q9H6W3')"
"('P03372', 'Q86X55')"
"('P05412', 'P16615')"
"('Q13573', 'P35268')"
"('O95235', 'P18146')"
"('Q9Y666', 'O00214')"
"('Q9H993', 'P11216')"
"('P08047', 'Q13285')"
"('Q09472', 'P20749')"
"('P17600', 'P12931')"
"('Q00839', 'Q14498')"
"('Q5VWX1', 'P61978')"
"('O60260', 'Q9UJZ1')"
"('P51451', 'P06576')"
"('P01889', 'P63173')"
"('Q14152', 'P08729')"
"('P04792', 'Q8N9W8')"
"('Q96GX1', 'Q9HD20')"
"('Q8IYI6', 'Q9Y4G6')"
"('Q5S007', 'O00268')"
"('P05067', 'Q9BSA9')"
"('P49746', 'Q8IYL2')"
"('Q92905', 'P46087')"
"('Q9NX24', 'P02751')"
"('P48643', 'P26639')"
"('P09017', 'Q9Y3P9')"
"('P50148', 'Q9BZM2')"
"('Q9UMX0', 'O60844')"
"('Q6Q0C0', 'Q99759')"
"('O14641', 'Q04206')"
"('O00161', 'Q9P0N5')"
"('Q92900', 'Q9BTM9')"
"('Q13233', 'Q96RU2')"
"('P46379', 'O76071')"
"('Q9GZQ8', 'Q15424')"
"('P50053', 'P61626')"
"('P22694', 'P08138')"
"('Q9UIV8', 'Q96IK5')"
"('O60911', 'P01042')"
"('Q9H0W5', 'Q86X29')"
"('Q5R3I4', 'O75608')"
"('Q9H6X2', 'O14733')"
"('Q99836', 'O94885')"
"('Q9UK08', 'P04899')"
"('Q12906', 'P0C0S8')"
"('Q9UI14', 'O15131')"
"('Q04864', 'P43115')"
"('P06733', 'Q8IUE6')"
"('P18075', 'A3KMH1')"
"('Q9UKT9', 'O15160')"
"('Q8IZL8', 'P22087')"
"('Q9UK41', 'Q8IYX8')"
"('Q9UQE7', 'Q6KC79')"
"('P49407', 'P0C7N5')"
"('Q2KHM9', 'P33981')"
"('Q04864', 'Q96LT7')"
"('Q96IZ6', 'P34897')"
"('Q6P158', 'Q6A162')"
"('P15884', 'Q96NJ5')"
"('P23025', 'Q92466')"
"('Q9Y265', 'Q96SW2')"
"('Q14164', 'P15170')"
"('P61289', 'Q9Y5W3')"
"('O15075', 'Q00536')"
"('Q13442', 'P05067')"
"('Q9Y5L0', 'P04629')"
"('Q04724', 'Q96AE4')"
"('Q9BXK5', 'Q9NZG7')"
"('Q15583', 'Q8IU81')"
"('Q9NPI1', 'P07196')"
"('P12004', 'P45983')"
"('Q15418', 'P30305')"
"('P50750', 'Q96MH2')"
"('Q96GY0', 'Q8WTX7')"
"('Q9NRX1', 'Q86VU5')"
"('Q96FW1', 'P84022')"
"('Q96AZ1', 'O15212')"
"('O94905', 'Q92542')"
"('P35268', 'P62750')"
"('Q8N5Z5', 'Q9BWE0')"
"('Q9UBY5', 'P63215')"
"('Q15910', 'P28072')"
"('P50750', 'P17542')"
"('Q9NRD0', 'Q00536')"
"('Q8N2W9', 'Q8IUC6')"
"('Q00987', 'Q5RHP9')"
"('Q6P2C8', 'Q9BTT4')"
"('P0DP24', 'O43303')"
"('P60568', 'P38484')"
"('Q96P20', 'Q9UKC9')"
"('P29074', 'Q8N5Z5')"
"('O60318', 'P54132')"
"('Q13480', 'O75815')"
"('P19419', 'P38936')"
"('P51610', 'P68431')"
"('Q9NRD1', 'Q8NBJ5')"
"('P57105', 'Q5VYS4')"
"('O75147', 'P62913')"
"('P62993', 'Q0VD86')"
"('Q92769', 'Q9H2S9')"
"('P01137', 'P08253')"
"('Q13472', 'P45973')"
"('Q5TC82', 'P62847')"
"('P40424', 'Q13394')"
"('O75643', 'P50416')"
"('P23508', 'Q14152')"
"('Q8NHQ1', 'Q9UIG4')"
"('P28799', 'Q9NUX5')"
"('P12109', 'P13612')"
"('Q15022', 'P04198')"
"('Q9BZ67', 'P19838')"
"('Q96BZ8', 'Q9P2J5')"
"('Q6PJQ5', 'O95619')"
"('Q96EY7', 'Q92665')"
"('Q9UBU8', 'P0C0S5')"
"('Q9Y6K9', 'Q15628')"
"('Q96NL3', 'P60411')"
"('Q92793', 'Q03164')"
"('Q7KZF4', 'P05412')"
"('P68104', 'P49792')"
"('P42704', 'Q15653')"
"('Q13347', 'P05198')"
"('P49915', 'Q9NRD1')"
"('Q9NYB0', 'Q8IYL3')"
"('Q9BWH2', 'E9PAV3')"
"('P46527', 'Q92905')"
"('O75431', 'Q9UHD9')"
"('P49450', 'Q5T200')"
"('Q9H4B4', 'Q16665')"
"('Q14671', 'O95758')"
"('Q99816', 'Q8IV63')"
"('P16284', 'P08631')"
"('P06213', 'P62330')"
"('Q92905', 'Q9P225')"
"('P80188', 'P09651')"
"('Q9P0K7', 'Q15811')"
"('O75164', 'O15379')"
"('P23467', 'P0DP23')"
"('Q15345', 'Q9Y295')"
"('P42858', 'Q13449')"
"('Q14728', 'P78362')"
"('Q9NPH0', 'P68104')"
"('O14641', 'Q66GS9')"
"('Q9BYZ6', 'O94955')"
"('P01780', 'P01857')"
"('P30480', 'Q9H9B4')"
"('O75533', 'P62316')"
"('Q16543', 'P41970')"
"('Q9UPQ4', 'Q504Q3')"
"('Q8N7P3', 'Q96B33')"
"('Q13526', 'Q8IVT5')"
"('Q13568', 'Q9BT78')"
"('P63096', 'Q01968')"
"('P00441', 'Q15365')"
"('P25705', 'P01023')"
"('P16220', 'Q147U7')"
"('Q9UBU9', 'O00178')"
"('P30837', 'P00338')"
"('Q09019', 'P62068')"
"('P04629', 'Q6SZW1')"
"('Q9Y4K3', 'P47813')"
"('Q99741', 'Q9Y5P8')"
"('Q9UKT9', 'Q5JVF3')"
"('P05187', 'Q5T754')"
"('Q96C92', 'Q15154')"
"('Q13564', 'P04637')"
"('P61247', 'P47914')"
"('P01909', 'P01730')"
"('Q9Y618', 'P29460')"
"('P63279', 'O94829')"
"('Q86VR2', 'P04920')"
"('O75381', 'Q9BS16')"
"('P35916', 'P01375')"
"('O95251', 'Q9C0J8')"
"('Q9Y3M2', 'Q5SW79')"
"('P80303', 'P49675')"
"('P38398', 'O95602')"
"('Q63HR2', 'Q6P1W5')"
"('Q7RTS3', 'Q13685')"
"('Q14240', 'P55072')"
"('P14136', 'Q9Y6K9')"
"('Q9ULZ2', 'Q9Y5K6')"
"('Q9Y228', 'P48643')"
"('P06744', 'P24941')"
"('Q86X55', 'P60709')"
"('Q14995', 'O00327')"
"('Q9Y279', 'O95470')"
"('Q9BVA1', 'Q9NUJ3')"
"('Q9Y3C7', 'Q9NPJ6')"
"('O43765', 'P60468')"
"('P11274', 'P01106')"
"('O00358', 'Q14160')"
"('P05412', 'P50995')"
"('Q969U7', 'Q5JS54')"
"('P25098', 'Q8NHB8')"
"('O14498', 'Q9NZ71')"
"('P55210', 'Q07812')"
"('P05412', 'Q96DV4')"
"('P07814', 'Q7L3T8')"
"('Q13547', 'Q8N9N5')"
"('P21802', 'P35222')"
"('Q15717', 'Q13286')"
"('P16333', 'O00750')"
"('P50222', 'Q8N402')"
"('Q9BWG6', 'P14373')"
"('O15078', 'Q9BRR8')"
"('Q8NF91', 'Q96MT8')"
"('Q9UBU9', 'Q92769')"
"('Q08945', 'Q9Y657')"
"('P48431', 'Q96AC1')"
"('Q8IWQ3', 'Q00536')"
"('Q6UB98', 'P48039')"
"('Q9H246', 'Q9UBU9')"
"('O43464', 'Q13490')"
"('O60231', 'Q92620')"
"('P30154', 'P19429')"
"('Q13185', 'Q96JM2')"
"('O00629', 'Q13330')"
"('P11362', 'P50750')"
"('Q13177', 'P06730')"
"('P05129', 'P14136')"
"('P36551', 'P05412')"
"('P11802', 'O95865')"
"('P61019', 'O94905')"
"('Q92688', 'Q99961')"
"('Q9BYR5', 'O15169')"
"('O14827', 'Q9H2G2')"
"('Q9UBS0', 'P17980')"
"('P53384', 'Q9H773')"
"('Q96GM8', 'Q02539')"
"('P49917', 'Q9Y230')"
"('Q8TAP6', 'Q2MKA7')"
"('Q9NZ71', 'O94988')"
"('Q13573', 'P84098')"
"('Q9UQR1', 'Q5VYX0')"
"('Q92609', 'Q9GZQ8')"
"('P43403', 'Q9H4E7')"
"('Q99496', 'P62633')"
"('P17676', 'P31513')"
"('Q8N9N8', 'Q8IVT5')"
"('Q8WVV5', 'Q7KYR7')"
"('O14818', 'P17861')"
"('Q8NFW5', 'P80188')"
"('P09529', 'Q8N6C5')"
"('P13569', 'Q10567')"
"('P49406', 'Q13618')"
"('Q03252', 'P25490')"
"('P62805', 'Q92858')"
"('Q9UPY8', 'Q14008')"
"('Q8NHL6', 'P30443')"
"('Q9Y6U3', 'P68133')"
"('A8MV65', 'Q9H6Z9')"
"('Q96PE2', 'P04637')"
"('P31689', 'P62333')"
"('Q6L9T8', 'Q15717')"
"('Q9UL03', 'Q9NVM9')"
"('P25098', 'P67870')"
"('P67775', 'Q9Y698')"
"('Q9Y3E0', 'P47985')"
"('P49841', 'Q8TDZ2')"
"('O15060', 'Q13200')"
"('A6NFN3', 'Q9NU53')"
"('Q14457', 'O95166')"
"('Q8TEK3', 'Q8N5Y8')"
"('O95166', 'Q9H0R8')"
"('P25786', 'P22413')"
"('Q99755', 'Q8IVT5')"
"('Q9HCE7', 'Q9Y297')"
"('Q9UJX3', 'P48431')"
"('Q8NFP7', 'Q9NS23')"
"('Q04206', 'Q99623')"
"('Q14315', 'O15084')"
"('Q4LEZ3', 'Q9BZW7')"
"('P46781', 'P04629')"
"('Q6NT76', 'Q9Y316')"
"('Q9UNE7', 'Q14249')"
"('Q96H86', 'O00505')"
"('O60262', 'P45984')"
"('O60602', 'Q8IUC6')"
"('Q7Z419', 'P34897')"
"('P10636', 'P62987')"
"('Q14999', 'O76021')"
"('Q96KN7', 'P45954')"
"('Q15714', 'Q13510')"
"('Q06187', 'P05067')"
"('P49959', 'Q86VS8')"
"('Q9BXL8', 'Q9H5I1')"
"('Q12840', 'Q9Y6H6')"
"('P15924', 'Q13573')"
"('Q15059', 'P10451')"
"('Q7Z6V5', 'P05067')"
"('P36406', 'P51668')"
"('P51149', 'P07355')"
"('O43677', 'O75251')"
"('P50222', 'P04141')"
"('Q52LJ0', 'P61160')"
"('P48047', 'Q8NC44')"
"('Q9Y3E7', 'Q7L2J0')"
"('Q86UA6', 'P04264')"
"('Q96SB4', 'Q96K75')"
"('P49321', 'Q9NZL9')"
"('Q9NR46', 'Q8TCE9')"
"('Q13087', 'Q96HE7')"
"('Q7Z353', 'Q5TD97')"
"('Q9NPJ3', 'Q15084')"
"('P28062', 'P28066')"
"('P86481', 'Q92567')"
"('P07919', 'O14668')"
"('O76011', 'Q96M91')"
"('Q9H0A9', 'Q9H6L4')"
"('P11177', 'Q99714')"
"('P40763', 'Q8NHY2')"
"('P43121', 'Q86X19')"
"('Q9UNF1', 'Q9BXP5')"
"('O14610', 'Q16539')"
"('P55072', 'Q8IXT1')"
"('Q96DB2', 'Q9NYH9')"
"('O95073', 'Q8N5R6')"
"('Q3LI66', 'Q9Y272')"
"('P49591', 'P30504')"
"('Q9H6U6', 'Q8TES7')"
"('O43390', 'Q16637')"
"('Q3MHD2', 'Q7Z6Z7')"
"('P16383', 'P68400')"
"('P98177', 'P48023')"
"('P34932', 'O94953')"
"('O14829', 'Q9UJS0')"
"('P24941', 'P14635')"
"('P39023', 'O95793')"
"('P0C0S5', 'Q96RL1')"
"('Q7L7L0', 'Q96A08')"
"('P37023', 'P01137')"
"('Q16836', 'Q6WCQ1')"
"('Q14687', 'P05230')"
"('Q8NBA8', 'Q8TDW7')"
"('P10721', 'P31785')"
"('Q9UKF6', 'Q6VAB6')"
"('Q8N8D1', 'Q15717')"
"('P48552', 'P26358')"
"('Q8IWC1', 'Q06330')"
"('Q9UL03', 'Q99814')"
"('P16157', 'P21817')"
"('Q6PCD5', 'Q13404')"
"('Q9Y6V0', 'Q9Y2X7')"
"('Q9Y478', 'Q16659')"
"('Q9NVJ2', 'P53701')"
"('P30837', 'P04179')"
"('O60573', 'Q9P2M7')"
"('Q15796', 'P30260')"
"('P82675', 'O75955')"
"('Q71U36', 'Q8WWC4')"
"('P49917', 'P62937')"
"('P21912', 'Q13617')"
"('Q9UL17', 'Q13761')"
"('Q9UJV9', 'Q01130')"
"('Q9P0N5', 'O14654')"
"('Q15834', 'Q9BVJ6')"
"('P08581', 'P29353')"
"('Q6P3W7', 'P37837')"
"('Q00839', 'Q15287')"
"('Q9Y3X0', 'P38919')"
"('Q5QNW6', 'P56524')"
"('P42858', 'Q14149')"
"('Q9NVR5', 'O00429')"
"('P63244', 'P35609')"
"('Q13283', 'O00308')"
"('P31749', 'O14641')"
"('P78527', 'P12956')"
"('P17612', 'Q14643')"
"('Q16637', 'P09382')"
"('P27824', 'P04843')"
"('Q8IWL3', 'Q8TC07')"
"('P31749', 'Q9BWT1')"
"('Q15084', 'Q9C0B0')"
"('Q96JP5', 'P78362')"
"('P06400', 'P25445')"
"('Q96RU8', 'P49715')"
"('P49427', 'Q16665')"
"('P23025', 'Q03468')"
"('P04075', 'P05014')"
"('Q8IY92', 'Q4G0J3')"
"('O00571', 'P36873')"
"('P17252', 'O15350')"
"('P33552', 'Q13432')"
"('P13807', 'Q6VVB1')"
"('Q9HD42', 'Q70EL1')"
"('Q9NNW7', 'P32780')"
"('Q86XI8', 'Q92731')"
"('Q99496', 'O43159')"
"('P49736', 'Q5VUA4')"
"('Q99459', 'O43913')"
"('P06401', 'Q15596')"
"('P05106', 'P12931')"
"('Q9HA38', 'P61956')"
"('Q96AD5', 'P00533')"
"('P34931', 'P10515')"
"('P02751', 'P63104')"
"('Q92616', 'Q8NBM4')"
"('Q9GZV4', 'Q01844')"
"('Q6P1L5', 'P01106')"
"('Q8N5A5', 'Q9Y2D8')"
"('Q09666', 'O95466')"
"('Q8NI60', 'Q5S007')"
"('Q12906', 'P02751')"
"('Q13200', 'P24941')"
"('Q9P0L1', 'Q9NX65')"
"('P19086', 'Q96S94')"
"('P57081', 'P51668')"
"('P27797', 'P13693')"
"('Q16531', 'P07498')"
"('P04899', 'Q9ULV4')"
"('P68371', 'O75161')"
"('P62241', 'Q9BSC4')"
"('Q9BQ95', 'O75489')"
"('P06241', 'Q8IZD9')"
"('Q5T3F8', 'Q9Y5M8')"
"('P61964', 'O15054')"
"('Q01130', 'Q2M1K9')"
"('Q04725', 'O43711')"
"('Q9UJW3', 'Q15797')"
"('P04439', 'Q5U5Q3')"
"('Q14204', 'Q9BVA1')"
"('Q7Z6Z7', 'Q15836')"
"('P11388', 'P40337')"
"('P60369', 'Q8IUB3')"
"('Q9BPX3', 'P06748')"
"('P30044', 'Q9Y5E8')"
"('P10912', 'P08069')"
"('O95661', 'P01116')"
"('Q99986', 'P49756')"
"('Q14258', 'P32320')"
"('Q8TAQ2', 'Q8WUB8')"
"('Q96SN8', 'Q00535')"
"('Q9P2K8', 'P62068')"
"('Q9ULE3', 'Q01844')"
"('P31151', 'O75530')"
"('P33240', 'O95163')"
"('P62917', 'P42696')"
"('P32121', 'A6NHG9')"
"('Q9P2H0', 'Q7L5D6')"
"('P19320', 'Q9Y520')"
"('Q9BQY4', 'P54259')"
"('O00214', 'Q86YL7')"
"('P28482', 'Q96EP5')"
"('P60866', 'Q9BSJ2')"
"('O60262', 'P40145')"
"('P53396', 'Q92754')"
"('O60675', 'Q92794')"
"('P84022', 'Q9UNE7')"
"('Q96DT6', 'P51784')"
"('P30154', 'Q9NY47')"
"('P11245', 'O75330')"
"('Q8WWW0', 'Q9UK45')"
"('Q27J81', 'P46940')"
"('P30499', 'P43632')"
"('P62269', 'P27635')"
"('Q9BQK8', 'Q8TEH3')"
"('P19320', 'P49588')"
"('Q96F44', 'P57723')"
"('Q8WVB6', 'P35250')"
"('P04629', 'Q8WXX5')"
"('Q13573', 'Q9UFC0')"
"('P25490', 'P04049')"
"('P30153', 'P54284')"
"('P68104', 'Q9Y6K9')"
"('Q86UX2', 'Q06609')"
"('P02545', 'Q9GZR1')"
"('Q08379', 'P25054')"
"('Q8WVP5', 'Q92997')"
"('P62829', 'Q5MIZ7')"
"('Q13418', 'P52736')"
"('O14641', 'Q9ULT6')"
"('P49848', 'P22415')"
"('O14686', 'P61244')"
"('Q9H668', 'Q9NWA0')"
"('Q9H9J4', 'Q9BSM1')"
"('Q96HT8', 'Q96JH8')"
"('Q13509', 'P04637')"
"('O14617', 'O14980')"
"('P68366', 'Q16881')"
"('P15976', 'Q09472')"
"('P31946', 'Q9H9C1')"
"('Q9UGM5', 'Q96BA8')"
"('Q6NUS6', 'Q6NXT6')"
"('Q9ULD6', 'Q9HDC9')"
"('P09874', 'Q13007')"
"('P51812', 'Q8IX03')"
"('P35998', 'Q14164')"
"('Q13618', 'Q6PID8')"
"('Q9UDY6', 'Q9Y2X8')"
"('Q13464', 'P35080')"
"('Q96C00', 'Q9NY65')"
"('Q0VD86', 'Q9BPX1')"
"('P63208', 'P26885')"
"('Q9BUL9', 'P78346')"
"('Q7Z7J5', 'Q9C0A6')"
"('O14497', 'O15360')"
"('O75865', 'Q86SZ2')"
"('P14927', 'P43355')"
"('Q16649', 'Q96BA8')"
"('P78545', 'P26639')"
